year,state,place,share_desc_rep_other,share_desc_rep_other_quality,share_desc_rep_black_nonhispanic,share_desc_rep_black_nonhispanic_quality,share_desc_rep_hispanic,share_desc_rep_hispanic_quality,share_desc_rep_white_nonhispanic,share_desc_rep_white_nonhispanic_quality
2014,01,03076,0.08142350752816481,1,0.16725160565752992,1,0.03951847822272137,1,0.711806408591584,1
2014,01,07000,0.02081197893294915,1,0.7308471694102643,1,0.035204647977138,1,0.21313620367964856,1
2014,01,35896,0.07269852382044442,1,0.14811283177829546,1,0.06986203816581975,1,0.7093266062354404,1
2014,01,37000,0.05202789303325875,1,0.30099602459105423,1,0.056975430669302454,1,0.5900006517063846,1
2014,01,50000,0.026407854643945378,1,0.5084076289357861,1,0.026833622308173714,1,0.4383508941120949,1
2014,01,51000,0.03923173032166393,1,0.5774173791616649,1,0.03638501678140082,1,0.3469658737352703,1
2014,01,77256,0.035660326814894186,1,0.43553174390570587,1,0.03245646932761854,1,0.4963514599517814,1
2014,02,03000,0.25075625968381304,1,0.05575528711038373,1,0.08279282844475448,1,0.6106956247610488,1
2014,04,04720,0.05934900913851525,1,0.08919036862100832,1,0.5328575829140569,1,0.31860303932641953,1
2014,04,07940,0.04813661769257378,1,0.07082127186993646,1,0.375735066542866,1,0.5053070438946238,1
2014,04,12000,0.1319939159404806,1,0.0485419869429232,1,0.2361936296797713,1,0.5832704674368249,1
2014,04,23620,0.1599104110117326,1,0.020320681113632656,1,0.18849285809638233,1,0.6312760497782525,1
2014,04,27400,0.09789316589805988,1,0.03160923403740404,1,0.15563054887039451,1,0.7148670511941415,1
2014,04,27820,0.07256722620248472,1,0.05670796368621162,1,0.36929795066773574,1,0.5014268594435679,1
2014,04,28380,0.07595369789587729,1,0.0777641557849119,1,0.28421337743057534,1,0.5620687688886354,1
2014,04,46000,0.05761893070200468,1,0.03337381190954918,1,0.2679703864929848,1,0.6410368708954614,1
2014,04,54050,0.06987411924034675,1,0.030106533691982202,1,0.1969656308704308,1,0.7030537161972402,1
2014,04,55000,0.07035145878807962,1,0.06509641403903249,1,0.40480077920091656,1,0.4597513479719713,1
2014,04,65000,0.06841029174253643,1,0.017202117045978193,1,0.09745480250001118,1,0.8169327887114742,1
2014,04,71510,0.0417022885703012,1,0.052240891753255296,1,0.1817292516112061,1,0.7243275680652375,1
2014,04,73000,0.12767779607725707,1,0.04954633927234616,1,0.22229076209013326,1,0.6004851025602636,1
2014,04,77000,0.06934447680232216,1,0.04563540057634692,1,0.42205317400305886,1,0.4629669486182721,1
2014,04,85540,0.042383807129504285,1,0.027213734717118975,1,0.5684157373385762,1,0.3619867208148005,1
2014,05,23290,0.06913957341064403,1,0.060545661627666184,1,0.06930782770759991,1,0.8010069372540899,1
2014,05,24550,0.11274987671028637,1,0.08537382588051794,1,0.17012833599027444,1,0.6317479614189212,1
2014,05,35710,0.03755500804648447,1,0.18996824130908468,1,0.0534201119387043,1,0.7190566387057266,1
2014,05,41000,0.049707423491752806,1,0.4198778722449895,1,0.05846433013232206,1,0.47195037413093566,1
2014,05,66080,0.11843228665519251,1,0.02074835002507149,1,0.35447017848188755,1,0.5063491848378484,1
2014,06,00562,0.3740216200520043,1,0.07000778744241912,1,0.11861990681467206,1,0.4373506856909045,1
2014,06,00884,0.533021327014218,1,0.013270142180094787,1,0.3530924170616114,1,0.10061611374407584,1
2014,06,02000,0.17933190076186756,1,0.022818122709367793,1,0.5279482641490729,1,0.2699017123796917,1
2014,06,02252,0.1653507526270946,1,0.17427814067973113,1,0.3403010508378302,1,0.32007005585534415,1
2014,06,02364,0.05535635832825499,1,0.08014342200365641,1,0.286702285965335,1,0.5777979337027537,1
2014,06,03526,0.0950599386674101,1,0.0777056035684416,1,0.46886255924170617,1,0.35837189852244217,1
2014,06,04982,0.13032597618709768,1,0.1367113427329369,1,0.5420466712245714,1,0.19091600985539403,1
2014,06,06000,0.25047541663785355,1,0.082929949519397,1,0.108602447963488,1,0.5579921858792615,1
2014,06,08786,0.31819785621296737,1,0.03955420909831977,1,0.38063778272560256,1,0.2616101519631103,1
2014,06,08954,0.15778492400750355,1,0.017447647486696527,1,0.2576566747061751,1,0.5671107537996248,1
2014,06,11194,0.10013175230566534,1,0.011619821402430099,1,0.14181671790367442,1,0.7464317083882301,1
2014,06,11530,0.32720194647201944,1,0.20406596377399297,1,0.3962476344958097,1,0.07248445525817789,1
2014,06,13014,0.08791434806951792,1,0.018156472456779826,1,0.1702640629820492,1,0.7236651164916531,1
2014,06,13210,0.15998020047023884,1,0.05246875386709566,1,0.546764014354659,1,0.24078703130800644,1
2014,06,13214,0.3485240264087049,1,0.04118812920839513,1,0.2894457059603344,1,0.32084213842256554,1
2014,06,13392,0.1756385581213369,1,0.04223197948077508,1,0.5844343183246321,1,0.19769514407325584,1
2014,06,13588,0.07638347622759158,1,0.028484376107135265,1,0.17909020052433927,1,0.7160419471409339,1
2014,06,14218,0.1390072357435612,1,0.026676111926326976,1,0.27600060719526387,1,0.5583160451348479,1
2014,06,15044,0.017447754011242742,1,0.30890920819552953,1,0.6630965667653052,1,0.01054647102792255,1
2014,06,16000,0.16569746514474032,1,0.039850580321076336,1,0.30088707935720743,1,0.49356487517697595,1
2014,06,16350,0.1459766828679437,1,0.048413227866196513,1,0.42191302137933223,1,0.3836970678865275,1
2014,06,16532,0.12129708424777176,1,0.013911407712634926,1,0.3536256550365029,1,0.5111658530030905,1
2014,06,17918,0.609622992001694,1,0.0302799888350963,1,0.23223962193326084,1,0.1278573972299489,1
