year,state,place,subgroup_type,subgroup,share_poverty_exposure,share_poverty_exposure_quality
2014,04,55000,race-ethnicity,"White, Non-Hispanic",0.182314851255804,1
2014,04,65000,all,All,0.08330599204244289,1
2014,04,65000,race-ethnicity,Black,0.04754056275567396,3
2014,04,65000,race-ethnicity,Hispanic,0.30387878812434654,2
2014,04,65000,race-ethnicity,Other Races and Ethnicities,0.18210238117226646,2
2014,04,65000,race-ethnicity,"White, Non-Hispanic",0.015859125099645627,1
2014,04,71510,all,All,0.20402635842943634,1
2014,04,71510,race-ethnicity,Black,0.1564175218908022,3
2014,04,71510,race-ethnicity,Hispanic,0.4466296623118435,2
2014,04,71510,race-ethnicity,Other Races and Ethnicities,0.17755036073834773,2
2014,04,71510,race-ethnicity,"White, Non-Hispanic",0.09928185177972883,1
2014,04,73000,all,All,0.30759005573287473,1
2014,04,73000,race-ethnicity,Black,0.38711780197669116,2
2014,04,73000,race-ethnicity,Hispanic,0.2689330313473051,1
2014,04,73000,race-ethnicity,Other Races and Ethnicities,0.40621667390922955,1
2014,04,73000,race-ethnicity,"White, Non-Hispanic",0.2485477575773299,1
2014,04,77000,all,All,0.2795118627723483,1
2014,04,77000,race-ethnicity,Black,0.21062348479974824,1
2014,04,77000,race-ethnicity,Hispanic,0.2844007922871651,1
2014,04,77000,race-ethnicity,Other Races and Ethnicities,0.3095256759395841,1
2014,04,77000,race-ethnicity,"White, Non-Hispanic",0.25537597008878066,1
2014,04,85540,all,All,0,1
2014,04,85540,race-ethnicity,Black,0,3
2014,04,85540,race-ethnicity,Hispanic,0,1
2014,04,85540,race-ethnicity,Other Races and Ethnicities,0,2
2014,04,85540,race-ethnicity,"White, Non-Hispanic",0,1
2014,05,23290,all,All,0.42459516261708125,1
2014,05,23290,race-ethnicity,Black,0.44703739701298234,2
2014,05,23290,race-ethnicity,Hispanic,0.31617796262875536,2
2014,05,23290,race-ethnicity,Other Races and Ethnicities,0.598349679757455,2
2014,05,23290,race-ethnicity,"White, Non-Hispanic",0.4042027580860316,1
2014,05,24550,all,All,0.352917685740033,1
2014,05,24550,race-ethnicity,Black,0.44200109310516356,2
2014,05,24550,race-ethnicity,Hispanic,0.5719442186519023,1
2014,05,24550,race-ethnicity,Other Races and Ethnicities,0.38018452929834196,2
2014,05,24550,race-ethnicity,"White, Non-Hispanic",0.18330178546495174,1
2014,05,35710,all,All,0.278050178533063,1
2014,05,35710,race-ethnicity,Black,0.4117779489093523,1
2014,05,35710,race-ethnicity,Hispanic,0.3323246530327454,3
2014,05,35710,race-ethnicity,Other Races and Ethnicities,0.43202601251359557,2
2014,05,35710,race-ethnicity,"White, Non-Hispanic",0.17131325646382461,1
2014,05,41000,all,All,0.13940962600537019,1
