year,state,county,age_1017,juv_arrest_rate,juv_arrest_rate_violent,juv_arrest_rate_property,juv_arrest_rate_quality,agencies_reporting,core_reporting
2021,01,001,6767,29.59839327160861,0,0,1,1,NA
2021,01,003,25261,340.4457464075056,43.54538616840188,95.0081152765132,2,0.7857142857142857,1
2021,01,005,2343,725.5655142979086,298.7622705932565,170.72129748186086,3,0.6666666666666666,NA
2021,01,007,2142,564.4712263442757,326.79738562091507,97.61781831439708,1,1,NA
2021,01,009,6638,482.0729135281711,60.25911419102139,376.6194636938837,2,0.8888888888888888,NA
2021,01,011,1123,445.2359750667854,0,178.09439002671417,3,0.5,NA
2021,01,013,2205,0,0,0,3,0.25,NA
2021,01,015,12063,141.84138743792795,13.157502358613996,77.49944489827097,2,0.8181818181818182,1
2021,01,017,3395,412.37113402061857,176.73048600883652,29.455081001472752,1,1,NA
2021,01,019,2313,518.8067444876783,259.40337224383916,86.46779074794638,1,1,NA
2021,01,021,5009,0,0,0,3,0.5,NA
2021,01,023,1355,73.80073800738008,73.80073800738008,0,3,0.5,NA
2021,01,025,2528,474.6835443037975,197.7848101265823,118.67088607594937,1,1,NA
2021,01,027,1574,190.59720457433292,127.06480304955528,0,1,1,NA
2021,01,029,1536,0,0,0,1,1,NA
2021,01,031,6443,255.41902432487848,112.46138822187876,94.75989829362308,1,1,NA
2021,01,033,5577,53.79236148466917,35.861574323112784,0,2,0.875,1
2021,01,035,1335,149.81273408239701,0,74.90636704119851,3,0.4,NA
2021,01,037,918,0,0,0,3,0.6666666666666666,NA
2021,01,039,3920,561.2244897959183,153.0612244897959,102.04081632653062,2,0.8888888888888888,NA
2021,01,041,1487,67.24949562878278,0,0,3,0.6,NA
2021,01,043,9141,139.83029035763317,52.909037645699996,21.87944426211574,3,0.5714285714285714,NA
2021,01,045,4983,455.2837159128972,195.74779764929465,169.90442310932485,2,0.8333333333333334,1
2021,01,047,4412,181.32366273798732,45.33091568449683,0,3,0.6666666666666666,NA
2021,01,049,8862,56.4206725344166,22.568269013766646,11.284134506883323,3,0.7142857142857143,NA
2021,01,051,9162,130.9438629918167,10.914647456887142,76.40253219821,2,0.875,NA
2021,01,053,4142,72.4287783679382,24.142926122646063,0,3,0.5,NA
