year,state,place,juv_arrest_rate,juv_arrest_rate_violent,juv_arrest_rate_property,juv_arrest_rate_quality
2021,06,81344,NA,NA,NA,NA
2021,06,81554,NA,NA,NA,NA
2021,06,81666,NA,NA,NA,NA
2021,06,82590,NA,NA,NA,NA
2021,06,82954,NA,NA,NA,NA
2021,06,82996,NA,NA,NA,NA
2021,06,84200,NA,NA,NA,NA
2021,06,84550,NA,NA,NA,NA
2021,06,85292,NA,NA,NA,NA
2021,08,03455,2599.428125812321,433.2380209687202,528.5503855818387,1
2021,08,04000,1591.0045257313488,410.581813091961,296.27210376522186,1
2021,08,07850,1453.125,296.875,265.625,1
2021,08,12815,387.22168441432723,40.335592126492415,32.26847370119393,1
2021,08,16000,1280.1173266289545,402.26272784412316,463.02116069557934,1
2021,08,20000,1150.2307297897794,394.8043069560759,384.54964963254145,2
2021,08,27425,1504.9448186899813,537.480292389279,401.3186183173284,1
2021,08,32155,2866.8879056047194,654.4985250737464,848.0825958702064,1
2021,08,43000,3702.5189924030387,751.6993202718912,855.657736905238,1
2021,08,45970,1967.8826696370554,389.8635477582846,547.6654599461617,1
2021,08,46465,4087.3460246360587,839.8656215005599,797.8723404255319,1
2021,08,62000,297.6972244111724,122.58121005165921,78.80220646178094,2
2021,08,77290,2813.586520460016,641.8828563787109,508.1572612998127,1
2021,08,83835,1650.8573513316308,556.366289675301,401.31338927398764,1
2021,09,08000,919.3117584943165,279.5204671097584,260.88576930244113,1
2021,09,18430,1424.2780608911537,313.60250882007057,483.4705344309421,1
2021,09,37000,127.80033077732672,52.62366561419336,15.035333032626674,1
2021,09,52000,1897.4099992785514,476.1561214919559,764.7355890628381,2
2021,09,55990,782.2356800403735,378.5011355034065,201.86727226848348,1
2021,09,73000,1263.30362550835,657.6101064290041,242.27740763173833,1
2021,09,80000,3023.4774322099975,658.4076929740969,675.7342112102573,1
2021,11,50000,1046.9198850941589,238.32322587509313,355.3569528673263,2
2021,12,07300,NA,NA,NA,NA
2021,12,07875,NA,NA,NA,NA
2021,12,10275,NA,NA,NA,NA
2021,12,12875,NA,NA,NA,NA
2021,12,14400,NA,NA,NA,NA
2021,12,16475,NA,NA,NA,NA
2021,12,16725,NA,NA,NA,NA
2021,12,17200,NA,NA,NA,NA
2021,12,17935,NA,NA,NA,NA
2021,12,24000,NA,NA,NA,NA
2021,12,24125,NA,NA,NA,NA
2021,12,25175,NA,NA,NA,NA
2021,12,30000,NA,NA,NA,NA
2021,12,32000,117.46821448313986,55.2791597567717,34.54947484798231,3
2021,12,32275,NA,NA,NA,NA
2021,12,35000,NA,NA,NA,NA
2021,12,36950,NA,NA,NA,NA
2021,12,38250,NA,NA,NA,NA
2021,12,39425,NA,NA,NA,NA
2021,12,43975,NA,NA,NA,NA
2021,12,45000,3.280624630929729,0,0,3
2021,12,45025,NA,NA,NA,NA
2021,12,45060,NA,NA,NA,NA
2021,12,45975,NA,NA,NA,NA
2021,12,49675,NA,NA,NA,NA
2021,12,53000,NA,NA,NA,NA
2021,12,54000,NA,NA,NA,NA
2021,12,54200,NA,NA,NA,NA
2021,12,55775,NA,NA,NA,NA
2021,12,57425,NA,NA,NA,NA
2021,12,58050,NA,NA,NA,NA
2021,12,58715,NA,NA,NA,NA
2021,12,63000,NA,NA,NA,NA
2021,12,69700,NA,NA,NA,NA
2021,12,70600,NA,NA,NA,NA
2021,12,71000,NA,NA,NA,NA
2021,12,76600,NA,NA,NA,NA
2021,13,03440,NA,NA,NA,NA
2021,13,04000,2364.514504133456,557.0535423271801,1045.9569172419924,2
2021,13,04204,341.93191532156686,130.73867350530497,20.113642077739225,3
2021,13,19000,212.60234314922874,85.9456280816031,81.42217397204506,2
2021,13,42425,218.7447417129396,92.54585226316675,33.65303718660609,1
2021,13,49008,0,0,0,3
2021,13,67284,271.8062762540153,65.89243060703402,57.65587678115477,1
2021,13,68516,536.78560151563,42.10083149142196,199.97894958425428,1
2021,13,69000,NA,NA,NA,NA
2021,13,72122,NA,NA,NA,NA
2021,13,80508,3036.2502886169473,819.672131147541,969.7529438928653,1
2021,15,71550,NA,NA,NA,NA
2021,16,08830,1522.3391409349663,349.3186130757288,288.94255649473865,1
2021,16,52120,2624.560552794278,351.55776457752455,303.0670384289005,1
2021,16,56260,2739.72602739726,639.8702235039653,558.759913482336,1
2021,17,02154,368.052999631947,73.6105999263894,36.8052999631947,1
2021,17,03012,NA,NA,NA,NA
2021,17,06613,465.1763793771805,142.13722703191627,90.45096265667398,1
2021,17,12385,1399.017710968894,401.84551272510794,476.2613484149427,1
2021,17,14000,202.21387944508,60.825290430691396,77.34076664034932,2
2021,17,14351,418.13560711650405,172.1734852832664,65.58989915553005,3
2021,17,23074,NA,NA,NA,NA
2021,17,24582,234.36355646696938,73.23861139592793,73.23861139592793,2
2021,17,38570,1076.683231024067,185.1310532982559,38.9749585891065,3
2021,17,51622,200.85628204450555,84.57106612400233,15.857074898250435,2
2021,17,59000,NA,NA,NA,NA
