year,state,county,share_in_preschool,share_in_preschool_ub,share_in_preschool_lb,quality
2018,1,1,0.193618443,0.3176315027,0.0696053833,2
2018,1,3,0.514122062,0.6992507682,0.3289933559,3
2018,1,5,0.3492307692,0.5324787311,0.1659828074,3
2018,1,7,0.4557716437,0.6687868749,0.2427564124,3
2018,1,9,0.2309973046,0.3930054254,0.0689891838,3
2018,1,11,0.3492307692,0.5324787311,0.1659828074,3
2018,1,13,0.3583836858,0.5150287214,0.2017386502,2
2018,1,15,0.422954726,0.6248583148,0.2210511371,3
2018,1,17,0.4688385269,0.721381548,0.2162955058,3
2018,1,19,0.3743206522,0.5640278773,0.1846134271,3
2018,1,21,0.4688385269,0.721381548,0.2162955058,3
2018,1,23,0.1334205363,0.2788532009,-0.012012128,3
2018,1,25,0.1334205363,0.2788532009,-0.012012128,3
2018,1,27,0.3743206522,0.5640278773,0.1846134271,3
2018,1,29,0.3743206522,0.5640278773,0.1846134271,3
2018,1,31,0.3583836858,0.5150287214,0.2017386502,2
2018,1,33,0.4404799495,0.6073535022,0.2736063968,2
2018,1,35,0.1334205363,0.2788532009,-0.012012128,3
2018,1,37,0.4688385269,0.721381548,0.2162955058,3
2018,1,39,0.3583836858,0.5150287214,0.2017386502,2
2018,1,41,0.3583836858,0.5150287214,0.2017386502,2
2018,1,43,0.1377807576,0.2702675352,0.00529398,3
2018,1,45,0.3053140097,0.3974412562,0.2131867631,2
2018,1,47,0.4557716437,0.6687868749,0.2427564124,3
2018,1,49,0.2593001842,0.4216304824,0.0969698859,3
2018,1,51,0.193618443,0.3176315027,0.0696053833,2
2018,1,53,0.1334205363,0.2788532009,-0.012012128,3
2018,1,55,0.3037555228,0.4683208801,0.1391901655,1
2018,1,57,0.409426662,0.5949075506,0.2239457734,3
2018,1,59,0.4404799495,0.6073535022,0.2736063968,2
2018,1,61,0.3053140097,0.3974412562,0.2131867631,2
2018,1,63,0.4557716437,0.6687868749,0.2427564124,3
2018,1,65,0.4557716437,0.6687868749,0.2427564124,3
2018,1,67,0.3053140097,0.3974412562,0.2131867631,2
2018,1,69,0.3053140097,0.3974412562,0.2131867631,2
2018,1,71,0.2593001842,0.4216304824,0.0969698859,3
2018,1,73,0.5584865273,0.6517091148,0.4652639398,1
2018,1,75,0.409426662,0.5949075506,0.2239457734,3
2018,1,77,0.4404799495,0.6073535022,0.2736063968,2
2018,1,79,0.4506953224,0.6635065799,0.2378840649,3
2018,1,81,0.4811273276,0.6853258359,0.2769288194,3
2018,1,83,0.4205751785,0.610328665,0.2308216921,3
2018,1,85,0.193618443,0.3176315027,0.0696053833,2
2018,1,87,0.3492307692,0.5324787311,0.1659828074,3
2018,1,89,0.3602897508,0.453919313,0.2666601886,1
2018,1,91,0.4557716437,0.6687868749,0.2427564124,3
2018,1,93,0.4156147284,0.5392909616,0.2919384952,2
2018,1,95,0.3527667984,0.502734596,0.2027990009,1
2018,1,97,0.5736888112,0.689542164,0.4578354584,1
2018,1,99,0.1334205363,0.2788532009,-0.012012128,3
2018,1,101,0.3309576611,0.4347237734,0.2271915487,1
2018,1,103,0.4506953224,0.6635065799,0.2378840649,3
2018,1,105,0.4557716437,0.6687868749,0.2427564124,3
2018,1,107,0.3299097417,0.5106411444,0.1491783389,3
2018,1,109,0.3492307692,0.5324787311,0.1659828074,3
2018,1,111,0.3743206522,0.5640278773,0.1846134271,3
2018,1,113,0.3492307692,0.5324787311,0.1659828074,3
2018,1,115,0.2309973046,0.3930054254,0.0689891838,3
2018,1,117,0.4904741744,0.6398956486,0.3410527003,1
2018,1,119,0.4557716437,0.6687868749,0.2427564124,3
2018,1,121,0.3743206522,0.5640278773,0.1846134271,3
2018,1,123,0.4688385269,0.721381548,0.2162955058,3
2018,1,125,0.4516824738,0.6078736341,0.2954913134,1
2018,1,127,0.409426662,0.5949075506,0.2239457734,3
2018,1,129,0.1334205363,0.2788532009,-0.012012128,3
2018,1,131,0.1334205363,0.2788532009,-0.012012128,3
2018,1,133,0.1377807576,0.2702675352,0.00529398,3
2018,2,13,0.5212534905,0.6314124498,0.4110945313,2
2018,2,16,0.5212534905,0.6314124498,0.4110945313,2
2018,2,20,0.4260134295,0.6091771963,0.2428496627,3
2018,2,50,0.5212534905,0.6314124498,0.4110945313,2
2018,2,60,0.5212534905,0.6314124498,0.4110945313,2
2018,2,68,0.4797530864,0.6681994816,0.2913066912,3
2018,2,70,0.5212534905,0.6314124498,0.4110945313,2
2018,2,90,0.4797530864,0.6681994816,0.2913066912,3
2018,2,100,0.4797530864,0.6681994816,0.2913066912,3
2018,2,105,0.5212534905,0.6314124498,0.4110945313,2
2018,2,110,0.4797530864,0.6681994816,0.2913066912,3
2018,2,122,0.3808,0.5276572427,0.2339427573,2
2018,2,130,0.4797530864,0.6681994816,0.2913066912,3
2018,2,150,0.5212534905,0.6314124498,0.4110945313,2
2018,2,158,0.5212534905,0.6314124498,0.4110945313,2
2018,2,164,0.5212534905,0.6314124498,0.4110945313,2
2018,2,170,0.3808,0.5276572427,0.2339427573,2
2018,2,180,0.5212534905,0.6314124498,0.4110945313,2
2018,2,185,0.5212534905,0.6314124498,0.4110945313,2
2018,2,188,0.5212534905,0.6314124498,0.4110945313,2
2018,2,195,0.5212534905,0.6314124498,0.4110945313,2
2018,2,198,0.5212534905,0.6314124498,0.4110945313,2
2018,2,220,0.5212534905,0.6314124498,0.4110945313,2
2018,2,230,0.4797530864,0.6681994816,0.2913066912,3
2018,2,240,0.4797530864,0.6681994816,0.2913066912,3
2018,2,261,0.4797530864,0.6681994816,0.2913066912,3
2018,2,275,0.5212534905,0.6314124498,0.4110945313,2
2018,2,282,0.5212534905,0.6314124498,0.4110945313,2
2018,2,290,0.5212534905,0.6314124498,0.4110945313,2
2018,4,1,0.2197193501,0.3077443797,0.1316943205,2
2018,4,3,0.376092052,0.5466148936,0.2055692103,2
2018,4,5,0.3989983306,0.5837113756,0.2142852855,3
2018,4,7,0.3344515263,0.5032824051,0.1656206475,2
2018,4,9,0.3344515263,0.5032824051,0.1656206475,2
2018,4,11,0.3344515263,0.5032824051,0.1656206475,2
2018,4,12,0.206039551,0.3507734214,0.0613056807,2
2018,4,13,0.3522840076,0.3826761797,0.3218918355,1
2018,4,15,0.206039551,0.3507734214,0.0613056807,1
2018,4,17,0.2197193501,0.3077443797,0.1316943205,2
2018,4,19,0.3806354152,0.4517661569,0.3095046735,1
2018,4,21,0.3303221388,0.4155467351,0.2450975426,1
2018,4,23,0.376092052,0.5466148936,0.2055692103,2
2018,4,25,0.4176353842,0.6072036036,0.2280671648,3
2018,4,27,0.3778793419,0.5408579105,0.2149007732,1
2018,5,1,0.5642236999,0.7059872591,0.4224601407,2
2018,5,3,0.4717607973,0.6503979068,0.2931236879,2
2018,5,5,0.3762820513,0.5303155377,0.2222485649,2
2018,5,7,0.4618017357,0.5724405969,0.3511628745,1
2018,5,9,0.3762820513,0.5303155377,0.2222485649,2
2018,5,11,0.4717607973,0.6503979068,0.2931236879,2
2018,5,13,0.4231766013,0.6208429355,0.2255102671,3
2018,5,15,0.3762820513,0.5303155377,0.2222485649,2
2018,5,17,0.4717607973,0.6503979068,0.2931236879,2
2018,5,19,0.4053691275,0.6017953715,0.2089428835,3
