year,state,county,share_hs_degree,share_hs_degree_ub,share_hs_degree_lb,_FREQ_
2018,02,275,0.7833718382,0.8922438282,0.6744998482,55
2018,02,282,0.7833718331,0.8922438241,0.6744998421,55
2018,02,290,0.7833718349,0.8922438256,0.6744998443,55
2018,04,001,0.6918362477,0.8040876631,0.5795848322,65
2018,04,003,0.9093863495,1.0058775349,0.8128951641,34
2018,04,005,0.9440647937,1.0042521934,0.883877394,56
2018,04,007,0.8570584656,1.0187563222,0.6953606089,18
2018,04,009,0.8570584976,1.0187563392,0.6953606561,18
2018,04,011,0.857058467,1.018756323,0.6953606111,18
2018,04,012,1,1,1,21
2018,04,013,0.8871312274,0.9084670087,0.8657954461,845
2018,04,015,1,1,1,21
2018,04,017,0.6918362352,0.8040876519,0.5795848185,65
2018,04,019,0.8764474625,0.9218279508,0.8310669741,202
2018,04,021,0.8437438783,0.934864147,0.7526236096,61
2018,04,023,0.909386343,1.0058775315,0.8128951545,34
2018,04,025,0.9327261437,1.0223648707,0.8430874166,30
2018,04,027,0.9673958772,1.0270932184,0.9076985359,34
2018,05,001,0.9075387723,0.996208743,0.8188688016,41
2018,05,003,0.873471291,1.0123909111,0.7345516709,22
2018,05,005,0.8036363601,0.9391738465,0.6680988736,33
2018,05,007,0.9145191703,0.9858637259,0.8431746148,59
2018,05,009,0.8036363223,0.9391738186,0.6680988261,33
2018,05,011,0.8734712806,1.0123909056,0.7345516557,22
2018,05,013,0.866639528,1.0236948391,0.7095842168,18
2018,05,015,0.803636371,0.9391738546,0.6680988875,33
2018,05,017,0.8734712854,1.0123909082,0.7345516627,22
2018,05,019,0.8519460792,0.9790361012,0.7248560573,30
2018,05,021,0.7586095935,0.9024516161,0.6147675709,34
2018,05,023,0.8977777782,1.0305472286,0.7650083278,20
2018,05,025,0.8734712872,1.0123909091,0.7345516653,22
2018,05,027,0.8666395072,1.0236948287,0.7095841857,18
2018,05,029,0.8812872033,0.9951502302,0.7674241765,31
2018,05,031,0.781666231,0.8879857995,0.6753466624,58
2018,05,033,0.9196826183,0.9950172778,0.8443479588,50
2018,05,035,0.9491375587,1.0370425694,0.861232548,24
2018,05,037,0.9073520821,1.045180053,0.7695241111,17
2018,05,039,0.8666395064,1.0236948283,0.7095841844,18
2018,05,041,0.8734712852,1.0123909081,0.7345516624,22
2018,05,043,0.8734712963,1.0123909139,0.7345516787,22
2018,05,045,0.95073774,1.0195477793,0.8819277007,38
2018,05,047,0.9510155226,1.0731359992,0.8288950459,12
2018,05,049,0.8977777565,1.0305472194,0.7650082937,20
2018,05,051,0.8519460709,0.9790360958,0.724856046,30
2018,05,053,0.9247581711,1.0433686423,0.8061476999,19
2018,05,055,0.7586096229,0.9024516395,0.6147676062,34
2018,05,057,1,1,1,16
2018,05,059,0.8519460765,0.9790360994,0.7248560535,30
2018,05,061,0.951015519,1.0731359999,0.8288950381,12
2018,05,063,0.8977777498,1.0305472165,0.765008283,20
2018,05,065,0.8977777662,1.0305472235,0.7650083089,20
2018,05,067,1,1,1,16
2018,05,069,0.924758141,1.043368634,0.8061476479,19
2018,05,071,0.8812872043,0.9951502308,0.7674241779,31
2018,05,073,1,1,1,16
2018,05,075,0.7586095934,0.902451616,0.6147675708,34
2018,05,077,0.9073520338,1.045180037,0.7695240306,17
2018,05,079,0.8734713023,1.0123909171,0.7345516875,22
2018,05,081,1,1,1,16
2018,05,083,0.9510155412,1.0731359958,0.8288950866,12
2018,05,085,0.950737736,1.019547778,0.881927694,38
2018,05,087,0.8036363846,0.9391738647,0.6680989046,33
2018,05,089,0.8036363797,0.939173861,0.6680988983,33
2018,05,091,1,1,1,16
2018,05,093,0.9491375467,1.0370425672,0.8612325261,24
2018,05,095,0.9073520693,1.0451800488,0.7695240899,17
2018,05,097,0.8519460844,0.9790361045,0.7248560643,30
2018,05,099,1,1,1,16
2018,05,101,0.8036363797,0.939173861,0.6680988983,33
2018,05,103,0.866639461,1.0236948055,0.7095841164,18
2018,05,105,0.8812871609,0.9951502054,0.7674241165,31
2018,05,107,0.9073520693,1.0451800488,0.7695240898,17
2018,05,109,1,1,1,16
2018,05,111,0.9073520966,1.0451800578,0.7695241353,17
2018,05,113,0.9510155314,1.0731359976,0.8288950651,12
2018,05,115,0.8812871773,0.995150215,0.7674241397,31
2018,05,117,1,1,1,16
2018,05,119,0.9603070749,1.0101256936,0.9104884562,59
2018,05,121,0.7586095539,0.9024515846,0.6147675233,34
2018,05,123,0.9073520457,1.0451800409,0.7695240504,17
2018,05,125,0.921561051,1.0576235304,0.7854985717,15
2018,05,127,0.9510155445,1.0731359952,0.8288950937,12
2018,05,129,0.8036363707,0.9391738544,0.668098887,33
2018,05,131,0.9196825934,0.9950172636,0.8443479233,50
2018,05,133,0.95101552,1.0731359997,0.8288950403,12
2018,05,135,0.8977777748,1.0305472271,0.7650083224,20
2018,05,137,0.8977777768,1.030547228,0.7650083256,20
2018,05,139,0.866639524,1.0236948371,0.7095842108,18
2018,05,141,0.8977777897,1.0305472335,0.765008346,20
2018,05,143,0.9299958882,0.996235981,0.8637557953,57
2018,05,145,1,1,1,16
2018,05,147,1,1,1,16
2018,05,149,0.8812872133,0.995150236,0.7674241906,31
2018,06,001,0.9608193209,0.9825589536,0.9390796883,306
2018,06,003,1,1,1,14
2018,06,005,1,1,1,14
2018,06,007,0.9694996573,1.0126532883,0.9263460263,61
2018,06,009,1,1,1,14
2018,06,011,0.8980301231,1.0217027408,0.7743575055,23
2018,06,013,0.8896070586,0.9413339378,0.8378801793,141
2018,06,015,0.88325582,1.0091329813,0.7573786587,25
2018,06,017,0.9408145327,1.0252558487,0.8563732166,30
2018,06,019,0.9021809709,0.9387150125,0.8656469294,254
2018,06,021,0.8980301448,1.0217027508,0.7743575388,23
2018,06,023,1,1,1,34
2018,06,025,0.8953613808,1.0262770419,0.7644457197,21
2018,06,027,1,1,1,14
2018,06,029,0.8848569141,0.9362826683,0.8334311598,148
2018,06,031,1,1,1,29
2018,06,033,0.8528610943,1.0454305078,0.6602916807,13
2018,06,035,0.8832558145,1.0091329784,0.7573786506,25
2018,06,037,0.9062414964,0.9181987219,0.8942842708,2283
2018,06,039,0.7579346281,0.9112118612,0.604657395,30
2018,06,041,1,1,1,13
2018,06,043,1,1,1,14
2018,06,045,0.8528609958,1.0454304626,0.6602915289,13
2018,06,047,0.934214876,0.9918801202,0.8765496319,71
2018,06,049,0.8832557775,1.0091329587,0.7573785963,25
2018,06,051,1,1,1,14
2018,06,053,0.8979879058,0.9573100918,0.8386657197,100
2018,06,055,0.9772465438,1.0289127819,0.9255803057,32
2018,06,057,0.8746988039,1.1199515766,0.6294460311,7
2018,06,059,0.9435007294,0.9603890471,0.9266124117,718
2018,06,061,0.9684191955,1.0159524651,0.9208859258,52
