year,state,county,subgroup_type,subgroup,share_digital_access,share_digital_access_quality
2018,01,001,all,All,0.8316485507246377,1
2018,01,001,race-ethnicity,Other Races and Ethnicities,0.8712465878070974,2
2018,01,001,race-ethnicity,Black,0.6669190724088973,1
2018,01,001,race-ethnicity,Hispanic,0.9345549738219895,1
2018,01,001,race-ethnicity,White,0.8706081956782996,1
2018,01,003,all,All,0.8182569543552115,1
2018,01,003,race-ethnicity,Other Races and Ethnicities,0.8543722354542361,1
2018,01,003,race-ethnicity,Black,0.6978850435134588,1
2018,01,003,race-ethnicity,Hispanic,0.7901208168502085,1
2018,01,003,race-ethnicity,White,0.8297349687510445,1
2018,01,005,all,All,0.5761383911255915,1
2018,01,005,race-ethnicity,Other Races and Ethnicities,0.6238461538461538,2
2018,01,005,race-ethnicity,Black,0.5165498124898092,1
2018,01,005,race-ethnicity,Hispanic,0.5497287522603979,3
2018,01,005,race-ethnicity,White,0.6308939096267191,1
2018,01,007,all,All,0.6606738580370223,1
2018,01,007,race-ethnicity,Other Races and Ethnicities,NA,NA
2018,01,007,race-ethnicity,Black,0.47688322040653647,2
2018,01,007,race-ethnicity,Hispanic,0.33089579524680074,3
2018,01,007,race-ethnicity,White,0.7182649988417883,1
2018,01,009,all,All,0.7364385462746118,1
2018,01,009,race-ethnicity,Other Races and Ethnicities,0.8854829381145171,2
2018,01,009,race-ethnicity,Black,0.1740139211136891,3
2018,01,009,race-ethnicity,Hispanic,0.6494962934803269,1
2018,01,009,race-ethnicity,White,0.7405638100773786,1
2018,01,011,all,All,0.5940880989180835,1
2018,01,011,race-ethnicity,Other Races and Ethnicities,NA,NA
2018,01,011,race-ethnicity,Black,0.5748131255542887,1
2018,01,011,race-ethnicity,Hispanic,NA,NA
2018,01,011,race-ethnicity,White,0.6392794376098418,1
2018,01,013,all,All,0.6399500624219725,1
2018,01,013,race-ethnicity,Other Races and Ethnicities,0.9676258992805755,2
2018,01,013,race-ethnicity,Black,0.5691882937603534,1
2018,01,013,race-ethnicity,Hispanic,0.6716417910447762,3
2018,01,013,race-ethnicity,White,0.6839830996735164,1
2018,01,015,all,All,0.7545917392135397,1
2018,01,015,race-ethnicity,Other Races and Ethnicities,0.7413028649386084,1
2018,01,015,race-ethnicity,Black,0.6520527116066903,1
2018,01,015,race-ethnicity,Hispanic,0.7663573637877706,1
