year,metro,learning_rate,learning_rate_lb,learning_rate_ub,learning_rate_quality
2017,14860,.94664031,.9010179,.99226272,1
2017,15020,1.0655687,.85820383,1.2729336,1
2017,15060,.83850026,.3600302,1.3169703,2
2017,15100,.87211215,.60685325,1.1373711,1
2017,15180,1.0097764,.96067572,1.058877,1
2017,15220,.8514154,.65757871,1.0452521,1
2017,15260,1.0512065,.93272144,1.1696916,1
2017,15340,1.1057439,.90215516,1.3093326,1
2017,15380,,,,
2017,15420,.96987635,.7933538,1.1463989,1
2017,15460,.746333,.55630547,.93636054,1
2017,15500,.84184337,.73750764,.94617909,1
2017,15540,1.0566355,.92414838,1.1891227,2
2017,15580,1.0138277,.7449612,1.2826942,2
2017,15620,1.0339506,.847821,1.2200801,1
2017,15660,.82522452,.67028606,.98016298,1
2017,15680,.93685049,.76202184,1.1116791,2
2017,15700,.94509345,.62502307,1.2651639,2
2017,15740,1.0630292,.81587356,1.3101847,1
2017,15764,1.0112507,.98318779,1.0393137,1
2017,15780,.90115082,.65445739,1.1478443,1
2017,15804,.94811082,.91207165,.98414999,2
2017,15820,1.0324041,.77847278,1.2863353,1
2017,15860,1.1206666,-.20076935,2.4421027,3
2017,15900,.95893091,.73935539,1.1785065,1
2017,15940,1.0235467,.95266277,1.0944307,1
2017,15980,.79974097,.74544168,.85404027,1
2017,16020,.96506268,.82489091,1.1052344,1
2017,16060,1.0420332,.92099535,1.163071,1
2017,16100,1.2601132,.33816749,2.182059,3
2017,16180,1.0786066,.87623262,1.2809806,2
2017,16220,.90429485,.7526952,1.0558945,1
2017,16260,1.1627425,.69317943,1.6323055,3
2017,16300,.92016166,.84283257,.99749076,1
2017,16340,.6926139,.49784663,.8873812,1
2017,16380,.91585481,.71540499,1.1163046,2
2017,16460,1.1359653,.92034531,1.3515854,1
2017,16500,1.1050755,.92419904,1.2859519,3
2017,16540,.97258461,.86366528,1.081504,1
2017,16580,1.0371957,.94351649,1.1308749,1
2017,16620,.90704346,.81868291,.99540401,1
2017,16660,.85974592,.6781438,1.0413481,1
2017,16700,1.0440278,.99566871,1.0923868,1
2017,16740,.91996628,.89449763,.94543493,1
2017,16820,.81726152,.72257036,.91195267,1
2017,16860,.96870631,.90991825,1.0274944,1
2017,16940,.91465938,.77700639,1.0523124,1
2017,16974,1.0809469,1.0660123,1.0958816,1
2017,17020,1.1936948,1.0925657,1.294824,1
2017,17060,.88349068,.71942854,1.0475528,1
2017,17140,.95041752,.92081547,.98001957,1
2017,17200,.92105442,.81310809,1.0290008,1
2017,17220,1.0502158,.91074681,1.1896849,1
2017,17260,.74810743,.51317114,.98304373,1
2017,17300,.90952551,.83151585,.98753518,1
2017,17340,.94935977,.76296687,1.1357527,1
2017,17380,.97265989,.74398029,1.2013395,1
2017,17420,.89646953,.77719295,1.0157461,1
2017,17460,1.0139651,.98130155,1.0466287,1
2017,17500,.74168426,.54983234,.93353617,1
2017,17540,.82698321,.63417536,1.0197911,1
2017,17580,1.1544967,.2037276,2.1052659,3
2017,17660,1.1025788,.98848474,1.2166728,1
2017,17700,.95059484,.71723694,1.1839528,1
2017,17740,1.2307638,1.037358,1.4241695,1
2017,17780,.88739699,.80143344,.97336054,1
2017,17820,.72193748,.44510394,.99877101,3
2017,17860,.95749694,.85314012,1.0618538,1
2017,17900,.9839468,.93928385,1.0286098,1
2017,17980,1.0249662,.94975203,1.1001805,1
2017,18020,1.0315205,.88901228,1.1740288,1
2017,18060,.99664181,.83648103,1.1568027,1
2017,18100,.76129085,.53201109,.9905706,1
2017,18140,.99363017,.96276778,1.0244926,1
2017,18180,.95765752,.84452975,1.0707853,1
2017,18220,1.2462419,.98312473,1.5093591,1
2017,18260,.95052087,.77761459,1.1234272,2
2017,18300,.91309988,.37715694,1.4490428,3
2017,18380,.97211134,.71803856,1.2261841,1
2017,18420,.88224775,.66821033,1.0962851,1
2017,18460,.70219737,.50113028,.90326446,1
2017,18500,.71279544,-.080373593,1.5059645,3
2017,18580,1.0185127,.96235555,1.0746698,1
2017,18620,1.010622,.85141855,1.1698254,1
2017,18660,1.0320994,-.15030889,2.2145076,3
2017,18700,1.0872767,.85993654,1.3146169,2
2017,18740,1.0900313,.84901303,1.3310494,1
2017,18780,1.1687829,-.70006227,3.0376282,3
2017,18820,.97070611,.76525384,1.1761584,1
2017,18860,.60223925,-.16401719,1.3684957,3
2017,18880,.84266001,.76173031,.92358971,1
2017,18900,1.1276009,.93884426,1.3163576,1
2017,18980,.90969497,.7689054,1.0504845,1
2017,19000,.91705978,.65115207,1.1829674,1
2017,19060,.82356381,.64764154,.99948609,1
2017,19124,.97452325,.95784396,.99120253,1
2017,19140,.9946149,.90155095,1.0876788,1
2017,19180,1.0048226,.86255735,1.1470878,1
2017,19220,.912247,.73848867,1.0860053,1
2017,19260,.79462624,.66277874,.92647374,1
2017,19300,.85741544,.76675785,.94807303,1
2017,19340,.93987238,.87427872,1.005466,1
2017,19380,.98805344,.93676853,1.0393384,1
2017,19420,1.1130582,.88694948,1.3391669,1
2017,19460,.82597077,.72328818,.92865336,1
2017,19500,.86052758,.73454398,.98651117,1
2017,19540,1.0095636,.75764674,1.2614805,1
2017,19580,.98927093,.78413457,1.1944072,1
2017,19620,.89004707,.74171788,1.0383763,1
2017,19660,.82880837,.76990259,.88771415,1
2017,19700,1.1957607,-.087441891,2.4789634,3
2017,19740,.97427118,.83524668,1.1132957,3
2017,19760,.80736732,.59497714,1.0197575,1
2017,19780,.97759283,.92854232,1.0266433,1
2017,19804,1.117087,1.0866615,1.1475126,1
2017,19860,.97689086,.73450392,1.2192779,1
2017,19940,.82588297,.580984,1.0707819,1
2017,19980,1.1297395,.92645413,1.333025,1
2017,20020,.84289885,.73704195,.94875574,1
2017,20060,.95381337,.76819444,1.1394323,1
2017,20100,.79026419,.69772166,.88280672,1
2017,20140,.93474001,.7755149,1.0939651,1
2017,20180,1.0472403,.8921445,1.202336,1
2017,20220,.83790022,.69538563,.98041481,1
2017,20260,.87846255,.79575145,.96117365,1
2017,20300,1.1224835,.89767396,1.347293,1
2017,20340,1.0099822,.83456624,1.1853982,1
2017,20380,.92874467,.81391996,1.0435694,1
2017,20420,.98172945,-.19243984,2.1558988,3
2017,20460,.86284196,.67027307,1.0554109,1
2017,20500,.93347365,.87308842,.99385887,1
2017,20524,.87550616,.47152644,1.2794859,3
2017,20540,1.1061064,.90780592,1.3044069,1
2017,20580,1.0735689,.94237971,1.2047582,1
2017,20660,1.0343808,.68726099,1.3815006,2
2017,20700,.91676193,.78034365,1.0531802,1
2017,20740,1.0477388,.93875515,1.1567224,1
2017,20780,.67288625,-.32095331,1.6667259,3
2017,20820,.94980621,.72625697,1.1733555,1
2017,20900,.9865064,.81487912,1.1581337,1
2017,20940,1.1964253,1.1007282,1.2921225,2
2017,20980,.94572484,.76706094,1.1243887,1
2017,20994,1.0798436,1.0332704,1.1264169,1
2017,21020,.78269261,.61333108,.95205414,1
2017,21060,.88674039,.78366041,.98982036,1
2017,21120,1.1372552,.89177608,1.3827343,1
2017,21140,1.0286999,.94494987,1.1124499,1
2017,21180,.91293895,.66814661,1.1577313,1
2017,21220,.97798723,.80183184,1.1541426,2
2017,21260,,,,
2017,21300,.88853109,.042835273,1.7342269,3
2017,21340,.92021972,.88218975,.95824969,1
2017,21380,1.1649916,.91768152,1.4123018,1
2017,21420,.81228685,.66167265,.96290106,1
2017,21460,.83333105,.66937035,.99729174,1
2017,21500,.97017777,.88838536,1.0519702,1
2017,21540,.93959308,.71056831,1.1686178,1
2017,21580,1.1468816,-.087571323,2.3813345,3
2017,21660,.90132272,.75247228,1.0501732,3
2017,21700,1.0740446,.94464338,1.2034458,1
2017,21740,1.0255237,.77159333,1.279454,1
2017,21780,1.0580891,.98299754,1.1331807,1
2017,21820,1.3987342,.70476782,2.0927007,3
2017,21840,.79468465,.44668168,1.1426877,1
2017,21900,1.1125145,.93059856,1.2944304,1
2017,21980,1.1053514,.81563675,1.3950661,3
2017,22020,1.0087249,.92111892,1.0963309,1
2017,22060,.84375125,.67800421,1.0094982,1
2017,22100,.85234261,.69795781,1.0067275,1
2017,22140,.98577654,.37390402,1.5976491,3
2017,22180,.84142661,.77397805,.90887517,1
2017,22220,.98040313,.92738211,1.0334241,1
2017,22260,.87800258,.69024932,1.0657558,1
2017,22280,.95526904,.76504922,1.1454889,2
2017,22300,.88995117,.73236269,1.0475397,1
2017,22340,.91328067,.62266684,1.2038945,1
2017,22380,1.1086401,.95840091,1.2588793,1
2017,22420,1.0453228,.98296624,1.1076794,1
2017,22500,.97324359,.88632303,1.0601641,1
2017,22520,.95062131,.84074712,1.0604955,1
2017,22540,1.1482568,1.0101953,1.2863183,1
2017,22580,.81837445,.65978062,.97696829,1
2017,22620,.96273082,.69110793,1.2343538,1
2017,22660,1.0390899,.59953451,1.4786453,3
2017,22700,.86403948,.63610238,1.0919766,1
2017,22744,.92644459,.8952803,.95760888,1
2017,22780,.9415713,.77037132,1.1127713,1
2017,22800,.93029088,.75694478,1.103637,1
2017,22820,.79616708,-.5542357,2.1465697,3
2017,22860,.92494822,.70173073,1.1481657,1
2017,22900,1.0206977,.94742775,1.0939677,1
2017,23060,1.0084335,.94582939,1.0710375,1
2017,23104,.97144932,.94783312,.99506551,1
2017,23140,1.0175817,.81820244,1.2169609,1
2017,23180,.85539103,.70828789,1.0024941,1
2017,23240,.90346116,.63708425,1.1698381,1
2017,23300,.89453131,.69885129,1.0902114,1
2017,23340,1.1607261,.95516461,1.3662876,1
2017,23380,.97140586,.79356724,1.1492445,1
2017,23420,1.1098014,1.0714977,1.1481051,1
2017,23460,.78894287,.66098899,.91689676,1
2017,23500,1.1796606,1.0030981,1.356223,1
2017,23540,.92066926,.82872158,1.0126169,1
2017,23580,.85236275,.7630285,.941697,1
2017,23620,1.0174078,.82293731,1.2118783,1
2017,23660,.94570285,.75680578,1.1345999,1
2017,23700,1.5111606,.68170446,2.3406167,3
2017,23780,.95395696,.77045673,1.1374573,1
2017,23820,.96102315,.73446566,1.1875807,2
2017,23844,.97700918,.93095726,1.023061,1
2017,23860,1.0853187,.92404211,1.2465953,1
2017,23900,.98257232,.85091978,1.1142248,1
