year,state,place,share_hs_degree,share_hs_degree_quality
2021,01,03076,0.8776486030376898,2
2021,01,07000,0.975607289145556,2
2021,01,35896,0.9559646127064595,3
2021,01,37000,0.9425729727619585,2
2021,01,50000,0.9167049264070508,1
2021,01,51000,0.760855102718817,1
2021,01,77256,0.9998380167592787,2
2021,02,03000,0.8456018080225634,1
2021,04,04720,0.8529770056234436,2
2021,04,07940,0.8706549243397661,2
2021,04,12000,0.9252596482767939,1
2021,04,23620,0.9692214846107424,2
2021,04,27400,0.8963224095288936,1
2021,04,27820,0.8855579350947271,1
2021,04,28380,0.9040206354530463,2
2021,04,46000,0.8843730931369258,1
2021,04,54050,0.9550788292479008,2
2021,04,55000,0.8221765610887786,1
2021,04,65000,0.9104462487507737,2
2021,04,71510,0.7679757931783215,1
2021,04,73000,0.9769658917084938,1
2021,04,77000,0.843510494255985,1
2021,04,85540,0.7714108141702921,2
2021,05,23290,0.9357174007849978,2
2021,05,24550,0.9195922989807475,2
2021,05,35710,0.9557787367436757,2
2021,05,41000,0.8404141161225881,1
2021,05,66080,0.9356651838308946,3
2021,06,00562,0.9725524237153887,2
2021,06,00884,0.8316793706498309,2
2021,06,02000,0.9324557310359453,1
2021,06,02252,0.7272040238545368,1
2021,06,02364,0.8219199512266201,2
2021,06,03526,0.9373357227285067,2
2021,06,04982,0.919196273466378,2
2021,06,06000,0.9998184991535841,1
2021,06,08786,0.979862853494304,3
2021,06,08954,0.8584275097866593,1
2021,06,11194,0.9990066009240063,1
2021,06,11530,0.894941985786957,1
2021,06,13014,0.9892196299275947,1
2021,06,13210,0.9009566831688195,2
2021,06,13214,0.9069167994546926,2
2021,06,13392,0.951260995072057,1
2021,06,13588,0.9087974373369611,1
2021,06,14218,0.9270337534278217,1
2021,06,15044,0.8143146675506788,2
2021,06,16000,0.8714525802475545,3
2021,06,16350,0.8384998835018832,2
2021,06,16532,0.9127448381793295,2
2021,06,17918,0.8418926948218493,2
2021,06,19766,0.8129193978186458,1
2021,06,21712,0.8882754248794655,2
2021,06,22020,0.9113579445007726,1
2021,06,22230,0.8959921010364729,1
2021,06,22804,0.861314088603512,1
2021,06,23182,0.8186048704480603,1
2021,06,24638,0.8802259887005649,3
2021,06,24680,0.9754752543625776,1
2021,06,26000,0.9908702401911957,1
2021,06,27000,0.8063977741336039,1
2021,06,28000,0.9349697769615767,2
2021,06,29000,0.9636684128901405,1
2021,06,30000,0.9993396577335372,1
2021,06,32548,0.9713525617854146,2
2021,06,33000,0.9093267477084201,1
2021,06,33182,0.9651101727620415,2
2021,06,33434,0.8218381101025899,2
2021,06,36000,0.9232599041531474,1
2021,06,36448,0.8308737472503636,2
2021,06,36546,0.9608503961769779,1
2021,06,36770,0.9753661038635685,2
2021,06,37692,0.8696754563894523,2
2021,06,39496,0.9305184654464925,3
2021,06,39892,0.9103022550552611,2
2021,06,40130,0.8778469143770296,1
2021,06,41992,0.9686631286328026,2
2021,06,43000,0.9499844994414981,1
2021,06,44000,0.8978240368395896,1
2021,06,45484,0.9161630465984116,3
2021,06,46842,0.8796223595424759,2
2021,06,46898,0.9134466119694757,2
2021,06,47766,0.8809786517436312,2
2021,06,48256,0.9965834707447876,1
2021,06,48354,0.9378686879073668,1
2021,06,49270,0.9788528372615731,1
2021,06,49670,0.9360534251345155,2
2021,06,50076,0.9772057839944014,2
2021,06,50258,0.963682864450128,2
2021,06,51182,0.9215901283933235,3
2021,06,52526,0.9424743892829,1
2021,06,53000,0.9397100181807623,1
2021,06,53322,0.968206753990869,2
2021,06,53896,0.8421198125803087,1
2021,06,53980,0.9662267779781519,2
2021,06,54652,0.9126239484140501,1
2021,06,55156,0.8200418204793714,1
2021,06,56000,0.926935974986337,1
2021,06,56700,0.9063591016413994,2
2021,06,57456,0.7960580235395995,2
2021,06,57792,0.9686631286328027,3
2021,06,58072,0.9576228610811165,1
2021,06,59444,1,2
2021,06,59451,0.9447340441780009,1
2021,06,59920,0.9277263374485597,2
2021,06,60102,0.8997374692583237,2
2021,06,60466,0.9809386224834321,2
2021,06,60620,0.8878910631435077,2
2021,06,62000,0.8828305582347894,1
2021,06,62938,0.9951610675179912,1
2021,06,64000,0.8287992820558892,1
2021,06,64224,0.9288842544316996,1
2021,06,65000,0.9291604397192084,2
2021,06,65042,0.9996037151601497,1
2021,06,66000,0.9633785407186308,1
2021,06,67000,0.9639952966015422,1
2021,06,68000,0.9491121265786289,1
2021,06,68084,0.969284328306331,2
2021,06,68196,0.999960741804368,2
2021,06,68252,0.9996238472013892,2
2021,06,68378,0.999893661268261,2
2021,06,69000,0.9611101665292237,1
