year,state,place,subgroup_type,subgroup,share_in_preschool,share_in_preschool_quality
2021,04,77000,race-ethnicity,"Black, Non-Hispanic",0.3318848345575797,1
2021,04,77000,race-ethnicity,Hispanic,0.3112794770927481,1
2021,04,77000,race-ethnicity,Other Races and Ethnicities,0.2923168307574735,1
2021,04,77000,race-ethnicity,"White, Non-Hispanic",0.5530106095867513,1
2021,04,85540,race-ethnicity,"Black, Non-Hispanic",NA,3
2021,04,85540,race-ethnicity,Hispanic,0.359094616639478,2
2021,04,85540,race-ethnicity,Other Races and Ethnicities,0.5461956521739131,3
2021,04,85540,race-ethnicity,"White, Non-Hispanic",0.37139689578713964,2
2021,05,23290,race-ethnicity,"Black, Non-Hispanic",0.40575916230366493,3
2021,05,23290,race-ethnicity,Hispanic,0.3952724885095207,2
2021,05,23290,race-ethnicity,Other Races and Ethnicities,0.21474067333939945,2
2021,05,23290,race-ethnicity,"White, Non-Hispanic",0.48191780821917807,2
2021,05,24550,race-ethnicity,"Black, Non-Hispanic",0.05647840531561461,3
2021,05,24550,race-ethnicity,Hispanic,0.15259259259259259,2
2021,05,24550,race-ethnicity,Other Races and Ethnicities,0.3498168498168498,3
2021,05,24550,race-ethnicity,"White, Non-Hispanic",0.4354066985645933,2
2021,05,35710,race-ethnicity,"Black, Non-Hispanic",0.8173777991662657,2
2021,05,35710,race-ethnicity,Hispanic,0.48265309292764,3
2021,05,35710,race-ethnicity,Other Races and Ethnicities,0.5705771570198291,3
2021,05,35710,race-ethnicity,"White, Non-Hispanic",0.450051405821696,2
2021,05,41000,race-ethnicity,"Black, Non-Hispanic",0.6342741318647698,1
2021,05,41000,race-ethnicity,Hispanic,0.06097108969607117,1
2021,05,41000,race-ethnicity,Other Races and Ethnicities,0.5490058807056847,3
2021,05,41000,race-ethnicity,"White, Non-Hispanic",0.5251473784053116,1
2021,05,66080,race-ethnicity,"Black, Non-Hispanic",0.41679069025772547,3
2021,05,66080,race-ethnicity,Hispanic,0.37247407789548087,3
2021,05,66080,race-ethnicity,Other Races and Ethnicities,0.2251791420585759,3
2021,05,66080,race-ethnicity,"White, Non-Hispanic",0.47253748563009806,3
2021,06,00562,race-ethnicity,"Black, Non-Hispanic",0.8298352794777861,2
2021,06,00562,race-ethnicity,Hispanic,0.5872522442419396,2
2021,06,00562,race-ethnicity,Other Races and Ethnicities,0.5301906227812859,2
2021,06,00562,race-ethnicity,"White, Non-Hispanic",0.848406552932735,2
2021,06,00884,race-ethnicity,"Black, Non-Hispanic",0.9990473081458484,3
2021,06,00884,race-ethnicity,Hispanic,0.27468395670024087,2
2021,06,00884,race-ethnicity,Other Races and Ethnicities,0.6058302294395013,2
2021,06,00884,race-ethnicity,"White, Non-Hispanic",0.8845918574920949,2
2021,06,02000,race-ethnicity,"Black, Non-Hispanic",0.5988143546582503,3
2021,06,02000,race-ethnicity,Hispanic,0.3724708144730155,1
2021,06,02000,race-ethnicity,Other Races and Ethnicities,0.5654503347003026,1
2021,06,02000,race-ethnicity,"White, Non-Hispanic",0.6410426810658031,1
2021,06,02252,race-ethnicity,"Black, Non-Hispanic",0.4836018847435743,3
2021,06,02252,race-ethnicity,Hispanic,0.30857710787441,1
2021,06,02252,race-ethnicity,Other Races and Ethnicities,0.33805308461334777,1
2021,06,02252,race-ethnicity,"White, Non-Hispanic",0.30652724479097926,1
2021,06,02364,race-ethnicity,"Black, Non-Hispanic",0.7502454568678164,2
2021,06,02364,race-ethnicity,Hispanic,0.16641697839116595,2
2021,06,02364,race-ethnicity,Other Races and Ethnicities,0.7615184259407711,2
2021,06,02364,race-ethnicity,"White, Non-Hispanic",0.3444194083339863,2
2021,06,03526,race-ethnicity,"Black, Non-Hispanic",0.3472836521383689,2
2021,06,03526,race-ethnicity,Hispanic,0.3090200073728833,2
2021,06,03526,race-ethnicity,Other Races and Ethnicities,0.28882213123172973,2
2021,06,03526,race-ethnicity,"White, Non-Hispanic",0.4248680067257317,2
2021,06,04982,race-ethnicity,"Black, Non-Hispanic",0.5586040574782739,3
2021,06,04982,race-ethnicity,Hispanic,0.39849351546512524,2
2021,06,04982,race-ethnicity,Other Races and Ethnicities,0.3872352876305753,3
2021,06,04982,race-ethnicity,"White, Non-Hispanic",0.6893442010879244,3
2021,06,06000,race-ethnicity,"Black, Non-Hispanic",0.9099462433658794,1
2021,06,06000,race-ethnicity,Hispanic,0.3968679100599516,1
2021,06,06000,race-ethnicity,Other Races and Ethnicities,0.6921309676150127,1
2021,06,06000,race-ethnicity,"White, Non-Hispanic",0.8598361187282828,1
2021,06,08786,race-ethnicity,"Black, Non-Hispanic",0.6746788020869244,3
2021,06,08786,race-ethnicity,Hispanic,0.5519348747738477,3
2021,06,08786,race-ethnicity,Other Races and Ethnicities,0.5360271455892107,3
2021,06,08786,race-ethnicity,"White, Non-Hispanic",0.6587914637047992,3
2021,06,08954,race-ethnicity,"Black, Non-Hispanic",0.4749689392812225,3
2021,06,08954,race-ethnicity,Hispanic,0.4491084911404275,1
2021,06,08954,race-ethnicity,Other Races and Ethnicities,0.37119978770490225,1
2021,06,08954,race-ethnicity,"White, Non-Hispanic",0.6916908993829591,1
2021,06,11194,race-ethnicity,"Black, Non-Hispanic",1,3
2021,06,11194,race-ethnicity,Hispanic,0.575046614801003,1
2021,06,11194,race-ethnicity,Other Races and Ethnicities,0.2724188514155363,1
2021,06,11194,race-ethnicity,"White, Non-Hispanic",0.7094007267466255,1
2021,06,11530,race-ethnicity,"Black, Non-Hispanic",0.40092021666184063,1
2021,06,11530,race-ethnicity,Hispanic,0.2616170583785059,1
2021,06,11530,race-ethnicity,Other Races and Ethnicities,0.37717993883917444,1
2021,06,11530,race-ethnicity,"White, Non-Hispanic",0.4191345303106849,1
2021,06,13014,race-ethnicity,"Black, Non-Hispanic",0,3
2021,06,13014,race-ethnicity,Hispanic,0.11590296495956874,3
2021,06,13014,race-ethnicity,Other Races and Ethnicities,0.21142857142857144,3
2021,06,13014,race-ethnicity,"White, Non-Hispanic",0.4759556103575832,1
2021,06,13210,race-ethnicity,"Black, Non-Hispanic",0.5805086217512527,3
2021,06,13210,race-ethnicity,Hispanic,0.37040054284513857,2
2021,06,13210,race-ethnicity,Other Races and Ethnicities,0.4692202002429689,2
2021,06,13210,race-ethnicity,"White, Non-Hispanic",0.5651534067453543,2
2021,06,13214,race-ethnicity,"Black, Non-Hispanic",0.5491803278688525,3
2021,06,13214,race-ethnicity,Hispanic,0.3759592455364413,2
2021,06,13214,race-ethnicity,Other Races and Ethnicities,0.46960891063036536,2
2021,06,13214,race-ethnicity,"White, Non-Hispanic",0.5749575972051637,2
2021,06,13392,race-ethnicity,"Black, Non-Hispanic",0.5374443459867811,1
2021,06,13392,race-ethnicity,Hispanic,0.4317555582183991,1
2021,06,13392,race-ethnicity,Other Races and Ethnicities,0.3421105252910303,1
2021,06,13392,race-ethnicity,"White, Non-Hispanic",0.6133180548916037,1
2021,06,13588,race-ethnicity,"Black, Non-Hispanic",0.41687536971785705,3
2021,06,13588,race-ethnicity,Hispanic,0.11382857994660259,1
2021,06,13588,race-ethnicity,Other Races and Ethnicities,0.33740623213794946,1
2021,06,13588,race-ethnicity,"White, Non-Hispanic",0.22588505368038259,1
2021,06,14218,race-ethnicity,"Black, Non-Hispanic",0.02179439459575041,3
2021,06,14218,race-ethnicity,Hispanic,0.3827947744446794,1
2021,06,14218,race-ethnicity,Other Races and Ethnicities,0.26698451350312485,1
2021,06,14218,race-ethnicity,"White, Non-Hispanic",0.38062882588408625,1
2021,06,15044,race-ethnicity,"Black, Non-Hispanic",0.3357326155020806,2
2021,06,15044,race-ethnicity,Hispanic,0.3526473080983222,2
2021,06,15044,race-ethnicity,Other Races and Ethnicities,0.9917454411370341,3
2021,06,15044,race-ethnicity,"White, Non-Hispanic",0,3
2021,06,16000,race-ethnicity,"Black, Non-Hispanic",0.2415479217940746,3
2021,06,16000,race-ethnicity,Hispanic,0.4606279429412617,3
2021,06,16000,race-ethnicity,Other Races and Ethnicities,0.6522511232083801,3
2021,06,16000,race-ethnicity,"White, Non-Hispanic",0.5545947866445724,3
2021,06,16350,race-ethnicity,"Black, Non-Hispanic",0.5052619830277195,3
2021,06,16350,race-ethnicity,Hispanic,0.2849000063843529,2
2021,06,16350,race-ethnicity,Other Races and Ethnicities,0.3626728775035261,2
2021,06,16350,race-ethnicity,"White, Non-Hispanic",0.42172006156019126,2
2021,06,16532,race-ethnicity,"Black, Non-Hispanic",0.0020578622442803535,3
2021,06,16532,race-ethnicity,Hispanic,0.3907723658877021,2
2021,06,16532,race-ethnicity,Other Races and Ethnicities,0.5558486475775853,2
2021,06,16532,race-ethnicity,"White, Non-Hispanic",0.8019038489081458,2
2021,06,17918,race-ethnicity,"Black, Non-Hispanic",0.39263034993102086,3
2021,06,17918,race-ethnicity,Hispanic,0.4799638148259016,2
2021,06,17918,race-ethnicity,Other Races and Ethnicities,0.5435289200905254,2
2021,06,17918,race-ethnicity,"White, Non-Hispanic",0.6509064844494261,2
2021,06,19766,race-ethnicity,"Black, Non-Hispanic",0.9842189309208434,3
2021,06,19766,race-ethnicity,Hispanic,0.40214920907470747,1
2021,06,19766,race-ethnicity,Other Races and Ethnicities,0.66197662323773,3
2021,06,19766,race-ethnicity,"White, Non-Hispanic",0.46490096620268895,3
2021,06,21712,race-ethnicity,"Black, Non-Hispanic",0.5836285120385357,3
2021,06,21712,race-ethnicity,Hispanic,0.4508284723590046,2
2021,06,21712,race-ethnicity,Other Races and Ethnicities,0.42986808181348085,2
2021,06,21712,race-ethnicity,"White, Non-Hispanic",0.5161239281415083,2
2021,06,22020,race-ethnicity,"Black, Non-Hispanic",0.3314431796131737,1
2021,06,22020,race-ethnicity,Hispanic,0.4915854350142542,1
2021,06,22020,race-ethnicity,Other Races and Ethnicities,0.4123588920081293,1
2021,06,22020,race-ethnicity,"White, Non-Hispanic",0.4491992868607758,1
2021,06,22230,race-ethnicity,"Black, Non-Hispanic",0.6857142857142857,3
2021,06,22230,race-ethnicity,Hispanic,0.36707584580405955,1
2021,06,22230,race-ethnicity,Other Races and Ethnicities,0.35026920921227667,1
2021,06,22230,race-ethnicity,"White, Non-Hispanic",0.09143860280878648,1
