year,state,county,frpl40_total,poverty_measure_used,frpl40_total_quality,frpl40_white,frpl40_white_quality,frpl40_black,frpl40_black_quality,frpl40_hispanic,frpl40_hispanic_quality
2018,01,001,.78623271,FRPL,1,.80006719,1,.74851567,1,.76190478,1
2018,01,003,.52366197,FRPL,1,.47485617,1,.64800858,1,.69631803,1
2018,01,005,1,Both,3,1,3,1,3,1,3
2018,01,007,1,FRPL,1,1,1,1,1,1,1
2018,01,009,.69947565,FRPL,1,.67279464,1,.64245808,1,.85620916,1
2018,01,011,1,Both,3,1,3,1,3,1,3
2018,01,013,1,FRPL,1,1,1,1,1,1,1
2018,01,015,.97550571,Both,3,.96654642,3,.99384552,3,.97889185,3
2018,01,017,1,FRPL,1,1,1,1,1,1,1
2018,01,019,1,FRPL,1,1,1,1,1,1,1
2018,01,021,1,FRPL,1,1,1,1,1,1,1
2018,01,023,1,FRPL,1,1,1,1,1,1,3
2018,01,025,1,FRPL,1,1,1,1,1,1,1
2018,01,027,1,FRPL,1,1,1,1,1,1,1
2018,01,029,1,FRPL,1,1,1,1,1,1,1
2018,01,031,.6555019,FRPL,1,.67068082,1,.61700976,1,.67901236,1
2018,01,033,.67534244,FRPL,1,.67132622,1,.7360208,1,.63372093,1
2018,01,035,.71200413,FRPL,1,.33878887,1,.8957836,1,.8125,1
2018,01,037,1,FRPL,1,1,1,1,1,1,1
2018,01,039,.89036655,FRPL,1,.87037414,1,.98205382,1,.95652175,1
2018,01,041,1,FRPL,1,1,1,1,1,1,1
2018,01,043,.77630436,FRPL,1,.76729208,1,.7846154,1,.83318853,1
2018,01,045,1,FRPL,1,1,1,1,1,1,1
2018,01,047,1,Both,3,1,3,1,3,1,3
2018,01,049,1,FRPL,1,1,1,1,1,1,1
2018,01,051,.92944741,FRPL,1,.92073584,1,.95508403,1,.94265234,1
2018,01,053,.93366873,FRPL,1,.92011017,1,.94556838,1,.93859649,1
2018,01,055,.8030383,FRPL,1,.74947286,1,.94314718,1,.94003117,1
2018,01,057,1,FRPL,1,1,1,1,1,1,1
2018,01,059,1,FRPL,1,1,1,1,1,1,1
2018,01,061,1,FRPL,1,1,1,1,1,1,1
2018,01,063,1,FRPL,1,1,3,1,1,1,3
2018,01,065,1,FRPL,1,1,1,1,1,1,1
2018,01,067,.8454988,FRPL,1,.82094377,1,.89182061,1,.81818181,1
2018,01,069,.84257394,FRPL,1,.76915222,1,.93358999,1,.86659068,1
2018,01,071,1,FRPL,1,1,1,1,1,1,1
2018,01,073,.61927205,Both,3,.23922133,3,.89798844,3,.77456224,3
2018,01,075,1,FRPL,1,1,1,1,1,1,1
2018,01,077,.78705406,FRPL,1,.74831903,1,.95375377,1,.89892805,1
2018,01,079,1,FRPL,1,1,1,1,1,1,1
2018,01,081,.53286964,FRPL,1,.50888407,1,.62866545,1,.63135594,1
2018,01,083,.7113573,FRPL,1,.70524681,1,.63377857,1,.87714863,1
2018,01,085,1,FRPL,1,1,2,1,1,1,3
2018,01,087,1,FRPL,1,1,2,1,1,1,2
2018,01,089,.39724773,Both,3,.27195984,3,.57991409,3,.57685047,3
2018,01,091,1,FRPL,1,1,1,1,1,1,1
2018,01,093,.9150508,FRPL,1,.91294181,1,.92647058,1,.92546582,1
2018,01,095,.88895595,FRPL,1,.83913374,1,.98262548,1,.98858011,1
2018,01,097,.95596659,Both,3,.9174341,3,.98875815,3,.96582228,3
2018,01,099,1,FRPL,1,1,1,1,1,1,1
2018,01,101,.80271846,FRPL,1,.35506243,1,.89380342,1,.87306887,1
2018,01,103,.7100091,FRPL,1,.59442973,1,.91720837,1,.93644071,1
2018,01,105,1,FRPL,1,1,3,1,1,1,3
2018,01,107,1,FRPL,1,1,1,1,1,1,1
2018,01,109,1,FRPL,1,1,1,1,1,1,1
2018,01,111,1,FRPL,1,1,1,1,1,1,1
2018,01,113,1,FRPL,1,1,1,1,1,1,1
2018,01,115,.76727837,FRPL,1,.75315315,1,.83607733,1,.83333331,1
2018,01,117,.27496371,FRPL,1,.24494223,1,.36682281,1,.34286401,1
2018,01,119,1,FRPL,1,1,1,1,1,1,3
2018,01,121,1,FRPL,1,1,1,1,1,1,1
2018,01,123,1,FRPL,1,1,1,1,1,1,1
2018,01,125,.75665879,Both,3,.65918875,3,.90234441,3,.84373558,3
2018,01,127,.92177898,FRPL,1,.93225247,1,.85442328,1,.87193972,1
2018,01,129,1,FRPL,1,1,1,1,1,1,2
