year,state,place,subgroup_type,subgroup,digital_access,digital_access_quality
2021,01,03076,all,All,0.8509452416361858,1
2021,01,03076,race-ethnicity,Other Races and Ethnicities,0.9004808229900481,1
2021,01,03076,race-ethnicity,Black,0.7397652016857315,1
2021,01,03076,race-ethnicity,Hispanic,0.8519685039370078,2
2021,01,03076,race-ethnicity,White,0.8706827462504293,1
2021,01,07000,all,All,0.7878447738758072,1
2021,01,07000,race-ethnicity,Other Races and Ethnicities,0.8525278630269746,2
2021,01,07000,race-ethnicity,Black,0.7781135116079971,1
2021,01,07000,race-ethnicity,Hispanic,0.7946570070183382,1
2021,01,07000,race-ethnicity,White,0.7986942756572867,1
2021,01,35896,all,All,0.9588053102187784,1
2021,01,35896,race-ethnicity,Other Races and Ethnicities,0.9479318229058408,1
2021,01,35896,race-ethnicity,Black,0.9676574422047602,1
2021,01,35896,race-ethnicity,Hispanic,0.8818259385665529,2
2021,01,35896,race-ethnicity,White,0.9580133048748188,1
2021,01,37000,all,All,0.8651662930012709,1
2021,01,37000,race-ethnicity,Other Races and Ethnicities,0.8753805665927035,1
2021,01,37000,race-ethnicity,Black,0.7901496950656071,1
2021,01,37000,race-ethnicity,Hispanic,0.820321811680572,1
2021,01,37000,race-ethnicity,White,0.9023216983382365,1
2021,01,50000,all,All,0.787815092427112,1
2021,01,50000,race-ethnicity,Other Races and Ethnicities,0.8468164461415505,1
2021,01,50000,race-ethnicity,Black,0.7193606044603323,1
2021,01,50000,race-ethnicity,Hispanic,0.71610779674964,1
2021,01,50000,race-ethnicity,White,0.8659992794276596,1
2021,01,51000,all,All,0.8413855199928366,1
2021,01,51000,race-ethnicity,Other Races and Ethnicities,0.8474143977555315,1
2021,01,51000,race-ethnicity,Black,0.8201954134366926,1
2021,01,51000,race-ethnicity,Hispanic,0.7151652217615279,1
2021,01,51000,race-ethnicity,White,0.8825184149335762,1
2021,01,77256,all,All,0.7727199451900214,1
2021,01,77256,race-ethnicity,Other Races and Ethnicities,0.7741158765989465,2
2021,01,77256,race-ethnicity,Black,0.7756218108596664,1
2021,01,77256,race-ethnicity,Hispanic,0.770529724728198,2
2021,01,77256,race-ethnicity,White,0.7699370194667103,1
2021,02,03000,all,All,0.9214001264762686,1
2021,02,03000,race-ethnicity,Other Races and Ethnicities,0.9067675301695859,1
2021,02,03000,race-ethnicity,Black,0.8893923921368394,1
2021,02,03000,race-ethnicity,Hispanic,0.9064895799589677,1
2021,02,03000,race-ethnicity,White,0.9325954878346258,1
2021,04,04720,all,All,0.9041162777493896,1
2021,04,04720,race-ethnicity,Other Races and Ethnicities,0.9016803597389864,1
2021,04,04720,race-ethnicity,Black,0.9111289951713037,2
2021,04,04720,race-ethnicity,Hispanic,0.8802572684382435,1
2021,04,04720,race-ethnicity,White,0.90433822052621,1
2021,04,07940,all,All,0.895620381001215,1
2021,04,07940,race-ethnicity,Other Races and Ethnicities,0.8789378765204712,1
2021,04,07940,race-ethnicity,Black,0.8675562636924915,2
2021,04,07940,race-ethnicity,Hispanic,0.8893296787843816,1
2021,04,07940,race-ethnicity,White,0.905439287724505,1
2021,04,12000,all,All,0.9522865669012146,1
2021,04,12000,race-ethnicity,Other Races and Ethnicities,0.970403374490195,1
2021,04,12000,race-ethnicity,Black,0.9552375951693358,1
2021,04,12000,race-ethnicity,Hispanic,0.923336802771,1
2021,04,12000,race-ethnicity,White,0.9450559515535513,1
2021,04,23620,all,All,0.7569528257333263,1
2021,04,23620,race-ethnicity,Other Races and Ethnicities,0.7559862012987013,1
2021,04,23620,race-ethnicity,Black,0.39063829787234045,3
2021,04,23620,race-ethnicity,Hispanic,0.7355652595827268,1
2021,04,23620,race-ethnicity,White,0.7650747185630906,1
2021,04,27400,all,All,0.9740551918215131,1
2021,04,27400,race-ethnicity,Other Races and Ethnicities,0.9743267695582757,1
2021,04,27400,race-ethnicity,Black,0.9538625569448483,2
2021,04,27400,race-ethnicity,Hispanic,0.9608979646431995,1
2021,04,27400,race-ethnicity,White,0.9750093922139766,1
2021,04,27820,all,All,0.8440035004172008,1
2021,04,27820,race-ethnicity,Other Races and Ethnicities,0.8493262902177905,1
2021,04,27820,race-ethnicity,Black,0.8115614767980128,1
2021,04,27820,race-ethnicity,Hispanic,0.7962756467439785,1
2021,04,27820,race-ethnicity,White,0.845262106395027,1
2021,04,28380,all,All,0.915313237445409,1
2021,04,28380,race-ethnicity,Other Races and Ethnicities,0.9251267440398877,1
2021,04,28380,race-ethnicity,Black,0.9084745762711864,2
2021,04,28380,race-ethnicity,Hispanic,0.9056519651553604,1
2021,04,28380,race-ethnicity,White,0.9122610199597999,1
2021,04,46000,all,All,0.9209043861199955,1
2021,04,46000,race-ethnicity,Other Races and Ethnicities,0.9239877956656954,1
2021,04,46000,race-ethnicity,Black,0.9034620808880397,1
2021,04,46000,race-ethnicity,Hispanic,0.9090689839142287,1
2021,04,46000,race-ethnicity,White,0.9210892360368071,1
2021,04,54050,all,All,0.940308842877917,1
