year,state,county,subgroup_type,subgroup,digital_access,digital_access_quality
2021,01,015,race-ethnicity,Hispanic,0.8470967741935483,1
2021,01,015,race-ethnicity,White,0.8538484222943085,1
2021,01,017,all,All,0.800740655681231,1
2021,01,017,race-ethnicity,Other Races and Ethnicities,0.8932038834951457,2
2021,01,017,race-ethnicity,Black,0.7726264577520212,1
2021,01,017,race-ethnicity,Hispanic,0.4429175475687104,3
2021,01,017,race-ethnicity,White,0.8157562919251525,1
2021,01,019,all,All,0.8307507507507508,1
2021,01,019,race-ethnicity,Other Races and Ethnicities,0.841995841995842,2
2021,01,019,race-ethnicity,Black,0.62382176520994,2
2021,01,019,race-ethnicity,Hispanic,0.8122171945701357,2
2021,01,019,race-ethnicity,White,0.840847413113893,1
2021,01,021,all,All,0.8201172615199411,1
2021,01,021,race-ethnicity,Other Races and Ethnicities,0.8712608021271881,2
2021,01,021,race-ethnicity,Black,0.745642839100783,1
2021,01,021,race-ethnicity,Hispanic,0.8864592094196804,1
2021,01,021,race-ethnicity,White,0.8218771471760341,1
2021,01,023,all,All,0.7107567229518449,1
2021,01,023,race-ethnicity,Other Races and Ethnicities,0.8063241106719368,3
2021,01,023,race-ethnicity,Black,0.7087433762301287,1
2021,01,023,race-ethnicity,Hispanic,0.8768115942028986,2
2021,01,023,race-ethnicity,White,0.7088904203997243,1
2021,01,025,all,All,0.72907564465004715,1
2021,01,025,race-ethnicity,Other Races and Ethnicities,0.657556270096463,3
2021,01,025,race-ethnicity,Black,0.6489190975172283,1
2021,01,025,race-ethnicity,Hispanic,NA,NA
2021,01,025,race-ethnicity,White,0.802736790042041,1
2021,01,027,all,All,0.7914551607445008,1
2021,01,027,race-ethnicity,Other Races and Ethnicities,0.9493087557603687,3
2021,01,027,race-ethnicity,Black,0.6771109930961232,2
2021,01,027,race-ethnicity,Hispanic,1,1
2021,01,027,race-ethnicity,White,0.8011158798283262,1
2021,01,029,all,All,0.7740927821347866,1
2021,01,029,race-ethnicity,Other Races and Ethnicities,0.5916149068322981,3
2021,01,029,race-ethnicity,Black,0.7135549872122762,3
2021,01,029,race-ethnicity,Hispanic,0.6507537688442211,3
2021,01,029,race-ethnicity,White,0.7841695810434659,1
2021,01,031,all,All,0.8653168184303301,1
2021,01,031,race-ethnicity,Other Races and Ethnicities,0.8994708994708994,1
2021,01,031,race-ethnicity,Black,0.7875889679715302,1
2021,01,031,race-ethnicity,Hispanic,0.880429705744979,1
2021,01,031,race-ethnicity,White,0.8788869867388915,1
2021,01,033,all,All,0.7892197432601384,1
2021,01,033,race-ethnicity,Other Races and Ethnicities,0.7506476683937824,2
2021,01,033,race-ethnicity,Black,0.7041178367917428,1
2021,01,033,race-ethnicity,Hispanic,0.6617142857142857,2
2021,01,033,race-ethnicity,White,0.8097297297297297,1
2021,01,035,all,All,0.7208354559347937,1
2021,01,035,race-ethnicity,Other Races and Ethnicities,0.92018779342723,3
2021,01,035,race-ethnicity,Black,0.733933615819209,1
2021,01,035,race-ethnicity,Hispanic,NA,NA
2021,01,035,race-ethnicity,White,0.701067615658363,1
2021,01,037,all,All,0.750814020302624,1
2021,01,037,race-ethnicity,Other Races and Ethnicities,0.8929663608562691,3
2021,01,037,race-ethnicity,Black,0.5995630461922596,2
2021,01,037,race-ethnicity,Hispanic,0.48905109489051096,3
2021,01,037,race-ethnicity,White,0.814209231659673,1
2021,01,039,all,All,0.8037343291544412,1
2021,01,039,race-ethnicity,Other Races and Ethnicities,0.8254786450662739,2
2021,01,039,race-ethnicity,Black,0.7457260333261199,1
2021,01,039,race-ethnicity,Hispanic,0.7575757575757576,2
2021,01,039,race-ethnicity,White,0.8113039890831774,1
2021,01,041,all,All,0.7127819548872181,1
2021,01,041,race-ethnicity,Other Races and Ethnicities,0.7938461538461539,3
2021,01,041,race-ethnicity,Black,0.41098833640270105,2
2021,01,041,race-ethnicity,Hispanic,NA,NA
2021,01,041,race-ethnicity,White,0.8118611584327087,1
2021,01,043,all,All,0.856431268578774,1
2021,01,043,race-ethnicity,Other Races and Ethnicities,0.9480936202340506,2
2021,01,043,race-ethnicity,Black,0.6578140960163432,2
