year,state,place,subgroup_type,subgroup,share_hs_degree,share_hs_degree_quality
2021,01,03076,race-ethnicity,"Black, Non-Hispanic",0.9995044598612487,2
2021,01,03076,race-ethnicity,Hispanic,0.908450704225352,3
2021,01,03076,race-ethnicity,Other Races and Ethnicities,0.965964343598055,3
2021,01,03076,race-ethnicity,"White, Non-Hispanic",0.9328172155885055,2
2021,01,07000,race-ethnicity,"Black, Non-Hispanic",0.8578395964479743,2
2021,01,07000,race-ethnicity,Hispanic,0.8228425482542183,2
2021,01,07000,race-ethnicity,Other Races and Ethnicities,0.9994035642299925,2
2021,01,07000,race-ethnicity,"White, Non-Hispanic",0.9916881314481013,2
2021,01,35896,race-ethnicity,"Black, Non-Hispanic",0.9898048391965713,3
2021,01,35896,race-ethnicity,Hispanic,0.90894358399194,3
2021,01,35896,race-ethnicity,Other Races and Ethnicities,0.9793648713580569,3
2021,01,35896,race-ethnicity,"White, Non-Hispanic",0.9496955479741264,3
2021,01,37000,race-ethnicity,"Black, Non-Hispanic",0.9315079760014632,2
2021,01,37000,race-ethnicity,Hispanic,0.8139437351246418,2
2021,01,37000,race-ethnicity,Other Races and Ethnicities,0.9444554597557272,2
2021,01,37000,race-ethnicity,"White, Non-Hispanic",0.9091656781342263,2
2021,01,50000,race-ethnicity,"Black, Non-Hispanic",0.9214877743302865,1
2021,01,50000,race-ethnicity,Hispanic,0.9952459096176003,3
2021,01,50000,race-ethnicity,Other Races and Ethnicities,0.909643493960762,3
2021,01,50000,race-ethnicity,"White, Non-Hispanic",0.9302764114848349,1
2021,01,51000,race-ethnicity,"Black, Non-Hispanic",0.8748139549548875,1
2021,01,51000,race-ethnicity,Hispanic,0.4581438705390803,3
2021,01,51000,race-ethnicity,Other Races and Ethnicities,0.8856438862284501,1
2021,01,51000,race-ethnicity,"White, Non-Hispanic",0.9342338015540732,1
2021,01,77256,race-ethnicity,"Black, Non-Hispanic",0.9301764495989829,2
2021,01,77256,race-ethnicity,Hispanic,0.9984742295512122,3
2021,01,77256,race-ethnicity,Other Races and Ethnicities,1,2
2021,01,77256,race-ethnicity,"White, Non-Hispanic",0.9963548210043359,2
2021,02,03000,race-ethnicity,"Black, Non-Hispanic",0.9483504446550743,3
2021,02,03000,race-ethnicity,Hispanic,0.99874239025251,1
2021,02,03000,race-ethnicity,Other Races and Ethnicities,0.9172856454770704,1
2021,02,03000,race-ethnicity,"White, Non-Hispanic",0.9205289860786597,1
2021,04,04720,race-ethnicity,"Black, Non-Hispanic",0.9998583002098025,3
2021,04,04720,race-ethnicity,Hispanic,0.8932620512732583,2
2021,04,04720,race-ethnicity,Other Races and Ethnicities,0.9303469273840625,2
2021,04,04720,race-ethnicity,"White, Non-Hispanic",0.9999850462422967,2
2021,04,07940,race-ethnicity,"Black, Non-Hispanic",0.8147966682998529,3
2021,04,07940,race-ethnicity,Hispanic,0.8452561375339179,2
2021,04,07940,race-ethnicity,Other Races and Ethnicities,0.7147870022218423,2
2021,04,07940,race-ethnicity,"White, Non-Hispanic",0.9179783249457759,2
2021,04,12000,race-ethnicity,"Black, Non-Hispanic",0.9267400560482587,3
2021,04,12000,race-ethnicity,Hispanic,0.8617414187880958,1
2021,04,12000,race-ethnicity,Other Races and Ethnicities,0.9687132201213641,1
2021,04,12000,race-ethnicity,"White, Non-Hispanic",0.9370247301250391,1
2021,04,23620,race-ethnicity,"Black, Non-Hispanic",0.960843373493976,3
2021,04,23620,race-ethnicity,Hispanic,0.9813857290589452,2
2021,04,23620,race-ethnicity,Other Races and Ethnicities,0.9337936636880584,2
2021,04,23620,race-ethnicity,"White, Non-Hispanic",0.9870851270656853,2
2021,04,27400,race-ethnicity,"Black, Non-Hispanic",0.8775832874276488,3
2021,04,27400,race-ethnicity,Hispanic,0.9549416622760337,1
2021,04,27400,race-ethnicity,Other Races and Ethnicities,0.9762508731531937,1
2021,04,27400,race-ethnicity,"White, Non-Hispanic",0.9082742780102097,1
2021,04,27820,race-ethnicity,"Black, Non-Hispanic",0.891789219080326,1
2021,04,27820,race-ethnicity,Hispanic,0.8638093059515822,1
2021,04,27820,race-ethnicity,Other Races and Ethnicities,0.7622023955688737,1
2021,04,27820,race-ethnicity,"White, Non-Hispanic",0.8746535782779787,1
2021,04,28380,race-ethnicity,"Black, Non-Hispanic",0.5824325162111141,2
2021,04,28380,race-ethnicity,Hispanic,0.9306417715718793,2
2021,04,28380,race-ethnicity,Other Races and Ethnicities,0.960501666046052,2
2021,04,28380,race-ethnicity,"White, Non-Hispanic",0.9789916137753879,2
2021,04,46000,race-ethnicity,"Black, Non-Hispanic",0.968719340737115,3
2021,04,46000,race-ethnicity,Hispanic,0.8474989070714695,1
