year,state,place,share_in_preschool,share_in_preschool_quality
2021,01,03076,0.5468936678614098,3
2021,01,07000,0.4347559813333863,2
2021,01,35896,0.3785435765798055,3
2021,01,37000,0.5632113017108173,2
2021,01,50000,0.44416610461501077,1
2021,01,51000,0.3793384188776087,1
2021,01,77256,0.4180693203544039,2
2021,02,03000,0.28838974511455806,1
2021,04,04720,0.06668442729827044,2
2021,04,07940,0.187976849049458,2
2021,04,12000,0.4668604246859501,1
2021,04,23620,0.3321666083304165,2
2021,04,27400,0.4337340726159702,1
2021,04,27820,0.20626212835582602,1
2021,04,28380,0.18916656719706915,2
2021,04,46000,0.3682472735283717,1
2021,04,54050,0.19070042618862995,2
2021,04,55000,0.2664776033319545,1
2021,04,65000,0.4204270370577611,2
2021,04,71510,0.5096212924192225,1
2021,04,73000,0.2993450558286425,1
2021,04,77000,0.3140409116936134,1
2021,04,85540,0.3475531229877656,2
2021,05,23290,0.25926903285393854,2
2021,05,24550,0.2957000635458589,3
2021,05,35710,0.4561479286352161,2
2021,05,41000,0.4983221356713956,1
2021,05,66080,0.26760918158951197,3
2021,06,00562,0.5655711594261675,2
2021,06,00884,0.4189494569022752,2
2021,06,02000,0.3386578135033906,1
2021,06,02252,0.3831028119390711,1
2021,06,02364,0.11864571883275653,2
2021,06,03526,0.12936261758682485,2
2021,06,04982,0.2579916622933438,2
2021,06,06000,0.6212297929523805,1
2021,06,08786,0.5433972533306588,3
2021,06,08954,0.48831027052683373,1
2021,06,11194,0.5916335391712177,1
2021,06,11530,0.14822360190711528,1
2021,06,13014,0.5348001796138303,1
2021,06,13210,0.35544949354063193,2
2021,06,13214,0.35280998055801555,2
2021,06,13392,0.5156676672162752,1
2021,06,13588,0.2652165001273303,1
2021,06,14218,0.4943635290630106,1
2021,06,15044,0.16626884502765404,2
2021,06,16000,0.5242317078114098,3
2021,06,16350,0.3253224499861881,2
2021,06,16532,0.6037148020136833,2
2021,06,17918,0.5693621823142707,2
2021,06,19766,0.1383336743626547,1
2021,06,21712,0.21832186994864342,2
2021,06,22020,0.3290176942755813,1
2021,06,22230,0.20065514833949893,1
2021,06,22804,0.18002814767268593,1
2021,06,23182,0.20439954740369676,1
2021,06,24638,0.3950581395348837,3
2021,06,24680,0.2006881628636034,1
2021,06,26000,0.5398655488776661,1
2021,06,27000,0.2420250402045891,1
2021,06,28000,0.34790403130225434,2
2021,06,29000,0.25368569191309803,1
2021,06,30000,0.38796939579031875,1
2021,06,32548,0.32909441300693965,2
2021,06,33000,0.2146380895349013,1
2021,06,33182,0.35251905933036576,2
2021,06,33434,0.11821206210776922,2
2021,06,36000,0.6170355755609223,1
2021,06,36448,0.07929363306920185,2
2021,06,36546,0.29730044274780376,1
2021,06,36770,0.45460659076950305,2
2021,06,37692,0.38887781542754635,2
2021,06,39496,0.30776179335755605,3
2021,06,39892,0.4786005807755794,2
2021,06,40130,0.33942257191517,1
2021,06,41992,0.6183310533515732,2
2021,06,43000,0.2525480277795438,1
2021,06,44000,0.4152753197155737,1
2021,06,45484,0.19276201925126396,3
2021,06,46842,0.19942081345373644,2
2021,06,46898,0.3436835088421001,2
2021,06,47766,0.3980608609604426,2
2021,06,48256,0.39102079954613095,1
2021,06,48354,0.2992471461337274,1
2021,06,49270,0.1501828638009143,1
2021,06,49670,0.5191382556624291,2
2021,06,50076,0.19131702107506365,2
2021,06,50258,0.3479333744602098,2
2021,06,51182,0.4882449052936147,3
2021,06,52526,0.29320469798657717,3
2021,06,53000,0.5728849501185463,1
2021,06,53322,0.3035453713627024,2
2021,06,53896,0.38986645853291635,1
2021,06,53980,0.5883935695982445,2
2021,06,54652,0.1989774464814913,1
