year,state,place,digital_access,digital_access_quality
2021,01,03076,0.8509452416361858,1
2021,01,07000,0.7878447738758072,1
2021,01,35896,0.9588053102187784,1
2021,01,37000,0.8651662930012709,1
2021,01,50000,0.787815092427112,1
2021,01,51000,0.8413855199928366,1
2021,01,77256,0.7727199451900214,1
2021,02,03000,0.9214001264762686,1
2021,04,04720,0.9041162777493896,1
2021,04,07940,0.895620381001215,1
2021,04,12000,0.9522865669012146,1
2021,04,23620,0.7569528257333263,1
2021,04,27400,0.9740551918215131,1
2021,04,27820,0.8440035004172008,1
2021,04,28380,0.915313237445409,1
2021,04,46000,0.9209043861199955,1
2021,04,54050,0.940308842877917,1
2021,04,55000,0.8765717711874473,1
2021,04,65000,0.9494145002827995,1
2021,04,71510,0.9478977973568282,1
2021,04,73000,0.8668973845758182,1
2021,04,77000,0.8664113555829325,1
2021,04,85540,0.8712613237488702,1
2021,05,23290,0.8458889975019007,1
2021,05,24550,0.8317137214417164,1
2021,05,35710,0.8329205366357069,1
2021,05,41000,0.8568944936179065,1
2021,05,66080,0.8140580064503359,1
2021,06,00562,0.9371552604698672,1
2021,06,00884,0.9246519344987616,1
2021,06,02000,0.9133869800461798,1
2021,06,02252,0.9426928104575163,1
2021,06,02364,0.9405797293888011,1
2021,06,03526,0.9187347651195217,1
2021,06,04982,0.8824332869609207,1
2021,06,06000,0.8435208641634687,1
2021,06,08786,0.9351227760973635,1
2021,06,08954,0.9156514287843225,1
2021,06,11194,0.9615525257274199,1
2021,06,11530,0.9348712987886945,1
2021,06,13014,0.910758628655027,1
2021,06,13210,0.8394310969328416,1
2021,06,13214,0.9755845019110561,1
2021,06,13392,0.943402542773763,1
2021,06,13588,0.9071994149975434,1
2021,06,14218,0.9549827830666396,1
2021,06,15044,0.7935118595381077,1
2021,06,16000,0.9384904070160374,1
2021,06,16350,0.9204784470743266,1
2021,06,16532,0.9316884830759353,1
2021,06,17918,0.9293325962216673,1
2021,06,19766,0.9251747701084055,1
2021,06,21712,0.9068491083805627,1
2021,06,22020,0.9583214631644921,1
2021,06,22230,0.8678275711795468,1
2021,06,22804,0.9274116334198346,1
2021,06,23182,0.9321208757945717,1
2021,06,24638,0.9071728892311965,1
2021,06,24680,0.9300436836515495,1
2021,06,26000,0.9633005330407513,1
2021,06,27000,0.8633784932742752,1
2021,06,28000,0.928611398673792,1
2021,06,29000,0.9194652245408435,1
2021,06,30000,0.8987186533137925,1
2021,06,32548,0.9252927853590248,1
2021,06,33000,0.9272745201967286,1
2021,06,33182,0.887607842255042,1
2021,06,33434,0.9496912989615962,1
2021,06,36000,0.9386821646916749,1
2021,06,36448,0.8997537891622055,1
2021,06,36546,0.894395874535608,1
2021,06,36770,0.9365322894705037,1
2021,06,37692,0.9411944518742119,1
2021,06,39496,0.9644627905888956,1
2021,06,39892,0.9482400902704473,1
2021,06,40130,0.8468397159818415,1
2021,06,41992,0.9589380450889675,1
2021,06,43000,0.8953200518684428,1
2021,06,44000,0.8840994352251412,1
2021,06,45484,0.9324580137850694,1
2021,06,46842,0.9446329472049382,1
2021,06,46898,0.9226564952961288,1
2021,06,47766,0.9463143743796565,1
2021,06,48256,0.9556594131925222,1
2021,06,48354,0.9206486992945326,1
2021,06,49270,0.9396989024384391,1
2021,06,49670,0.9521896880195124,1
2021,06,50076,0.9611777201699431,1
2021,06,50258,0.9261104140526976,1
2021,06,51182,0.9555159312868564,1
2021,06,52526,0.895567598954805,1
2021,06,53000,0.8892395805717316,1
2021,06,53322,0.946853451487725,1
2021,06,53896,0.9136300599807103,1
2021,06,53980,0.9046445633823054,1
2021,06,54652,0.884609889595578,1
2021,06,55156,0.9264824063766839,1
2021,06,56000,0.8878512081054399,1
2021,06,56700,0.9267021739687092,1
2021,06,57456,0.9367511657705975,1
2021,06,57792,0.9704995097915986,1
2021,06,58072,0.8967755554382817,1
2021,06,59444,0.9359988769493861,1
2021,06,59451,0.9389178250721488,1
2021,06,59920,0.8979635607124856,1
2021,06,60102,0.909647815982361,1
2021,06,60466,0.900133912658118,1
2021,06,60620,0.9263725719027983,1
2021,06,62000,0.8831504995902915,1
2021,06,62938,0.9440444240048872,1
2021,06,64000,0.9200528340451789,1
