year,state,county,share_hs_degree,share_hs_degree_ub,share_hs_degree_lb,share_hs_degree_quality
2021,01,001,0.65035,0.83022,0.47048,3
2021,01,003,0.92350,1.00000,0.82324,3
2021,01,005,0.64953,0.84452,0.45454,3
2021,01,007,0.89644,1.00000,0.78918,2
2021,01,009,0.70877,0.88686,0.53067,3
2021,01,011,0.64953,0.84452,0.45454,3
2021,01,013,0.94396,1.00000,0.87356,2
2021,01,015,1.00000,1.00000,1.00000,3
2021,01,017,0.86150,0.99428,0.72873,3
2021,01,019,0.94706,1.00000,0.87767,2
2021,01,021,0.86150,0.99428,0.72873,3
2021,01,023,0.82472,0.96310,0.68635,3
2021,01,025,0.82472,0.96310,0.68635,3
2021,01,027,0.94706,1.00000,0.87767,2
2021,01,029,0.94706,1.00000,0.87767,2
2021,01,031,0.94396,1.00000,0.87356,2
2021,01,033,0.78532,0.94020,0.63044,3
2021,01,035,0.82472,0.96310,0.68635,3
2021,01,037,0.86150,0.99428,0.72873,3
2021,01,039,0.94396,1.00000,0.87356,2
2021,01,041,0.94396,1.00000,0.87356,2
2021,01,043,0.94954,1.00000,0.87486,1
2021,01,045,0.90890,0.97007,0.84773,2
2021,01,047,0.89644,1.00000,0.78918,2
2021,01,049,0.86521,1.00000,0.71915,3
2021,01,051,0.65035,0.83022,0.47048,3
2021,01,053,0.82472,0.96310,0.68635,3
2021,01,055,0.86816,1.00000,0.70734,3
2021,01,057,0.90370,1.00000,0.79030,3
2021,01,059,0.78532,0.94020,0.63044,3
2021,01,061,0.90890,0.97007,0.84773,2
2021,01,063,0.89644,1.00000,0.78918,2
2021,01,065,0.89644,1.00000,0.78918,2
2021,01,067,0.90890,0.97007,0.84773,2
2021,01,069,0.90890,0.97007,0.84773,2
2021,01,071,0.86521,1.00000,0.71915,3
2021,01,073,0.96191,1.00000,0.92215,1
2021,01,075,0.90370,1.00000,0.79030,3
2021,01,077,0.78532,0.94020,0.63044,3
2021,01,079,0.88491,0.99064,0.77919,2
2021,01,081,0.84887,0.96753,0.73020,1
2021,01,083,0.88911,1.00000,0.77483,3
2021,01,085,0.65035,0.83022,0.47048,3
2021,01,087,0.64953,0.84452,0.45454,3
2021,01,089,0.91890,0.97111,0.86668,1
2021,01,091,0.89644,1.00000,0.78918,2
2021,01,093,0.86830,0.95934,0.77726,2
2021,01,095,0.73788,0.87088,0.60487,1
2021,01,097,0.87409,0.95601,0.79217,1
2021,01,099,0.82472,0.96310,0.68635,3
2021,01,101,0.67871,0.80815,0.54928,1
2021,01,103,0.88491,0.99064,0.77919,1
2021,01,105,0.89644,1.00000,0.78918,2
2021,01,107,0.99055,1.00000,0.95336,3
2021,01,109,0.64953,0.84452,0.45454,3
2021,01,111,0.94706,1.00000,0.87767,2
2021,01,113,0.64953,0.84452,0.45454,3
2021,01,115,0.70877,0.88686,0.53067,3
2021,01,117,0.96853,1.00000,0.91574,1
2021,01,119,0.89644,1.00000,0.78918,2
2021,01,121,0.94706,1.00000,0.87767,2
2021,01,123,0.86150,0.99428,0.72873,3
2021,01,125,0.99684,1.00000,0.98115,1
2021,01,127,0.90370,1.00000,0.79030,3
2021,01,129,0.82472,0.96310,0.68635,3
2021,01,131,0.82472,0.96310,0.68635,3
2021,01,133,0.94954,1.00000,0.87486,2
2021,02,013,0.40233,0.58080,0.22385,3
2021,02,016,0.40233,0.58080,0.22385,3
2021,02,020,0.83726,0.95955,0.71497,1
2021,02,050,0.40233,0.58080,0.22385,3
2021,02,060,0.40233,0.58080,0.22385,3
2021,02,068,0.85174,0.97890,0.72458,2
2021,02,070,0.40233,0.58080,0.22385,3
2021,02,090,0.85174,0.97890,0.72458,2
2021,02,100,0.85174,0.97890,0.72458,2
2021,02,105,0.40233,0.58080,0.22385,3
2021,02,110,0.85174,0.97890,0.72458,2
2021,02,122,0.86204,0.95960,0.76448,2
