year,state,county,rate_juv_arrest_quality,subgroup,rate_juv_arrest,subgroup_type
2021,01,001,1,all,41.43775058025206,NA
2021,01,001,1,white,15.918325234967254,race-ethnicity
2021,01,001,1,black,127.7781992146574,race-ethnicity
2021,01,001,1,asian_other,83.45513636207312,race-ethnicity
2021,01,001,1,hispanic,0,race-ethnicity
2021,01,001,1,male,63.38364786992894,sex
2021,01,001,1,female,22.211513974934903,sex
2021,01,001,1,1014,20.009223503394153,age
2021,01,001,1,1517,72.49088934816339,age
2021,01,003,2,all,435.4538616840188,NA
2021,01,003,2,white,369.97617961583296,race-ethnicity
2021,01,003,2,black,1269.4958287994198,race-ethnicity
2021,01,003,2,asian_other,36.06202668589975,race-ethnicity
2021,01,003,2,hispanic,362.1314019658562,race-ethnicity
2021,01,003,2,male,594.7451629902883,sex
2021,01,003,2,female,200.36734012355987,sex
2021,01,003,2,1014,140.1840677759493,age
2021,01,003,2,1517,982.6067314208268,age
2021,01,005,3,all,896.2868117797696,NA
2021,01,005,3,white,395.2569169960474,race-ethnicity
2021,01,005,3,black,1466.781708369284,race-ethnicity
2021,01,005,3,asian_other,0,race-ethnicity
2021,01,005,3,hispanic,0,race-ethnicity
2021,01,005,3,male,734.6938775510204,sex
2021,01,005,3,female,983.8998211091234,sex
2021,01,005,3,1014,492.26441631504923,age
2021,01,005,3,1517,1520.086862106406,age
2021,01,007,1,all,704.5272487532393,NA
2021,01,007,1,white,451.6543737767125,race-ethnicity
2021,01,007,1,black,1459.85401459854,race-ethnicity
2021,01,007,NA,asian_other,NA,race-ethnicity
2021,01,007,1,hispanic,0,race-ethnicity
2021,01,007,1,male,1108.6525309436968,sex
2021,01,007,1,female,114.8105625717566,sex
2021,01,007,1,1014,487.8048780487805,age
2021,01,007,1,1517,996.8172881901738,age
2021,01,009,2,all,497.13769207592645,NA
2021,01,009,2,white,520.6583809203896,race-ethnicity
2021,01,009,2,black,3846.153846153846,race-ethnicity
2021,01,009,2,asian_other,0,race-ethnicity
2021,01,009,2,hispanic,0,race-ethnicity
2021,01,009,2,male,608.8721368512612,sex
2021,01,009,2,female,344.9357165255566,sex
2021,01,009,2,1014,23.84358607534573,age
2021,01,009,2,1517,1309.328968903437,age
2021,01,011,3,all,445.2359750667854,NA
2021,01,011,3,white,0,race-ethnicity
2021,01,011,3,black,627.3525721455458,race-ethnicity
2021,01,011,NA,asian_other,NA,race-ethnicity
2021,01,011,3,hispanic,0,race-ethnicity
2021,01,011,3,male,803.8585209003215,sex
2021,01,011,3,female,0,sex
2021,01,011,3,1014,226.24434389140274,age
2021,01,011,3,1517,1255.2301255230125,age
2021,01,013,3,all,0,NA
2021,01,013,3,white,0,race-ethnicity
2021,01,013,3,black,0,race-ethnicity
2021,01,013,3,asian_other,0,race-ethnicity
2021,01,013,3,hispanic,0,race-ethnicity
2021,01,013,3,male,0,sex
2021,01,013,3,female,0,sex
2021,01,013,3,1014,0,age
2021,01,013,3,1517,0,age
2021,01,015,2,all,196.4479489029002,NA
2021,01,015,2,white,187.8735540578369,race-ethnicity
2021,01,015,2,black,249.8090932912398,race-ethnicity
2021,01,015,2,asian_other,0,race-ethnicity
2021,01,015,2,hispanic,0,race-ethnicity
2021,01,015,2,male,249.37056113856093,sex
2021,01,015,2,female,124.38656124032542,sex
2021,01,015,2,1014,48.02770798660606,age
2021,01,015,2,1517,437.7519931788691,age
2021,01,017,1,all,559.6465390279824,NA
2021,01,017,1,white,562.7462014631401,race-ethnicity
2021,01,017,1,black,516.4622336991607,race-ethnicity
2021,01,017,1,asian_other,0,race-ethnicity
2021,01,017,1,hispanic,0,race-ethnicity
2021,01,017,1,male,562.1486570893192,sex
2021,01,017,1,female,501.6722408026756,sex
2021,01,017,1,1014,230.30861354214645,age
2021,01,017,1,1517,1143.7908496732025,age
2021,01,019,1,all,821.4440121054907,NA
2021,01,019,1,white,841.1677387431964,race-ethnicity
2021,01,019,1,black,1212.121212121212,race-ethnicity
2021,01,019,1,asian_other,0,race-ethnicity
2021,01,019,1,hispanic,0,race-ethnicity
2021,01,019,1,male,1468.048359240069,sex
2021,01,019,1,female,173.16017316017317,sex
2021,01,019,1,1014,293.040293040293,age
2021,01,019,1,1517,1582.2784810126584,age
2021,01,021,3,all,0,NA
2021,01,021,3,white,0,race-ethnicity
2021,01,021,3,black,0,race-ethnicity
2021,01,021,3,asian_other,0,race-ethnicity
2021,01,021,3,hispanic,0,race-ethnicity
2021,01,021,3,male,0,sex
2021,01,021,3,female,0,sex
2021,01,021,3,1014,0,age
2021,01,021,3,1517,0,age
2021,01,023,3,all,73.80073800738008,NA
2021,01,023,3,white,0,race-ethnicity
2021,01,023,3,black,182.81535648994515,race-ethnicity
2021,01,023,NA,asian_other,NA,race-ethnicity
2021,01,023,NA,hispanic,NA,race-ethnicity
2021,01,023,3,male,129.70168612191958,sex
2021,01,023,3,female,0,sex
2021,01,023,3,1014,0,age
2021,01,023,3,1517,204.08163265306123,age
2021,01,025,1,all,672.4683544303798,NA
2021,01,025,1,white,332.50207813798835,race-ethnicity
2021,01,025,1,black,955.4140127388534,race-ethnicity
2021,01,025,1,asian_other,0,race-ethnicity
2021,01,025,NA,hispanic,NA,race-ethnicity
2021,01,025,1,male,1016.0880609652836,sex
2021,01,025,1,female,296.9561989606533,sex
2021,01,025,1,1014,252.3659305993691,age
2021,01,025,1,1517,1378.5790031813362,age
2021,01,027,1,all,190.59720457433292,NA
2021,01,027,1,white,265.9574468085106,race-ethnicity
2021,01,027,1,black,0,race-ethnicity
2021,01,027,1,asian_other,0,race-ethnicity
2021,01,027,1,hispanic,0,race-ethnicity
2021,01,027,1,male,119.9040767386091,sex
2021,01,027,1,female,270.27027027027026,sex
2021,01,027,1,1014,92.93680297397769,age
2021,01,027,1,1517,401.6064257028112,age
2021,01,029,1,all,130.20833333333331,NA
2021,01,029,1,white,142.14641080312722,race-ethnicity
2021,01,029,NA,black,NA,race-ethnicity
2021,01,029,1,asian_other,0,race-ethnicity
2021,01,029,1,hispanic,0,race-ethnicity
2021,01,029,1,male,278.1641168289291,sex
2021,01,029,1,female,0,sex
2021,01,029,1,1014,0,age
2021,01,029,1,1517,341.88034188034186,age
2021,01,031,1,all,303.61676213425505,NA
2021,01,031,1,white,311.66365336250345,race-ethnicity
2021,01,031,1,black,401.21191822456524,race-ethnicity
2021,01,031,1,asian_other,0,race-ethnicity
2021,01,031,1,hispanic,0,race-ethnicity
2021,01,031,1,male,401.4133390652235,sex
2021,01,031,1,female,190.53537883556157,sex
2021,01,031,1,1014,219.72234003139957,age
2021,01,031,1,1517,459.85195425116757,age
2021,01,033,2,all,71.72314864622557,NA
2021,01,033,2,white,73.36757153338225,race-ethnicity
2021,01,033,2,black,103.41261633919339,race-ethnicity
2021,01,033,2,asian_other,0,race-ethnicity
2021,01,033,2,hispanic,0,race-ethnicity
2021,01,033,2,male,97.75171065493646,sex
2021,01,033,2,female,39.87240829346093,sex
2021,01,033,2,1014,27.770063871146906,age
2021,01,033,2,1517,151.82186234817814,age
2021,01,035,3,all,149.81273408239701,NA
