year,state,place,subgroup_type,subgroup,rate_juv_arrest,rate_juv_arrest_quality
2021,01,03076,age,Age 10 to 14,66.29834254143647,2
2021,01,03076,age,Age 15 to 17,789.4736842105264,2
2021,01,03076,all,All,308.5966201322557,2
2021,01,03076,gender,Female,252.95109612141653,2
2021,01,03076,gender,Male,369.57191253464737,2
2021,01,03076,race-ethnicity,Black,1446.4802314368371,2
2021,01,03076,race-ethnicity,Hispanic,0,2
2021,01,03076,race-ethnicity,Other Races and Ethnicities,0,2
2021,01,03076,race-ethnicity,"White, Non-Hispanic",121.62983985404419,2
2021,01,07000,age,Age 10 to 14,115.13594898591799,2
2021,01,07000,age,Age 15 to 17,1194.0800538176927,2
2021,01,07000,all,All,487.323780240181,2
2021,01,07000,gender,Female,195.98236158745712,2
2021,01,07000,gender,Male,749.4764686432271,2
2021,01,07000,race-ethnicity,Black,560.7073538926029,2
2021,01,07000,race-ethnicity,Hispanic,233.46303501945525,2
2021,01,07000,race-ethnicity,Other Races and Ethnicities,0,2
2021,01,07000,race-ethnicity,"White, Non-Hispanic",347.22222222222223,2
2021,01,35896,age,Age 10 to 14,80.82767539605561,1
2021,01,35896,age,Age 15 to 17,958.3009583009583,1
2021,01,35896,all,All,418.0352343983279,1
2021,01,35896,gender,Female,329.07471931862176,1
2021,01,35896,gender,Male,512.1901249743905,1
2021,01,35896,race-ethnicity,Black,912.5840537944284,1
2021,01,35896,race-ethnicity,Hispanic,414.0786749482402,1
2021,01,35896,race-ethnicity,Other Races and Ethnicities,0,1
2021,01,35896,race-ethnicity,"White, Non-Hispanic",344.82758620689657,1
2021,01,37000,age,Age 10 to 14,396.79040648972756,2
2021,01,37000,age,Age 15 to 17,713.128038897893,2
2021,01,37000,all,All,508.2519559134259,2
2021,01,37000,gender,Female,459.26735921268454,2
2021,01,37000,gender,Male,561.7977528089888,2
2021,01,37000,race-ethnicity,Black,1299.566811062979,2
2021,01,37000,race-ethnicity,Hispanic,58.0046403712297,2
2021,01,37000,race-ethnicity,Other Races and Ethnicities,0,2
2021,01,37000,race-ethnicity,"White, Non-Hispanic",107.6194575979337,2
2021,01,50000,age,Age 10 to 14,1543.235762811373,2
2021,01,50000,age,Age 15 to 17,3888.1607688947142,2
2021,01,50000,all,All,2400.212879191059,2
2021,01,50000,gender,Female,1435.457953936797,2
2021,01,50000,gender,Male,3352.723426758329,2
2021,01,50000,race-ethnicity,Black,2666.893154408018,2
2021,01,50000,race-ethnicity,Hispanic,1213.5922330097087,2
2021,01,50000,race-ethnicity,Other Races and Ethnicities,399.2015968063872,2
2021,01,50000,race-ethnicity,"White, Non-Hispanic",1496.5081476554706,2
2021,01,51000,age,Age 10 to 14,0,3
2021,01,51000,age,Age 15 to 17,0,3
2021,01,51000,all,All,0,3
2021,01,51000,gender,Female,0,3
2021,01,51000,gender,Male,0,3
2021,01,51000,race-ethnicity,Black,0,3
2021,01,51000,race-ethnicity,Hispanic,0,3
2021,01,51000,race-ethnicity,Other Races and Ethnicities,0,3
2021,01,51000,race-ethnicity,"White, Non-Hispanic",0,3
2021,01,77256,age,Age 10 to 14,318.40373593716834,2
2021,01,77256,age,Age 15 to 17,1721.6117216117218,2
2021,01,77256,all,All,833.2213412175782,2
2021,01,77256,gender,Female,405.07696462327846,2
2021,01,77256,gender,Male,1257.3568753344034,2
2021,01,77256,race-ethnicity,Black,985.7612267250822,2
2021,01,77256,race-ethnicity,Hispanic,210.97046413502107,2
2021,01,77256,race-ethnicity,Other Races and Ethnicities,0,2
2021,01,77256,race-ethnicity,"White, Non-Hispanic",701.8992568125516,2
2021,02,03000,age,Age 10 to 14,0,3
2021,02,03000,age,Age 15 to 17,0,3
2021,02,03000,all,All,0,3
2021,02,03000,gender,Female,0,3
2021,02,03000,gender,Male,0,3
2021,02,03000,race-ethnicity,Black,0,3
2021,02,03000,race-ethnicity,Hispanic,0,3
2021,02,03000,race-ethnicity,Other Races and Ethnicities,0,3
2021,02,03000,race-ethnicity,"White, Non-Hispanic",0,3
2021,04,04720,age,Age 10 to 14,1319.9817933545744,1
2021,04,04720,age,Age 15 to 17,2962.4445999533473,1
2021,04,04720,all,All,1967.2733958448246,1
2021,04,04720,gender,Female,1153.7734064686967,1
2021,04,04720,gender,Male,2736.540869254158,1
2021,04,04720,race-ethnicity,Black,7464.212678936605,1
2021,04,04720,race-ethnicity,Hispanic,0,1
2021,04,04720,race-ethnicity,Other Races and Ethnicities,95.57945041816009,1
2021,04,04720,race-ethnicity,"White, Non-Hispanic",2397.200349956255,1
2021,04,07940,age,Age 10 to 14,435.9313077939234,1
2021,04,07940,age,Age 15 to 17,2755.026061057334,1
2021,04,07940,all,All,1241.486335028882,1
2021,04,07940,gender,Female,985.3099247581512,1
2021,04,07940,gender,Male,1479.1424297822834,1
2021,04,07940,race-ethnicity,Black,7400.379506641367,1
2021,04,07940,race-ethnicity,Hispanic,882.837049229388,1
2021,04,07940,race-ethnicity,Other Races and Ethnicities,23.337222870478413,1
2021,04,07940,race-ethnicity,"White, Non-Hispanic",1473.4050390452335,1
2021,04,12000,age,Age 10 to 14,815.2994464016106,1
2021,04,12000,age,Age 15 to 17,2649.942584577334,1
2021,04,12000,all,All,1481.1964989900932,1
2021,04,12000,gender,Female,1157.6871700273518,1
2021,04,12000,gender,Male,1809.9547511312219,1
2021,04,12000,race-ethnicity,Black,4904.051172707889,1
2021,04,12000,race-ethnicity,Hispanic,0,1
2021,04,12000,race-ethnicity,Other Races and Ethnicities,306.1728395061728,1
2021,04,12000,race-ethnicity,"White, Non-Hispanic",1740.4898384575301,1
2021,04,23620,age,Age 10 to 14,1230.0123001230013,1
2021,04,23620,age,Age 15 to 17,5267.558528428093,1
2021,04,23620,all,All,2725.7240204429304,1
2021,04,23620,gender,Female,1807.0235254006136,1
2021,04,23620,gender,Male,3490.3518728717368,1
2021,04,23620,race-ethnicity,Black,9482.758620689654,1
2021,04,23620,race-ethnicity,Hispanic,1468.9880304679,1
2021,04,23620,race-ethnicity,Other Races and Ethnicities,3394.0397350993376,1
2021,04,23620,race-ethnicity,"White, Non-Hispanic",2038.216560509554,1
2021,04,27400,age,Age 10 to 14,584.9174848548151,1
2021,04,27400,age,Age 15 to 17,2533.4806019605135,1
2021,04,27400,all,All,1319.5908487545873,1
2021,04,27400,gender,Female,861.9783454220541,1
2021,04,27400,gender,Male,1768.497035318381,1
2021,04,27400,race-ethnicity,Black,4697.986577181208,1
2021,04,27400,race-ethnicity,Hispanic,1198.1904878346986,1
2021,04,27400,race-ethnicity,Other Races and Ethnicities,212.94718909710392,1
2021,04,27400,race-ethnicity,"White, Non-Hispanic",1411.9851440425603,1
2021,04,27820,age,Age 10 to 14,NA,NA
2021,04,27820,age,Age 15 to 17,NA,NA
2021,04,27820,all,All,NA,NA
2021,04,27820,gender,Female,NA,NA
2021,04,27820,gender,Male,NA,NA
2021,04,27820,race-ethnicity,Black,NA,NA
2021,04,27820,race-ethnicity,Hispanic,NA,NA
2021,04,27820,race-ethnicity,Other Races and Ethnicities,NA,NA
2021,04,27820,race-ethnicity,"White, Non-Hispanic",NA,NA
2021,04,28380,age,Age 10 to 14,508.45303165120123,1
2021,04,28380,age,Age 15 to 17,1979.943430187709,1
2021,04,28380,all,All,995.2364749914938,1
2021,04,28380,gender,Female,541.8218760582458,1
2021,04,28380,gender,Male,1452.9914529914531,1
2021,04,28380,race-ethnicity,Black,3453.038674033149,1
2021,04,28380,race-ethnicity,Hispanic,420.31523642732054,1
2021,04,28380,race-ethnicity,Other Races and Ethnicities,22.406453058480842,1
2021,04,28380,race-ethnicity,"White, Non-Hispanic",1339.6255137768308,1
2021,04,46000,age,Age 10 to 14,799.2692395524092,2
2021,04,46000,age,Age 15 to 17,2329.2747485442032,2
2021,04,46000,all,All,1335.2620451763657,2
2021,04,46000,gender,Female,744.5394112060778,2
2021,04,46000,gender,Male,1898.7571112802116,2
2021,04,46000,race-ethnicity,Black,3722.504230118443,2
2021,04,46000,race-ethnicity,Hispanic,0,2
2021,04,46000,race-ethnicity,Other Races and Ethnicities,284.41795896255167,2
2021,04,46000,race-ethnicity,"White, Non-Hispanic",1552.486187845304,2
2021,04,54050,age,Age 10 to 14,1002.7418723070896,1
2021,04,54050,age,Age 15 to 17,4302.50878681372,1
2021,04,54050,all,All,2298.2489531785304,1
2021,04,54050,gender,Female,1503.6180810074243,1
2021,04,54050,gender,Male,3113.253012048193,1
2021,04,54050,race-ethnicity,Black,8096.7402733964245,1
2021,04,54050,race-ethnicity,Hispanic,2290.871225269004,1
2021,04,54050,race-ethnicity,Other Races and Ethnicities,158.17223198594024,1
2021,04,54050,race-ethnicity,"White, Non-Hispanic",2733.913043478261,1
2021,04,55000,age,Age 10 to 14,0,3
2021,04,55000,age,Age 15 to 17,0,3
2021,04,55000,all,All,0,3
2021,04,55000,gender,Female,0,3
2021,04,55000,gender,Male,0,3
2021,04,55000,race-ethnicity,Black,0,3
2021,04,55000,race-ethnicity,Hispanic,0,3
2021,04,55000,race-ethnicity,Other Races and Ethnicities,0,3
2021,04,55000,race-ethnicity,"White, Non-Hispanic",0,3
2021,04,65000,age,Age 10 to 14,775.7597882632107,1
2021,04,65000,age,Age 15 to 17,3586.1500412201153,1
2021,04,65000,all,All,1897.4499588703043,1
2021,04,65000,gender,Female,1719.0278601066984,1
2021,04,65000,gender,Male,2051.020408163265,1
2021,04,65000,race-ethnicity,Black,3969.9570815450643,1
