year,state,place,rate_juv_arrest,rate_juv_arrest_quality
2021,01,03076,308.5966201322557,2
2021,01,07000,487.323780240181,2
2021,01,35896,418.0352343983279,1
2021,01,37000,508.2519559134259,2
2021,01,50000,2400.212879191059,2
2021,01,51000,0,3
2021,01,77256,833.2213412175782,2
2021,02,03000,0,3
2021,04,04720,1967.2733958448246,1
2021,04,07940,1241.486335028882,1
2021,04,12000,1481.1964989900932,1
2021,04,23620,2725.7240204429304,1
2021,04,27400,1319.5908487545873,1
2021,04,27820,NA,NA
2021,04,28380,995.2364749914938,1
2021,04,46000,1335.2620451763657,2
2021,04,54050,2298.2489531785304,1
2021,04,55000,0,3
2021,04,65000,1897.4499588703043,1
2021,04,71510,2237.92031647358,1
2021,04,73000,0,2
2021,04,77000,14.157716967012519,3
2021,04,85540,1936.570305921976,2
2021,05,23290,1163.3390976261594,1
2021,05,24550,4522.77311816541,1
2021,05,35710,2256.6995768688294,1
2021,05,41000,2574.714856345349,1
2021,05,66080,3746.7152665932012,1
2021,06,00562,172.41379310344828,1
2021,06,00884,495.71879224876074,1
2021,06,02000,109.34499679965863,1
2021,06,02252,56.381704137007546,1
2021,06,NA,NA,NA
2021,06,03526,NA,NA
2021,06,04982,NA,NA
2021,06,06000,NA,NA
2021,06,08786,NA,NA
2021,06,08954,33.3889816360601,1
2021,06,11194,2248.269243950922,1
2021,06,11530,NA,NA
2021,06,13014,NA,NA
2021,06,13210,768.8311688311688,1
2021,06,NA,NA,NA
2021,06,13392,1313.2340701008045,1
2021,06,13588,NA,NA
2021,06,14218,NA,NA
2021,06,15044,NA,NA
2021,06,16000,191.25944343501962,1
2021,06,16350,NA,NA
2021,06,16532,NA,NA
2021,06,17918,NA,NA
2021,06,19766,NA,NA
2021,06,21712,1339.8692810457514,1
2021,06,22020,24.82108137177843,1
2021,06,22230,258.9834898025251,1
2021,06,22804,1200.024870981782,1
2021,06,23182,NA,NA
2021,06,24638,NA,NA
2021,06,24680,103.1442355681251,3
2021,06,26000,NA,NA
2021,06,27000,614.9646285261397,2
2021,06,28000,NA,NA
2021,06,29000,37.75213029878115,1
2021,06,30000,NA,NA
2021,06,32548,NA,NA
2021,06,33000,NA,NA
2021,06,33182,44.907490569426976,1
2021,06,NA,NA,NA
2021,06,36000,NA,NA
2021,06,36448,NA,NA
2021,06,36546,NA,NA
2021,06,36770,3.3946635888383465,2
2021,06,NA,NA,NA
2021,06,NA,NA,NA
2021,06,39892,NA,NA
2021,06,NA,NA,NA
2021,06,41992,NA,NA
2021,06,43000,0,3
2021,06,44000,NA,NA
2021,06,45484,NA,NA
2021,06,NA,NA,NA
2021,06,46898,NA,NA
2021,06,47766,NA,NA
2021,06,NA,NA,NA
2021,06,48354,0,2
2021,06,49270,NA,NA
2021,06,49670,31.026993484331367,1
2021,06,50076,252.44137381252906,1
2021,06,50258,NA,NA
2021,06,51182,NA,NA
2021,06,52526,NA,NA
2021,06,53000,NA,NA
2021,06,53322,398.2663699191754,1
2021,06,53896,NA,NA
2021,06,53980,NA,NA
2021,06,54652,NA,NA
2021,06,55156,NA,NA
2021,06,56000,NA,NA
2021,06,56700,0,3
2021,06,57456,NA,NA
2021,06,57792,NA,NA
2021,06,58072,NA,NA
2021,06,NA,NA,NA
2021,06,59451,NA,NA
2021,06,59920,NA,NA
2021,06,60102,NA,NA
2021,06,60466,NA,NA
2021,06,60620,299.5370790596351,1
2021,06,62000,0,3
2021,06,62938,NA,NA
2021,06,64000,0,3
2021,06,64224,NA,NA
2021,06,65000,53.70929842228936,3
2021,06,65042,NA,NA
2021,06,66000,1368.4423534173116,2
2021,06,67000,0,3
2021,06,68000,0.9596100144901113,3
2021,06,68084,NA,NA
2021,06,68196,694.1230911614994,1
2021,06,68252,NA,NA
2021,06,NA,NA,NA
2021,06,69000,73.87278051869245,2
2021,06,69070,0,3
2021,06,69084,200.9601429049905,1
2021,06,NA,NA,NA
2021,06,69196,495.0154692334135,2
2021,06,70000,NA,NA
2021,06,70098,NA,NA
2021,06,72016,NA,NA
2021,06,73080,NA,NA
2021,06,75000,730.8102977814688,2
2021,06,77000,176.62170841361592,1
2021,06,NA,NA,NA
2021,06,78582,NA,NA
2021,06,80000,13.955760240039075,2
2021,06,80238,216.98698078115314,1
2021,06,80854,266.1839863713799,1
2021,06,81344,165.26824307144673,1
2021,06,81554,NA,NA
2021,06,81666,NA,NA
2021,06,82590,NA,NA
2021,06,82954,NA,NA
2021,06,82996,201.75438596491227,1
2021,06,84200,89.65036358203008,1
2021,06,84550,NA,NA
2021,06,85292,NA,NA
2021,08,03455,2590.763365392947,1
2021,08,04000,1642.327252367844,1
2021,08,07850,1453.125,1
2021,08,12815,411.42303969022265,1
2021,08,16000,1328.3050492352818,1
2021,08,20000,1187.8311399760726,2
2021,08,27425,1684.1049161530743,1
2021,08,32155,3032.817109144543,1
2021,08,43000,3790.4838064774094,1
2021,08,45970,1707.9736377981992,1
2021,08,46465,4129.339305711086,1
2021,08,62000,1252.079502670519,2
2021,08,77290,2861.7277346884193,1
2021,08,83835,1742.0649398029914,1
2021,09,08000,937.9464563016337,1
2021,09,18430,1541.8790016986802,1
2021,09,37000,458.5776574951135,1
2021,09,52000,2012.8417863069042,1
2021,09,55990,845.3192026242746,1
2021,09,73000,1297.9146837414555,1
2021,09,80000,3058.130468682318,1
2021,11,50000,1095.8612618363654,2
2021,12,07300,NA,NA
2021,12,07875,0,1
2021,12,10275,NA,NA
2021,12,12875,NA,NA
2021,12,14400,83.25899494498958,1
2021,12,16475,NA,NA
2021,12,16725,NA,NA
2021,12,17200,NA,NA
2021,12,17935,304.56852791878174,1
2021,12,24000,NA,NA
2021,12,24125,NA,NA
2021,12,25175,49.51720722951226,2
2021,12,30000,NA,NA
2021,12,32000,117.46821448313986,3
2021,12,32275,NA,NA
2021,12,35000,0,3
2021,12,36950,NA,NA
2021,12,38250,NA,NA
2021,12,39425,334.50143357757247,3
2021,12,43975,NA,NA
2021,12,45000,3.280624630929729,2
2021,12,45025,NA,NA
2021,12,45060,0,1
2021,12,45975,294.19813902572525,1
2021,12,49675,NA,NA
2021,12,53000,NA,NA
2021,12,54000,1094.0249407084386,1
2021,12,54200,NA,NA
2021,12,55775,NA,NA
2021,12,57425,NA,NA
2021,12,58050,NA,NA
2021,12,58715,NA,NA
2021,12,63000,NA,NA
2021,12,69700,NA,NA
2021,12,70600,0,2
2021,12,71000,2082.2225340255363,2
2021,12,76600,1115.5836687751582,2
2021,13,03440,NA,NA
2021,13,04000,2468.221280630537,2
2021,13,04204,538.0399255795243,3
2021,13,19000,284.9776089021577,2
2021,13,42425,218.7447417129396,1
2021,13,49008,0,3
2021,13,67284,271.8062762540153,1
2021,13,68516,536.78560151563,1
2021,13,69000,NA,NA
2021,13,NA,NA,NA
2021,13,80508,3105.5183560378664,1
2021,15,NA,NA,NA
2021,16,08830,1526.6517164050372,1
2021,16,52120,2963.9956358346467,1
2021,16,56260,2811.8240807498196,1
2021,17,02154,368.052999631947,1
2021,17,03012,NA,NA
2021,17,06613,465.1763793771805,1
2021,17,12385,1518.08304807263,1
2021,17,14000,202.21387944508,2
2021,17,14351,442.73181929982786,3
2021,17,23074,NA,NA
2021,17,24582,263.65900102534056,2
2021,17,38570,1086.4269706713437,3
2021,17,51622,195.57059041175538,2
2021,17,59000,0,2
2021,17,65000,1830.2042744125633,2
2021,17,68003,1800.738007380074,1
2021,17,72000,2695.010228586676,2
2021,17,79293,NA,NA
2021,18,05860,2494.273351997964,1
2021,18,10342,713.1102578167855,1
2021,18,22000,4296.948137052986,2
2021,18,23278,597.1689767030375,1
2021,18,25000,1112.597704387015,1
2021,18,31000,750.4111842105264,3
2021,18,36003,1229.8473690275407,2
2021,18,71000,7.891414141414142,1
2021,19,12000,3285.9103054813313,1
2021,19,19000,3333.667033737111,1
2021,19,21000,1602.20748586942,2
2021,19,73335,5550.009982032342,1
2021,20,36000,403.9887496803886,3
2021,20,38900,937.6465072667605,1
2021,20,52575,2668.960159804683,1
2021,20,53775,2079.9779117389903,1
2021,20,71000,1628.0217069560927,2
2021,20,79000,1155.8505189078437,1
2021,21,46027,899.0294568363697,2
2021,21,48006,7.771698582442179,3
2021,22,05000,1621.4577966358538,2
2021,22,40735,681.7628439250061,3
2021,22,41155,953.1956495172919,1
2021,22,55000,0,3
2021,22,70000,9.424626549172988,3
2021,24,04000,532.1380888804119,2
2021,24,30325,NA,NA
2021,25,07000,378.3644337432281,2
2021,25,09000,1205.8057312988465,1
2021,25,11000,329.5496155254486,1
2021,25,23000,1770.011273957159,1
2021,25,34550,1084.9233071455292,1
2021,25,37000,1315.031675945479,1
2021,25,37490,610.8515989938915,1
2021,25,45000,611.7961953924099,1
2021,25,45560,282.6337276248299,1
2021,25,55745,154.69233413544174,3
2021,25,62535,140.35087719298244,1
2021,25,67000,757.2306991573673,1
2021,25,82000,491.0595142780891,2
2021,26,03000,298.7750224081267,2
2021,26,21000,954.0055597675007,2
2021,26,22000,368.6790397586828,1
2021,26,27440,463.9737991266376,1
2021,26,29000,397.92596165440733,2
2021,26,34000,1930.2274715660542,2
2021,26,46000,863.9308855291578,1
2021,26,49000,724.6376811594203,1
2021,26,NA,NA,NA
2021,26,74900,325.0883392226148,1
2021,26,76460,227.00521271229192,1
2021,26,80700,519.7505197505197,1
2021,26,84000,987.8760664571173,1
2021,26,86000,1248.3221476510066,1
2021,26,88940,1793.1034482758619,1
2021,27,06616,2833.768081574579,1
2021,27,07966,2281.368821292776,1
2021,27,17000,497.8767022990189,1
2021,27,43000,1271.2739285608943,1
2021,27,51730,305.13853289393387,1
2021,27,54880,1535.6605715190374,1
2021,27,58000,670.6321436902263,2
2021,27,71428,696.9355334631547,3
2021,28,36000,11.384335154826958,3
2021,29,15670,5145.48566538297,1
2021,29,35000,3335.1305553416005,1
2021,29,38000,566.7531430852125,2
2021,29,41348,294.8068637085192,1
2021,29,54074,1376.268195853551,1
2021,29,65000,2312.4462816682358,1
2021,29,70000,3364.7486772486773,2
2021,30,06550,4305.589857578003,1
2021,31,28000,3814.8648180842592,1
2021,31,37000,9.185098096847675,3
2021,32,31900,1233.1359501861914,1
2021,32,40000,3268.826967822484,2
2021,32,51800,814.6816653136959,3
2021,32,60600,1681.9385053960498,2
2021,32,68400,1592.6384710670677,3
2021,33,45140,2385.008517887564,1
2021,33,50260,1102.3036908595493,1
2021,34,13690,NA,NA
2021,34,21000,501.85752460405394,1
2021,34,36000,179.94739999077194,2
2021,34,51000,1006.7410438315034,2
2021,34,57000,267.7376171352075,1
2021,34,74000,NA,NA
2021,35,02000,299.3256764255806,1
2021,35,39380,2032.348208993141,1
2021,35,63460,139.52406790171304,1
