year,state,county,rate_crime_violent,rate_crime_property,rate_crime_violent_quality,rate_crime_property_quality
2021,01,001,1261.2675757030422,1790.7502403885956,1,1
2021,01,003,523.0461715926051,1295.2877414355592,1,1
2021,01,005,1868.6408804782454,3586.840334138327,3,3
2021,01,007,1379.1537842538019,1818.4586182498163,1,1
2021,01,009,812.3462202960412,1721.5457752359519,2,2
2021,01,011,1338.3400731754284,1222.7999229732332,1,1
2021,01,013,1032.2715186903708,1397.2159949950471,3,3
2021,01,015,1897.2036173193142,2735.562381992348,2,2
2021,01,017,1776.9994832634782,3752.0812998794286,1,1
2021,01,019,1976.6878731127815,3820.3219743275063,1,1
2021,01,021,809.238245981675,1823.5726865372185,2,2
2021,01,023,578.4865540963102,1094.4340212632897,3,3
2021,01,025,1272.1665381649962,1987.4925040692194,1,1
2021,01,027,1078.6802030456852,1431.190073322053,1,1
2021,01,029,2233.1516682174665,2578.758474013027,1,1
2021,01,031,937.7561011579161,1688.8577650353682,1,1
2021,01,033,1019.5636478895561,2354.3291834686293,2,2
2021,01,035,849.0405841399219,1613.1771098658514,2,2
2021,01,037,201.11089829534572,545.8724382302241,3,3
2021,01,039,1843.1581755134703,2632.7020538810352,2,2
2021,01,041,1015.0375939849625,2195.4887218045114,3,3
2021,01,043,1385.8888929487769,3119.872142811063,3,3
2021,01,045,1988.5243182488725,3734.688286665591,2,2
2021,01,047,1810.428476584444,2336.448598130841,3,3
2021,01,049,893.482130544879,1131.8369160518002,1,1
2021,01,051,746.1833644689582,1743.7987195894807,2,2
2021,01,053,1285.2843081428455,2115.0248108679734,3,3
2021,01,055,1880.817784524598,3223.958956798344,2,2
2021,01,057,749.2766170868184,1453.1477909570528,1,1
2021,01,059,789.7858525316851,2004.1206218392958,3,3
2021,01,061,1243.425145912214,2697.3397807578876,2,2
2021,01,063,242.0073875939371,382.11692777990066,3,3
2021,01,065,114.71759228018085,60.73284297186045,3,3
2021,01,067,1699.0952162258193,2586.049449641516,2,2
2021,01,069,244.41674853779256,656.4257278100953,2,2
2021,01,071,302.5804978305549,451.016213747431,3,3
2021,01,073,1325.4171049419188,3466.9623175835227,2,2
2021,01,075,660.4924976667385,1443.0325220762438,2,2
2021,01,077,1320.9487690428746,3535.3859998714406,2,2
2021,01,079,682.1802110011675,1191.9432097441104,3,3
2021,01,081,1893.8738271193158,3678.0048041812042,2,2
2021,01,083,317.0130057096915,937.3758105393094,2,2
