year,state,county,subgroup_type,subgroup,rate_juv_arrest,rate_juv_arrest_quality
2021,01,037,race-ethnicity,Black,0,3
2021,01,037,race-ethnicity,Other Races and Ethnicities,NA,NA
2021,01,037,race-ethnicity,Hispanic,NA,NA
2021,01,037,gender,Male,0,3
2021,01,037,gender,Female,0,3
2021,01,037,age,Age 10 to 14,0,3
2021,01,037,age,Age 15 to 17,0,3
2021,01,039,all,All,790.8163265306122,2
2021,01,039,race-ethnicity,"White, Non-Hispanic",694.225307668034,2
2021,01,039,race-ethnicity,Black,2073.7327188940094,2
2021,01,039,race-ethnicity,Other Races and Ethnicities,0,2
2021,01,039,race-ethnicity,Hispanic,0,2
2021,01,039,gender,Male,1061.6784630940344,2
2021,01,039,gender,Female,514.9330587023687,2
2021,01,039,age,Age 10 to 14,285.7142857142857,2
2021,01,039,age,Age 15 to 17,1632.6530612244899,2
2021,01,041,all,All,201.74848688634836,3
2021,01,041,race-ethnicity,"White, Non-Hispanic",105.70824524312897,3
2021,01,041,race-ethnicity,Black,651.4657980456026,3
2021,01,041,race-ethnicity,Other Races and Ethnicities,0,3
2021,01,041,race-ethnicity,Hispanic,0,3
2021,01,041,gender,Male,252.52525252525254,3
2021,01,041,gender,Female,143.88489208633095,3
2021,01,041,age,Age 10 to 14,0,3
2021,01,041,age,Age 15 to 17,540.5405405405405,3
2021,01,043,all,All,166.88133351701296,3
2021,01,043,race-ethnicity,"White, Non-Hispanic",177.7523670225018,3
2021,01,043,race-ethnicity,Black,0,3
2021,01,043,race-ethnicity,Other Races and Ethnicities,0,3
2021,01,043,race-ethnicity,Hispanic,0,3
2021,01,043,gender,Male,281.6078226724816,3
2021,01,043,gender,Female,34.67708630089254,3
2021,01,043,age,Age 10 to 14,17.58087201125176,3
2021,01,043,age,Age 15 to 17,412.81849686620785,3
2021,01,045,all,All,567.8619359556272,2
2021,01,045,race-ethnicity,"White, Non-Hispanic",495.82125938231565,2
2021,01,045,race-ethnicity,Black,1010.9573446076712,2
2021,01,045,race-ethnicity,Other Races and Ethnicities,0,2
2021,01,045,race-ethnicity,Hispanic,0,2
2021,01,045,gender,Male,854.8265302633192,2
2021,01,045,gender,Female,296.47253829329617,2
2021,01,045,age,Age 10 to 14,316.70137514991035,2
2021,01,045,age,Age 15 to 17,978.188200992874,2
2021,01,047,all,All,271.985494106981,3
2021,01,047,race-ethnicity,"White, Non-Hispanic",0,3
2021,01,047,race-ethnicity,Black,333.889816360601,3
2021,01,047,race-ethnicity,Other Races and Ethnicities,0,3
2021,01,047,race-ethnicity,Hispanic,NA,NA
2021,01,047,gender,Male,451.05999097880016,3
2021,01,047,gender,Female,91.11617312072893,3
2021,01,047,age,Age 10 to 14,148.14814814814815,3
2021,01,047,age,Age 15 to 17,467.28971962616816,3
2021,01,049,all,All,90.27307605506658,3
2021,01,049,race-ethnicity,"White, Non-Hispanic",117.61246692149366,3
2021,01,049,race-ethnicity,Black,0,3
2021,01,049,race-ethnicity,Other Races and Ethnicities,0,3
2021,01,049,race-ethnicity,Hispanic,0,3
2021,01,049,gender,Male,117.26078799249532,3
2021,01,049,gender,Female,65.24575902566333,3
2021,01,049,age,Age 10 to 14,17.5561797752809,3
2021,01,049,age,Age 15 to 17,221.09917877447884,3
2021,01,051,all,All,165.85797225752393,2
2021,01,051,race-ethnicity,"White, Non-Hispanic",63.187820781401015,2
2021,01,051,race-ethnicity,Black,541.5448636379268,2
2021,01,051,race-ethnicity,Other Races and Ethnicities,100.4045804794052,2
2021,01,051,race-ethnicity,Hispanic,0,2
2021,01,051,gender,Male,279.3270151129564,2
2021,01,051,gender,Female,28.88052736507102,2
2021,01,051,age,Age 10 to 14,39.76185697873595,2
2021,01,051,age,Age 15 to 17,357.8490288356345,2
2021,01,053,all,All,72.4287783679382,3
2021,01,053,race-ethnicity,"White, Non-Hispanic",38.35826620636747,3
2021,01,053,race-ethnicity,Black,168.63406408094434,3
2021,01,053,race-ethnicity,Other Races and Ethnicities,0,3
2021,01,053,race-ethnicity,Hispanic,0,3
2021,01,053,gender,Male,150.37593984962407,3
2021,01,053,gender,Female,0,3
2021,01,053,age,Age 10 to 14,0,3
2021,01,053,age,Age 15 to 17,209.20502092050208,3
2021,01,055,all,All,48.02612621265968,2
2021,01,055,race-ethnicity,"White, Non-Hispanic",25.33890789306981,2
2021,01,055,race-ethnicity,Black,122.02562538133007,2
2021,01,055,race-ethnicity,Other Races and Ethnicities,0,2
2021,01,055,race-ethnicity,Hispanic,170.06802721088434,2
2021,01,055,gender,Male,76.37960664502577,2
2021,01,055,gender,Female,19.327406262079627,2
2021,01,055,age,Age 10 to 14,0,2
2021,01,055,age,Age 15 to 17,123.79301807378064,2
2021,01,057,all,All,267.8718731798035,1
2021,01,057,race-ethnicity,"White, Non-Hispanic",172.6278964768431,1
2021,01,057,race-ethnicity,Black,1418.4397163120568,1
2021,01,057,race-ethnicity,Other Races and Ethnicities,0,1
2021,01,057,race-ethnicity,Hispanic,NA,NA
2021,01,057,gender,Male,516.8719018775968,1
2021,01,057,gender,Female,41.299098798901575,1
2021,01,057,age,Age 10 to 14,128.6872223316102,1
2021,01,057,age,Age 15 to 17,513.0134535551691,1
2021,01,059,all,All,205.8672156459084,3
2021,01,059,race-ethnicity,"White, Non-Hispanic",287.6663070837828,3
2021,01,059,race-ethnicity,Black,0,3
2021,01,059,race-ethnicity,Other Races and Ethnicities,0,3
2021,01,059,race-ethnicity,Hispanic,92.93680297397769,3
2021,01,059,gender,Male,185.78727357176032,3
2021,01,059,gender,Female,230.81361800346218,3
2021,01,059,age,Age 10 to 14,39.32363350373574,3
2021,01,059,age,Age 15 to 17,521.2211466865227,3
2021,01,061,all,All,176.3668430335097,2
2021,01,061,race-ethnicity,"White, Non-Hispanic",151.59171298635675,2
2021,01,061,race-ethnicity,Black,714.2857142857142,2
2021,01,061,race-ethnicity,Other Races and Ethnicities,0,2
2021,01,061,race-ethnicity,Hispanic,0,2
2021,01,061,gender,Male,255.97269624573377,2
2021,01,061,gender,Female,91.24087591240875,2
2021,01,061,age,Age 10 to 14,0,2
2021,01,061,age,Age 15 to 17,400.4004004004004,2
2021,01,063,all,All,0,3
2021,01,063,race-ethnicity,"White, Non-Hispanic",NA,NA
2021,01,063,race-ethnicity,Black,0,3
2021,01,063,race-ethnicity,Other Races and Ethnicities,0,3
2021,01,063,race-ethnicity,Hispanic,0,3
2021,01,063,gender,Male,0,3
2021,01,063,gender,Female,0,3
2021,01,063,age,Age 10 to 14,0,3
2021,01,063,age,Age 15 to 17,0,3
2021,01,065,all,All,0,3
2021,01,065,race-ethnicity,"White, Non-Hispanic",0,3
2021,01,065,race-ethnicity,Black,0,3
2021,01,065,race-ethnicity,Other Races and Ethnicities,0,3
2021,01,065,race-ethnicity,Hispanic,NA,NA
2021,01,065,gender,Male,0,3
2021,01,065,gender,Female,0,3
2021,01,065,age,Age 10 to 14,0,3
2021,01,065,age,Age 15 to 17,0,3
2021,01,067,all,All,403.4857923294162,2
2021,01,067,race-ethnicity,"White, Non-Hispanic",260.27802954385436,2
2021,01,067,race-ethnicity,Black,947.3554222431151,2
2021,01,067,race-ethnicity,Other Races and Ethnicities,0,2
2021,01,067,race-ethnicity,Hispanic,0,2
2021,01,067,gender,Male,415.9367417694343,2
2021,01,067,gender,Female,388.86334731579404,2
2021,01,067,age,Age 10 to 14,176.05633802816902,2
2021,01,067,age,Age 15 to 17,836.2493770634478,2
2021,01,069,all,All,77.65237621755438,2
2021,01,069,race-ethnicity,"White, Non-Hispanic",52.638292576474214,2
2021,01,069,race-ethnicity,Black,147.8757199934926,2
2021,01,069,race-ethnicity,Other Races and Ethnicities,0,2
2021,01,069,race-ethnicity,Hispanic,0,2
2021,01,069,gender,Male,122.24732548039964,2
2021,01,069,gender,Female,28.739994600377752,2
2021,01,069,age,Age 10 to 14,0,2
2021,01,069,age,Age 15 to 17,207.08472082282157,2
2021,01,071,all,All,0,3
2021,01,071,race-ethnicity,"White, Non-Hispanic",0,3
2021,01,071,race-ethnicity,Black,0,3
2021,01,071,race-ethnicity,Other Races and Ethnicities,0,3
2021,01,071,race-ethnicity,Hispanic,0,3
2021,01,071,gender,Male,0,3
2021,01,071,gender,Female,0,3
2021,01,071,age,Age 10 to 14,0,3
2021,01,071,age,Age 15 to 17,0,3
2021,01,073,all,All,193.3677087345787,2
2021,01,073,race-ethnicity,"White, Non-Hispanic",105.17266823096834,2
2021,01,073,race-ethnicity,Black,311.7862821725196,2
2021,01,073,race-ethnicity,Other Races and Ethnicities,0,2
2021,01,073,race-ethnicity,Hispanic,172.38629768473066,2
2021,01,073,gender,Male,292.9353583710206,2
2021,01,073,gender,Female,92.71513614733554,2
2021,01,073,age,Age 10 to 14,40.2863613923856,2
2021,01,073,age,Age 15 to 17,456.7823891556691,2
2021,01,075,all,All,127.14558169103624,2
2021,01,075,race-ethnicity,"White, Non-Hispanic",149.92503748125935,2
2021,01,075,race-ethnicity,Black,0,2
2021,01,075,race-ethnicity,Other Races and Ethnicities,0,2
2021,01,075,race-ethnicity,Hispanic,NA,NA
2021,01,075,gender,Male,138.12154696132595,2
2021,01,075,gender,Female,117.7856301531213,2
2021,01,075,age,Age 10 to 14,0,2
2021,01,075,age,Age 15 to 17,344.2340791738382,2
2021,01,077,all,All,406.0795915999536,2
2021,01,077,race-ethnicity,"White, Non-Hispanic",277.1699489423778,2
2021,01,077,race-ethnicity,Black,1327.433628318584,2
2021,01,077,race-ethnicity,Other Races and Ethnicities,0,2
2021,01,077,race-ethnicity,Hispanic,223.2142857142857,2
2021,01,077,gender,Male,466.9779853235491,2
2021,01,077,gender,Female,339.6409509946628,2
2021,01,077,age,Age 10 to 14,223.96416573348264,2
2021,01,077,age,Age 15 to 17,705.3051211284882,2
2021,01,079,all,All,88.54800873766214,3
2021,01,079,race-ethnicity,"White, Non-Hispanic",119.82550380463942,3
2021,01,079,race-ethnicity,Black,0,3
2021,01,079,race-ethnicity,Other Races and Ethnicities,0,3
2021,01,079,race-ethnicity,Hispanic,0,3
2021,01,079,gender,Male,184.20422918591643,3
2021,01,079,gender,Female,0,3
2021,01,079,age,Age 10 to 14,49.53111752460713,3
2021,01,079,age,Age 15 to 17,169.4915254237288,3
2021,01,081,all,All,305.4277135466129,2
