year,state,county,subgroup_type,subgroup,share_affordable_30ami_quality,share_affordable_50ami_quality,share_affordable_80ami_quality,share_available_30ami,share_available_50ami,share_available_80ami,share_affordable_30ami,share_affordable_50ami,share_affordable_80ami,share_available_30ami_quality,share_available_50ami_quality,share_available_80ami_quality
2022,01,001,tenure,All,2,2,2,0.5973224592737696,0.70296558463555,0.91592983645568,1.4867191685973529,1.4536356822017558,1.4930621171839416,2,2,2
2022,01,003,tenure,All,1,1,1,0.3177658942364825,0.4970918325550913,0.8365102286401925,1.5597742127153893,1.6149750143360366,1.6793742478941034,1,1,1
2022,01,005,tenure,All,3,3,3,1.3995191427705145,1.5296305426671426,1.6639454659917197,2.4113550910226476,2.4526525958086753,2.318202420041205,3,3,3
2022,01,007,tenure,All,NA,3,3,NA,0.9424480425410442,1.1205941983986247,NA,1.9777215925204763,1.677993690852211,NA,3,3
2022,01,009,tenure,All,2,2,2,0.4393115805514389,0.8153262090709545,0.9499453240146437,1.9672209523331072,1.999106378078189,1.8251009550276602,2,2,2
2022,01,011,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,013,tenure,All,NA,3,3,NA,1.85051251518818,1.9362245951836816,NA,2.7735345683297123,2.5904815492331665,NA,3,3
2022,01,015,tenure,All,1,1,1,0.4462516156828953,0.6433958954569374,0.9110276285130059,2.0984489444205083,2.1969829854411507,1.8717960911122735,1,1,1
2022,01,017,tenure,All,3,3,3,0.7958625482222672,0.805747007205026,1.0633334445852134,1.7947755008102761,1.7052920615049965,1.8771875061694954,3,3,3
2022,01,019,tenure,All,NA,NA,3,NA,NA,1.0155860830108456,NA,NA,1.9900739885843384,NA,NA,3
2022,01,021,tenure,All,NA,3,3,NA,0.7675409152371923,0.8288564962784387,NA,2.4576615698782147,2.1924660509820657,NA,3,3
2022,01,023,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,025,tenure,All,NA,3,3,NA,1.0368227224303097,1.318434441254998,NA,2.147807621534947,2.166211180472517,NA,3,3
2022,01,027,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,029,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,031,tenure,All,2,2,2,0.8118532998548404,0.9443989742293032,1.063571937018926,2.11467282537962,1.9391947067299538,1.767808709773842,2,2,2
2022,01,033,tenure,All,3,3,3,0.45986446490153454,0.8269472824612747,0.930214086791827,1.8018742346154215,1.9566835822023305,1.9174032828034386,3,3,3
2022,01,035,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,037,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,039,tenure,All,3,3,3,1.1119075576059867,1.2106604697570924,1.3847456030666634,2.12374350585812,2.1626411915156445,2.0081642777654585,3,3,3
2022,01,041,tenure,All,NA,NA,3,NA,NA,2.4081627692775385,NA,NA,3.033167439904897,NA,NA,3
2022,01,043,tenure,All,2,2,2,0.6436726530769395,0.7353344998159822,0.8765141340455012,2.01233502852884,2.051273921018561,1.9191677196563397,2,2,2
2022,01,045,tenure,All,2,2,2,0.8534637062761156,0.8981943169391361,1.088470087714425,2.156283231800895,2.023474915549505,1.9768496714607084,2,2,2
2022,01,047,tenure,All,3,3,3,0.6759036125144707,0.7551629763853529,0.9515295930412216,1.565300321838054,1.6735124648075392,1.6006516450295156,3,3,3
2022,01,049,tenure,All,2,2,2,0.5366733161931725,0.5511142822090606,0.8176842605478699,1.8938296073347936,1.8979370530583013,1.723167389382226,2,2,2
2022,01,051,tenure,All,1,1,1,0.5130398199889333,0.6653756362890686,0.9016045612483448,2.316630561931395,2.0400922651729196,2.078278492262097,1,1,1
2022,01,053,tenure,All,3,3,3,0.7500749217732418,0.8557734398204836,1.1220826273508961,1.9700779028434459,1.9667583389251209,1.9698593665684152,3,3,3
2022,01,055,tenure,All,1,1,1,0.442010432866952,0.5070827146599937,0.8865365413920004,1.7382658289115258,1.6519158469478905,1.8032753507824368,1,1,1
2022,01,057,tenure,All,NA,NA,3,NA,NA,1.0731632004860938,NA,NA,1.9441251691661834,NA,NA,3
2022,01,059,tenure,All,NA,NA,3,NA,NA,1.089251790417548,NA,NA,2.110840797113976,NA,NA,3
2022,01,061,tenure,All,3,3,3,0.7807167797615127,1.0672449311839671,1.3538467627362538,2.1434722413541833,2.3467310593785826,2.3337996416681763,3,3,3
2022,01,063,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,065,tenure,All,NA,NA,3,NA,NA,1.2600797270565156,NA,NA,1.89551265499262,NA,NA,3
2022,01,067,tenure,All,NA,3,3,NA,1.3663040710581091,1.6350486754153788,NA,2.631525732113104,2.670839410923556,NA,3,3
2022,01,069,tenure,All,2,2,2,0.5279624292734557,0.6756896061236519,0.9714791264526303,1.8907178908661268,1.955175734318267,1.9514320053845526,2,2,2
2022,01,071,tenure,All,2,2,2,0.5762110178766355,0.5867844204717181,0.8475508029506971,1.9333673090182566,1.9336071913209587,1.753033931785053,2,2,2
