year,state,place,subgroup_type,subgroup,share_affordable_30ami_quality,share_affordable_50ami_quality,share_affordable_80ami_quality,share_available_30ami,share_available_50ami,share_available_80ami,share_affordable_30ami,share_affordable_50ami,share_affordable_80ami,share_available_30ami_quality,share_available_50ami_quality,share_available_80ami_quality
2022,06,22230,tenure,Owner,NA,1,1,NA,0.5871828933108197,0.7519996892204054,NA,1.5965080876841387,1.426345872375106,NA,1,1
2022,06,22230,tenure,Renter,1,1,1,0.1640766913163536,0.3063406030600006,0.8208728941908635,0.2083223630158365,0.4078896242238676,0.9756142345793376,1,1,1
2022,06,22804,tenure,All,1,1,1,0.18566418400945536,0.3555111649280937,0.6930995685471151,0.7424664955408946,0.8028606840700956,1.0471253872544064,1,1,1
2022,06,22804,tenure,Owner,NA,1,1,NA,0.41373241833488666,0.6248448283778361,NA,1.5502687642946755,1.2498437360693126,NA,1,1
2022,06,22804,tenure,Renter,1,1,1,0.14643454567879222,0.3235405555262622,0.7429773424798916,0.20814542605479874,0.39244197271605813,0.8989871048561595,1,1,1
2022,06,23182,tenure,All,1,1,1,0.22968662369681597,0.32482782025141793,0.5990575365371392,0.8960245617297925,0.8639151975576114,1.1186322445688084,1,1,1
2022,06,23182,tenure,Owner,NA,1,1,NA,0.45916169124458256,0.6045955244768205,NA,1.3800503763592167,1.3117264431459021,NA,1,1
2022,06,23182,tenure,Renter,NA,1,1,NA,0.17604826935615162,0.5922886833665036,NA,0.29227708770772703,0.882621207256019,NA,1,1
2022,06,24638,tenure,All,NA,2,2,NA,0.3049143232886342,0.5514351695167896,NA,1.4056522122844635,1.409055550761708,NA,2,2
2022,06,24638,tenure,Owner,NA,NA,2,NA,NA,0.6485100485100485,NA,NA,1.9205821205821205,NA,NA,2
2022,06,24638,tenure,Renter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,06,24680,tenure,All,1,1,1,0.23317511104805294,0.35276854403795416,0.5911424467884254,0.8855862528347801,1.0133471334304631,1.2014026475448394,1,1,1
2022,06,24680,tenure,Owner,NA,1,1,NA,0.5166693927136575,0.6470698746466982,NA,1.7125828121879536,1.5102225084361267,NA,1,1
2022,06,24680,tenure,Renter,NA,1,1,NA,0.18784682534865307,0.524642363088464,NA,0.30975620732282877,0.8342027353743161,NA,1,1
2022,06,26000,tenure,All,1,1,1,0.3184267271118242,0.3594344115969555,0.5430853892117403,1.325895017322174,1.2400887118083432,1.26001924989525,1,1,1
2022,06,26000,tenure,Owner,1,1,1,0.4291534402101192,0.5387474278948481,0.7103233563900543,2.2226755216679988,2.370488792824128,2.0739487258709044,1,1,1
2022,06,26000,tenure,Renter,1,1,1,0.19225581994092816,0.21022352107561829,0.3976500191457903,0.30403130801074274,0.29945424914586155,0.5522007051990558,1,1,1
2022,06,27000,tenure,All,1,1,1,0.157479202223362,0.2970014411197745,0.5193296131484032,0.5110586992173839,0.7061242946212748,0.9432758596832657,1,1,1
2022,06,27000,tenure,Owner,1,1,1,0.24914364455455695,0.38956036962908713,0.589688284575166,1.246871607496817,1.4867337366898208,1.4306111882699364,1,1,1
2022,06,27000,tenure,Renter,1,1,1,0.11550063813369128,0.25222423564008495,0.4761093861226834,0.17408649339070464,0.3284890956207559,0.6439134198865711,1,1,1
2022,06,28000,tenure,All,2,2,2,0.2071800722635574,0.3273944455941628,0.6737981901871993,0.5602553715841495,0.8094693448229874,1.0533363224339123,2,2,2
2022,06,28000,tenure,Owner,2,2,2,0.3679522017513229,0.5482541480187753,0.657287285250339,1.353011796671579,1.7045576728423852,1.3345190666311664,2,2,2
2022,06,28000,tenure,Renter,2,2,2,0.12054074894745644,0.20262813888007453,0.6853014200253137,0.13304276674462204,0.30382316471918125,0.8574349018042201,2,2,2
2022,06,29000,tenure,All,1,1,1,0.34297026332095454,0.4143686918406575,0.808241096608888,1.2174061107075937,0.9572766081392722,1.2553459844029073,1,1,1
2022,06,29000,tenure,Owner,1,1,1,0.5559482830676659,0.6392461793187866,0.8663057624063017,2.5364781969751933,1.802234383788209,1.6724902407077487,1,1,1
2022,06,29000,tenure,Renter,1,1,1,0.19168775261574172,0.24627225258493984,0.7630200180273332,0.28044305109680584,0.32566872688423226,0.9304717612390225,1,1,1
2022,06,30000,tenure,All,1,1,1,0.14751645721125076,0.1678106614369763,0.3458340704050946,0.322262118491921,0.35460866464610447,0.6120054248481632,1,1,1
2022,06,30000,tenure,Owner,NA,1,1,NA,0.33470176285921277,0.3884978084739009,NA,1.2704660709973437,1.1468986585203877,NA,1,1
2022,06,30000,tenure,Renter,1,1,1,0.13067928233508883,0.13003552883301447,0.33366175300314527,0.14031955726144782,0.14730800765236404,0.4593959604380613,1,1,1
2022,06,32548,tenure,All,2,2,2,0.1427969073834664,0.2303025539560686,0.658805127779416,0.5604205294151343,0.6686747379210445,0.9734933746794872,2,2,2
2022,06,32548,tenure,Owner,NA,NA,2,NA,NA,0.7363339714748199,NA,NA,1.4118768126092311,NA,NA,2
2022,06,32548,tenure,Renter,NA,2,2,NA,0.18077514419798804,0.637067423092984,NA,0.39681381530702337,0.8505784792816017,NA,2,2
2022,06,33000,tenure,All,1,1,1,0.29626598247806424,0.38723371653220573,0.6120329607478764,0.9670298831746514,1.1057394329179646,1.218696927661117,1,1,1
2022,06,33000,tenure,Owner,1,1,1,0.522474880626901,0.603202783606749,0.7717167168635557,2.165631425877067,2.125500001807387,1.7352774636829975,1,1,1
2022,06,33000,tenure,Renter,1,1,1,0.15376798969600702,0.2423953638352532,0.46506576819710116,0.2119830420544021,0.42184315580772797,0.743254760265508,1,1,1
2022,06,33182,tenure,All,2,2,2,0.24237437270667841,0.3896515473807677,0.700390423271961,0.8405933784981308,1.0252596829785015,1.0807532280338246,2,2,2
2022,06,33182,tenure,Owner,NA,2,2,NA,0.5795069004338363,0.7211860447343293,NA,1.5948941737524345,1.2055172479853689,NA,2,2
2022,06,33182,tenure,Renter,NA,NA,2,NA,NA,0.6645965692511642,NA,NA,0.8660068149355368,NA,NA,2
2022,06,33434,tenure,All,2,2,2,0.18113660712966992,0.25730053132867775,0.6791448390556427,0.6814309489458124,0.8411530647558324,1.092814490927818,2,2,2
2022,06,33434,tenure,Owner,NA,2,2,NA,0.3804027662964958,0.6691468398940891,NA,1.439306964630557,1.2416136517169236,NA,2,2
2022,06,33434,tenure,Renter,NA,NA,2,NA,NA,0.6958629903185486,NA,NA,0.8440000193851788,NA,NA,2
2022,06,36000,tenure,All,1,1,1,0.2001954365464609,0.36440033111662495,0.5746409448082868,0.9021630848003546,1.006293340831135,1.0519286001996493,1,1,1
2022,06,36000,tenure,Owner,1,1,1,0.298226298907081,0.5434274591755628,0.6712465766891051,1.6585290260033438,1.6560228407513786,1.4329353300475511,1,1,1
2022,06,36000,tenure,Renter,1,1,1,0.10023355825391825,0.1418185501172423,0.4523144374198203,0.13089821638550644,0.1984942612833911,0.5694803034865372,1,1,1
2022,06,36448,tenure,All,2,2,2,0.3341210142532574,0.5344340960176984,0.9036152139352404,1.2076728088292954,1.2746718955619698,1.5451698745502498,2,2,2
2022,06,36448,tenure,Owner,NA,2,2,NA,0.6420370255246781,0.8123853592556693,NA,1.831945825072646,1.801889061966342,NA,2,2
2022,06,36448,tenure,Renter,NA,2,2,NA,0.42627454522731517,0.9995118483129946,NA,0.7145152329205805,1.2753184521199126,NA,2,2
2022,06,36546,tenure,All,1,1,1,0.07909695274558828,0.20876574122296784,0.6165819740104093,0.3489525917406368,0.5008322302007819,0.9190804427832493,1,1,1
2022,06,36546,tenure,Owner,NA,1,1,NA,0.3256814181834089,0.5095075450592101,NA,1.1724872237873958,1.2710082114277717,NA,1,1
2022,06,36546,tenure,Renter,1,1,1,0.0386186168967586,0.16834832292947552,0.648783170140578,0.04920704916633805,0.26864300177174716,0.813242893960646,1,1,1
2022,06,36770,tenure,All,1,1,1,0.21918042298099322,0.3228759794731112,0.4724635752618481,0.7659580575647024,0.9228493422653551,0.9550083907747122,1,1,1
2022,06,36770,tenure,Owner,1,1,1,0.29607149896631374,0.4722772110348803,0.6443255981217725,1.8779436781491037,2.0721521478783393,1.7425757935369435,1,1,1
2022,06,36770,tenure,Renter,1,1,1,0.18454423640240392,0.2486815733519223,0.37277715534382017,0.26505543741379234,0.3520920718969622,0.49818975499328927,1,1,1
2022,06,37692,tenure,All,NA,2,2,NA,0.2844456053284576,0.4632569077013522,NA,0.997910408776283,1.2106848912404466,NA,2,2
2022,06,37692,tenure,Owner,NA,2,2,NA,0.38366232675346496,0.5726263312939045,NA,1.4804703905921883,1.6467255835032861,NA,2,2
2022,06,37692,tenure,Renter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,06,39496,tenure,All,NA,2,2,NA,0.2391569862700289,0.5551662300537544,NA,0.9419677157775802,1.1162619319685334,NA,2,2
2022,06,39496,tenure,Owner,NA,NA,2,NA,NA,0.610867964194161,NA,NA,1.5886108973349096,NA,NA,2
2022,06,39496,tenure,Renter,NA,NA,2,NA,NA,0.4969297325574717,NA,NA,0.622418252531339,NA,NA,2
2022,06,39892,tenure,All,NA,2,2,NA,0.35661653376400526,0.6988826200587643,NA,1.336125971535278,1.3618845063427847,NA,2,2
2022,06,39892,tenure,Owner,NA,2,2,NA,0.522990522990523,0.7659356042930472,NA,2.134959634959635,1.734857676154923,NA,2,2
2022,06,39892,tenure,Renter,NA,NA,2,NA,NA,0.6072406907130578,NA,NA,0.8521386498967312,NA,NA,2
2022,06,40130,tenure,All,1,1,1,0.2714116618319528,0.5515325743155064,0.8457335674454812,0.658434447971549,0.8763365112324736,1.2474703628243329,1,1,1
2022,06,40130,tenure,Owner,1,1,1,0.30401549461767524,0.552995243605939,0.8552010001630507,1.082662322800769,1.0925841420885014,1.3352410126261887,1,1,1
2022,06,40130,tenure,Renter,1,1,1,0.23920159297562796,0.549913127566052,0.8330509613144701,0.23933007000389656,0.6369101930909276,1.129892491979361,1,1,1
2022,06,41992,tenure,All,NA,2,2,NA,0.3712391108705784,0.5365972361606542,NA,1.3747902472342148,1.2446240989684574,NA,2,2
2022,06,41992,tenure,Owner,NA,NA,2,NA,NA,0.6638791381646049,NA,NA,1.8150218306938923,NA,NA,2
2022,06,41992,tenure,Renter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,06,43000,tenure,All,1,1,1,0.19406602431375428,0.2866359789161601,0.595552826272499,0.693905238948258,0.7475742692157312,0.9977593851759906,1,1,1
2022,06,43000,tenure,Owner,1,1,1,0.29695163429520083,0.5502468625952709,0.6887515087972345,2.133847713984452,1.9225117897719848,1.517196613374277,1,1,1
2022,06,43000,tenure,Renter,1,1,1,0.1610083201117596,0.1818463811445277,0.5547238094387493,0.23124391618195014,0.28051756629233343,0.7702013257736453,1,1,1
2022,06,44000,tenure,All,1,1,1,0.18216573663338895,0.30876661765072017,0.5728178340060723,0.40160943454037806,0.5820131600308698,0.8554570638032354,1,1,1
2022,06,44000,tenure,Owner,1,1,1,0.22948006055105344,0.4019874559410161,0.591395685356558,1.0445431623428556,1.2479455770840222,1.2221303467614006,1,1,1
