statefip,puma,place,pop20,afact,afact2,totpop,placepop,placewgt,products,sum_products,place_pop,puma_flag,small_place
04,00102,46000,138026,0.9581,0.2737,110522959,504258,0.004562472852360024,0.26223197,0.92021948,504258,1,0
04,00103,46000,114776,1,0.2276,110522959,504258,0.004562472852360024,0.2276,0.92021948,504258,1,0
04,00104,46000,100186,0.9394,0.1987,110522959,504258,0.004562472852360024,0.18665878,0.92021948,504258,1,0
04,00111,46000,23,2e-4,0,110522959,504258,0.004562472852360024,0,0.92021948,504258,1,0
04,00126,54050,1568,0.012,0.0082,110522959,190985,0.001728012005179847,9.84e-5,0.66948067,190985,2,0
04,00127,54050,113300,0.9365,0.5932,110522959,190985,0.001728012005179847,0.5555317999999999,0.66948067,190985,2,0
04,00129,54050,53112,0.3734,0.2781,110522959,190985,0.001728012005179847,0.10384254000000001,0.66948067,190985,2,0
04,00130,54050,6905,0.055,0.0362,110522959,190985,0.001728012005179847,0.001991,0.66948067,190985,2,0
04,00134,54050,16100,0.0951,0.0843,110522959,190985,0.001728012005179847,0.00801693,0.66948067,190985,2,0
04,00110,55000,587,0.0046,4e-4,110522959,1608136,0.014550243809523775,1.84e-6,0.9391137799999999,1608136,1,0
04,00112,55000,56373,0.4304,0.0351,110522959,1608136,0.014550243809523775,0.01510704,0.9391137799999999,1608136,1,0
04,00113,55000,104849,0.9969,0.0652,110522959,1608136,0.014550243809523775,0.06499788,0.9391137799999999,1608136,1,0
04,00114,55000,111355,1,0.0692,110522959,1608136,0.014550243809523775,0.0692,0.9391137799999999,1608136,1,0
04,00115,55000,109655,1,0.0682,110522959,1608136,0.014550243809523775,0.0682,0.9391137799999999,1608136,1,0
04,00116,55000,110648,1,0.0688,110522959,1608136,0.014550243809523775,0.0688,0.9391137799999999,1608136,1,0
04,00117,55000,104117,0.9962,0.0647,110522959,1608136,0.014550243809523775,0.06445414,0.9391137799999999,1608136,1,0
04,00118,55000,118563,1,0.0737,110522959,1608136,0.014550243809523775,0.0737,0.9391137799999999,1608136,1,0
04,00119,55000,116008,0.9889,0.0721,110522959,1608136,0.014550243809523775,0.07129969,0.9391137799999999,1608136,1,0
04,00120,55000,108630,0.9991,0.0676,110522959,1608136,0.014550243809523775,0.06753915999999999,0.9391137799999999,1608136,1,0
04,00121,55000,138826,0.9173,0.0863,110522959,1608136,0.014550243809523775,0.07916299,0.9391137799999999,1608136,1,0
04,00122,55000,112213,1,0.0698,110522959,1608136,0.014550243809523775,0.0698,0.9391137799999999,1608136,1,0
04,00123,55000,121141,0.9998,0.0753,110522959,1608136,0.014550243809523775,0.07528494000000001,0.9391137799999999,1608136,1,0
04,00124,55000,392,0.0034,2e-4,110522959,1608136,0.014550243809523775,6.8e-7,0.9391137799999999,1608136,1,0
04,00125,55000,113774,1,0.0707,110522959,1608136,0.014550243809523775,0.0707,0.9391137799999999,1608136,1,0
04,00126,55000,1043,0.008,6e-4,110522959,1608136,0.014550243809523775,4.8e-6,0.9391137799999999,1608136,1,0
04,00128,55000,108237,1,0.0673,110522959,1608136,0.014550243809523775,0.0673,0.9391137799999999,1608136,1,0
04,00129,55000,51011,0.3586,0.0317,110522959,1608136,0.014550243809523775,0.011367619999999998,0.9391137799999999,1608136,1,0
04,00133,55000,20714,0.17,0.0129,110522959,1608136,0.014550243809523775,0.002193,0.9391137799999999,1608136,1,0
04,00110,65000,115201,0.8981,0.4773,110522959,241360,0.002183799657408738,0.42866313,0.71355825,241360,2,0
04,00111,65000,72036,0.6458,0.2985,110522959,241360,0.002183799657408738,0.1927713,0.71355825,241360,2,0
04,00112,65000,53973,0.412,0.2236,110522959,241360,0.002183799657408738,0.09212319999999999,0.71355825,241360,2,0
04,00113,65000,21,2e-4,1e-4,110522959,241360,0.002183799657408738,2e-8,0.71355825,241360,2,0
04,00117,65000,129,0.0012,5e-4,110522959,241360,0.002183799657408738,6e-7,0.71355825,241360,2,0
04,00129,71510,25,2e-4,2e-4,110522959,143148,0.001295187907518835,4e-8,0.8615442,143148,1,0
04,00130,71510,9319,0.0742,0.0651,110522959,143148,0.001295187907518835,0.00483042,0.8615442,143148,1,0
04,00131,71510,122832,0.9926,0.8581,110522959,143148,0.001295187907518835,0.85175006,0.8615442,143148,1,0
04,00134,71510,10972,0.0648,0.0766,110522959,143148,0.001295187907518835,0.00496368,0.8615442,143148,1,0
04,00102,73000,1249,0.0087,0.0069,110522959,180587,0.0016339320050234992,6.002999999999999e-5,0.8465494299999999,180587,1,0
04,00108,73000,61991,0.574,0.3433,110522959,180587,0.0016339320050234992,0.19705419999999998,0.8465494299999999,180587,1,0
04,00109,73000,117292,0.9999,0.6495,110522959,180587,0.0016339320050234992,0.64943505,0.8465494299999999,180587,1,0
04,00119,73000,55,5e-4,3e-4,110522959,180587,0.0016339320050234992,1.5e-7,0.8465494299999999,180587,1,0
04,00201,77000,20184,0.1931,0.0372,110522959,542629,0.004909649586924288,0.007183319999999999,0.7699709699999999,542629,1,0
04,00202,77000,47124,0.3627,0.0868,110522959,542629,0.004909649586924288,0.03148236,0.7699709699999999,542629,1,0
04,00203,77000,413,0.0034,8e-4,110522959,542629,0.004909649586924288,2.72e-6,0.7699709699999999,542629,1,0
04,00204,77000,21078,0.193,0.0388,110522959,542629,0.004909649586924288,0.0074884,0.7699709699999999,542629,1,0
04,00205,77000,55027,0.3647,0.1014,110522959,542629,0.004909649586924288,0.036980580000000006,0.7699709699999999,542629,1,0
04,00206,77000,101741,0.9809,0.1875,110522959,542629,0.004909649586924288,0.18391875,0.7699709699999999,542629,1,0
04,00207,77000,88183,0.8587,0.1625,110522959,542629,0.004909649586924288,0.13953875000000002,0.7699709699999999,542629,1,0
04,00208,77000,89471,0.869,0.1649,110522959,542629,0.004909649586924288,0.14329809999999998,0.7699709699999999,542629,1,0
04,00209,77000,119408,0.9999,0.2201,110522959,542629,0.004909649586924288,0.22007799,0.7699709699999999,542629,1,0
04,00700,85540,95548,0.4686,1,110522959,95548,8.645081606980863e-4,0.4686,0.4686,95548,2,1
05,00200,23290,93949,0.3799,1,110522959,93949,8.500405784466917e-4,0.3799,0.3799,93949,2,1
05,01400,24550,89142,0.4745,1,110522959,89142,8.065473527541006e-4,0.4745,0.4745,89142,2,1
05,00500,35710,78486,0.3993,0.9989,110522959,78576,7.109473064325034e-4,0.39886077,0.39886175999999995,78576,2,1
05,00600,35710,90,9e-4,0.0011,110522959,78576,7.109473064325034e-4,9.9e-7,0.39886175999999995,78576,2,1
05,00900,41000,16382,0.0777,0.0809,110522959,202591,0.001833021861095847,0.00628593,0.91086415,202591,1,0
05,01000,41000,186209,0.9842,0.9191,110522959,202591,0.001833021861095847,0.90457822,0.91086415,202591,1,0
05,00100,66080,8936,0.0316,0.1062,110522959,84161,7.614797935332151e-4,0.0033559200000000005,0.27524988000000006,84161,3,1
05,00200,66080,75225,0.3042,0.8938,110522959,84161,7.614797935332151e-4,0.27189396000000005,0.27524988000000006,84161,3,1
06,00102,00562,128,7e-4,0.0016,110522959,78280,7.082691298556348e-4,1.12e-6,0.44868208000000004,78280,2,1
06,00105,00562,78152,0.4494,0.9984,110522959,78280,7.082691298556348e-4,0.44868096,0.44868208000000004,78280,2,1
06,03717,00884,249,0.0013,0.003,110522959,82868,7.497808667970969e-4,3.9e-6,0.7104661,82868,2,1
06,03736,00884,82619,0.7126,0.997,110522959,82868,7.497808667970969e-4,0.7104622,0.7104661,82868,2,1
06,05905,02000,12107,0.0519,0.0349,110522959,346824,0.0031380267334319197,0.00181131,0.7950302099999998,346824,1,0
06,05906,02000,5554,0.029,0.016,110522959,346824,0.0031380267334319197,4.6400000000000006e-4,0.7950302099999998,346824,1,0
06,05907,02000,5638,0.0286,0.0163,110522959,346824,0.0031380267334319197,4.6617999999999996e-4,0.7950302099999998,346824,1,0
06,05908,02000,2732,0.0146,0.0079,110522959,346824,0.0031380267334319197,1.1534000000000002e-4,0.7950302099999998,346824,1,0
06,05909,02000,124993,0.8468,0.3604,110522959,346824,0.0031380267334319197,0.30518672,0.7950302099999998,346824,1,0
