statefip,place,puma_flag,small_place
01,03076,1,0
01,07000,1,0
01,35896,2,0
01,37000,1,0
01,50000,1,0
01,51000,1,0
01,77256,1,0
02,03000,1,0
04,04720,1,0
04,07940,1,0
04,12000,1,0
04,23620,1,0
04,27400,1,0
04,27820,1,0
04,28380,1,0
04,46000,1,0
04,54050,1,0
04,55000,1,0
04,65000,1,0
04,71510,1,0
04,73000,1,0
04,77000,1,0
04,85540,1,0
05,23290,1,0
05,24550,1,0
05,35710,1,0
05,41000,1,0
05,66080,1,0
06,00562,1,0
06,00884,1,0
06,02000,1,0
06,02252,1,0
06,02364,1,0
06,03526,1,0
06,04982,1,0
06,06000,1,0
06,08786,1,0
06,08954,1,0
06,11194,1,0
06,11530,1,0
06,13014,1,0
06,13210,1,0
06,13214,1,0
06,13392,1,0
06,13588,1,0
06,14218,1,0
06,15044,1,0
06,16000,1,0
06,16350,1,0
06,16532,1,0
06,17918,1,0
06,19766,1,0
06,21712,1,0
06,22020,1,0
06,22230,1,0
06,22804,1,0
06,23182,1,0
06,24638,1,0
06,24680,1,0
06,26000,1,0
06,27000,1,0
06,28000,1,0
06,29000,1,0
06,30000,1,0
06,32548,1,0
06,33000,1,0
06,33182,1,0
06,33434,1,0
06,36000,1,0
06,36448,1,0
06,36546,1,0
06,36770,1,0
06,37692,1,0
06,39496,1,0
06,39892,1,0
06,40130,1,0
06,41992,1,0
06,43000,1,0
06,44000,1,0
06,45484,1,0
06,46842,1,0
06,46898,1,0
06,47766,1,0
06,48256,1,0
06,48354,1,0
06,49270,1,0
06,49670,1,0
06,50076,1,0
06,50258,1,0
06,51182,1,0
06,52526,1,0
06,53000,1,0
06,53322,1,0
06,53896,1,0
06,53980,1,0
06,54652,1,0
06,55156,1,0
06,56000,1,0
06,56700,1,0
06,57456,1,0
06,57792,1,0
06,58072,1,0
06,59444,1,0
06,59451,1,0
06,59920,1,0
06,60102,1,0
06,60466,1,0
06,60620,1,0
06,62000,1,0
06,62938,1,0
06,64000,1,0
06,64224,1,0
06,65000,1,0
06,65042,1,0
06,66000,1,0
06,67000,1,0
06,68000,1,0
06,68084,1,0
06,68196,1,0
06,68252,1,0
06,68378,1,0
06,69000,1,0
06,69070,1,0
06,69084,1,0
06,69088,1,0
06,69196,1,0
06,70000,1,0
06,70098,1,0
06,72016,1,0
06,73080,1,0
06,75000,1,0
06,77000,1,0
06,78120,1,0
06,78582,1,0
06,80000,1,0
06,80238,1,0
06,80854,2,0
