year,state,county,count_homeless,count_homeless_lb,count_homeless_ub,share_homeless,count_homeless_quality,share_homeless_quality
2014,56,045,33,32,34,.031488549,2,2
2014,56,043,34,33,35,.0235457066,2,2
2014,56,041,45,44,46,.01017409,1,1
2014,56,039,41,41,41,.0152359717,1,1
2014,56,037,67,67,67,.0079336884,1,1
2014,56,035,NA,NA,NA,NA,NA,NA
2014,56,033,57,55,59,.0127974851,2,2
2014,56,031,NA,NA,NA,NA,NA,NA
2014,56,029,48,47,49,.0120754717,1,1
2014,56,027,NA,NA,NA,NA,NA,NA
2014,56,025,210,210,210,.0156331416,1,1
2014,56,023,38,38,38,.011463047,1,1
2014,56,021,355,355,355,.0240710601,1,1
2014,56,019,NA,NA,NA,NA,NA,NA
2014,56,017,NA,NA,NA,NA,NA,NA
2014,56,015,NA,NA,NA,NA,NA,NA
2014,56,013,102,97,107,.01511335,3,3
2014,56,011,11,11,11,.0096916296,3,3
2014,56,009,66,66,66,.0268292688,1,1
2014,56,007,NA,NA,NA,NA,NA,NA
2014,56,005,329,329,329,.0360192694,1,1
2014,56,003,42,39,45,.0163297039,3,3
2014,56,001,89,89,89,.0228205137,1,1
2014,55,141,384,382,386,.0311536584,1,1
2014,55,139,404,403,405,.0180349089,1,1
2014,55,137,15,14,16,.005725191,3,3
2014,55,135,123,122,124,.0140459063,1,1
2014,55,133,344,334,354,.0055367779,2,2
2014,55,131,150,147,153,.0074783131,1,1
2014,55,129,51,50,52,.0191154424,1,1
2014,55,127,243,236,250,.0149925966,2,2
2014,55,125,48,44,52,.0183416121,3,3
2014,55,123,75,74,76,.018527668,1,1
2014,55,121,77,75,79,.0131242545,2,2
2014,55,119,42,41,43,.0133375674,1,1
2014,55,117,368,365,371,.0190910976,1,1
2014,55,115,63,60,66,.011675315,2,2
2014,55,113,20,19,21,.0086393086,3,3
2014,55,111,239,239,239,.0235352051,1,1
2014,55,109,141,140,142,.0098601403,1,1
2014,55,107,34,33,35,.0176165812,2,2
2014,55,105,1263,1262,1264,.0450990908,1,1
2014,55,103,39,38,40,.0220963173,2,2
2014,55,101,1601,1595,1607,.0552812405,1,1
2014,55,099,NA,NA,NA,NA,NA,NA
2014,55,097,153,152,154,.0162904598,1,1
2014,55,095,183,181,185,.0248202905,1,1
2014,55,093,70,69,71,.0091947988,1,1
2014,55,091,11,10,12,.0095735425,3,3
2014,55,089,63,62,64,.004984966,1,1
2014,55,087,444,444,444,.0125918156,1,1
2014,55,085,56,53,59,.0132607147,3,3
2014,55,083,23,21,25,.005514265,3,3
2014,55,081,175,174,176,.0245993808,1,1
2014,55,079,4240,4225,4255,.0303043295,1,1
2014,55,078,71,71,71,.0835294127,1,1
2014,55,077,15,15,15,.0082964599,3,3
2014,55,075,120,116,124,.019788919,2,2
2014,55,073,153,149,157,.0076722493,2,2
2014,55,071,145,144,146,.013623978,1,1
2014,55,069,117,117,117,.0247461926,1,1
2014,55,067,46,45,47,.0156303085,1,1
2014,55,065,12,6,18,.004125129,3,3
2014,55,063,225,225,225,.0138760405,1,1
2014,55,061,14,13,15,.0039705047,3,3
2014,55,059,660,657,663,.0222912729,1,1
2014,55,057,129,128,130,.0345289074,1,1
2014,55,055,227,224,230,.0168936513,1,1
2014,55,053,39,37,41,.0121533191,3,3
2014,55,051,NA,NA,NA,NA,NA,NA
2014,55,049,16,14,18,.0045236074,3,3
2014,55,047,97,96,98,.0316269957,1,1
2014,55,045,45,41,49,.0081595648,3,3
2014,55,043,100,97,103,.0141362734,2,2
2014,55,041,42,42,42,.0271317828,1,1
2014,55,039,151,150,152,.0112711797,1,1
2014,55,037,NA,NA,NA,NA,NA,NA
2014,55,035,329,327,331,.0231739096,1,1
2014,55,033,29,28,30,.0047131479,3,3
2014,55,031,217,217,217,.0342595503,1,1
2014,55,029,22,20,24,.0061971829,3,3
2014,55,027,255,253,257,.0237341765,1,1
2014,55,025,2069,2068,2070,.0273272395,1,1
2014,55,023,26,23,29,.0118235564,3,3
2014,55,021,85,82,88,.0097937547,2,2
2014,55,019,47,44,50,.0095160967,3,3
2014,55,017,83,81,85,.0092965951,1,1
2014,55,015,27,24,30,.0069587631,3,3
2014,55,013,33,32,34,.0129107982,2,2
2014,55,011,11,9,13,.0054027503,3,3
2014,55,009,1355,1353,1357,.0306138583,1,1
2014,55,007,NA,NA,NA,NA,NA,NA
2014,55,005,159,158,160,.0203611217,1,1
2014,55,003,28,26,30,.0104947528,3,3
2014,55,001,99,99,99,.0290322583,1,1
2014,54,109,115,115,115,.0277643651,1,1
2014,54,107,320,320,320,.0241345502,1,1
2014,54,105,52,52,52,.050048124,1,1
2014,54,103,29,29,29,.0106266029,3,3
2014,54,101,41,41,41,.0285118222,1,1
2014,54,099,175,175,175,.0236103609,1,1
2014,54,097,175,175,175,.0456680581,1,1
2014,54,095,11,11,11,.0084355827,3,3
2014,54,093,99,99,99,.0967741907,1,1
2014,54,091,84,84,84,.0349127166,1,1
2014,54,089,NA,NA,NA,NA,NA,NA
2014,54,087,225,225,225,.0946173221,1,1
2014,54,085,78,78,78,.0520000011,1,1
2014,54,083,30,30,30,.0073655783,1,1
2014,54,081,239,239,239,.0192307699,1,1
2014,54,079,58,58,58,.0059232027,1,1
2014,54,077,308,308,308,.0725388601,1,1
2014,54,075,26,26,26,.0242085662,3,3
2014,54,073,74,74,74,.0610561073,1,1
2014,54,071,24,24,24,.0253699794,3,3
2014,54,069,118,118,118,.0216394644,1,1
2014,54,067,339,339,339,.0857576504,1,1
2014,54,065,140,140,140,.0558882244,1,1
2014,54,063,55,55,55,.0299075581,1,1
2014,54,061,166,166,166,.0146954674,1,1
2014,54,059,78,78,78,.0179269128,1,1
2014,54,057,99,99,99,.0236164127,1,1
2014,54,055,373,373,373,.039425008,1,1
2014,54,053,111,111,111,.0261115041,1,1
2014,54,051,108,108,108,.02302281,1,1
2014,54,049,82,82,82,.0100391777,1,1
2014,54,047,135,135,135,.039508339,1,1
2014,54,045,265,265,265,.0430474319,1,1
2014,54,043,209,209,209,.0563190505,1,1
2014,54,041,69,69,69,.0267857146,1,1
2014,54,039,761,760,761,.0266437922,1,1
2014,54,037,837,837,837,.0923229679,1,1
2014,54,035,22,22,22,.0044879643,3,3
2014,54,033,397,397,397,.0362656452,1,1
2014,54,031,23,23,23,.0097789112,3,3
2014,54,029,30,30,30,.0071942448,1,1
2014,54,027,207,206,207,.0585241728,1,1
2014,54,025,260,260,260,.0503973626,1,1
