year,state,place,subgroup_type,subgroup,min_all,min_black,min_hispanic,min_other,min_white,count_homeless,count_homeless_lb,count_homeless_ub,share_homeless,count_homeless_quality,share_homeless_quality
2021,01,35896,race-ethnicity,_supp_black,1,1,1,1,1,34,,,,,
2021,01,35896,race-ethnicity,_supp_hispanic,1,1,1,1,1,37,,,,,
2021,01,35896,race-ethnicity,_supp_other,1,1,1,1,1,74,,,,,
2021,01,35896,race-ethnicity,_supp_white,1,1,1,1,1,31,,,,,
2021,01,37000,all,All,2,2,2,2,2,388,388,388,.0088560209,1,1
2021,01,37000,race-ethnicity,"Black, Non-Hispanic",2,2,2,2,2,180,180,180,.4639175236,1,1
2021,01,37000,race-ethnicity,Hispanic,2,2,2,2,2,47,47,47,.1211340204,1,1
2021,01,37000,race-ethnicity,Other Races and Ethnicities,2,2,2,2,2,26,26,26,.0670103058,1,1
2021,01,37000,race-ethnicity,"White, Non-Hispanic",2,2,2,2,2,116,116,116,.2989690602,1,1
2021,01,37000,race-ethnicity,_supp_all,2,2,2,2,2,24,,,,,
2021,01,37000,race-ethnicity,_supp_black,2,2,2,2,2,68,,,,,
2021,01,37000,race-ethnicity,_supp_hispanic,2,2,2,2,2,74,,,,,
2021,01,37000,race-ethnicity,_supp_other,2,2,2,2,2,148,,,,,
2021,01,37000,race-ethnicity,_supp_white,2,2,2,2,2,62,,,,,
2021,01,50000,all,All,2,2,2,2,2,2336,2335,2337,.0440198258,1,1
2021,01,50000,race-ethnicity,"Black, Non-Hispanic",2,2,2,2,2,1353,1352,1354,.5791952014,1,1
2021,01,50000,race-ethnicity,Hispanic,2,2,2,2,2,175,175,175,.0749143809,1,1
2021,01,50000,race-ethnicity,Other Races and Ethnicities,2,2,2,2,2,126,125,127,.0539383553,1,1
2021,01,50000,race-ethnicity,"White, Non-Hispanic",2,2,2,2,2,683,683,683,.2923801243,1,1
2021,01,50000,race-ethnicity,_supp_all,2,2,2,2,2,24,,,,,
2021,01,50000,race-ethnicity,_supp_black,2,2,2,2,2,68,,,,,
2021,01,50000,race-ethnicity,_supp_hispanic,2,2,2,2,2,74,,,,,
2021,01,50000,race-ethnicity,_supp_other,2,2,2,2,2,148,,,,,
2021,01,50000,race-ethnicity,_supp_white,2,2,2,2,2,62,,,,,
2021,01,51000,all,All,1,1,1,1,1,266,266,266,.0097094467,1,1
2021,01,51000,race-ethnicity,"Black, Non-Hispanic",1,1,1,1,1,239,239,239,.8984962702,1,1
2021,01,51000,race-ethnicity,Hispanic,1,1,1,1,1,6,6,6,.0225563906,1,1
2021,01,51000,race-ethnicity,Other Races and Ethnicities,1,1,1,1,1,11,11,11,.0413533822,1,1
2021,01,51000,race-ethnicity,"White, Non-Hispanic",1,1,1,1,1,10,10,10,.0375939831,1,1
2021,01,51000,race-ethnicity,_supp_all,1,1,1,1,1,12,,,,,
2021,01,51000,race-ethnicity,_supp_black,1,1,1,1,1,34,,,,,
2021,01,51000,race-ethnicity,_supp_hispanic,1,1,1,1,1,37,,,,,
2021,01,51000,race-ethnicity,_supp_other,1,1,1,1,1,74,,,,,
2021,01,51000,race-ethnicity,_supp_white,1,1,1,1,1,31,,,,,
2021,01,77256,all,All,2,2,2,2,2,295,295,295,.0098088114,1,1
2021,01,77256,race-ethnicity,"Black, Non-Hispanic",2,2,2,2,2,219,219,219,.7423728704,1,1
2021,01,77256,race-ethnicity,Hispanic,2,2,2,2,2,29,29,29,.0983050838,1,1
2021,01,77256,race-ethnicity,Other Races and Ethnicities,2,2,2,2,2,9,9,9,.0305084754,1,1
2021,01,77256,race-ethnicity,"White, Non-Hispanic",2,2,2,2,2,37,37,37,.1254237294,1,1
2021,01,77256,race-ethnicity,_supp_all,2,2,2,2,2,24,,,,,
2021,01,77256,race-ethnicity,_supp_black,2,2,2,2,2,68,,,,,
2021,01,77256,race-ethnicity,_supp_hispanic,2,2,2,2,2,74,,,,,
2021,01,77256,race-ethnicity,_supp_other,2,2,2,2,2,148,,,,,
2021,01,77256,race-ethnicity,_supp_white,2,2,2,2,2,62,,,,,
2021,02,03000,all,All,2,2,2,2,2,1690,1690,1690,.0386798494,1,1
2021,02,03000,race-ethnicity,"Black, Non-Hispanic",2,2,2,2,2,135,135,135,.0798816532,1,1
2021,02,03000,race-ethnicity,Hispanic,2,2,2,2,2,155,155,155,.0917159766,1,1
2021,02,03000,race-ethnicity,Other Races and Ethnicities,2,2,2,2,2,1163,1163,1163,.6881656647,1,1
2021,02,03000,race-ethnicity,"White, Non-Hispanic",2,2,2,2,2,235,235,235,.1390532553,1,1
2021,02,03000,race-ethnicity,_supp_all,2,2,2,2,2,10,,,,,
2021,02,03000,race-ethnicity,_supp_black,2,2,2,2,2,4,,,,,
2021,02,03000,race-ethnicity,_supp_hispanic,2,2,2,2,2,6,,,,,
2021,02,03000,race-ethnicity,_supp_other,2,2,2,2,2,18,,,,,
2021,02,03000,race-ethnicity,_supp_white,2,2,2,2,2,18,,,,,
2021,04,04720,all,All,3,3,3,3,3,467,467,467,.022557117,1,1
2021,04,04720,race-ethnicity,"Black, Non-Hispanic",3,3,3,3,3,124,124,124,.2655246258,1,1
2021,04,04720,race-ethnicity,Hispanic,3,3,3,3,3,255,255,255,.546038568,1,1
2021,04,04720,race-ethnicity,Other Races and Ethnicities,3,3,3,3,3,29,29,29,.0620984994,1,1
2021,04,04720,race-ethnicity,"White, Non-Hispanic",3,3,3,3,3,47,47,47,.100642398,1,1
2021,04,04720,race-ethnicity,_supp_all,3,3,3,3,3,132,,,,,
2021,04,04720,race-ethnicity,_supp_black,3,3,3,3,3,219,,,,,
2021,04,04720,race-ethnicity,_supp_hispanic,3,3,3,3,3,249,,,,,
2021,04,04720,race-ethnicity,_supp_other,3,3,3,3,3,540,,,,,
2021,04,04720,race-ethnicity,_supp_white,3,3,3,3,3,282,,,,,
2021,04,07940,all,All,4,4,4,4,4,38,38,38,.0024765381,1,1
2021,04,07940,race-ethnicity,"Black, Non-Hispanic",4,4,4,4,4,6,5,7,.1578947306,3,3
2021,04,07940,race-ethnicity,Hispanic,4,4,4,4,4,10,8,12,.2631579041,3,3
2021,04,07940,race-ethnicity,Other Races and Ethnicities,4,4,4,4,4,12,10,14,.3157894611,3,3
2021,04,07940,race-ethnicity,"White, Non-Hispanic",4,4,4,4,4,3,0,6,.0789473653,3,3
2021,04,07940,race-ethnicity,_supp_all,4,4,4,4,4,176,,,,,
2021,04,07940,race-ethnicity,_supp_black,4,4,4,4,4,292,,,,,
2021,04,07940,race-ethnicity,_supp_hispanic,4,4,4,4,4,332,,,,,
2021,04,07940,race-ethnicity,_supp_other,4,4,4,4,4,720,,,,,
2021,04,07940,race-ethnicity,_supp_white,4,4,4,4,4,376,,,,,
2021,04,12000,all,All,11,11,11,11,11,527,523,531,.0107834917,1,1
2021,04,12000,race-ethnicity,"Black, Non-Hispanic",11,11,11,11,11,72,67,77,.1366223842,3,3
2021,04,12000,race-ethnicity,Hispanic,11,11,11,11,11,280,275,285,.5313093066,1,1
2021,04,12000,race-ethnicity,Other Races and Ethnicities,11,11,11,11,11,71,64,78,.1347248554,3,3
2021,04,12000,race-ethnicity,"White, Non-Hispanic",11,11,11,11,11,107,104,110,.203036055,2,2
2021,04,12000,race-ethnicity,_supp_all,11,11,11,11,11,484,,,,,
2021,04,12000,race-ethnicity,_supp_black,11,11,11,11,11,803,,,,,
2021,04,12000,race-ethnicity,_supp_hispanic,11,11,11,11,11,913,,,,,
2021,04,12000,race-ethnicity,_supp_other,11,11,11,11,11,1980,,,,,
2021,04,12000,race-ethnicity,_supp_white,11,11,11,11,11,1034,,,,,
2021,04,23620,all,All,3,3,3,3,3,189,187,191,.0199283008,1,1
2021,04,23620,race-ethnicity,"Black, Non-Hispanic",3,3,3,3,3,1,0,2,.0052910051,3,3
2021,04,23620,race-ethnicity,Hispanic,3,3,3,3,3,66,66,66,.3492063582,1,1
2021,04,23620,race-ethnicity,Other Races and Ethnicities,3,3,3,3,3,93,91,95,.4920634925,1,1
2021,04,23620,race-ethnicity,"White, Non-Hispanic",3,3,3,3,3,21,19,23,.1111111119,3,3
2021,04,23620,race-ethnicity,_supp_all,3,3,3,3,3,132,,,,,
2021,04,23620,race-ethnicity,_supp_black,3,3,3,3,3,219,,,,,
2021,04,23620,race-ethnicity,_supp_hispanic,3,3,3,3,3,249,,,,,
2021,04,23620,race-ethnicity,_supp_other,3,3,3,3,3,540,,,,,
2021,04,23620,race-ethnicity,_supp_white,3,3,3,3,3,282,,,,,
2021,04,27400,all,All,6,6,6,6,6,471,471,471,.0092459908,1,1
2021,04,27400,race-ethnicity,"Black, Non-Hispanic",6,6,6,6,6,86,85,87,.1825902313,1,1
2021,04,27400,race-ethnicity,Hispanic,6,6,6,6,6,185,184,186,.3927813172,1,1
