year,state,county,count_homeless,count_homeless_lb,count_homeless_ub,share_homeless,count_homeless_quality,share_homeless_quality
2021,01,001,42,42,42,.0046625221,1,1
2021,01,003,232,232,232,.0067935577,1,1
2021,01,005,31,31,31,.0041239858,1,1
2021,01,007,3,3,3,.0009752926,1,1
2021,01,009,38,38,38,.0049614832,1,1
2021,01,011,10,10,10,.0069300071,1,1
2021,01,013,64,64,64,.0218653921,1,1
2021,01,015,199,198,200,.0116722388,1,1
2021,01,017,NA,NA,NA,NA,NA,NA
2021,01,019,288,288,288,.0739409477,1,1
2021,01,021,4,4,4,.0005179335,1,1
2021,01,023,4,4,4,.0037488285,1,1
2021,01,025,17,16,18,.00509287,3,3
2021,01,027,22,22,22,.0120481923,1,1
2021,01,029,59,59,59,.0234406032,1,1
2021,01,031,253,253,253,.0252570622,1,1
2021,01,033,56,55,57,.0108801248,1,1
2021,01,035,,,,,,
2021,01,037,NA,NA,NA,NA,NA,NA
2021,01,039,11,11,11,.0059076264,1,1
2021,01,041,7,7,7,.003111111,1,1
2021,01,043,14,14,14,.0010829208,1,1
2021,01,045,93,93,93,.0281903613,1,1
2021,01,047,136,136,136,.0265262332,1,1
2021,01,049,270,269,271,.0222772285,1,1
2021,01,051,61,61,61,.0045078332,1,1
2021,01,053,17,17,17,.0031704588,1,1
2021,01,055,165,165,165,.0110051362,1,1
2021,01,057,6,6,6,.0027816412,1,1
2021,01,059,9,9,9,.001459854,1,1
2021,01,061,,,,,,
2021,01,063,,,,,,
2021,01,065,8,8,8,.0034129692,1,1
2021,01,067,,,,,,
2021,01,069,135,134,136,.0089898119,1,1
2021,01,071,72,72,72,.0094277859,1,1
2021,01,073,768,768,768,.0080975927,1,1
2021,01,075,14,14,14,.0063291141,1,1
2021,01,077,148,148,148,.0114782071,1,1
2021,01,079,164,164,164,.0344248526,1,1
2021,01,081,72,72,72,.0030411826,1,1
2021,01,083,108,108,108,.00532177,1,1
2021,01,085,158,158,158,.1338983029,1,1
2021,01,087,7,7,7,.003794038,1,1
2021,01,089,452,452,452,.0080550304,1,1
2021,01,091,,,,,,
2021,01,093,56,55,57,.0121002588,1,1
2021,01,095,676,676,676,.0358868167,1,1
2021,01,097,2349,2347,2351,.0388033576,1,1
2021,01,099,98,98,98,.0309832431,1,1
2021,01,101,266,266,266,.0097094467,1,1
2021,01,103,103,103,103,.0051795235,1,1
2021,01,105,,,,,,
2021,01,107,3,3,3,.0012804097,1,1
2021,01,109,68,68,68,.017712947,1,1
2021,01,111,6,6,6,.0029239766,1,1
2021,01,113,114,114,114,.0103448275,1,1
2021,01,115,210,210,210,.0150959669,1,1
2021,01,117,387,387,387,.0124935433,1,1
2021,01,119,,,,,,
2021,01,121,3,3,3,.0004209345,1,1
2021,01,123,20,19,21,.0034873583,3,3
2021,01,125,295,295,295,.0098088114,1,1
2021,01,127,110,110,110,.0112244897,1,1
2021,01,129,27,27,27,.0104529615,1,1
2021,01,131,95,95,95,.0727411956,1,1
2021,01,133,8,8,8,.0020299417,1,1
2021,02,013,,,,,,
2021,02,016,,,,,,
2021,02,020,1690,1690,1690,.0386798494,1,1
2021,02,050,63,63,63,.0145867094,1,1
2021,02,060,,,,,,
2021,02,063,,,,,,
2021,02,066,,,,,,
2021,02,068,,,,,,
2021,02,070,16,16,16,.037558686,1,1
2021,02,090,285,284,286,.0181170944,1,1
2021,02,100,,,,,,
2021,02,105,22,22,22,.178861782,1,1
2021,02,110,72,72,72,.016532721,1,1
2021,02,122,176,176,176,.0208951682,1,1
2021,02,130,18,18,18,.0083487937,1,1
2021,02,150,22,22,22,.0096618356,1,1
2021,02,158,23,23,23,.0115288217,1,1
2021,02,164,,,,,,
2021,02,170,453,453,453,.0234484188,1,1
2021,02,180,44,44,44,.0171473101,1,1
2021,02,185,39,39,39,.0189504381,1,1
2021,02,188,,,,,,
2021,02,195,NA,NA,NA,NA,NA,NA
2021,02,198,25,24,26,.0222024862,2,2
2021,02,220,13,13,13,.0084470436,1,1
2021,02,230,,,,,,
2021,02,240,6,5,7,.0046692607,3,3
2021,02,275,NA,NA,NA,NA,NA,NA
2021,02,282,,,,,,
2021,02,290,148,148,148,.0159948133,1,1
2021,04,001,180,179,181,.0420266166,1,1
2021,04,003,563,562,564,.042229224,1,1
2021,04,005,502,500,504,.033072006,1,1
2021,04,007,397,397,397,.0726973116,1,1
2021,04,009,20,20,20,.0050238632,1,1
2021,04,011,,,,,,
2021,04,012,19,18,20,.0094905095,3,3
2021,04,013,10752,10724,10780,.016111413,1,1
2021,04,015,359,357,361,.0248116665,1,1
2021,04,017,713,710,716,.0402870364,1,1
2021,04,019,2663,2660,2666,.0200341549,1,1
2021,04,021,536,533,539,.0113754533,1,1
2021,04,023,528,527,529,.0568904206,1,1
2021,04,025,1223,1222,1224,.0642399415,1,1
2021,04,027,321,320,322,.0098300418,1,1
2021,05,001,50,50,50,.0180245135,1,1
2021,05,003,49,49,49,.0147412755,1,1
2021,05,005,164,164,164,.0317337476,1,1
2021,05,007,1192,1192,1192,.0233698003,1,1
2021,05,009,347,347,347,.0579202138,1,1
2021,05,011,14,14,14,.0073995772,1,1
2021,05,013,66,66,66,.123595506,1,1
2021,05,015,209,209,209,.0539772734,1,1
2021,05,017,14,14,14,.0151024815,1,1
2021,05,019,26,26,26,.0100386096,1,1
2021,05,021,69,69,69,.0299349241,1,1
2021,05,023,144,144,144,.0448458418,1,1
2021,05,025,35,35,35,.0261780098,1,1
2021,05,027,40,39,41,.0105652399,2,2
2021,05,029,305,305,305,.0899970457,1,1
2021,05,031,422,422,422,.0218528304,1,1
2021,05,033,271,271,271,.0252022687,1,1
2021,05,035,179,179,179,.0194798131,1,1
2021,05,037,150,150,150,.0473933667,1,1
2021,05,039,7,7,7,.0091503272,1,1
2021,05,041,36,36,36,.0166204982,1,1
2021,05,043,32,32,32,.0108585004,1,1
2021,05,045,699,699,699,.0374217033,1,1
2021,05,047,47,47,47,.0147196995,1,1
2021,05,049,106,106,106,.0603988618,1,1
2021,05,051,577,577,577,.0385617875,1,1
2021,05,053,62,62,62,.013096747,1,1
2021,05,055,143,143,143,.0187246297,1,1
