year,state,county,subgroup_type,subgroup,count_homeless,count_homeless_lb,count_homeless_ub,share_homeless,count_homeless_quality,share_homeless_quality
2022,01,001,all,All,110,110,110,.0119539229,1,1
2022,01,001,race-ethnicity,"Black, Non-Hispanic",19,19,19,.0075337035,1,1
2022,01,001,race-ethnicity,Hispanic,12,12,12,.0242424235,1,1
2022,01,001,race-ethnicity,Other Races and Ethnicities,7,7,7,.0123239439,1,1
2022,01,001,race-ethnicity,"White, Non-Hispanic",72,72,72,.0128182303,1,1
2022,01,003,all,All,193,193,193,.0061236792,1,1
2022,01,003,race-ethnicity,"Black, Non-Hispanic",47,47,47,.0136667639,1,1
2022,01,003,race-ethnicity,Hispanic,23,23,23,.0057428214,1,1
2022,01,003,race-ethnicity,Other Races and Ethnicities,31,31,31,.0105982907,1,1
2022,01,003,race-ethnicity,"White, Non-Hispanic",90,90,90,.0042557218,1,1
2022,01,005,all,All,11,11,11,.0017490857,3,3
2022,01,005,race-ethnicity,"Black, Non-Hispanic",6,6,6,.0020569079,3,3
2022,01,005,race-ethnicity,Hispanic,5,5,5,.0099403579,3,3
2022,01,005,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA
2022,01,005,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA,NA,NA
2022,01,007,all,All,13,13,13,.0041962555,3,3
2022,01,007,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA
2022,01,007,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA
2022,01,007,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA
2022,01,007,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA,NA,NA
2022,01,009,all,All,62,62,62,.0067383982,1,1
2022,01,009,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA
2022,01,009,race-ethnicity,Hispanic,16,15,17,.0097442148,3,3
2022,01,009,race-ethnicity,Other Races and Ethnicities,4,3,5,.0210526325,3,3
2022,01,009,race-ethnicity,"White, Non-Hispanic",40,40,40,.0055640563,1,1
2022,01,011,all,All,NA,NA,NA,NA,NA,NA
2022,01,011,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA
2022,01,011,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA
2022,01,011,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA
2022,01,011,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA,NA,NA
2022,01,013,all,All,77,77,77,.0265517235,1,1
2022,01,013,race-ethnicity,"Black, Non-Hispanic",57,57,57,.0323679745,1,1
2022,01,013,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA
2022,01,013,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA
2022,01,013,race-ethnicity,"White, Non-Hispanic",15,15,15,.0150602413,1,1
2022,01,015,all,All,60,60,60,.0066830027,1,1
2022,01,015,race-ethnicity,"Black, Non-Hispanic",31,30,32,.0089311441,2,2
2022,01,015,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA
2022,01,015,race-ethnicity,Other Races and Ethnicities,6,3,9,.0126315793,3,3
2022,01,015,race-ethnicity,"White, Non-Hispanic",8,7,9,.0019295707,3,3
2022,01,017,all,All,NA,NA,NA,NA,NA,NA
2022,01,017,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA
2022,01,017,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA
2022,01,017,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA
2022,01,017,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA,NA,NA
2022,01,019,all,All,282,282,282,.0725681931,1,1
2022,01,019,race-ethnicity,"Black, Non-Hispanic",11,11,11,.0643274859,1,1
2022,01,019,race-ethnicity,Hispanic,21,21,21,.184210524,1,1
2022,01,019,race-ethnicity,Other Races and Ethnicities,18,18,18,.1267605573,1,1
2022,01,019,race-ethnicity,"White, Non-Hispanic",232,232,232,.067071408,1,1
2022,01,021,all,All,NA,NA,NA,NA,NA,NA
2022,01,021,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA
2022,01,021,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA
2022,01,021,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA
2022,01,021,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA,NA,NA
2022,01,023,all,All,,,,,,
2022,01,023,race-ethnicity,"Black, Non-Hispanic",,,,,,
2022,01,023,race-ethnicity,Hispanic,,,,,,
2022,01,023,race-ethnicity,Other Races and Ethnicities,,,,,,
2022,01,023,race-ethnicity,"White, Non-Hispanic",,,,,,
2022,01,025,all,All,11,11,11,.0034087389,3,3
2022,01,025,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA
2022,01,025,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA
2022,01,025,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA
