year,state,place,subgroup_type,subgroup,count_homeless,count_homeless_lb,count_homeless_ub,share_homeless,count_homeless_quality,share_homeless_quality
2022,01,03076,all,All,58,58,58,.0061104088,1,1
2022,01,03076,race-ethnicity,"Black, Non-Hispanic",34,34,34,.0160000008,1,1
2022,01,03076,race-ethnicity,Hispanic,12,12,12,.0155239329,1,1
2022,01,03076,race-ethnicity,Other Races and Ethnicities,8,8,8,.0054832078,1,1
2022,01,03076,race-ethnicity,"White, Non-Hispanic",4,4,4,.0007789679,1,1
2022,01,07000,all,All,561,561,561,.0096541047,1,1
2022,01,07000,race-ethnicity,"Black, Non-Hispanic",443,443,443,.0117357215,1,1
2022,01,07000,race-ethnicity,Hispanic,37,37,37,.0051524858,1,1
2022,01,07000,race-ethnicity,Other Races and Ethnicities,23,20,26,.0176787078,3,3
2022,01,07000,race-ethnicity,"White, Non-Hispanic",54,53,55,.0045454544,1,1
2022,01,35896,all,All,48,48,48,.0035406062,1,1
2022,01,35896,race-ethnicity,"Black, Non-Hispanic",33,33,33,.0105939005,1,1
2022,01,35896,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA
2022,01,35896,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA
2022,01,35896,race-ethnicity,"White, Non-Hispanic",12,12,12,.0015972315,1,1
2022,01,37000,all,All,454,454,454,.0102420645,1,1
2022,01,37000,race-ethnicity,"Black, Non-Hispanic",230,230,230,.0164981,1,1
2022,01,37000,race-ethnicity,Hispanic,49,49,49,.0090976609,1,1
2022,01,37000,race-ethnicity,Other Races and Ethnicities,21,21,21,.0046532238,1,1
2022,01,37000,race-ethnicity,"White, Non-Hispanic",128,128,128,.0062478646,1,1
2022,01,50000,all,All,3547,3547,3547,.0682391003,1,1
2022,01,50000,race-ethnicity,"Black, Non-Hispanic",2072,2072,2072,.0789303258,1,1
2022,01,50000,race-ethnicity,Hispanic,214,214,214,.0700949878,1,1
2022,01,50000,race-ethnicity,Other Races and Ethnicities,313,313,313,.079948917,1,1
2022,01,50000,race-ethnicity,"White, Non-Hispanic",948,948,948,.0505330488,1,1
2022,01,51000,all,All,539,539,539,.017831739,1,1
2022,01,51000,race-ethnicity,"Black, Non-Hispanic",486,484,488,.0217937212,1,1
2022,01,51000,race-ethnicity,Hispanic,11,11,11,.0036279683,1,1
2022,01,51000,race-ethnicity,Other Races and Ethnicities,19,17,21,.0106801577,3,3
2022,01,51000,race-ethnicity,"White, Non-Hispanic",16,14,18,.0051347883,3,3
2022,01,77256,all,All,290,290,290,.0094885975,1,1
2022,01,77256,race-ethnicity,"Black, Non-Hispanic",214,214,214,.0158718377,1,1
2022,01,77256,race-ethnicity,Hispanic,17,17,17,.0056591211,1,1
2022,01,77256,race-ethnicity,Other Races and Ethnicities,13,13,13,.0143014304,1,1
