year,state,county,subgroup_type,subgroup,count_homeless,count_homeless_lb,count_homeless_ub,share_homeless,count_homeless_quality,share_homeless_quality
2021,01,029,race-ethnicity,"Black, Non-Hispanic",7,7,7,.1186440662,1,1
2021,01,029,race-ethnicity,Hispanic,1,0,2,.0169491526,3,3
2021,01,029,race-ethnicity,Other Races and Ethnicities,1,0,2,.0169491526,3,3
2021,01,029,race-ethnicity,"White, Non-Hispanic",47,47,47,.7966101766,1,1
2021,01,031,all,All,253,253,253,.0252570622,1,1
2021,01,031,race-ethnicity,"Black, Non-Hispanic",39,39,39,.1541502029,1,1
2021,01,031,race-ethnicity,Hispanic,105,104,106,.4150197506,1,1
2021,01,031,race-ethnicity,Other Races and Ethnicities,7,6,8,.0276679844,3,3
2021,01,031,race-ethnicity,"White, Non-Hispanic",100,100,100,.3952569067,1,1
2021,01,033,all,All,56,55,57,.0108801248,1,1
2021,01,033,race-ethnicity,"Black, Non-Hispanic",3,0,6,.0535714291,3,3
2021,01,033,race-ethnicity,Hispanic,6,5,7,.1071428582,3,3
2021,01,033,race-ethnicity,Other Races and Ethnicities,2,2,2,.0357142873,1,1
2021,01,033,race-ethnicity,"White, Non-Hispanic",43,42,44,.7678571343,1,1
2021,01,035,all,All,,,,,,
2021,01,035,race-ethnicity,"Black, Non-Hispanic",,,,,,
2021,01,035,race-ethnicity,Hispanic,,,,,,
2021,01,035,race-ethnicity,Other Races and Ethnicities,,,,,,
2021,01,035,race-ethnicity,"White, Non-Hispanic",,,,,,
2021,01,037,all,All,1,0,2,.0012690355,3,3
2021,01,037,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA
2021,01,037,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA
2021,01,037,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA
2021,01,037,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA,NA,NA
2021,01,039,all,All,11,11,11,.0059076264,1,1
2021,01,039,race-ethnicity,"Black, Non-Hispanic",1,0,2,.0909090936,3,3
2021,01,039,race-ethnicity,Hispanic,1,0,2,.0909090936,3,3
2021,01,039,race-ethnicity,Other Races and Ethnicities,0,0,0,0,3,3
2021,01,039,race-ethnicity,"White, Non-Hispanic",6,6,6,.5454545617,3,3
2021,01,041,all,All,7,7,7,.003111111,1,1
2021,01,041,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA
2021,01,041,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA
2021,01,041,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA
2021,01,041,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA,NA,NA
2021,01,043,all,All,14,14,14,.0010829208,1,1
2021,01,043,race-ethnicity,"Black, Non-Hispanic",0,0,0,0,3,3
2021,01,043,race-ethnicity,Hispanic,1,0,2,.0714285746,3,3
2021,01,043,race-ethnicity,Other Races and Ethnicities,2,0,4,.1428571492,3,3
2021,01,043,race-ethnicity,"White, Non-Hispanic",6,5,7,.4285714328,3,3
2021,01,045,all,All,93,93,93,.0281903613,1,1
2021,01,045,race-ethnicity,"Black, Non-Hispanic",48,47,49,.5161290169,1,1
2021,01,045,race-ethnicity,Hispanic,7,6,8,.0752688199,3,3
2021,01,045,race-ethnicity,Other Races and Ethnicities,0,0,0,0,3,3
2021,01,045,race-ethnicity,"White, Non-Hispanic",34,34,34,.3655914068,1,1
2021,01,047,all,All,136,136,136,.0265262332,1,1
2021,01,047,race-ethnicity,"Black, Non-Hispanic",93,93,93,.6838235259,1,1
2021,01,047,race-ethnicity,Hispanic,3,3,3,.0220588241,1,1
2021,01,047,race-ethnicity,Other Races and Ethnicities,10,9,11,.0735294148,3,3
2021,01,047,race-ethnicity,"White, Non-Hispanic",29,28,30,.2132352889,2,2
2021,01,049,all,All,270,269,271,.0222772285,1,1
2021,01,049,race-ethnicity,"Black, Non-Hispanic",5,5,5,.0185185187,1,1
2021,01,049,race-ethnicity,Hispanic,144,144,144,.5333333611,1,1
2021,01,049,race-ethnicity,Other Races and Ethnicities,21,20,22,.0777777806,2,2
2021,01,049,race-ethnicity,"White, Non-Hispanic",99,99,99,.3666666746,1,1
2021,01,051,all,All,61,61,61,.0045078332,1,1
2021,01,051,race-ethnicity,"Black, Non-Hispanic",22,22,22,.360655725,1,1
2021,01,051,race-ethnicity,Hispanic,1,0,2,.0163934417,3,3
2021,01,051,race-ethnicity,Other Races and Ethnicities,4,3,5,.0655737668,3,3
2021,01,051,race-ethnicity,"White, Non-Hispanic",31,31,31,.5081967115,1,1
2021,01,053,all,All,17,17,17,.0031704588,1,1
2021,01,053,race-ethnicity,"Black, Non-Hispanic",9,8,10,.5294117928,3,3
2021,01,053,race-ethnicity,Hispanic,0,0,0,0,3,3
2021,01,053,race-ethnicity,Other Races and Ethnicities,0,0,0,0,3,3
2021,01,053,race-ethnicity,"White, Non-Hispanic",4,3,5,.2352941185,3,3
2021,01,055,all,All,165,165,165,.0110051362,1,1
2021,01,055,race-ethnicity,"Black, Non-Hispanic",64,64,64,.3878787756,1,1
2021,01,055,race-ethnicity,Hispanic,10,9,11,.0606060624,3,3
2021,01,055,race-ethnicity,Other Races and Ethnicities,9,8,10,.0545454547,3,3
2021,01,055,race-ethnicity,"White, Non-Hispanic",81,81,81,.4909090996,1,1
2021,01,057,all,All,6,6,6,.0027816412,1,1
2021,01,057,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA
2021,01,057,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA
2021,01,057,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA
2021,01,057,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA,NA,NA
2021,01,059,all,All,9,9,9,.001459854,1,1
2021,01,059,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA
2021,01,059,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA
2021,01,059,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA
2021,01,059,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA,NA,NA
2021,01,061,all,All,,,,,,
2021,01,061,race-ethnicity,"Black, Non-Hispanic",,,,,,
2021,01,061,race-ethnicity,Hispanic,,,,,,
2021,01,061,race-ethnicity,Other Races and Ethnicities,,,,,,
2021,01,061,race-ethnicity,"White, Non-Hispanic",,,,,,
2021,01,063,all,All,,,,,,
2021,01,063,race-ethnicity,"Black, Non-Hispanic",,,,,,
2021,01,063,race-ethnicity,Hispanic,,,,,,
2021,01,063,race-ethnicity,Other Races and Ethnicities,,,,,,
2021,01,063,race-ethnicity,"White, Non-Hispanic",,,,,,
2021,01,065,all,All,8,8,8,.0034129692,1,1
2021,01,065,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA
2021,01,065,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA
2021,01,065,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA
2021,01,065,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA,NA,NA
2021,01,067,all,All,,,,,,
2021,01,067,race-ethnicity,"Black, Non-Hispanic",,,,,,
2021,01,067,race-ethnicity,Hispanic,,,,,,
2021,01,067,race-ethnicity,Other Races and Ethnicities,,,,,,
2021,01,067,race-ethnicity,"White, Non-Hispanic",,,,,,
2021,01,069,all,All,135,134,136,.0089898119,1,1
2021,01,069,race-ethnicity,"Black, Non-Hispanic",94,94,94,.6962962747,1,1
2021,01,069,race-ethnicity,Hispanic,19,18,20,.1407407373,3,3
2021,01,069,race-ethnicity,Other Races and Ethnicities,2,2,2,.0148148146,1,1
2021,01,069,race-ethnicity,"White, Non-Hispanic",18,17,19,.1333333403,3,3
2021,01,071,all,All,72,72,72,.0094277859,1,1
2021,01,071,race-ethnicity,"Black, Non-Hispanic",1,0,2,.013888889,3,3
2021,01,071,race-ethnicity,Hispanic,13,12,14,.1805555522,3,3
2021,01,071,race-ethnicity,Other Races and Ethnicities,2,2,2,.027777778,1,1
2021,01,071,race-ethnicity,"White, Non-Hispanic",49,49,49,.680555582,1,1
2021,01,073,all,All,768,768,768,.0080975927,1,1
2021,01,073,race-ethnicity,"Black, Non-Hispanic",624,622,626,.8125,1,1
2021,01,073,race-ethnicity,Hispanic,60,54,66,.078125,3,3
2021,01,073,race-ethnicity,Other Races and Ethnicities,10,8,12,.013020833,3,3
2021,01,073,race-ethnicity,"White, Non-Hispanic",55,53,57,.0716145858,2,2
2021,01,075,all,All,14,14,14,.0063291141,1,1
2021,01,075,race-ethnicity,"Black, Non-Hispanic",1,0,2,.0714285746,3,3
2021,01,075,race-ethnicity,Hispanic,0,0,0,0,3,3
2021,01,075,race-ethnicity,Other Races and Ethnicities,1,0,2,.0714285746,3,3
2021,01,075,race-ethnicity,"White, Non-Hispanic",10,10,10,.7142857313,3,3
2021,01,077,all,All,148,148,148,.0114782071,1,1
2021,01,077,race-ethnicity,"Black, Non-Hispanic",47,46,48,.3175675571,1,1
2021,01,077,race-ethnicity,Hispanic,5,4,6,.0337837823,3,3
2021,01,077,race-ethnicity,Other Races and Ethnicities,16,15,17,.1081081107,3,3
2021,01,077,race-ethnicity,"White, Non-Hispanic",70,70,70,.4729729593,1,1
2021,01,079,all,All,164,164,164,.0344248526,1,1
2021,01,079,race-ethnicity,"Black, Non-Hispanic",22,22,22,.1341463476,1,1
2021,01,079,race-ethnicity,Hispanic,1,0,2,.0060975607,3,3
2021,01,079,race-ethnicity,Other Races and Ethnicities,1,0,2,.0060975607,3,3
2021,01,079,race-ethnicity,"White, Non-Hispanic",136,136,136,.8292682767,1,1
2021,01,081,all,All,72,72,72,.0030411826,1,1
2021,01,081,race-ethnicity,"Black, Non-Hispanic",32,31,33,.4444444478,2,2
2021,01,081,race-ethnicity,Hispanic,5,3,7,.0694444478,3,3
2021,01,081,race-ethnicity,Other Races and Ethnicities,1,0,2,.013888889,3,3
2021,01,081,race-ethnicity,"White, Non-Hispanic",29,29,29,.402777791,1,1
2021,01,083,all,All,108,108,108,.00532177,1,1
2021,01,083,race-ethnicity,"Black, Non-Hispanic",7,6,8,.0648148134,3,3
2021,01,083,race-ethnicity,Hispanic,27,27,27,.25,1,1
2021,01,083,race-ethnicity,Other Races and Ethnicities,18,18,18,.1666666716,1,1
2021,01,083,race-ethnicity,"White, Non-Hispanic",47,47,47,.435185194,1,1
2021,01,085,all,All,158,158,158,.1338983029,1,1
2021,01,085,race-ethnicity,"Black, Non-Hispanic",142,142,142,.8987341523,1,1
2021,01,085,race-ethnicity,Hispanic,8,8,8,.0506329127,1,1
2021,01,085,race-ethnicity,Other Races and Ethnicities,0,0,0,0,3,3
2021,01,085,race-ethnicity,"White, Non-Hispanic",8,8,8,.0506329127,1,1
2021,01,087,all,All,7,7,7,.003794038,1,1
2021,01,087,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA
2021,01,087,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA
2021,01,087,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA
