year,state,place,subgroup_type,subgroup,ratio_affordable_30ami_quality,ratio_affordable_50ami_quality,ratio_affordable_80ami_quality,ratio_available_30ami,ratio_available_50ami,ratio_available_80ami,ratio_affordable_30ami,ratio_affordable_50ami,ratio_affordable_80ami,ratio_available_30ami_quality,ratio_available_50ami_quality,ratio_available_80ami_quality
2022,01,03076,tenure,All,2,2,2,0.4123705139814411,0.7634370459038693,1.019799514081893,1.0105683808442583,1.3609894934563171,1.5072756135082792,2,2,2
2022,01,07000,tenure,All,2,2,2,0.5166936294032638,0.8216076651910386,1.0379719349219625,0.9984506815368072,1.257853830144917,1.3225290232579114,2,2,2
2022,01,35896,tenure,All,3,3,3,0.33626397395747243,0.5126326985529751,0.9658485732152096,1.3575785311466426,1.48333842979255,1.7486262267275254,3,3,3
2022,01,37000,tenure,All,2,2,2,0.44663009213189314,0.9078170656728407,1.0949520496550111,1.3796074657815807,1.802361493839487,1.8245975521778375,2,2,2
2022,01,50000,tenure,All,2,2,2,0.4537150791541351,0.49781966631573793,0.8966235587908425,1.0058056413729923,1.0332787973574267,1.4454983014648617,2,2,2
2022,01,51000,tenure,All,1,1,1,0.31098096074758497,0.6346150558537594,0.9823948520912342,1.0622999364315489,1.361788945285181,1.5404155184729622,1,1,1
2022,01,77256,tenure,All,2,2,2,0.4074548985505118,0.6813627610878937,0.9904883792810107,0.8734873610073607,1.293126059962348,1.418139601614417,2,2,2
2022,02,03000,tenure,All,1,1,1,0.18397330835869818,0.6820881843793489,0.9535630671594141,0.8846874268321236,1.5800210447710532,1.6241123773774742,1,1,1
2022,04,04720,tenure,All,NA,2,2,NA,0.41440602243220065,0.695463837650844,NA,1.1055978348492141,1.2631314529464892,NA,2,2
2022,04,07940,tenure,All,2,2,2,0.4322511452310701,0.6090177391640934,0.7556213519592099,1.6161876331583445,1.5356454854913677,1.490783891816921,2,2,2
2022,04,12000,tenure,All,1,1,1,0.2594458645012815,0.4066237253384502,0.6820836003948877,1.620419205695567,1.4121478416538786,1.584300318336653,1,1,1
2022,04,23620,tenure,All,2,2,2,0.4164948480426204,0.6042678120592174,0.8574218934254385,1.419341496343814,1.2537971007621465,1.3225238504529464,2,2,2
2022,04,27400,tenure,All,1,1,1,0.465591329467925,0.4936575413397357,0.6937820012666652,2.1686680142629564,1.7339154917407693,1.6823610585827318,1,1,1
2022,04,27820,tenure,All,1,1,1,0.250447451022159,0.4555555099108684,0.8296046946293487,1.1594076784517369,1.320330922897427,1.5414807691643948,1,1,1
2022,04,28380,tenure,All,NA,2,2,NA,0.5094023902150084,0.6894294138226014,NA,1.331433327341748,1.5144923884194081,NA,2,2
2022,04,46000,tenure,All,1,1,1,0.33420733980525236,0.5708944141142522,0.851329875117922,1.343478372754224,1.3232843794576,1.5184301381325027,1,1,1
