year,state,county,index_air_hazard,index_air_hazard_quality
2014,01,001,6,1
2014,01,003,39,1
2014,01,005,9,1
2014,01,007,13,1
2014,01,009,26,1
2014,01,011,6,1
2014,01,013,14,1
2014,01,015,16,1
2014,01,017,12,1
2014,01,019,24,1
2014,01,021,13,1
2014,01,023,20,1
2014,01,025,15,1
2014,01,027,19,1
2014,01,029,24,1
2014,01,031,15,1
2014,01,033,33,1
2014,01,035,13,1
2014,01,037,15,1
2014,01,039,17,1
2014,01,041,16,1
2014,01,043,24,1
2014,01,045,14,1
2014,01,047,10,1
2014,01,049,45,1
2014,01,051,8,1
2014,01,053,16,1
2014,01,055,19,1
2014,01,057,21,1
2014,01,059,37,1
2014,01,061,19,1
2014,01,063,14,1
2014,01,065,15,1
2014,01,067,16,1
2014,01,069,16,1
2014,01,071,49,1
2014,01,073,9,1
2014,01,075,26,1
2014,01,077,36,1
2014,01,079,36,1
2014,01,081,8,1
2014,01,083,35,1
2014,01,085,15,1
2014,01,087,5,1
2014,01,089,28,1
2014,01,091,14,1
2014,01,093,32,1
2014,01,095,35,1
2014,01,097,17,1
2014,01,099,22,1
2014,01,101,6,1
2014,01,103,24,1
2014,01,105,13,1
2014,01,107,19,1
2014,01,109,10,1
2014,01,111,21,1
2014,01,113,5,1
2014,01,115,17,1
2014,01,117,11,1
2014,01,119,19,1
2014,01,121,14,1
2014,01,123,12,1
2014,01,125,8,1
2014,01,127,16,1
2014,01,129,17,1
2014,01,131,14,1
2014,01,133,30,1
2014,02,013,100,1
2014,02,016,100,1
2014,02,020,70,1
2014,02,050,100,1
2014,02,060,100,1
2014,02,068,100,1
2014,02,070,100,1
2014,02,090,96,1
2014,02,100,100,1
2014,02,105,100,1
2014,02,110,100,1
2014,02,122,100,1
2014,02,130,98,1
2014,02,150,100,1
2014,02,158,NA,NA
2014,02,164,100,1
2014,02,170,100,1
2014,02,180,100,1
2014,02,185,99,1
2014,02,188,92,1
2014,02,195,100,1
2014,02,198,100,1
2014,02,220,100,1
2014,02,230,100,1
2014,02,240,100,1
2014,02,275,100,1
2014,02,282,100,1
2014,02,290,100,1
2014,04,001,98,1
2014,04,003,90,1
2014,04,005,93,1
2014,04,007,82,1
2014,04,009,80,1
2014,04,011,86,1
2014,04,012,46,1
2014,04,013,21,1
2014,04,015,65,1
2014,04,017,93,1
2014,04,019,44,1
2014,04,021,40,1
2014,04,023,83,1
2014,04,025,87,1
2014,04,027,34,1
2014,05,001,52,1
2014,05,003,36,1
2014,05,005,37,1
2014,05,007,51,1
2014,05,009,59,1
2014,05,011,30,1
2014,05,013,34,1
2014,05,015,72,1
2014,05,017,61,1
2014,05,019,22,1
2014,05,021,64,1
2014,05,023,43,1
2014,05,025,38,1
2014,05,027,25,1
2014,05,029,30,1
2014,05,031,54,1
2014,05,033,37,1
2014,05,035,43,1
2014,05,037,54,1
2014,05,039,34,1
2014,05,041,56,1
2014,05,043,43,1
2014,05,045,26,1
2014,05,047,36,1
2014,05,049,49,1
2014,05,051,32,1
2014,05,053,34,1
2014,05,055,52,1
2014,05,057,34,1
2014,05,059,26,1
2014,05,061,38,1
2014,05,063,44,1
2014,05,065,49,1
2014,05,067,52,1
2014,05,069,33,1
2014,05,071,36,1
2014,05,073,37,1
2014,05,075,52,1
2014,05,077,65,1
2014,05,079,50,1
2014,05,081,35,1
2014,05,083,41,1
2014,05,085,39,1
2014,05,087,73,1
2014,05,089,56,1
2014,05,091,29,1
2014,05,093,57,1
2014,05,095,57,1
2014,05,097,50,1
2014,05,099,32,1
2014,05,101,60,1
2014,05,103,28,1
2014,05,105,40,1
2014,05,107,61,1
2014,05,109,43,1
2014,05,111,63,1
2014,05,113,61,1
2014,05,115,29,1
2014,05,117,55,1
2014,05,119,25,1
2014,05,121,52,1
2014,05,123,58,1
2014,05,125,28,1
2014,05,127,54,1
2014,05,129,60,1
2014,05,131,27,1
2014,05,133,40,1
2014,05,135,47,1
2014,05,137,57,1
2014,05,139,13,1
2014,05,141,44,1
2014,05,143,52,1
2014,05,145,38,1
2014,05,147,57,1
2014,05,149,37,1
2014,06,001,52,1
2014,06,003,97,1
2014,06,005,36,1
2014,06,007,18,1
2014,06,009,43,1
2014,06,011,36,1
2014,06,013,40,1
2014,06,015,52,1
2014,06,017,34,1
2014,06,019,14,1
2014,06,021,29,1
2014,06,023,69,1
2014,06,025,18,1
2014,06,027,96,1
2014,06,029,24,1
2014,06,031,33,1
2014,06,033,60,1
2014,06,035,89,1
2014,06,037,15,1
2014,06,039,19,1
2014,06,041,83,1
2014,06,043,45,1
2014,06,045,58,1
2014,06,047,31,1
2014,06,049,87,1
2014,06,051,99,1
2014,06,053,49,1
2014,06,055,65,1
2014,06,057,25,1
2014,06,059,21,1
2014,06,061,14,1
2014,06,063,65,1
2014,06,065,44,1
2014,06,067,18,1
2014,06,069,73,1
2014,06,071,41,1
2014,06,073,36,1
2014,06,075,36,1
2014,06,077,31,1
2014,06,079,77,1
2014,06,081,76,1
2014,06,083,76,1
2014,06,085,46,1
2014,06,087,53,1
2014,06,089,20,1
2014,06,091,82,1
2014,06,093,33,1
2014,06,095,46,1
2014,06,097,70,1
2014,06,099,29,1
2014,06,101,14,1
2014,06,103,33,1
2014,06,105,52,1
2014,06,107,13,1
2014,06,109,48,1
2014,06,111,43,1
2014,06,113,33,1
2014,06,115,14,1
2014,08,001,49,1
2014,08,003,99,1
2014,08,005,66,1
2014,08,007,99,1
2014,08,009,99,1
2014,08,011,98,1
2014,08,013,84,1
2014,08,014,64,1
2014,08,015,100,1
2014,08,017,99,1
2014,08,019,100,1
2014,08,021,100,1
2014,08,023,100,1
2014,08,025,98,1
2014,08,027,100,1
2014,08,029,97,1
2014,08,031,35,1
2014,08,033,99,1
2014,08,035,87,1
2014,08,037,99,1
2014,08,039,99,1
2014,08,041,91,1
2014,08,043,99,1
2014,08,045,90,1
2014,08,047,100,1
2014,08,049,100,1
2014,08,051,100,1
2014,08,053,100,1
2014,08,055,100,1
2014,08,057,100,1
2014,08,059,65,1
2014,08,061,99,1
2014,08,063,98,1
2014,08,065,100,1
2014,08,067,97,1
2014,08,069,85,1
2014,08,071,99,1
2014,08,073,99,1
2014,08,075,97,1
2014,08,077,86,1
2014,08,079,100,1
2014,08,081,99,1
2014,08,083,99,1
2014,08,085,98,1
2014,08,087,94,1
2014,08,089,97,1
2014,08,091,100,1
2014,08,093,100,1
2014,08,095,99,1
2014,08,097,100,1
2014,08,099,97,1
2014,08,101,90,1
2014,08,103,99,1
2014,08,105,100,1
2014,08,107,99,1
2014,08,109,100,1
2014,08,111,100,1
2014,08,113,100,1
2014,08,115,99,1
2014,08,117,100,1
2014,08,119,100,1
2014,08,121,99,1
2014,08,123,46,1
2014,08,125,99,1
2014,09,001,69,1
2014,09,003,67,1
2014,09,005,88,1
2014,09,007,79,1
2014,09,009,73,1
2014,09,011,89,1
2014,09,013,83,1
2014,09,015,89,1
2014,10,001,74,1
2014,10,003,50,1
2014,10,005,86,1
2014,11,001,20,1
2014,12,001,29,1
2014,12,003,40,1
2014,12,005,44,1
2014,12,007,43,1
2014,12,009,63,1
2014,12,011,51,1
2014,12,013,28,1
2014,12,015,60,1
2014,12,017,46,1
2014,12,019,39,1
2014,12,021,66,1
2014,12,023,34,1
