year,state,place,index_air_hazard,index_air_hazard_quality
2014,01,03076,7,1
2014,01,07000,6,1
2014,01,35896,9,1
2014,01,37000,22,1
2014,01,50000,11,1
2014,01,51000,6,1
2014,01,77256,5,1
2014,02,03000,70,1
2014,04,04720,8,1
2014,04,07940,31,1
2014,04,12000,16,1
2014,04,23620,93,1
2014,04,27400,18,1
2014,04,27820,17,1
2014,04,28380,16,1
2014,04,46000,19,1
2014,04,54050,23,1
2014,04,55000,18,1
2014,04,65000,33,1
2014,04,71510,32,1
2014,04,73000,14,1
2014,04,77000,29,1
2014,04,85540,25,1
2014,05,23290,52,1
2014,05,24550,20,1
2014,05,35710,51,1
2014,05,41000,23,1
2014,05,66080,42,1
2014,06,00562,56,1
2014,06,00884,10,1
2014,06,02000,10,1
2014,06,02252,61,1
2014,06,02364,76,1
2014,06,03526,7,1
2014,06,04982,4,1
2014,06,06000,30,1
2014,06,08786,6,1
2014,06,08954,19,1
2014,06,11194,45,1
2014,06,11530,2,1
2014,06,13014,8,1
2014,06,13210,15,1
2014,06,13214,21,1
2014,06,13392,31,1
2014,06,13588,10,1
2014,06,14218,12,1
2014,06,15044,1,1
2014,06,16000,39,1
2014,06,16350,39,1
2014,06,16532,29,1
2014,06,17918,82,1
2014,06,19766,5,1
2014,06,21712,25,1
2014,06,22020,28,1
2014,06,22230,8,1
2014,06,22804,36,1
2014,06,23182,54,1
2014,06,24638,29,1
2014,06,24680,25,1
2014,06,26000,62,1
2014,06,27000,6,1
2014,06,28000,9,1
2014,06,29000,7,1
2014,06,30000,19,1
2014,06,32548,4,1
2014,06,33000,50,1
2014,06,33182,52,1
2014,06,33434,72,1
2014,06,36000,26,1
2014,06,36448,57,1
2014,06,36546,3,1
2014,06,36770,25,1
2014,06,39496,43,1
2014,06,39892,5,1
2014,06,40130,65,1
2014,06,41992,70,1
2014,06,43000,1,1
2014,06,44000,13,1
2014,06,45484,25,1
2014,06,46842,38,1
2014,06,46898,17,1
2014,06,47766,64,1
2014,06,48256,47,1
2014,06,48354,26,1
2014,06,49270,36,1
2014,06,49670,55,1
2014,06,50076,33,1
2014,06,50258,65,1
2014,06,51182,42,1
2014,06,52526,5,1
2014,06,53000,47,1
2014,06,53322,38,1
2014,06,53896,20,1
2014,06,53980,10,1
2014,06,54652,34,1
2014,06,55156,74,1
2014,06,56000,19,1
2014,06,56700,38,1
2014,06,57456,47,1
2014,06,57792,65,1
2014,06,58072,21,1
2014,06,59444,17,1
2014,06,59451,36,1
2014,06,59920,13,1
2014,06,60102,75,1
2014,06,60466,24,1
2014,06,60620,1,1
2014,06,62000,24,1
2014,06,62938,9,1
2014,06,64000,16,1
2014,06,64224,31,1
2014,06,65000,28,1
2014,06,65042,49,1
2014,06,66000,34,1
2014,06,67000,36,1
2014,06,68000,40,1
2014,06,68084,51,1
2014,06,68196,41,1
2014,06,68252,62,1
2014,06,68378,64,1
2014,06,69000,12,1
2014,06,69070,72,1
2014,06,69084,30,1
2014,06,69088,50,1
2014,06,69196,74,1
2014,06,70000,14,1
2014,06,70098,59,1
2014,06,72016,53,1
2014,06,73080,6,1
2014,06,75000,25,1
2014,06,77000,46,1
2014,06,78120,43,1
2014,06,78582,44,1
2014,06,80000,1,1
2014,06,80238,55,1
2014,06,80854,12,1
2014,06,81344,33,1
2014,06,81554,68,1
2014,06,81666,22,1
2014,06,82590,69,1
2014,06,82954,6,1
2014,06,82996,39,1
2014,06,84200,11,1
2014,06,84550,7,1
2014,06,85292,9,1
2014,08,03455,58,1
2014,08,04000,66,1
2014,08,07850,94,1
2014,08,12815,68,1
2014,08,16000,90,1
2014,08,20000,35,1
2014,08,27425,83,1
2014,08,32155,45,1
2014,08,43000,49,1
2014,08,45970,72,1
2014,08,46465,80,1
2014,08,62000,87,1
2014,08,77290,52,1
2014,08,83835,53,1
2014,09,08000,60,1
2014,09,18430,78,1
2014,09,37000,52,1
2014,09,52000,67,1
2014,09,55990,61,1
2014,09,73000,64,1
2014,09,80000,78,1
2014,11,50000,20,1
2014,12,07300,75,1
2014,12,07875,74,1
2014,12,10275,66,1
2014,12,12875,53,1
2014,12,14400,58,1
2014,12,16475,42,1
2014,12,16725,68,1
2014,12,17200,43,1
2014,12,17935,38,1
2014,12,24000,60,1
2014,12,24125,46,1
2014,12,25175,25,1
2014,12,30000,26,1
2014,12,32000,45,1
2014,12,32275,64,1
2014,12,35000,30,1
2014,12,36950,31,1
2014,12,38250,28,1
2014,12,39425,56,1
2014,12,43975,62,1
2014,12,45000,42,1
2014,12,45025,75,1
2014,12,45060,30,1
2014,12,45975,40,1
2014,12,49675,51,1
2014,12,53000,23,1
2014,12,54000,59,1
2014,12,54200,62,1
2014,12,55775,40,1
2014,12,57425,43,1
2014,12,58050,69,1
2014,12,58715,62,1
2014,12,63000,55,1
2014,12,69700,49,1
2014,12,70600,13,1
2014,12,71000,32,1
2014,12,76600,64,1
2014,13,03440,24,1
2014,13,04000,7,1
2014,13,04204,21,1
2014,13,19000,8,1
2014,13,42425,22,1
2014,13,67284,18,1
2014,13,68516,14,1
2014,13,69000,39,1
2014,13,80508,16,1
2014,15,71550,88,1
2014,16,08830,32,1
2014,16,52120,21,1
2014,16,56260,45,1
2014,17,02154,16,1
2014,17,03012,33,1
2014,17,06613,69,1
2014,17,12385,65,1
2014,17,14000,5,1
2014,17,14351,3,1
2014,17,23074,31,1
2014,17,24582,21,1
2014,17,38570,40,1
2014,17,51622,26,1
2014,17,59000,56,1
2014,17,65000,48,1
2014,17,68003,14,1
2014,17,72000,63,1
2014,17,79293,29,1
2014,18,05860,60,1
2014,18,10342,62,1
2014,18,22000,48,1
2014,18,23278,62,1
2014,18,25000,68,1
2014,18,31000,35,1
2014,18,36003,44,1
2014,18,71000,76,1
2014,19,12000,57,1
2014,19,19000,66,1
2014,19,21000,76,1
2014,19,73335,90,1
2014,20,36000,52,1
2014,20,38900,67,1
2014,20,52575,64,1
2014,20,53775,56,1
2014,20,71000,69,1
2014,20,79000,31,1
2014,21,46027,55,1
2014,21,48006,28,1
2014,22,05000,2,1
2014,22,40735,28,1
2014,22,41155,4,1
2014,22,55000,14,1
2014,22,70000,21,1
2014,24,04000,33,1
2014,24,30325,53,1
2014,25,07000,35,1
2014,25,09000,76,1
2014,25,11000,32,1
2014,25,23000,84,1
2014,25,34550,71,1
2014,25,37000,60,1
2014,25,37490,62,1
2014,25,45000,87,1
2014,25,45560,58,1
2014,25,55745,51,1
2014,25,62535,39,1
2014,25,67000,54,1
2014,25,82000,81,1
2014,26,03000,74,1
2014,26,21000,49,1
2014,26,22000,51,1
2014,26,27440,69,1
2014,26,29000,79,1
2014,26,34000,49,1
2014,26,46000,81,1
2014,26,49000,62,1
2014,26,69035,75,1
2014,26,74900,60,1
2014,26,76460,53,1
2014,26,80700,63,1
2014,26,84000,41,1
2014,26,86000,54,1
2014,26,88940,63,1
2014,27,06616,47,1
2014,27,07966,32,1
2014,27,17000,89,1
2014,27,43000,19,1
2014,27,51730,50,1
2014,27,54880,87,1
2014,27,58000,16,1
2014,27,71428,50,1
2014,28,36000,14,1
2014,29,15670,60,1
2014,29,35000,55,1
2014,29,38000,52,1
2014,29,41348,67,1
2014,29,54074,46,1
2014,29,65000,21,1
2014,29,70000,43,1
2014,30,06550,81,1
2014,31,28000,75,1
2014,31,37000,65,1
2014,32,31900,25,1
2014,32,40000,33,1
2014,32,51800,32,1
2014,32,60600,64,1
2014,32,68400,36,1
2014,33,45140,60,1
2014,33,50260,55,1
2014,34,13690,24,1
2014,34,21000,7,1
2014,34,36000,13,1
2014,34,51000,20,1
2014,34,57000,33,1
2014,34,74000,43,1
2014,35,02000,64,1
2014,35,39380,55,1
2014,35,63460,80,1
2014,35,70500,90,1
2014,36,01000,57,1
2014,36,11000,64,1
2014,36,50617,26,1
2014,36,51000,8,1
2014,36,63000,66,1
2014,36,73000,70,1
2014,36,84000,20,1
2014,37,02140,65,1
2014,37,10740,35,1
2014,37,12000,17,1
2014,37,14100,27,1
2014,37,19000,33,1
2014,37,22920,37,1
2014,37,25580,22,1
2014,37,28000,34,1
2014,37,28080,62,1
2014,37,31400,30,1
2014,37,55000,35,1
2014,37,74440,39,1
2014,37,75000,39,1
2014,38,25700,76,1
2014,39,01000,51,1
2014,39,15000,28,1
2014,39,16000,34,1
2014,39,18000,44,1
2014,39,21000,40,1
2014,39,61000,57,1
2014,39,77000,57,1
2014,40,09050,44,1
2014,40,23200,49,1
2014,40,41850,67,1
2014,40,52500,42,1
2014,40,55000,42,1
2014,40,75000,30,1
2014,41,05350,27,1
2014,41,05800,76,1
2014,41,23850,29,1
2014,41,31250,29,1
2014,41,34100,44,1
2014,41,47000,31,1
2014,41,59000,16,1
2014,41,64900,33,1
2014,42,02000,7,1
2014,42,06088,6,1
2014,42,24000,72,1
2014,42,60000,13,1
2014,42,61000,30,1
2014,42,63624,12,1
2014,42,69000,80,1
2014,44,19180,65,1
2014,44,54640,58,1
2014,44,59000,51,1
2014,44,74300,75,1
2014,45,13330,32,1
2014,45,16000,16,1
2014,45,48535,50,1
2014,45,50875,17,1
2014,46,59020,80,1
2014,47,14000,18,1
2014,47,15160,47,1
2014,47,27740,38,1
2014,47,40000,17,1
2014,47,48000,23,1
2014,47,51560,39,1
2014,47,52006,23,1
2014,48,01000,75,1
2014,48,01924,50,1
2014,48,03000,88,1
2014,48,04000,40,1
2014,48,05000,54,1
2014,48,06128,15,1
2014,48,07000,10,1
2014,48,10768,91,1
2014,48,10912,62,1
2014,48,13024,35,1
2014,48,13552,63,1
2014,48,15976,63,1
2014,48,16432,21,1
2014,48,17000,85,1
2014,48,19000,37,1
2014,48,19972,47,1
2014,48,22660,81,1
2014,48,24000,47,1
2014,48,26232,41,1
2014,48,27000,45,1
2014,48,27684,49,1
2014,48,29000,45,1
2014,48,30464,39,1
2014,48,35000,15,1
2014,48,37000,34,1
2014,48,39148,63,1
2014,48,41464,42,1
2014,48,41980,30,1
2014,48,42508,38,1
2014,48,43888,12,1
2014,48,45000,82,1
2014,48,45384,78,1
2014,48,45744,54,1
2014,48,47892,47,1
2014,48,48072,71,1
2014,48,48768,80,1
2014,48,50820,67,1
2014,48,53388,69,1
2014,48,56000,1,1
2014,48,56348,20,1
2014,48,57200,79,1
2014,48,58016,44,1
2014,48,61796,39,1
2014,48,63500,63,1
2014,48,64472,70,1
2014,48,65000,60,1
2014,48,70808,42,1
2014,48,72176,63,1
2014,48,74144,38,1
