year,state,place,pctl_income_20,pctl_income_20_lb,pctl_income_20_ub,pctl_income_20_quality,pctl_income_50,pctl_income_50_lb,pctl_income_50_ub,pctl_income_50_quality,pctl_income_80,pctl_income_80_lb,pctl_income_80_ub,pctl_income_80_quality
2014,01,03076,17244.72579984,15239.525125439995,20586.726923839997,2,52135.2175344,46788.015736,58819.21978239999,2,116970.03934,109617.63686719998,131006.4440608,2
2014,01,07000,17779.445979679997,14704.804945599995,19650.96660912,3,41440.8139376,38767.2130384,45451.215286399995,3,90902.4305728,85555.22877439999,97853.79291072,3
2014,01,35896,34756.8116896,31281.130520639996,36895.69240895999,3,82881.62787519999,78737.54648143999,90902.4305728,3,168035.81651471995,163089.65485119997,187152.062944,3
2014,01,37000,22725.607643199997,19784.646654079996,27270.729171839994,3,66840.02248,61893.860816479995,73256.66463808,3,147048.04945599998,139027.2467584,157742.45305279997,3
2014,01,50000,20854.087013759996,18715.2062944,22725.607643199997,3,51466.817309599995,44916.49510655999,56814.01910799999,3,106944.03596799998,98923.2332704,120312.04046399998,3
2014,01,51000,22458.24755327999,19249.926474239994,25265.528497439995,3,58819.21978239999,51734.17739951999,64166.42158079999,3,128466.52320655998,117197.29541643197,137329.51018740798,3
2014,01,77256,22190.88746336,17645.765934719995,26736.008991999995,2,53472.01798399999,49194.25654527999,64166.42158079999,2,113628.038216,100260.03371999998,133680.04496,2
2014,02,03000,44649.13501663999,33687.371329919995,53472.01798399999,2,98923.2332704,86958.86924647998,110018.67700207996,2,177794.4597968,167100.0562,196375.98604623997,2
2014,04,04720,35291.53186943999,32123.314803887995,41440.8139376,2,74192.4249528,64166.42158079999,84218.4283248,2,130872.76401583996,120312.04046399998,144641.80864671996,2
2014,04,07940,29810.650026079995,25131.848452479993,38366.17290351999,2,75395.54535743999,68176.82292959999,82881.62787519999,2,133680.04496,124322.44181279997,145711.2490064,2
2014,04,12000,45317.53524144,40105.3502884496,49461.61663519999,3,92239.2310224,85555.22877439999,100260.03371999998,3,160416.053952,151325.81089471997,172447.25799839996,3
2014,04,23620,30345.370205919997,24062.408092799997,35024.17177952,3,69513.6233792,60156.02023199999,77534.4260768,3,143037.6481072,133680.04496,153732.05170399998,3
2014,04,27400,60156.02023199999,53472.01798399999,66840.02248,1,115766.91893535998,108414.51646255996,124188.76176783998,1,187152.062944,181804.8611456,198782.22685552,1
2014,04,27820,24730.808317599996,20185.68678896,28741.2096664,1,64166.42158079999,57616.099377759994,72187.2242784,1,133680.04496,125525.56221743996,143572.36828703998,1
2014,04,28380,45183.85519647999,33420.01124,54274.09825375999,2,96249.6323712,80208.026976,106944.03596799998,2,153732.05170399998,139027.2467584,172313.57795343996,2
2014,04,46000,28072.8094416,25399.2085424,30746.410340799994,2,61252.196600672,57482.4193328,64193.15758979198,2,117371.07947488,113093.31803615998,122985.64136319996,2
2014,04,54050,40104.013488,36360.972229119994,45183.85519647999,2,80208.026976,73524.02472799999,86892.029224,2,137690.4463088,131006.4440608,153732.05170399998,2
2014,04,55000,25532.888587359997,24062.408092799997,26736.008991999995,2,62829.621131199994,60824.42045679999,65503.22203039999,2,132343.2445104,126996.04271199998,135551.56558943997,2
2014,04,65000,42363.20624782399,38633.53299343999,46788.015736,3,95581.23214639998,89565.63012319998,101463.15412464,3,203193.6683392,191162.46429279997,226186.63607231996,3
2014,04,71510,40772.41371279999,37697.77267871999,46386.97560111999,1,78871.22652639999,73564.12874148799,82881.62787519999,1,140631.40729791997,129001.2433864,153063.6514792,1
2014,04,73000,26468.648902079996,22458.24755327999,31013.770430719993,3,64433.78167071998,58418.179647519995,72187.2242784,3,130338.04383599998,116301.6391152,148652.20999551998,3
2014,04,77000,20319.36683391999,19249.926474239994,22458.24755327999,2,51735.51419996959,49154.15253179199,53605.69802895999,2,105339.87542847998,101062.11398975998,110366.245118976,2
2014,04,85540,23394.007868,20720.4069688,26468.648902079996,2,52937.29780415999,48124.81618559999,57215.05924287999,2,102398.91443935996,96276.36838019198,109617.63686719998,2
2014,05,23290,23928.728047839995,20827.351004767996,30078.01011599999,2,60156.02023199999,55744.57874831999,66840.02248,2,123386.68149807998,112157.55772143998,138251.90249763196,2
2014,05,24550,23260.327823039996,21121.447103679995,26067.6087672,2,54808.81843359999,49862.65677007999,62027.540861439986,2,102398.91443935996,96784.35255104,113628.038216,2
