year,state,county,pctl_income_20,pctl_income_20_lb,pctl_income_20_ub,pctl_income_20_quality,pctl_income_50,pctl_income_50_lb,pctl_income_50_ub,pctl_income_50_quality,pctl_income_80,pctl_income_80_lb,pctl_income_80_ub,pctl_income_80_quality
2014,01,001,27551.457266255995,23394.007868,33420.01124,3,70850.42382879999,63498.02135599999,78069.14625664,3,133145.32478015998,122985.64136319996,137022.04608399997,3
2014,01,003,25399.2085424,20987.767058719997,30746.410340799994,1,63498.02135599999,57348.73928783999,69780.98346912,1,129937.00370112,108414.51646255996,153304.275560128,1
2014,01,005,18715.2062944,15373.205170399997,21923.527373439993,3,44649.13501663999,42777.6143872,48338.704257536,3,95372.6912762624,86892.029224,103735.71488895998,3
2014,01,007,14517.652882655995,11897.52400144,17111.045754879997,3,37430.4125888,33821.05137488,42376.574252319995,3,85421.54872944,78871.22652639999,95714.91219135998,3
2014,01,009,22725.607643199997,19784.646654079996,27404.409216799995,2,61492.82068159999,51333.13726463999,68176.82292959999,2,114430.11848575996,104671.47520368,126234.06645572798,2
2014,01,011,18715.2062944,15373.205170399997,21923.527373439993,3,44649.13501663999,42777.6143872,48338.704257536,3,95372.6912762624,86892.029224,103735.71488895998,3
2014,01,013,23394.007868,21522.487238559996,26736.008991999995,3,57482.4193328,53472.01798399999,62829.621131199994,3,118039.47969968,102666.27452927998,129669.6436112,3
2014,01,015,18180.486114559997,15854.453332255996,20305.998829424,1,53739.378073919994,46788.015736,60289.70027695999,1,108147.15637263998,100260.03371999998,119509.96019424,1
2014,01,017,22458.24755327999,19383.6065192,25399.2085424,3,49060.57650031999,43419.278603007995,56613.49904055999,3,103869.39493391998,93576.031472,116301.6391152,3
2014,01,019,21255.127148639996,16977.365709919995,26736.008991999995,3,49461.61663519999,44782.81506159999,53472.01798399999,3,98388.51309055998,90234.030348,106944.03596799998,3
2014,01,021,22458.24755327999,19383.6065192,25399.2085424,3,49060.57650031999,43419.278603007995,56613.49904055999,3,103869.39493391998,93576.031472,116301.6391152,3
2014,01,023,15105.845080479998,12699.6042712,18862.254343856,3,47055.37582591999,40104.013488,55610.89870335999,3,96249.6323712,82881.62787519999,108681.87655247998,3
2014,01,025,15105.845080479998,12699.6042712,18862.254343856,3,47055.37582591999,40104.013488,55610.89870335999,3,96249.6323712,82881.62787519999,108681.87655247998,3
2014,01,027,21255.127148639996,16977.365709919995,26736.008991999995,3,49461.61663519999,44782.81506159999,53472.01798399999,3,98388.51309055998,90234.030348,106944.03596799998,3
2014,01,029,21255.127148639996,16977.365709919995,26736.008991999995,3,49461.61663519999,44782.81506159999,53472.01798399999,3,98388.51309055998,90234.030348,106944.03596799998,3
2014,01,031,23394.007868,21522.487238559996,26736.008991999995,2,57482.4193328,53472.01798399999,62829.621131199994,2,118039.47969968,102666.27452927998,129669.6436112,2
2014,01,033,21388.8071936,20052.006744,24864.48836256,3,53472.01798399999,49327.93659023999,60156.02023199999,3,107612.4361928,96249.6323712,122491.025196848,3
2014,01,035,15105.845080479998,12699.6042712,18862.254343856,3,47055.37582591999,40104.013488,55610.89870335999,3,96249.6323712,82881.62787519999,108681.87655247998,3
2014,01,037,22458.24755327999,19383.6065192,25399.2085424,3,49060.57650031999,43419.278603007995,56613.49904055999,3,103869.39493391998,93576.031472,116301.6391152,3
2014,01,039,23394.007868,21522.487238559996,26736.008991999995,3,57482.4193328,53472.01798399999,62829.621131199994,3,118039.47969968,102666.27452927998,129669.6436112,3
2014,01,041,23394.007868,21522.487238559996,26736.008991999995,3,57482.4193328,53472.01798399999,62829.621131199994,3,118039.47969968,102666.27452927998,129669.6436112,3
2014,01,043,24062.408092799997,23260.327823039996,28072.8094416,1,49862.65677007999,44114.414836799995,54808.81843359999,1,99324.27340527998,87159.38931392,111890.19763152,1
