year,state,place,subgroup_type,subgroup,pctl_income_20,pctl_income_20_lb,pctl_income_20_ub,pctl_income_20_quality,pctl_income_50,pctl_income_50_lb,pctl_income_50_ub,pctl_income_50_quality,pctl_income_80,pctl_income_80_lb,pctl_income_80_ub,pctl_income_80_quality
2014,01,03076,all,All,20730.238995755524,18879.26003500768,22725.607643199997,2,59098.419431073795,55904.668394555905,62887.235902957305,2,125391.88217247999,119794.38224971572,131991.0115740339,2
2014,01,03076,gender,Female,16843.685664959998,15239.525125439995,19061.98223217165,2,44822.71577749011,40747.68059059174,49079.04405469543,2,99511.42546822396,91213.0515813243,106691.09436639809,2
2014,01,03076,gender,Male,26736.008991999995,23126.64777807999,32083.210790399997,2,76812.98498787021,71864.82851861914,81817.53471731838,2,149271.46207986076,139583.60923808717,157329.5186967307,2
2014,01,07000,all,All,16031.116990839102,14926.307742034303,17113.545017937984,3,42289.419718796096,40611.44539260301,44515.45497168,3,91420.62180382702,86892.029224,97452.75277583998,3
2014,01,07000,gender,Female,13405.01888549824,12162.275875933568,15076.695244086784,3,37314.430192359934,34756.8116896,39389.33552829228,3,80208.026976,75181.93459048518,85020.50859455999,3
2014,01,07000,gender,Male,20730.238995755524,18581.52624944,23497.900374665023,3,51613.10544979142,48177.84143776172,55688.140636689786,3,107797.2427779287,102683.94138601984,114707.32244318054,3
2014,01,35896,all,All,35043.16558461241,33543.06818445721,36093.6121392,3,81814.80757149146,80137.01611888403,85977.7663228521,3,166432.62081921796,163004.07875432668,172512.49419042285,3
2014,01,35896,gender,Female,27298.490143586816,24463.448227679997,30404.350527108098,3,65904.26216527999,60598.26018489689,69271.59125968436,3,139027.2467584,133109.80227017088,146493.688903339,3
2014,01,35896,gender,Male,44086.5760968519,41460.47799151105,47679.5496902377,3,100191.08228654697,96121.2995280384,104938.8352936,3,193482.23062705153,186082.62258431996,204145.77290772897,3
2014,01,37000,all,All,26573.18407381299,24183.152079846142,28193.392866772672,3,68176.82292959999,65503.22203039999,70629.9363219838,3,148109.3694818806,142616.8820670711,153891.01252023698,3
2014,01,37000,gender,Female,19901.297268470465,17966.207129654784,21732.185357595325,3,50256.09602668794,46788.015736,54329.79557439033,3,110019.2718502761,102933.6346192,121617.40210843238,3
2014,01,37000,gender,Male,37430.4125888,33420.01124,40907.40378574573,3,87743.4813399218,83336.09642802754,91818.51652682017,3,171645.17772863997,164693.81539071997,179833.13262352344,3
2014,01,50000,all,All,19015.495232996414,17929.62056667443,20454.371474235773,3,49461.61663519999,46988.541723712515,52516.60545591398,3,101869.20147647936,98261.06500733602,108660.92678797664,3
