year,state,place,subgroup_type,subgroup,poverty_exposure,poverty_exposure_quality
2020,01,03076,all,All,0.45095418860239755,1
2020,01,03076,race-ethnicity,Black,0.18311218366027723,2
2020,01,03076,race-ethnicity,Hispanic,0.7310236178860772,3
2020,01,03076,race-ethnicity,Other Races and Ethnicities,0.6253974499122662,2
2020,01,03076,race-ethnicity,"White, Non-Hispanic",0.5134383214647198,1
2020,01,07000,all,All,0.34103599964754,1
2020,01,07000,race-ethnicity,Black,0.3538945389077969,1
2020,01,07000,race-ethnicity,Hispanic,0.27262392733702706,2
2020,01,07000,race-ethnicity,Other Races and Ethnicities,0.2669380590025102,2
2020,01,07000,race-ethnicity,"White, Non-Hispanic",0.28528711673784807,1
2020,01,35896,all,All,0,1
2020,01,35896,race-ethnicity,Black,0,2
2020,01,35896,race-ethnicity,Hispanic,0,3
2020,01,35896,race-ethnicity,Other Races and Ethnicities,0,3
2020,01,35896,race-ethnicity,"White, Non-Hispanic",0,2
2020,01,37000,all,All,0.2131821456131633,1
2020,01,37000,race-ethnicity,Black,0.2939761814295321,1
2020,01,37000,race-ethnicity,Hispanic,0.2533461916518271,2
2020,01,37000,race-ethnicity,Other Races and Ethnicities,0.15967988647225695,2
2020,01,37000,race-ethnicity,"White, Non-Hispanic",0.09384814655063436,1
2020,01,50000,all,All,0.15580133160704684,1
2020,01,50000,race-ethnicity,Black,0.21002436438040264,1
2020,01,50000,race-ethnicity,Hispanic,0.0053666091723937335,3
2020,01,50000,race-ethnicity,Other Races and Ethnicities,0.06667429408243877,2
2020,01,50000,race-ethnicity,"White, Non-Hispanic",0.017288801701974534,1
2020,01,51000,all,All,0.27052087745298437,1
2020,01,51000,race-ethnicity,Black,0.31304640300195746,1
2020,01,51000,race-ethnicity,Hispanic,0.29329758666654726,2
2020,01,51000,race-ethnicity,Other Races and Ethnicities,0.11048156835995049,2
2020,01,51000,race-ethnicity,"White, Non-Hispanic",0.06308710436499676,1
2020,01,77256,all,All,0.260855858015889,1
2020,01,77256,race-ethnicity,Black,0.12763539768958157,1
2020,01,77256,race-ethnicity,Hispanic,0.09474530397330222,3
2020,01,77256,race-ethnicity,Other Races and Ethnicities,0.20291445103685823,2
2020,01,77256,race-ethnicity,"White, Non-Hispanic",0.449692822629362,1
2020,02,03000,all,All,0.08903063173172408,1
2020,02,03000,race-ethnicity,Black,0.07097457627118645,2
2020,02,03000,race-ethnicity,Hispanic,0.23293768545994065,2
2020,02,03000,race-ethnicity,Other Races and Ethnicities,0.15606519544208855,1
2020,02,03000,race-ethnicity,"White, Non-Hispanic",0.003456583219859642,1
2020,04,04720,all,All,0,1
2020,04,04720,race-ethnicity,Black,0,3
2020,04,04720,race-ethnicity,Hispanic,0,1
2020,04,04720,race-ethnicity,Other Races and Ethnicities,0,2
2020,04,04720,race-ethnicity,"White, Non-Hispanic",0,2
2020,04,07940,all,All,0,2
2020,04,07940,race-ethnicity,Black,0,3
2020,04,07940,race-ethnicity,Hispanic,0,2
2020,04,07940,race-ethnicity,Other Races and Ethnicities,0,2
2020,04,07940,race-ethnicity,"White, Non-Hispanic",0,2
2020,04,12000,all,All,1.953268099778169e-4,1
2020,04,12000,race-ethnicity,Black,0,2
2020,04,12000,race-ethnicity,Hispanic,3.0598169115713525e-4,2
2020,04,12000,race-ethnicity,Other Races and Ethnicities,0,2
2020,04,12000,race-ethnicity,"White, Non-Hispanic",2.2746420819407743e-4,1
2020,04,23620,all,All,0.36703579985771256,1
2020,04,23620,race-ethnicity,Black,0.07381112195211965,3
2020,04,23620,race-ethnicity,Hispanic,0.2525118249588029,2
2020,04,23620,race-ethnicity,Other Races and Ethnicities,0.48051907373374125,1
2020,04,23620,race-ethnicity,"White, Non-Hispanic",0.33823767896742485,1
2020,04,27400,all,All,0,1
2020,04,27400,race-ethnicity,Black,0,3
2020,04,27400,race-ethnicity,Hispanic,0,2
2020,04,27400,race-ethnicity,Other Races and Ethnicities,0,2
2020,04,27400,race-ethnicity,"White, Non-Hispanic",0,1
2020,04,27820,all,All,0.03328511803046015,1
2020,04,27820,race-ethnicity,Black,0.013148344268920833,2
2020,04,27820,race-ethnicity,Hispanic,0.04093115821209872,1
2020,04,27820,race-ethnicity,Other Races and Ethnicities,0.017802254836315468,1
2020,04,27820,race-ethnicity,"White, Non-Hispanic",0.026703774972212903,1
2020,04,28380,all,All,0,2
2020,04,28380,race-ethnicity,Black,0,3
2020,04,28380,race-ethnicity,Hispanic,0,2
2020,04,28380,race-ethnicity,Other Races and Ethnicities,0,3
2020,04,28380,race-ethnicity,"White, Non-Hispanic",0,2
2020,04,46000,all,All,0.11436208986077882,1
2020,04,46000,race-ethnicity,Black,0.032831889054480506,2
2020,04,46000,race-ethnicity,Hispanic,0.20397066655132365,1
2020,04,46000,race-ethnicity,Other Races and Ethnicities,0.12172457426220594,1
2020,04,46000,race-ethnicity,"White, Non-Hispanic",0.044254998403237135,1
2020,04,54050,all,All,0,1
2020,04,54050,race-ethnicity,Black,0,3
2020,04,54050,race-ethnicity,Hispanic,0,2
2020,04,54050,race-ethnicity,Other Races and Ethnicities,0,2
2020,04,54050,race-ethnicity,"White, Non-Hispanic",0,1
2020,04,55000,all,All,0.08829036991385546,1
2020,04,55000,race-ethnicity,Black,0.10729302557082568,1
2020,04,55000,race-ethnicity,Hispanic,0.10419306061142919,1
2020,04,55000,race-ethnicity,Other Races and Ethnicities,0.10191396391788125,1
2020,04,55000,race-ethnicity,"White, Non-Hispanic",0.042536019221691486,1
2020,04,65000,all,All,0,1
2020,04,65000,race-ethnicity,Black,0,3
2020,04,65000,race-ethnicity,Hispanic,0,2
2020,04,65000,race-ethnicity,Other Races and Ethnicities,0,2
2020,04,65000,race-ethnicity,"White, Non-Hispanic",0,1
2020,04,71510,all,All,0,1
2020,04,71510,race-ethnicity,Black,0,3
2020,04,71510,race-ethnicity,Hispanic,0,2
2020,04,71510,race-ethnicity,Other Races and Ethnicities,0,3
