year,state,place,poverty_exposure,poverty_exposure_quality
2021,01,03076,0.45095418860239755,1
2021,01,07000,0.34103599964754,1
2021,01,35896,0,1
2021,01,37000,0.2131821456131633,1
2021,01,50000,0.15580133160704684,1
2021,01,51000,0.27052087745298437,1
2021,01,77256,0.260855858015889,1
2021,02,03000,0.08903063173172408,1
2021,04,04720,0,1
2021,04,07940,0,2
2021,04,12000,1.953268099778169e-4,1
2021,04,23620,0.36703579985771256,1
2021,04,27400,0,1
2021,04,27820,0.03328511803046015,1
2021,04,28380,0,2
2021,04,46000,0.11436208986077882,1
2021,04,54050,0,1
2021,04,55000,0.08829036991385546,1
2021,04,65000,0,1
2021,04,71510,0,1
2021,04,73000,0.05725891022837336,1
2021,04,77000,0.08051017473170434,1
2021,04,85540,0.11709017691495421,1
2021,05,23290,0.21138409196569077,1
2021,05,24550,0,1
2021,05,35710,0.21258457257341565,1
2021,05,41000,0.09242745898663707,1
2021,05,66080,0.11540553525391804,1
2021,06,00562,0,1
2021,06,00884,0,1
2021,06,02000,0,1
2021,06,02252,0,1
2021,06,02364,0.18628457914421767,1
2021,06,03526,0.2598131211034019,1
2021,06,04982,0,1
2021,06,06000,0.4599189851828163,1
2021,06,08786,0,1
2021,06,08954,0,1
2021,06,11194,0,2
2021,06,11530,0,1
2021,06,13014,0.41956004516871875,1
2021,06,13210,4.440734161710845e-4,1
2021,06,13214,0,2
2021,06,13392,0,1
2021,06,13588,0,1
2021,06,14218,0,1
2021,06,15044,0,1
2021,06,16000,0,1
2021,06,16350,0,1
2021,06,16532,0,1
2021,06,17918,0,1
2021,06,19766,0,1
2021,06,21712,0.1311514174336026,1
2021,06,22020,0,1
2021,06,22230,0,1
2021,06,22804,0,1
2021,06,23182,0,1
2021,06,24638,0,1
2021,06,24680,0,1
2021,06,26000,0,1
2021,06,27000,0.27438888481459583,1
2021,06,28000,0,1
2021,06,29000,0,1
2021,06,30000,0,1
2021,06,32548,0.048517587460379756,1
2021,06,33000,0,1
2021,06,33182,0,1
2021,06,33434,0.05032559736592886,1
2021,06,36000,0,1
2021,06,36448,0,2
2021,06,36546,0,1
2021,06,36770,0.090672755990165,1
2021,06,37692,0,1
2021,06,39496,0,1
2021,06,39892,0,1
2021,06,40130,0.05988465612076331,1
2021,06,41992,0,1
2021,06,43000,9.165072770036239e-4,1
2021,06,44000,0.07672192535232289,1
2021,06,45484,0,1
2021,06,46842,0,1
2021,06,46898,0.24566779616813958,1
2021,06,47766,0,1
2021,06,48256,0,1
2021,06,48354,0.08430248253021705,1
2021,06,49270,0,1
2021,06,49670,0,1
2021,06,50076,0,1
2021,06,50258,0.006163433549056238,1
2021,06,51182,0,1
2021,06,52526,0,1
2021,06,53000,0.010287400931218266,1
2021,06,53322,0,1
2021,06,53896,0,1
2021,06,53980,0,1
2021,06,54652,0,1
2021,06,55156,0,1
2021,06,56000,0.08384036967537978,1
2021,06,56700,0,1
2021,06,57456,0,1
2021,06,57792,0,2
2021,06,58072,0.09646942984291741,1
2021,06,59444,0,1
2021,06,59451,0,1
2021,06,59920,0,1
2021,06,60102,0,1
2021,06,60466,0,1
2021,06,60620,0,1
2021,06,62000,1.5763520541025886e-4,1
2021,06,62938,0,1
2021,06,64000,0.0760818510668788,1
2021,06,64224,0,1
2021,06,65000,0.018986055749197817,1
2021,06,65042,0,1
2021,06,66000,0.03838504762077066,1
2021,06,67000,0.03770170926553929,1
2021,06,68000,0.010315922783634154,1
2021,06,68084,0,1
2021,06,68196,0,1
2021,06,68252,0,1
2021,06,68378,0,2
2021,06,69000,0,1
2021,06,69070,0,1
2021,06,69084,0,1
2021,06,69088,0,1
2021,06,69196,0,1
2021,06,70000,0,1
2021,06,70098,0,1
2021,06,72016,0,1
2021,06,73080,0,1
2021,06,75000,0.06288978540329733,1
2021,06,77000,0,1
2021,06,78120,0,1
2021,06,78582,0,1
2021,06,80000,0,1
2021,06,80238,0,2
2021,06,80854,0,2
2021,06,81344,0,1
2021,06,81554,0,2
2021,06,81666,0,1
2021,06,82590,0.08514171910095789,1
2021,06,82954,0.1721685016497234,1
2021,06,82996,0,1
2021,06,84200,0,1
2021,06,84550,0,1
2021,06,85292,0,1
2021,08,03455,0,1
2021,08,04000,0,1
2021,08,07850,0.4157396703581469,1
2021,08,12815,0,1
2021,08,16000,0,1
2021,08,20000,0.010915405606549243,1
2021,08,27425,0.23535237907607492,1
2021,08,32155,0.01960674283009255,1
2021,08,43000,0,1
2021,08,45970,0,1
2021,08,46465,0,2
2021,08,62000,0.14830315296351215,1
2021,08,77290,0,1
2021,08,83835,0,1
2021,09,08000,0.11918873038091551,1
2021,09,18430,0,1
2021,09,37000,0.36537635727869455,1
2021,09,52000,0.020930006165428172,1
2021,09,55990,0,1
2021,09,73000,0,1
2021,09,80000,0.17548562708788717,1
2021,11,50000,0.1420223021725735,1
2021,12,07300,0,1
2021,12,07875,0,2
2021,12,10275,0,1
2021,12,12875,0,1
2021,12,14400,0,1
2021,12,16475,0,1
2021,12,16725,0,1
2021,12,17200,0,1
2021,12,17935,0,1
2021,12,24000,0.03271561937973608,1
2021,12,24125,0.1525877593619959,1
2021,12,25175,0.5015100924662786,1
2021,12,30000,0.012764596363083162,1
2021,12,32000,0,1
2021,12,32275,0.5010128505696975,1
2021,12,35000,0.0943434486596927,1
2021,12,36950,0,1
2021,12,38250,0.11080230031690376,1
2021,12,39425,0.0060976611446552365,1
2021,12,43975,0,1
2021,12,45000,0.1780886218823505,1
2021,12,45025,0,1
2021,12,45060,0,1
2021,12,45975,0,1
2021,12,49675,0,2
2021,12,53000,0.011960649565449528,1
2021,12,54000,0.09099166297265433,1
2021,12,54200,0,1
2021,12,55775,0.16894054562619382,1
2021,12,57425,0,1
2021,12,58050,0.1401661640846728,1
2021,12,58715,0,1
2021,12,63000,0.12022085302866331,1
2021,12,69700,0,1
2021,12,70600,0.579029953287738,1
2021,12,71000,0.1799642695460134,1
2021,12,76600,0.06451330624596027,1
2021,13,03440,0.48478998207062274,1
2021,13,04000,0.2636237721292297,1
2021,13,04204,0.2356847111544769,1
2021,13,19000,0.23778122575640032,1
2021,13,42425,0,2
2021,13,49008,0.48556741795175956,1
2021,13,67284,0,1
2021,13,68516,0,1
2021,13,69000,0.12189154676820306,1
2021,13,72122,0,2
2021,13,80508,0.10206323926236106,1
2021,15,71550,0.05534384244288841,1
2021,16,08830,0.1414662039955505,1
2021,16,52120,0,2
2021,16,56260,0,1
2021,17,02154,0,2
2021,17,03012,0,1
2021,17,06613,0.05424542982755045,1
2021,17,12385,0.5085281919908559,1
2021,17,14000,0.16023684042958725,1
2021,17,14351,0,1
2021,17,23074,0,1
2021,17,24582,0.22176324796412133,1
2021,17,38570,0.0894246629130205,1
2021,17,51622,0,1
2021,17,59000,0.2940311908721063,1
2021,17,65000,0.2668448994318221,1
2021,17,68003,0,1
2021,17,72000,0.10348554522988068,1
2021,17,79293,0.08740184215436486,1
2021,18,05860,0.44093014318770263,1
2021,18,10342,0,2
2021,18,22000,1.804944950826012e-4,1
2021,18,23278,0,2
2021,18,25000,0.09276403314465989,1
2021,18,31000,0.21793307527289818,1
2021,18,36003,0.09310081939350993,1
2021,18,71000,0.2244795779069211,1
2021,19,12000,0.04477126574802464,1
2021,19,19000,0.08883778446339656,1
2021,19,21000,0.0943450214306904,1
2021,19,73335,0.07183347683809124,1
2021,20,36000,0.06938349334104735,1
2021,20,38900,0.19042072078483682,1
2021,20,52575,0,1
2021,20,53775,0,1
2021,20,71000,0,1
2021,20,79000,0.11441622018931771,1
2021,21,46027,0.20047009340013608,1
2021,21,48006,0.07029653183452857,1
2021,22,05000,0.286868380872952,1
2021,22,40735,0.10788154118579685,1
2021,22,41155,0.1863293123692075,1
2021,22,55000,0.29167183535382013,1
2021,22,70000,0.4099536375454558,1
2021,24,04000,0.22535162594602068,1
2021,24,30325,0,1
2021,25,07000,0.13792480768536242,1
2021,25,09000,0,1
2021,25,11000,0,1
2021,25,23000,0,1
2021,25,34550,0,1
2021,25,37000,0,1
2021,25,37490,0,1
2021,25,45000,0.11168254655695106,1
2021,25,45560,0,1
2021,25,55745,0,1
2021,25,62535,0,1
2021,25,67000,0.3328775794404355,1
2021,25,82000,0.16935549914011958,1
2021,26,03000,0.5300771247172696,1
2021,26,21000,0.22711724241626885,1
2021,26,22000,0.40698297309323894,1
2021,26,27440,0,1
2021,26,29000,0.3924431993249021,1
2021,26,34000,0.08541482454370511,1
2021,26,46000,0.04969484441085549,1
2021,26,49000,0.012907608695652174,1
2021,26,69035,0,1
2021,26,74900,0,1
2021,26,76460,0.0017619120576068638,1
2021,26,80700,0,1
2021,26,84000,0.004120683938805475,1
2021,26,86000,0,1
2021,26,88940,0,1
2021,27,06616,0,1
2021,27,07966,0,2
2021,27,17000,0.2547909788493111,1
2021,27,43000,0.23719012995935193,1
2021,27,51730,0,2
2021,27,54880,0.07657657228143755,1
2021,27,58000,0.059844032549728754,1
2021,27,71428,0,2
2021,28,36000,0.22029767388398455,1
2021,29,15670,0.30781738439167333,1
2021,29,35000,0.08814800172160231,1
2021,29,38000,0.11678875361871818,1
2021,29,41348,0,2
2021,29,54074,0,2
2021,29,65000,0.10425270870414212,1
2021,29,70000,0.20702034227568386,1
2021,30,06550,0,1
2021,31,28000,0.08654567133410272,1
2021,31,37000,0.09609223683006725,1
2021,32,31900,0,1
2021,32,40000,0.03811929924512516,1
2021,32,51800,0.06007897549887577,1
2021,32,60600,0.10977599990026458,1
2021,32,68400,0,1
2021,33,45140,0,1
2021,33,50260,0,1
2021,34,13690,0,1
2021,34,21000,0,1
2021,34,36000,0,1
2021,34,51000,0.21033576025053186,1
2021,34,57000,0.16554062667312547,1
2021,34,74000,0.27778695975539214,1
2021,35,02000,0.08756394099818662,1
2021,35,39380,0.07761641983554404,1
2021,35,63460,0,1
2021,35,70500,0,1
2021,36,01000,0.2101734813980861,1
2021,36,11000,0.270785297707853,1
2021,36,50617,0,1
2021,36,51000,0.16400837387958878,1
2021,36,63000,0.4227125889088466,1
2021,36,73000,0.3968073049443729,1
2021,36,84000,0.07535247278837022,1
2021,37,02140,0,1
2021,37,10740,0,1
2021,37,12000,0.06336088928726114,1
2021,37,14100,0.14299414445919903,1
2021,37,19000,0.11470626039021518,1
2021,37,22920,0.09872559153415057,1
2021,37,25580,0,1
2021,37,28000,0.12784924004408138,1
2021,37,28080,0.44212432806134255,1
2021,37,31400,0.11343945754316269,1
2021,37,55000,0.09254766263049952,1
2021,37,74440,0.1818405481294222,1
2021,37,75000,0.26999712438510687,1
2021,38,25700,0.11869811699849349,1
2021,39,01000,0.1647464615114056,1
2021,39,15000,0.43686572093742204,1
2021,39,16000,0.4143616356350336,1
2021,39,18000,0.2033091511226754,1
2021,39,21000,0.26229507831592713,1
2021,39,61000,0,1
2021,39,77000,0.33314546627971897,1
2021,40,09050,0,1
2021,40,23200,0.034044614468475724,1
2021,40,41850,0.1237283853095185,1
2021,40,52500,0.07930324774704586,1
2021,40,55000,0.13095941497556873,1
2021,40,75000,0.10267688585893517,1
2021,41,05350,0,1
2021,41,05800,0,1
2021,41,23850,0.24190921609103216,1
2021,41,31250,0,1
2021,41,34100,0,1
2021,41,47000,0,1
2021,41,59000,0.07135055477979924,1
2021,41,64900,0.0367229056774645,1
2021,42,02000,0.18313235767703154,1
2021,42,06088,0.13163633858639623,1
2021,42,24000,0.26431263460157933,1
2021,42,60000,0.27498075529476124,1
2021,42,61000,0.2881490004314684,1
2021,42,63624,0.32048900118906065,1
2021,42,69000,0.06904074882116969,1
2021,44,19180,0,1
2021,44,54640,0.11366919465511015,1
2021,44,59000,0.14881557135982032,1
2021,44,74300,0,1
2021,45,13330,0.11735660132246363,1
2021,45,16000,0.37912979826058646,1
2021,45,48535,0,2
2021,45,50875,0.05059846989144202,1
2021,46,59020,0,1
2021,47,14000,0.1914802747066397,1
2021,47,15160,0.08837458697339413,1
2021,47,27740,0,2
2021,47,40000,0.29087011632794746,1
2021,47,48000,0.3418946410369996,1
2021,47,51560,0,1
2021,47,52006,0.0734901324240132,1
2021,48,01000,0.06977217133480806,1
2021,48,01924,0,2
2021,48,03000,0.10721323448939703,1
2021,48,04000,0.11845927501746317,1
2021,48,05000,0.12481839293946789,1
2021,48,06128,0,1
2021,48,07000,0.18811705544752982,1
2021,48,10768,0.3219262876736417,1
2021,48,10912,0.3973458110098354,1
2021,48,13024,0,1
2021,48,13552,0,2
2021,48,15976,0.6090266053286691,1
2021,48,16432,0,1
2021,48,17000,0.11231951343042172,1
2021,48,19000,0.11208883794547128,1
2021,48,19972,0.17743502193714417,1
2021,48,22660,0.11634030194106451,1
2021,48,24000,0.15053571931435605,1
2021,48,26232,0,2
2021,48,27000,0.1307348685398189,1
2021,48,27684,0,1
2021,48,29000,0,1
2021,48,30464,0,1
2021,48,35000,0.1662640272459872,1
2021,48,37000,0,1
2021,48,39148,0,1
2021,48,41464,0.1919116152311716,1
2021,48,41980,0,2
2021,48,42508,0.09064009543098916,1
2021,48,43888,0,1
2021,48,45000,0.10728683231593718,1
2021,48,45384,0.3260105191227575,1
2021,48,45744,0,1
2021,48,47892,0.014326169608746681,1
2021,48,48072,0,1
2021,48,48768,0.09566714324440773,1
2021,48,50820,0,1
2021,48,53388,0,1
2021,48,56000,0.05107389878727887,1
2021,48,56348,0,2
2021,48,57200,0.4374928575981212,1
2021,48,58016,0,1
2021,48,61796,0.15555346706765633,1
2021,48,63500,0,1
2021,48,64472,0,1
2021,48,65000,0.08833208259196057,1
2021,48,70808,0,1
2021,48,72176,0.09836813590690688,1
2021,48,74144,0,1
2021,48,76000,0.42766887011199534,1
2021,48,79000,0.15103884531513836,1
2021,49,43660,0,2
2021,49,44320,0,2
2021,49,55980,0,1
2021,49,57300,0,1
2021,49,62470,0.47213548320111143,1
2021,49,65330,0,1
2021,49,67000,0.02050121776009019,1
2021,49,67440,0,1
2021,49,70850,0,2
2021,49,82950,0,1
2021,49,83470,0,1
2021,51,01000,0.12944940674576724,1
2021,51,16000,0.07326691573266916,1
2021,51,35000,0.08876830681698451,1
2021,51,47672,0.10080013198053288,1
2021,51,56000,0.14582436504520016,1
2021,51,57000,0.18916946036552396,1
2021,51,64000,0.17208317768646494,1
2021,51,67000,0.2372730883349298,1
2021,51,68000,0.08101967303962317,1
2021,51,76432,0,1
2021,51,82000,0.04713179180838597,1
2021,53,03180,0,1
2021,53,05210,0,1
2021,53,05280,0.3126733988555507,1
2021,53,22640,0,1
2021,53,23515,0,1
2021,53,35275,0.1301490373335209,1
2021,53,35415,0,1
2021,53,35940,0,1
2021,53,53545,0.1314961959444603,1
2021,53,57745,0,1
2021,53,63000,0.07067434294357136,1
2021,53,67000,0.14552706528718815,1
2021,53,67167,0,1
2021,53,70000,0,1
2021,53,74060,0,1
2021,53,80010,0,1
2021,55,02375,0,1
2021,55,31000,0,1
2021,55,39225,0,1
2021,55,48000,0.4062958218460183,1
2021,55,53000,0.3054114284076664,1
2021,55,66000,0.09979074281518238,1
