statefip,puma,place,pop20,afact,afact2,products,sum_products,place_pop,puma_flag,small_place
01,01900,03076,76143,0.437,1,0.437,0.437,76143,2,1
01,01200,07000,1904,0.0085,0.0095,8.075e-5,0.72944631,200733,2,0
01,01301,07000,69895,0.7968,0.3482,0.27744576,0.72944631,200733,2,0
01,01302,07000,93801,0.9364,0.4673,0.43757972,0.72944631,200733,2,0
01,01303,07000,9953,0.0543,0.0496,0.00269328,0.72944631,200733,2,0
01,01304,07000,19436,0.1059,0.0968,0.010251119999999999,0.72944631,200733,2,0
01,01305,07000,5744,0.0488,0.0286,0.00139568,0.72944631,200733,2,0
01,01200,35896,26516,0.1181,0.2863,0.03381203,0.21381531,92606,3,1
01,01303,35896,52707,0.2874,0.5692,0.16358808,0.21381531,92606,3,1
01,01305,35896,13383,0.1136,0.1445,0.0164152,0.21381531,92606,3,1
01,00200,37000,19099,0.0901,0.0888,0.00800088,0.66793967,214999,2,0
01,00301,37000,67102,0.4921,0.3121,0.15358440999999998,0.66793967,214999,2,0
01,00302,37000,105185,0.9959,0.4892,0.48719428000000004,0.66793967,214999,2,0
01,00500,37000,23613,0.1745,0.1098,0.0191601,0.66793967,214999,2,0
01,02701,50000,80009,0.808,0.4278,0.34566240000000004,0.83414641,187041,1,0
01,02702,50000,100417,0.9077,0.5369,0.48734413,0.83414641,187041,1,0
01,02703,50000,6615,0.0322,0.0354,0.00113988,0.83414641,187041,1,0
01,02000,51000,185794,0.9455,0.9262,0.8757221000000001,0.88148588,200603,1,0
01,02100,51000,14809,0.0781,0.0738,0.0057637800000000005,0.88148588,200603,1,0
01,01500,77256,4803,0.0383,0.0482,0.00184606,0.74815244,99600,2,1
01,01600,77256,94797,0.7841,0.9518,0.74630638,0.74815244,99600,2,1
02,00101,03000,132634,0.9987,0.4554,0.45480798000000006,0.9992080400000001,291247,1,0
02,00102,03000,158557,1,0.5444,0.5444,0.9992080400000001,291247,1,0
02,00200,03000,56,3e-4,2e-4,6e-8,0.9992080400000001,291247,1,0
04,00132,04720,26,2e-4,3e-4,6e-8,0.73268019,89334,2,1
04,00133,04720,89308,0.7329,0.9997,0.73268013,0.73268019,89334,2,1
04,00132,07940,8501,0.0576,0.0929,0.00535104,0.45019287999999996,91502,2,1
04,00134,07940,83001,0.4904,0.9071,0.44484184,0.45019287999999996,91502,2,1
04,00100,12000,1176,0.0066,0.0043,2.838e-5,0.82942798,275987,1,0
04,00105,12000,3506,0.0229,0.0127,2.9083e-4,0.82942798,275987,1,0
04,00106,12000,120200,0.987,0.4355,0.4298385,0.82942798,275987,1,0
04,00107,12000,110440,0.8591,0.4002,0.34381182,0.82942798,275987,1,0
04,00108,12000,40665,0.3765,0.1473,0.05545844999999999,0.82942798,275987,1,0
04,00400,23620,76831,0.5316,1,0.5316,0.5316,76831,2,1
04,00100,27400,118789,0.6624,0.4434,0.29370816,0.83213477,267917,1,0
04,00104,27400,452,0.0042,0.0017,7.139999999999999e-6,0.83213477,267917,1,0
04,00105,27400,148676,0.9703,0.5549,0.53841947,0.83213477,267917,1,0
04,00123,27820,25,2e-4,1e-4,2e-8,0.9471452100000001,248325,1,0
04,00124,27820,111825,0.9741,0.4503,0.43863723,0.9471452100000001,248325,1,0
04,00126,27820,128549,0.9801,0.5177,0.5073977700000001,0.9471452100000001,248325,1,0
04,00127,27820,5234,0.0433,0.0211,9.1363e-4,0.9471452100000001,248325,1,0
04,00132,27820,2692,0.0182,0.0108,1.9656000000000003e-4,0.9471452100000001,248325,1,0
04,00132,28380,93391,0.6323,0.98,0.6196539999999999,0.61986972,95294,2,1
04,00133,28380,40,3e-4,4e-4,1.2e-7,0.61986972,95294,2,1
04,00134,28380,1863,0.011,0.0196,2.1559999999999998e-4,0.61986972,95294,2,1
04,00101,46000,151247,0.8127,0.2999,0.24372873,0.92021948,504258,1,0
04,00102,46000,138026,0.9581,0.2737,0.26223197,0.92021948,504258,1,0
04,00103,46000,114776,1,0.2276,0.2276,0.92021948,504258,1,0
04,00104,46000,100186,0.9394,0.1987,0.18665878,0.92021948,504258,1,0
04,00111,46000,23,2e-4,0,0,0.92021948,504258,1,0
04,00126,54050,1568,0.012,0.0082,9.84e-5,0.6694806699999999,190985,2,0
04,00127,54050,113300,0.9365,0.5932,0.5555317999999999,0.6694806699999999,190985,2,0
04,00129,54050,53112,0.3734,0.2781,0.10384254000000001,0.6694806699999999,190985,2,0
04,00130,54050,6905,0.055,0.0362,0.001991,0.6694806699999999,190985,2,0
04,00134,54050,16100,0.0951,0.0843,0.00801693,0.6694806699999999,190985,2,0
04,00110,55000,587,0.0046,4e-4,1.84e-6,0.93911378,1608136,1,0
04,00112,55000,56373,0.4304,0.0351,0.01510704,0.93911378,1608136,1,0
04,00113,55000,104849,0.9969,0.0652,0.06499788,0.93911378,1608136,1,0
04,00114,55000,111355,1,0.0692,0.0692,0.93911378,1608136,1,0
04,00115,55000,109655,1,0.0682,0.0682,0.93911378,1608136,1,0
04,00116,55000,110648,1,0.0688,0.0688,0.93911378,1608136,1,0
04,00117,55000,104117,0.9962,0.0647,0.06445414,0.93911378,1608136,1,0
04,00118,55000,118563,1,0.0737,0.0737,0.93911378,1608136,1,0
04,00119,55000,116008,0.9889,0.0721,0.07129969,0.93911378,1608136,1,0
04,00120,55000,108630,0.9991,0.0676,0.06753915999999999,0.93911378,1608136,1,0
04,00121,55000,138826,0.9173,0.0863,0.07916299,0.93911378,1608136,1,0
04,00122,55000,112213,1,0.0698,0.0698,0.93911378,1608136,1,0
04,00123,55000,121141,0.9998,0.0753,0.07528494000000001,0.93911378,1608136,1,0
04,00124,55000,392,0.0034,2e-4,6.8e-7,0.93911378,1608136,1,0
04,00125,55000,113774,1,0.0707,0.0707,0.93911378,1608136,1,0
04,00126,55000,1043,0.008,6e-4,4.8e-6,0.93911378,1608136,1,0
04,00128,55000,108237,1,0.0673,0.0673,0.93911378,1608136,1,0
04,00129,55000,51011,0.3586,0.0317,0.011367619999999998,0.93911378,1608136,1,0
04,00133,55000,20714,0.17,0.0129,0.002193,0.93911378,1608136,1,0
04,00110,65000,115201,0.8981,0.4773,0.42866313,0.71355825,241360,2,0
04,00111,65000,72036,0.6458,0.2985,0.1927713,0.71355825,241360,2,0
