year,place,social_connection,social_connection_quality,state
2020,03076,3.6,2,01
2020,07000,0.8,1,01
2020,35896,3.4,2,01
2020,37000,1.2,2,01
2020,50000,0.9,1,01
2020,51000,1.2,1,01
2020,77256,2.4,2,01
2020,03000,0.7,1,02
2020,04720,1,2,04
2020,07940,1.1,2,04
2020,12000,0.8,2,04
2020,23620,5.1,2,04
2020,27400,0.6,2,04
2020,27820,0.6,2,04
2020,28380,1.8,2,04
2020,46000,0.3,2,04
2020,54050,0.8,2,04
2020,55000,0.1,1,04
2020,65000,0.9,2,04
2020,71510,1.8,2,04
2020,73000,1.6,2,04
2020,77000,0.4,1,04
2020,85540,3.3,2,04
2020,23290,3.4,2,05
2020,24550,1.9,2,05
2020,35710,5.1,2,05
2020,41000,1.3,1,05
2020,66080,3.2,2,05
2020,00562,3.4,2,06
2020,00884,2.8,2,06
2020,02000,0.7,2,06
2020,02252,1.6,2,06
2020,02364,1.5,2,06
2020,03526,0.6,2,06
2020,04982,6.6,2,06
2020,06000,1.1,2,06
2020,08786,2.6,2,06
2020,08954,1.3,2,06
2020,11194,1.6,2,06
2020,11530,1.5,1,06
2020,13014,3,2,06
2020,13210,5.3,2,06
2020,13214,3.7,2,06
2020,13392,0.7,2,06
2020,13588,1.6,2,06
2020,14218,2.2,2,06
2020,15044,0.8,2,06
2020,16000,1.5,1,06
2020,16350,1.1,2,06
2020,16532,4.6,2,06
2020,17918,1.3,2,06
2020,19766,1.5,2,06
2020,21712,2.2,2,06
2020,22020,1.2,2,06
2020,22230,1.6,2,06
2020,22804,1.3,2,06
2020,23182,2.8,2,06
2020,24638,5.3,2,06
2020,24680,0.8,2,06
2020,26000,1,2,06
2020,27000,0.4,1,06
2020,28000,1.7,2,06
2020,29000,0.7,2,06
2020,30000,0.6,1,06
2020,32548,3.1,2,06
2020,33000,1.1,2,06
2020,33182,1.1,2,06
2020,33434,2.3,2,06
2020,36000,1.5,2,06
2020,36448,1.9,2,06
2020,36546,0.8,2,06
2020,36770,0.9,2,06
2020,37692,0.8,2,06
2020,39496,2.9,2,06
2020,39892,1.1,2,06
2020,40130,1.4,2,06
2020,41992,3.2,2,06
2020,43000,0.4,2,06
2020,44000,0.1,1,06
2020,45484,1.9,2,06
2020,46842,0.7,2,06
2020,46898,2.4,2,06
2020,47766,7.8,2,06
2020,48256,2.7,2,06
2020,48354,1.1,1,06
2020,49270,0.5,2,06
2020,49670,1.5,1,06
2020,50076,2.4,2,06
2020,50258,3.9,2,06
2020,51182,3.7,2,06
2020,52526,3.8,2,06
2020,53000,0.6,2,06
2020,53322,1.1,2,06
2020,53896,1.2,1,06
2020,53980,1.5,2,06
2020,54652,0.9,2,06
2020,55156,1.1,2,06
2020,56000,2.2,2,06
2020,56700,0.7,2,06
2020,57456,2.6,2,06
2020,57792,4.5,2,06
2020,58072,1.4,2,06
2020,59444,2.7,2,06
2020,59451,1.3,1,06
2020,59920,2.9,2,06
2020,60102,2.2,2,06
2020,60466,1.1,2,06
