year,place,socassn,_quality
2020,2036000,1.1,1
2020,2038900,2.5,2
2020,2052575,2.6,2
2020,2053775,0.9,1
2020,2071000,1.3,1
2020,2079000,0.5,1
2020,2146027,0.7,1
2020,2148006,0.5,2
2020,2205000,1.4,2
2020,2240735,2,2
2020,2241155,4.7,2
2020,2255000,0.5,1
2020,2270000,1,2
2020,2404000,0.5,1
2020,2430325,4.9,2
2020,2507000,0.4,1
2020,2509000,3,1
2020,2511000,2.2,2
2020,2523000,1.1,1
2020,2534550,1.6,1
2020,2537000,1.3,1
2020,2537490,0.9,1
2020,2545000,1.2,1
2020,2545560,1.1,1
2020,2555745,2.6,2
2020,2562535,2,2
2020,2567000,0.7,1
2020,2582000,0.7,1
2020,2603000,5.1,2
2020,2621000,1.3,2
2020,2622000,0.3,1
2020,2627440,2.5,2
2020,2629000,2,1
2020,2634000,2.3,2
2020,2646000,3,1
2020,2649000,2.4,1
2020,2669035,3,2
2020,2674900,2.2,2
2020,2676460,1,1
2020,2680700,2,1
2020,2684000,1,2
2020,2686000,2.3,2
2020,2688940,3.8,2
2020,2706616,1.8,1
2020,2707966,1.5,2
2020,2717000,2,1
2020,2743000,0.6,1
2020,2751730,1.4,2
2020,2754880,2.9,2
2020,2758000,0.9,1
2020,2771428,2.9,1
2020,2836000,1.2,1
2020,2915670,4,2
2020,2935000,1.1,2
2020,2938000,0.3,1
2020,2941348,1.5,2
2020,2954074,1.9,2
2020,2965000,0.6,1
2020,2970000,2.4,2
2020,3006550,6.3,2
2020,3128000,0.8,1
2020,3137000,0.4,1
2020,3231900,0.5,1
2020,3240000,0.2,1
2020,3251800,0.3,1
2020,3260600,0.8,1
2020,3268400,2,2
2020,3345140,2,1
2020,3350260,1.9,2
2020,3413690,1.9,2
2020,3421000,1.1,2
2020,3436000,0.8,1
2020,3451000,0.7,1
2020,3457000,0.5,2
2020,3474000,2.6,1
2020,3502000,0.6,1
2020,3539380,2.4,2
2020,3563460,1.8,2
2020,3570500,3.1,2
2020,3601000,2.5,1
2020,3611000,0.5,1
2020,3650617,3.2,2
2020,3651000,0,1
2020,3663000,0.6,1
2020,3673000,1,1
2020,3684000,0.7,2
2020,3702140,4.1,2
2020,3710740,1.7,2
2020,3712000,0.4,1
2020,3714100,5.8,2
2020,3719000,1.3,1
2020,3722920,1.3,1
2020,3725580,5.1,2
2020,3728000,1,1
2020,3728080,4.3,2
2020,3731400,2.6,2
2020,3755000,0.8,1
2020,3774440,3,2
2020,3775000,1.4,2
2020,3825700,3.3,1
2020,3901000,0.7,1
2020,3915000,0.5,1
2020,3916000,0.6,2
2020,3918000,0.3,2
2020,3921000,1.4,2
2020,3961000,2.6,2
2020,3977000,0.6,1
2020,4009050,3,2
2020,4023200,2.9,1
2020,4041850,3,2
2020,4052500,2,2
2020,4055000,0.2,1
2020,4075000,0.4,1
2020,4105350,2.6,2
2020,4105800,4.4,2
2020,4123850,2.6,2
2020,4131250,2.5,2
2020,4134100,3.4,2
2020,4147000,5.2,2
2020,4159000,0.4,1
2020,4164900,3.1,2
2020,4202000,2.2,1
2020,4206088,4.6,2
2020,4224000,1.7,1
2020,4260000,0.1,1
2020,4261000,0.7,1
2020,4263624,2,2
2020,4269000,1.6,2
2020,4419180,1.8,2
2020,4454640,2.3,2
2020,4459000,1.7,2
2020,4474300,3.1,1
2020,4513330,2.3,1
2020,4516000,2.6,2
2020,4548535,4.1,2
2020,4550875,2,2
2020,4659020,1.7,1
2020,4714000,1.1,1
2020,4715160,2.2,2
2020,4727740,6,2
2020,4740000,1.3,1
2020,4748000,0.3,1
2020,4751560,2.3,2
2020,4752006,0.5,1
2020,4801000,2.6,1
2020,4801924,2.6,2
2020,4803000,0.8,1
2020,4804000,0.4,2
2020,4805000,0.3,1
2020,4806128,2.9,2
2020,4807000,1.5,1
2020,4810768,1.1,2
2020,4810912,2.4,2
2020,4813024,2.8,2
2020,4813552,6.2,2
2020,4815976,3.1,2
2020,4816432,2,2
2020,4817000,0.4,1
2020,4819000,0.1,1
2020,4819972,1.3,1
2020,4822660,2.1,2
2020,4824000,0.3,1
2020,4826232,3.2,2
2020,4827000,0.2,1
2020,4827684,2.1,2
2020,4829000,1,2
2020,4830464,1.1,2
2020,4835000,0.1,1
2020,4837000,0.9,2
2020,4839148,1.3,2
2020,4841464,1.1,1
2020,4841980,2.9,2
2020,4842508,2.1,1
2020,4843888,3.6,2
2020,4845000,0.6,1
2020,4845384,1.6,2
2020,4845744,1.8,2
2020,4847892,1.7,2
2020,4848072,2.6,2
2020,4848768,2.3,2
2020,4850820,7.8,2
2020,4853388,2.7,2
2020,4856000,0.6,2
2020,4856348,2.5,2
2020,4857200,4.5,2
2020,4858016,1.1,2
2020,4861796,3.2,2
2020,4863500,2.4,2
2020,4864472,4.7,2
2020,4865000,0.1,1
2020,4870808,3.2,2
2020,4872176,3.4,2
2020,4874144,4.3,2
2020,4876000,1.4,1
2020,4879000,1.3,1
2020,4943660,1,2
2020,4944320,1.8,2
2020,4955980,1.9,2
2020,4957300,0.4,2
2020,4962470,0.3,2
2020,4965330,1.4,2
2020,4967000,0.7,1
2020,4967440,1.3,2
2020,4970850,0.9,2
2020,4982950,0.4,2
2020,4983470,1,2
2020,5101000,3.3,2
2020,5116000,1.3,1
2020,5135000,1.5,1
2020,5147672,5.8,2
2020,5156000,1.4,1
2020,5157000,0.8,1
2020,5164000,1.8,2
2020,5167000,1.6,1
2020,5168000,2.3,1
2020,5176432,1.9,1
2020,5182000,0.7,1
2020,5303180,2.7,2
2020,5305210,2.1,2
2020,5305280,5.4,2
2020,5322640,2.9,1
2020,5323515,3.2,1
2020,5335275,7,2
2020,5335415,1.5,2
2020,5335940,3.8,2
2020,5353545,4.7,2
2020,5357745,1.5,2
2020,5363000,0.4,1
2020,5367000,1.3,1
2020,5367167,1.2,2
2020,5370000,0.7,1
2020,5374060,1,1
2020,5380010,3.8,1
2020,5502375,3.7,2
2020,5531000,2,2
2020,5539225,1.5,2
2020,5548000,1.1,1
2020,5553000,0.3,1
2020,5566000,2.4,2
