year,state,place,place_name,ec_zip,ec_zip_quality
2020,01,03076,Auburn city,1.0665089202470588,2
2020,01,07000,Birmingham city,0.5633154689473685,2
2020,01,35896,Hoover city,0.8676533081774581,3
2020,01,37000,Huntsville city,0.7642391799424054,3
2020,01,50000,Mobile city,0.517001236151595,2
2020,01,51000,Montgomery city,0.5486738266328948,2
2020,01,77256,Tuscaloosa city,0.6458033893619709,3
2020,02,03000,Anchorage municipality,1.1350326583072032,1
2020,04,04720,Avondale city,0.6753094900992167,3
2020,04,07940,Buckeye city,0.8483871200502512,3
2020,04,12000,Chandler city,1.0219126015132876,3
2020,04,23620,Flagstaff city,0.8626045520253164,3
2020,04,27400,Gilbert town,1.0815309961553263,3
2020,04,27820,Glendale city,0.8010826470624918,3
2020,04,28380,Goodyear city,0.8582109807351023,3
2020,04,46000,Mesa city,0.8727687984803638,3
2020,04,54050,Peoria city,0.9444913206465635,3
2020,04,55000,Phoenix city,0.8011057159097902,2
2020,04,65000,Scottsdale city,1.1148918336754035,3
2020,04,71510,Surprise city,0.9536285670454546,3
2020,04,73000,Tempe city,0.9367373842439907,3
2020,04,77000,Tucson city,0.7591937440994962,2
2020,04,85540,Yuma city,0.670022862189781,3
2020,05,23290,Fayetteville city,0.9717053692371707,3
2020,05,24550,Fort Smith city,0.7197938702862636,3
2020,05,35710,Jonesboro city,0.7362277826544943,3
2020,05,41000,Little Rock city,0.802513719115417,2
2020,05,66080,Springdale city,0.665453742986536,3
2020,06,00562,Alameda city,1.1748747072468195,3
2020,06,00884,Alhambra city,0.9662200798504489,3
2020,06,02000,Anaheim city,0.8481785662612613,3
2020,06,02252,Antioch city,0.923427501407923,3
2020,06,02364,Apple Valley town,0.7894599946484374,3
2020,06,03526,Bakersfield city,0.7028404607209302,3
2020,06,04982,Bellflower city,0.752457644730539,3
2020,06,06000,Berkeley city,1.2728873097203275,3
2020,06,08786,Buena Park city,0.9437304303603604,3
2020,06,08954,Burbank city,1.1114053983072227,3
2020,06,11194,Carlsbad city,1.1744943656319236,3
2020,06,11530,Carson city,0.7846747421500722,3
2020,06,13014,Chico city,0.9192528846804511,3
2020,06,13210,Chino city,0.9666091694178794,3
2020,06,13214,Chino Hills city,1.1522537524752474,3
2020,06,13392,Chula Vista city,0.9901314919027356,3
2020,06,13588,Citrus Heights city,0.8874451099229583,3
2020,06,14218,Clovis city,0.8212177284839506,3
2020,06,15044,Compton city,0.51680047889332,3
2020,06,16000,Concord city,0.9377575473166974,3
2020,06,16350,Corona city,0.868090909210918,3
2020,06,16532,Costa Mesa city,0.9013603665851172,3
2020,06,17918,Daly City city,1.1936815865325077,3
2020,06,19766,Downey city,0.7873801335792987,3
2020,06,21712,El Cajon city,0.8108750590319361,3
2020,06,22020,Elk Grove city,0.969012811027299,3
2020,06,22230,El Monte city,0.6320558227671489,3
2020,06,22804,Escondido city,0.7770113745697897,3
2020,06,23182,Fairfield city,0.8525682105747127,3
2020,06,24638,Folsom city,1.1371073386097321,3
2020,06,24680,Fontana city,0.7287956462515722,3
2020,06,26000,Fremont city,1.2998174974512822,3
2020,06,27000,Fresno city,0.6398777894057187,2
