state,place,county,state name,place name
24,4000,510,Maryland,Baltimore
29,65000,510,Missouri,St Louis
51,1000,510,Virginia,Alexandria
51,16000,550,Virginia,Chesapeake
51,35000,650,Virginia,Hampton
51,47672,680,Virginia,Lynchburg
51,56000,700,Virginia,Newport News
51,57000,710,Virginia,Norfolk
51,64000,740,Virginia,Portsmouth
51,67000,760,Virginia,Richmond
51,68000,770,Virginia,Roanoake
51,76432,800,Virginia,Suffolk
51,82000,810,Virginia,Virginia Beach
