year,state,county,share_affordable_80_ami,share_affordable_50_ami,housing_quality
2018,06,001,1.2443790886,1.0177805063,1
2018,06,003,1.2875693484,1.3821151305,2
2018,06,005,1.2695669372,1.3775622621,2
2018,06,007,1.3361633885,1.1204201443,1
2018,06,009,1.2828011341,1.3925448972,2
2018,06,011,1.3437970731,1.2871778423,2
2018,06,013,1.3143147739,1.0468553006,1
2018,06,015,1.7913941307,1.8912719756,2
2018,06,017,1.3179351866,1.2853754941,1
2018,06,019,1.2590552981,0.9766897914,1
2018,06,021,1.3437970731,1.2871778938,2
2018,06,023,1.3501401607,1.0223469961,1
2018,06,025,1.3015587246,1.1868012738,1
2018,06,027,1.311362681,1.3936151628,2
2018,06,029,1.3076504262,0.9757312224,1
2018,06,031,1.6940574169,1.4508426966,1
2018,06,033,1.2004074698,1.2651124618,2
2018,06,035,1.6744795494,1.8615945548,2
2018,06,037,1.1399173892,0.8724513654,1
2018,06,039,1.3091769847,1.274031126,1
2018,06,041,1.2859228492,1.0878279883,1
2018,06,043,1.2345296999,1.3946729348,2
2018,06,045,1.2148785539,1.2241234984,2
2018,06,047,1.3416105499,1.121097183,1
2018,06,049,1.7913941892,1.8912720251,2
2018,06,051,1.2787075722,1.381672627,2
2018,06,053,1.1603178156,1.0168399193,1
2018,06,055,1.1510674046,1.176107964,1
2018,06,057,1.2254107373,1.2069278646,1
2018,06,059,1.1986881726,0.8943696778,1
2018,06,061,1.2617974774,1.0809078204,1
2018,06,063,1.790325969,1.8603554792,2
2018,06,065,1.093026453,0.9090080367,1
2018,06,067,1.2958594398,1.0361076329,1
2018,06,069,1.3818642124,1.1053622497,2
2018,06,071,1.1913790671,0.9875290006,1
2018,06,073,1.1332277173,0.8501094945,1
2018,06,075,1.3579112109,1.2660850938,1
2018,06,077,1.186974592,0.9000998485,1
2018,06,079,1.1773705854,1.0963972736,1
2018,06,081,1.2961522535,1.1170822489,1
2018,06,083,1.264552717,0.9686695929,1
2018,06,085,1.243702861,1.0867893127,1
2018,06,087,1.2085428696,0.9866865708,1
2018,06,089,1.3711326819,1.1741601037,1
2018,06,091,1.2153684717,1.1874630238,2
2018,06,093,1.7913941319,1.8912719739,2
2018,06,095,1.2650478138,1.0914530453,1
2018,06,097,1.2151598074,1.0536265499,1
2018,06,099,1.2226771961,1.0082201087,1
2018,06,101,1.2871405127,1.3105680994,2
2018,06,103,1.3437970788,1.2871778985,2
2018,06,105,1.3437970851,1.2871778673,2
2018,06,107,1.2607157932,1.0097450926,1
2018,06,109,1.2568343475,1.4344130737,2
2018,06,111,1.1533251371,0.9632502375,1
2018,06,113,1.2364309783,0.9124518304,1
2018,06,115,1.2871404911,1.3105680654,2
2018,08,001,1.3865246733,1.170571825,1
2018,08,003,1.4280649729,1.7661124514,2
2018,08,005,1.4499438811,1.1214083757,1
2018,08,007,1.5065665977,2.0165451085,2
2018,08,009,1.4280649549,1.7661124474,2
2018,08,011,1.5975023438,1.7309962325,2
2018,08,013,1.4760886485,1.2713466252,2
2018,08,014,1.4988544655,1.3800291547,2
2018,08,015,1.5356635879,1.4779985735,2
2018,08,017,1.5975023345,1.7309962268,2
2018,08,019,1.5672868388,1.8836734908,2
2018,08,021,1.4280649854,1.7661124463,2
2018,08,023,1.4280649368,1.7661124215,2
2018,08,025,1.5975023564,1.7309963156,2
2018,08,027,1.5356635688,1.4779985496,2
2018,08,029,1.4821639505,1.7863506134,2
2018,08,031,1.3582729577,1.0551032497,1
2018,08,033,1.5065666007,2.0165452043,2
2018,08,035,1.6064934213,1.4668901261,1
2018,08,037,1.4347309066,1.1904479796,2
2018,08,039,1.3940073629,1.3634925144,2
2018,08,041,1.4763671011,1.3452148251,1
2018,08,043,1.5356635705,1.4779985489,2
2018,08,045,1.7598057738,1.677423171,2
2018,08,047,1.5672868902,1.8836735274,2
2018,08,049,1.2986059519,1.366776569,2
2018,08,051,1.4942630701,2.0192855211,2
2018,08,053,1.5292436251,1.8573058757,2
2018,08,055,1.535663544,1.4779985048,2
2018,08,057,1.2556909283,1.5181593989,2
2018,08,059,1.5378094615,1.3391708568,1
2018,08,061,1.5975023592,1.7309962879,2
2018,08,063,1.5975023195,1.7309962509,2
2018,08,065,1.5356635111,1.4779985176,2
2018,08,067,1.526287605,1.8424488359,2
2018,08,069,1.4521659976,1.191624888,1
2018,08,071,1.4280649603,1.7661124223,2
2018,08,073,1.5975023333,1.7309962603,2
2018,08,075,1.5975023775,1.7309962981,2
2018,08,077,1.3711212935,1.3439352143,1
2018,08,079,1.3666004915,1.5918777615,2
2018,08,081,1.7512132709,1.7680357442,2
2018,08,083,1.5065666131,2.0165451662,2
2018,08,085,1.4821639698,1.7863507092,2
2018,08,087,1.5975023326,1.730996247,2
2018,08,089,1.4280649815,1.7661124359,2
2018,08,091,1.4333415751,1.6873002851,2
2018,08,093,1.3771770287,1.5565267567,2
2018,08,095,1.5975023363,1.7309963072,2
2018,08,097,1.4900655585,1.2556910071,2
2018,08,099,1.4280649712,1.7661124493,2
2018,08,101,1.399735129,1.3471453951,1
2018,08,103,1.6632852847,1.7485062994,2
2018,08,105,1.4280649794,1.766112439,2
2018,08,107,1.580298776,1.6393475402,2
2018,08,109,1.4280649896,1.7661124821,2
2018,08,111,1.5192618384,1.9049736027,2
2018,08,113,1.4342037034,1.7190218037,2
2018,08,115,1.5975023439,1.7309963201,2
2018,08,117,1.4379291002,1.179584117,2
2018,08,119,1.1707810988,1.2060940536,2
2018,08,121,1.5975023439,1.7309963201,2
2018,08,123,1.525747805,1.4198608572,1
2018,08,125,1.5975023603,1.730996284,2
2018,09,001,1.2582551425,1.0653367953,1
2018,09,003,1.5254053801,1.3247209279,1
2018,09,005,1.5565956469,1.5643623361,1
2018,09,007,1.535753304,1.4516692239,1
2018,09,009,1.3773849433,1.1715259191,1
2018,09,011,1.5060260042,1.4620887372,1
2018,09,013,1.8454143434,1.5332828004,1
2018,09,015,1.501899772,1.6118661788,1
2018,10,001,1.4268831807,1.4521183692,1
2018,10,003,1.5497324354,1.3290074799,1
2018,10,005,1.6530321678,1.7677107847,1
2018,11,001,1.2956697283,1.1726597634,1
2018,12,001,1.519088017,1.3469662428,1
2018,12,003,1.6740334703,1.890286859,2
2018,12,005,1.4896468239,1.6409064499,2
2018,12,007,1.6440983387,1.8886828628,2
2018,12,009,1.546399269,1.5254957039,1
2018,12,011,1.2050915845,0.9646676691,1
2018,12,013,1.6613592492,1.8871529874,2
2018,12,015,1.7076171577,1.6875738429,1
2018,12,017,1.6616051384,1.7514129945,1
2018,12,019,1.5795065839,1.6044752264,1
2018,12,021,1.42335213,1.3609518508,1
2018,12,023,1.6446363095,1.888682831,2
2018,12,027,1.5696352582,1.7677422221,2
2018,12,029,1.6679020299,1.8962864964,2
2018,12,031,1.4994681318,1.1350149044,1
2018,12,033,1.5733062691,1.5934282978,1
2018,12,035,1.5927788662,1.5762796037,1
2018,12,037,1.661359257,1.887153072,2
2018,12,039,1.6301886558,1.8170805697,2
2018,12,041,1.5560897223,1.8117860275,2
2018,12,043,1.7193639977,1.8257375022,2
2018,12,045,1.683613576,1.8785574943,2
2018,12,047,1.5839315686,2.0294015377,2
2018,12,049,1.569635259,1.7677422145,2
2018,12,051,1.7193639936,1.8257374601,2
2018,12,053,1.5812599642,1.497049817,1
2018,12,055,1.5774638531,1.7733483138,2
2018,12,057,1.3487158192,1.0027381555,1
2018,12,059,1.5124849194,1.5995182383,2
2018,12,061,1.6824790718,1.6427154757,1
2018,12,063,1.6613592411,1.8871530172,2
2018,12,065,1.6301886727,1.8170805875,2
2018,12,067,1.5839316078,2.0298351959,2
2018,12,069,1.5966929642,1.7940688912,1
2018,12,071,1.394989681,1.2847341785,1
2018,12,073,1.5219196813,1.1854890564,1
2018,12,075,1.6679020346,1.8962864891,2
2018,12,077,1.7177375243,1.8705078042,2
2018,12,079,1.5839315533,2.0294015091,2
2018,12,081,1.4589663098,1.5496772315,1
2018,12,083,1.5399656897,1.5664357992,1
2018,12,085,1.5578976291,1.4273974296,1
2018,12,086,1.0850756946,0.819266878,1
2018,12,087,1.3037292014,1.1084753815,2
2018,12,089,1.7042045866,1.8088071405,2
2018,12,091,1.5026573345,1.2435368043,1
2018,12,093,1.7193640334,1.8257375827,2
2018,12,095,1.2154912569,0.8761745786,1
2018,12,097,1.2251637006,1.0063495442,1
2018,12,099,1.3096006543,1.106402911,1
2018,12,101,1.4725070642,1.5491204099,1
2018,12,103,1.384979068,1.2507870851,1
2018,12,105,1.6718354005,1.6218457675,1
2018,12,107,1.7622690051,2.0060724011,2
2018,12,109,1.4486138561,1.4089204577,1
2018,12,111,1.2862738355,1.4244493155,1
2018,12,113,1.8563215849,1.9447148498,1
2018,12,115,1.4932315128,1.4614095268,1
2018,12,117,1.4937813313,1.1154626898,1
2018,12,119,1.6513167134,1.9044008977,2
2018,12,121,1.5839315763,2.0294014912,2
2018,12,123,1.5839315294,2.029401555,2
2018,12,125,1.6679020046,1.8962864914,2
2018,12,127,1.4710919091,1.3632015157,1
2018,12,129,1.6739316462,1.8100289454,2
2018,12,131,1.5020163163,1.6917135229,2
2018,12,133,1.5124849388,1.5995182611,2
2018,13,001,1.8298064361,1.934479846,2
2018,13,003,1.6520228209,1.6886754796,2
2018,13,005,1.6205152398,1.6872566851,2
2018,13,007,1.6264784839,1.5608433398,2
2018,13,009,1.7225030592,1.572837582,2
2018,13,011,1.8431584354,2.1084530986,2
2018,13,013,1.9644419947,1.8696591075,2
2018,13,015,1.7156798246,1.6625071833,1
2018,13,017,1.5666094023,1.4452013658,2
2018,13,019,1.5666093715,1.4452013557,2
2018,13,021,1.4487506541,1.1874968,1
2018,13,023,1.572518514,1.6704897248,2
2018,13,025,1.6082496473,1.7274618725,2
2018,13,027,1.5552259049,1.4812515298,2
2018,13,029,1.574883304,1.5385680748,2
2018,13,031,1.5360883482,1.3389507171,2
2018,13,033,1.5784127673,1.7389343602,2
2018,13,035,1.6153794162,1.36600883,2
2018,13,037,1.5660480896,1.5489883086,2
