year,state,county,share_burdened_80_ami,share_burdened_80_ami_ub,share_burdened_80_ami_lb,share_burdened_50_ami,share_burdened_50_ami_ub,share_burdened_50_ami_lb,share_burdened_30_ami,share_burdened_30_ami_ub,share_burdened_30_ami_lb,rent_quality
2014,01,075,0.2249175238,0.2481880383,0.2016470093,0.2855383099,0.3139019908,0.2571746291,0.2855383099,0.3139019908,0.2571746291,2
2014,01,077,0.2722774777,0.2810708871,0.2634840683,0.3793879705,0.3907030163,0.3680729246,0.4024326543,0.4142100511,0.3906552574,2
2014,01,079,0.2988446727,0.3164206369,0.2812687084,0.3989189189,0.4225452685,0.3752925693,0.4303834378,0.455197183,0.4055696927,2
2014,01,081,0.52195316,0.5288569922,0.5150493277,0.6643250427,0.6716881914,0.6569618941,0.7406575301,0.7480913527,0.7332237076,1
2014,01,083,0.3207324812,0.3332788198,0.3081861425,0.4633922724,0.4795035836,0.4472809612,0.5727179837,0.5909429714,0.5544929959,2
2014,01,085,0.2112546125,0.2418702053,0.1806390198,0.3068946188,0.3495282818,0.2642609558,0.3843453843,0.4346669308,0.3340238379,2
2014,01,087,0.3367148136,0.3565165942,0.3169130329,0.5041239187,0.5297578819,0.4784899555,0.5041239187,0.5297578819,0.4784899555,2
2014,01,089,0.344778869,0.3494815858,0.3400761523,0.451675267,0.4573424098,0.4460081243,0.5995007465,0.6059511314,0.5930503615,1
2014,01,091,0.3764828124,0.3990003197,0.3539653051,0.440616133,0.4655773816,0.4156548843,0.4436734694,0.4687391377,0.4186078011,2
2014,01,093,0.2448169224,0.2610200753,0.2286137694,0.3173710945,0.3373417205,0.2974004685,0.3173710945,0.3373417205,0.2974004685,2
2014,01,095,0.2252243916,0.2341079693,0.2163408139,0.3527536232,0.3654708029,0.3400364435,0.3527536232,0.3654708029,0.3400364435,1
2014,01,097,0.3982166217,0.4031741975,0.3932590459,0.4940770833,0.4998025867,0.4883515799,0.5265385998,0.5327231052,0.5203540943,1
2014,01,099,0.247605225,0.268344362,0.2268660879,0.318402389,0.3437857039,0.293019074,0.318402389,0.3437857039,0.293019074,2
2014,01,101,0.4252924303,0.4315456563,0.4190392043,0.5426560507,0.5498724263,0.5354396751,0.6422871692,0.6499339663,0.6346403721,1
2014,01,103,0.2988446727,0.3082605563,0.289428789,0.3989189189,0.4115761453,0.3862616925,0.4303834378,0.4436767817,0.4170900939,1
2014,01,105,0.3764828124,0.4083273766,0.3446382482,0.4455374526,0.481074903,0.4100000022,0.4455374526,0.481074903,0.4100000022,2
2014,01,107,0.3825124266,0.4153605415,0.3496643117,0.4670344828,0.5042950356,0.4297739299,0.4670344828,0.5042950356,0.4297739299,2
2014,01,109,0.3367148136,0.3526849525,0.3207446747,0.5041239187,0.5247977137,0.4834501238,0.5041239187,0.5247977137,0.4834501238,2
2014,01,111,0.2440199069,0.2639647993,0.2240750145,0.3924606248,0.4212170282,0.3637042215,0.3924606248,0.4212170282,0.3637042215,2
2014,01,113,0.3193780667,0.3314855892,0.3072705441,0.4743068042,0.4901091936,0.4585044148,0.5024057739,0.5186908396,0.4861207081,2
2014,01,115,0.2529269277,0.2640420643,0.2418117912,0.3250745881,0.3386530039,0.3114961724,0.3634517766,0.3781952783,0.348708275,2
2014,01,117,0.2695390782,0.278715617,0.2603625393,0.44,0.4534596348,0.4265403652,0.5424710425,0.5576395821,0.5273025028,1
2014,01,119,0.3764828124,0.4042876258,0.3486779989,0.4455374526,0.4765666786,0.4145082266,0.4455374526,0.4765666786,0.4145082266,2
2014,01,121,0.2440199069,0.2545399654,0.2334998483,0.3924606248,0.4076283701,0.3772928796,0.3924606248,0.4076283701,0.3772928796,2
2014,01,123,0.2710035959,0.2849696268,0.2570375651,0.4047851562,0.4236345204,0.3859357921,0.4067713445,0.425681568,0.387861121,2
2014,01,125,0.5002618425,0.5072804062,0.4932432788,0.6271321372,0.6347789744,0.6194852999,0.6459258981,0.6540538463,0.6377979499,1
2014,01,127,0.2219031208,0.2326479189,0.2111583228,0.2855383099,0.2987869673,0.2722896526,0.2855383099,0.2987869673,0.2722896526,2
2014,01,129,0.2378916055,0.2609287424,0.2148544686,0.2967300557,0.3243335193,0.269126592,0.3140648012,0.3429185219,0.2852110805,2
2014,01,131,0.247605225,0.2768441303,0.2183663196,0.318402389,0.3541888511,0.2826159268,0.318402389,0.3541888511,0.2826159268,2
2014,01,133,0.2165969964,0.2374090196,0.1957849733,0.2901285774,0.316665442,0.2635917127,0.2901285774,0.316665442,0.2635917127,2
2014,02,013,0.253210405,0.3174288199,0.1889919901,0.3657550535,0.4512415951,0.2802685119,0.3982392543,0.4889032589,0.3075752497,2
2014,02,016,0.21883893,0.2616432591,0.1760346009,0.3259165077,0.3851348192,0.2666981963,0.3982392543,0.4666066141,0.3298718945,2
2014,02,020,0.3973043509,0.4030390781,0.3915696237,0.5179598743,0.5247694172,0.5111503314,0.6158680283,0.6243174294,0.6074186272,1
2014,02,050,0.2259106933,0.2511422692,0.2006791174,0.3538072234,0.3899115957,0.317702851,0.3982392543,0.4374556835,0.359022825,2
