year,state,county,share_affordable_80_ami,share_affordable_50_ami,share_affordable_30_ami,housing_quality
2021,01,001,1.6983778116,1.9753312718,2.0918678171,2
2021,01,003,1.9096149465,1.9591485173,2.2378450283,1
2021,01,005,1.574326594,1.5629596034,1.5432130256,2
2021,01,007,1.318275285,1.3524120042,1.3676062167,2
2021,01,009,1.5820396457,1.8634671021,2.4774049355,2
2021,01,011,1.5743266515,1.5629596401,1.5432130763,2
2021,01,013,1.9528808276,2.1292135081,2.158623265,2
2021,01,015,1.7135421185,1.6033139535,1.637223104,1
2021,01,017,1.8917282671,2.2121326779,2.2924961223,2
2021,01,019,1.6839057907,1.8775569365,1.8073527874,2
2021,01,021,1.8436340983,2.1932084121,2.2924960265,2
2021,01,023,1.545924317,1.9002408675,1.9105564244,2
2021,01,025,1.5459243359,1.9002409043,1.9105564817,2
2021,01,027,1.6839057494,1.8775569909,1.8073528539,2
2021,01,029,1.7137631287,1.8831459222,1.8073528636,2
2021,01,031,1.7237533191,2.117100715,2.1586233855,2
2021,01,033,1.6920836954,2.0377232536,1.9727801329,2
2021,01,035,1.5459243234,1.9002408044,1.9105563791,2
2021,01,037,1.8917282121,2.2121326446,2.2924961059,2
2021,01,039,1.9034938635,2.1777825227,2.1586233261,2
2021,01,041,1.8578736486,2.1775047552,2.1586233878,2
2021,01,043,1.9734384644,2.1720743171,2.1731958621,1
2021,01,045,1.7594435521,1.8765911524,1.8132949992,2
2021,01,047,1.4038930966,1.4059783467,1.3676062075,2
2021,01,049,1.662846342,1.8263749844,1.8685875216,2
2021,01,051,1.698377823,1.9753312274,2.091867835,2
2021,01,053,1.5459243455,1.9002409256,1.9105565036,2
2021,01,055,1.6065838923,1.8046600458,1.8229639519,1
2021,01,057,1.8920162409,2.118717335,2.1283739436,2
2021,01,059,1.7997858775,1.9537885385,1.9727801528,2
2021,01,061,1.7258136035,1.752029549,1.8132949665,2
2021,01,063,1.4038931254,1.4059784062,1.3676062547,2
2021,01,065,1.3382322803,1.3494334833,1.3676061979,2
2021,01,067,1.7371576793,1.8583273213,1.8132949937,2
2021,01,069,1.7258136263,1.752029568,1.8132949958,2
2021,01,071,1.6628463728,1.8263750881,1.8685876332,2
2021,01,073,1.5039076986,1.4545143163,1.306042885,1
2021,01,075,1.8920162257,2.1187172766,2.1283739064,2
2021,01,077,1.6920837388,2.0377233424,1.9727802589,2
2021,01,079,1.9533328328,2.2945866234,2.5578197765,2
2021,01,081,1.46837361,1.4573924884,1.0296895382,1
2021,01,083,1.9426756963,2.2397782294,2.3028299318,2
2021,01,085,1.698377817,1.9753312369,2.0918677901,2
2021,01,087,1.5743266666,1.5629596974,1.5432131278,2
2021,01,089,1.8433227285,1.8823702061,1.9165743313,1
2021,01,091,1.3994887307,1.4130300191,1.3676062413,2
2021,01,093,1.868867786,2.0729955979,2.0865080044,2
2021,01,095,2.0440478742,2.1988784308,2.2957427957,1
2021,01,097,1.4661180156,1.4176151703,1.4718965309,1
2021,01,099,1.5459243376,1.9002408387,1.9105564137,2
2021,01,101,1.574717736,1.20810973,1.105708333,1
2021,01,103,1.9533328164,2.2945866958,2.5578199214,1
2021,01,105,1.4038931446,1.4059783954,1.3676062413,2
2021,01,107,2.0076465747,2.5046844778,2.4214176623,2
2021,01,109,1.5743266468,1.5629596093,1.5432130442,2
2021,01,111,1.6839057572,1.8775569265,1.8073527842,2
2021,01,113,1.4439425859,1.5109523186,1.5432130746,2
2021,01,115,1.5820395773,1.8634669907,2.4774048752,2
2021,01,117,1.9297540208,1.8466774536,1.753559322,1
2021,01,119,1.4038931208,1.4059783791,1.3676062332,2
2021,01,121,1.6839057295,1.8775569616,1.8073528132,2
2021,01,123,1.8537930133,2.2138975913,2.292496104,2
2021,01,125,1.5320222865,1.4012077666,1.240777624,1
2021,01,127,1.8127367274,2.025876212,2.1283739047,2
2021,01,129,1.5459243285,1.9002408896,1.9105564668,2
2021,01,131,1.5459243331,1.9002408865,1.9105564576,2
2021,01,133,1.957142881,2.1893460663,2.1731959638,2
2021,02,013,1.5942119367,1.8793851533,2.030755857,2
2021,02,016,1.4557413603,1.6810261205,2.0307558536,2
2021,02,020,1.5504578405,1.4462796613,1.0926175219,1
2021,02,050,1.4774649285,1.7348188571,2.0307558587,2
2021,02,060,1.4980775701,1.7279471022,2.0307558155,2
2021,02,068,1.5752642589,1.5692007503,1.7735289325,2
2021,02,070,1.5942118976,1.879385104,2.0307558158,2
2021,02,090,1.5657368304,1.6428915913,1.7735289924,2
2021,02,100,1.5722203853,1.6919311847,1.7735288825,2
2021,02,105,1.5942118914,1.8793850962,2.0307558295,2
2021,02,110,1.5752642609,1.5814915332,1.7667823273,2
2021,02,122,1.563925365,1.6237383746,1.4850735548,2
2021,02,130,1.6020069153,1.6696105212,1.7735289224,2
2021,02,150,1.4821615362,1.6751783184,2.0307558116,2
2021,02,158,1.5942118963,1.8793850611,2.0307557811,2
2021,02,164,1.594211932,1.8793850748,2.0307557683,2
2021,02,170,1.5649506015,1.6197517062,1.4850736352,2
2021,02,180,1.4946615228,1.7375426064,2.0307557535,2
2021,02,185,1.5862427392,1.8487537976,2.0307558383,2
2021,02,188,1.5942119054,1.8793851447,2.0307557925,2
2021,02,195,1.5942119201,1.8793851239,2.0307557991,2
2021,02,198,1.5942119544,1.8793851679,2.0307558536,2
2021,02,220,1.4946615529,1.7375427028,2.0307558787,2
2021,02,230,1.5907666537,1.630219628,1.7735289622,2
2021,02,240,1.6033640922,1.6462413605,1.7735289808,2
2021,02,261,1.5752642416,1.5793012499,1.7735289471,2
2021,02,275,1.5942118976,1.879385104,2.0307558158,2
2021,02,282,1.5900450991,1.8113032831,2.0307558311,2
2021,02,290,1.5942119544,1.8793851679,2.0307558536,2
2021,04,001,1.695186216,2.0559908177,2.0559908177,2
2021,04,003,1.8301327287,1.8278251677,1.6479058415,2
2021,04,005,1.4186593644,1.2260976391,1.2818029286,1
2021,04,007,1.6568677779,2.0410578579,2.1466309716,2
2021,04,009,1.6326539621,1.9004720856,2.1466309107,2
2021,04,011,1.6120819788,1.9614047955,2.1466308689,2
2021,04,012,1.4390964927,1.3957901217,1.3957901217,2
2021,04,013,1.4770891114,1.2726576894,1.3065164759,1
2021,04,015,1.4496060398,1.397807391,1.4094197527,1
2021,04,017,1.6828501815,2.051823701,2.051823701,2
2021,04,019,1.5679008634,1.4501210179,1.3925018008,1
2021,04,021,1.6109936992,1.7434073984,2.0794807012,1
2021,04,023,1.8151657215,1.5920625509,1.5920625509,2
2021,04,025,1.4987824246,1.5735376434,1.6162570888,1
2021,04,027,1.841103369,1.906303866,1.8875577187,1
2021,05,001,1.870128293,1.7251609637,1.7046187501,2
