year,state,county,share_burdened_80_ami,share_burdened_80_ami_ub,share_burdened_80_ami_lb,share_burdened_50_ami,share_burdened_50_ami_ub,share_burdened_50_ami_lb,share_burdened_30_ami,share_burdened_30_ami_ub,share_burdened_30_ami_lb,rent_quality
2021,01,001,0.2727731855,0.369174937,0.1763714339,0.371168046,0.5024808246,0.2398552675,0.5589410407,0.7147724835,0.4031095979,2
2021,01,003,0.2558712938,0.3460221029,0.1657204848,0.4359378282,0.5593721662,0.3125034901,0.5782366958,0.7294017357,0.4270716559,1
2021,01,005,0.4034033112,0.4840937445,0.3227128779,0.5513612991,0.6478824501,0.4548401481,0.5627884737,0.6605024919,0.4650744556,2
2021,01,007,0.1913524851,0.2704551201,0.1122498502,0.2074505529,0.2946848985,0.1202162074,0.2354237522,0.3341113179,0.1367361864,2
2021,01,009,0.1380922372,0.2239689191,0.0522155554,0.2054125396,0.3221637751,0.0886613041,0.2449171194,0.3939177017,0.0959165371,2
2021,01,011,0.4034033421,0.4840937764,0.3227129077,0.5513613341,0.6478824844,0.4548401838,0.5627885109,0.6605025282,0.4650744937,2
2021,01,013,0.3022974789,0.382171697,0.2224232608,0.4485693845,0.5507563792,0.3463823898,0.4485693845,0.5507563792,0.3463823898,2
2021,01,015,0.3610368476,0.4591835763,0.2628901189,0.4331651045,0.5445700052,0.3217602038,0.5274445656,0.6497598914,0.4051292398,1
2021,01,017,0.1449256312,0.2285968624,0.0612544,0.2273853894,0.3512343795,0.1035363994,0.2570028125,0.3891609621,0.124844663,2
2021,01,019,0.2226377409,0.2967644134,0.1485110684,0.3269864393,0.4255629005,0.228409978,0.3269864393,0.4255629005,0.228409978,2
2021,01,021,0.1385254122,0.2200366498,0.0570141746,0.2200679619,0.3411156796,0.0990202442,0.2570028026,0.3891609505,0.1248446547,2
2021,01,023,0.2628010168,0.3462017881,0.1794002455,0.3829642122,0.4901597724,0.275768652,0.3910925409,0.5015362169,0.2806488649,2
2021,01,025,0.2628010076,0.346201778,0.1794002373,0.3829642014,0.490159761,0.2757686418,0.3910925316,0.5015362072,0.2806488561,2
2021,01,027,0.2226377478,0.2967644212,0.1485110745,0.3269864627,0.4255629258,0.2284099996,0.3269864627,0.4255629258,0.2284099996,2
2021,01,029,0.2226377506,0.2967644242,0.1485110769,0.3243341492,0.4215917141,0.2270765843,0.326986461,0.4255629239,0.228409998,2
2021,01,031,0.253190177,0.3223195654,0.1840607886,0.384911448,0.4771077323,0.2927151637,0.4485693389,0.5507563327,0.3463823452,2
2021,01,033,0.238783986,0.3094073841,0.1681605879,0.3622511197,0.4555305115,0.2689717278,0.3892330227,0.4899673359,0.2884987094,2
2021,01,035,0.2628010348,0.3462018079,0.1794002617,0.3829642322,0.4901597935,0.275768671,0.3910925618,0.5015362389,0.2806488848,2
2021,01,037,0.1449256423,0.2285968761,0.0612544084,0.2273853984,0.3512343902,0.1035364066,0.2570028279,0.38916098,0.1248446758,2
2021,01,039,0.2821988961,0.3584038822,0.20599391,0.4350957353,0.5358571919,0.3343342787,0.4485693633,0.5507563576,0.346382369,2
2021,01,041,0.2735529032,0.3479299942,0.1991758122,0.4130398603,0.5110273183,0.3150524022,0.4485693668,0.5507563611,0.3463823724,2
2021,01,043,0.3287370642,0.438783941,0.2186901874,0.5719738325,0.7234301466,0.4205175184,0.604262671,0.7577385608,0.4507867812,1
2021,01,045,0.3638390417,0.4128613058,0.3148167777,0.531061956,0.5927995271,0.4693243848,0.5600897484,0.6238263589,0.4963531379,2
2021,01,047,0.2038161396,0.2889559769,0.1186763022,0.2328115792,0.330432552,0.1351906064,0.2354237714,0.3341113399,0.1367362029,2
2021,01,049,0.3785647718,0.4687971938,0.2883323497,0.5005485131,0.6068443735,0.3942526528,0.5341137231,0.644115412,0.4241120342,2
2021,01,051,0.2727731809,0.369174932,0.1763714298,0.3711680525,0.5024808315,0.2398552735,0.5589410796,0.7147725209,0.4031096383,2
2021,01,053,0.2628010293,0.3462018019,0.1794002568,0.382964232,0.4901597932,0.2757686707,0.3910925627,0.5015362398,0.2806488856,2
2021,01,055,0.3347502657,0.438813027,0.2306875044,0.5228215768,0.6572946365,0.388348517,0.5880980163,0.72590773,0.4502883027,1
2021,01,057,0.1846038838,0.2690964106,0.100111357,0.2501688086,0.3588587826,0.1414788345,0.2592722219,0.3710968278,0.1474476161,2
2021,01,059,0.2540428763,0.3285899958,0.1794957568,0.3843843817,0.4843321396,0.2844366237,0.389233019,0.4899673321,0.2884987059,2
2021,01,061,0.3520314483,0.3994937686,0.304569128,0.4686513991,0.5269982795,0.4103045186,0.5600897674,0.6238263776,0.4963531572,2
2021,01,063,0.2038161264,0.2889559617,0.118676291,0.2328115685,0.3304325397,0.1351905972,0.2354237604,0.3341113274,0.1367361935,2
2021,01,065,0.1922133179,0.2718718366,0.1125547991,0.2124966088,0.3032809587,0.1217122588,0.2354237595,0.3341113263,0.1367361927,2
2021,01,067,0.358866961,0.4074160689,0.310317853,0.5157471434,0.5764940138,0.455000273,0.5600897674,0.6238263776,0.4963531572,2
2021,01,069,0.352031447,0.3994937672,0.3045691267,0.4686514007,0.5269982812,0.4103045203,0.5600897665,0.6238263767,0.4963531563,2
2021,01,071,0.3785647149,0.4687971344,0.2883322955,0.5005484813,0.6068443417,0.3942526209,0.5341136927,0.644115382,0.4241120033,2
2021,01,073,0.3804234594,0.4223136511,0.3385332676,0.4985528352,0.5485630413,0.4485426291,0.6527180289,0.7082873948,0.5971486631,1
2021,01,075,0.1846038841,0.269096411,0.1001113573,0.2501688001,0.3588587729,0.1414788272,0.2592722161,0.3710968211,0.147447611,2
2021,01,077,0.2387839748,0.3094073718,0.1681605778,0.362251104,0.455530495,0.268971713,0.3892330074,0.4899673199,0.2884986949,2
2021,01,079,0.1047912383,0.171493139,0.0380893375,0.1599170757,0.2585965063,0.0612376451,0.1701087865,0.2798889241,0.0603286489,2
2021,01,081,0.5169271448,0.6111736338,0.4226806559,0.6522490319,0.7540981619,0.5503999018,0.7888905638,0.8873474977,0.6904336298,1
2021,01,083,0.1713002929,0.25773184,0.0848687459,0.2785734348,0.402835047,0.1543118226,0.4732824515,0.6436348279,0.3029300751,2
2021,01,085,0.272773183,0.3691749342,0.1763714317,0.3711680454,0.5024808239,0.239855267,0.5589410432,0.7147724859,0.4031096005,2
2021,01,087,0.4034033322,0.4840937662,0.3227128981,0.5513613286,0.647882479,0.4548401781,0.5627885078,0.6605025251,0.4650744904,2
