year,state,county,rate_crime_violent,rate_crime_property,rate_crime_violent_quality,rate_crime_property_quality
2021,01,001,1272.9456081367648,1790.7502403885956,1,1
2021,01,003,528.3294662551567,1295.2877414355592,1,1
2021,01,005,1876.5588503107801,3586.840334138327,3,3
2021,01,007,1414.848947559174,1818.4586182498158,1,1
2021,01,009,819.1392370747927,1721.5457752359519,2,2
2021,01,011,1347.9684190256114,1222.7999229732332,1,1
2021,01,013,1037.485011209009,1397.2159949950471,3,3
2021,01,015,1902.8614996551694,2735.562381992348,2,2
2021,01,017,1794.2240339897803,3752.0812998794286,1,1
2021,01,019,2000.7118971368056,3820.3219743275063,1,1
2021,01,021,818.1554718327129,1823.5726865372185,2,2
2021,01,023,578.4865540963102,1094.4340212632897,3,3
2021,01,025,1272.1665381649962,1987.4925040692194,1,1
2021,01,027,1085.7304004512127,1431.190073322053,1,1
2021,01,029,2233.1516682174665,2578.758474013027,1,1
2021,01,031,946.3391189425984,1688.8577650353682,1,1
2021,01,033,1024.8463610910565,2354.3291834686293,2,2
2021,01,035,849.0405841399219,1613.1771098658514,2,2
2021,01,037,201.11089829534572,545.8724382302241,3,3
2021,01,039,1845.8255534809284,2632.7020538810352,2,2
2021,01,041,1022.5563909774436,2195.4887218045114,3,3
2021,01,043,1393.2552205384388,3119.872142811063,3,3
2021,01,045,1996.0747676588373,3734.688286665591,2,2
2021,01,047,1810.428476584444,2336.448598130841,3,3
2021,01,049,896.2772223636454,1131.8369160518002,1,1
2021,01,051,748.3376564807942,1743.7987195894807,2,2
2021,01,053,1287.995878413189,2115.0248108679734,3,3
2021,01,055,1888.5496436501246,3223.9589567983444,2,2
2021,01,057,749.2766170868184,1453.1477909570528,1,1
2021,01,059,799.1509021664482,2004.1206218392958,3,3
2021,01,061,1254.701645686684,2697.3397807578876,2,2
2021,01,063,242.0073875939371,382.11692777990066,3,3
2021,01,065,114.71759228018085,60.73284297186045,3,3
2021,01,067,1734.6282245456964,2586.049449641516,2,2
2021,01,069,248.75589601237792,656.4257278100953,2,2
2021,01,071,302.5804978305549,451.016213747431,3,3
2021,01,073,1329.6499726625311,3466.9623175835227,2,2
2021,01,075,667.6717639457247,1443.0325220762438,2,2
2021,01,077,1324.162756315485,3535.3859998714406,2,2
2021,01,079,694.9110936419315,1191.9432097441104,3,3
2021,01,081,1905.0439127561474,3678.004804181205,2,2
2021,01,083,318.4477596542201,937.3758105393094,2,2
2021,01,085,2486.9363266886007,4373.911360557384,3,3
2021,01,087,979.5534193264033,1508.8070560792653,2,2
2021,01,089,45.20100003480804,104.79989034971442,2,2
2021,01,091,881.5796257153168,1417.7450121152756,3,3
2021,01,093,1001.5426504896193,1901.9821904038204,2,2
2021,01,095,342.88293505538303,807.4475259401125,3,3
2021,01,097,2607.447783512614,3689.402344315277,2,2
2021,01,099,1048.968431518767,1710.1665423813074,2,2
2021,01,101,181.60229098274777,192.51589020046097,2,2
2021,01,103,230.00328666366858,453.74078706256387,2,2
2021,01,105,241.32383360147094,310.27350034474836,1,1
2021,01,107,457.3804573804574,909.5634095634097,2,2
2021,01,109,994.6949602122015,1561.3696648179407,1,1
2021,01,111,1132.64192139738,2051.491994177584,2,2
2021,01,113,589.76277486543,1150.9724693162204,3,3
2021,01,115,577.8735392136095,1019.642517015935,1,1
2021,01,117,993.0361404501222,2729.5106974029213,2,2
2021,01,119,288.41531805800355,416.5999038615606,3,3
2021,01,121,1329.3432581735242,2451.6283427149265,2,2
2021,01,123,1176.0073470605475,2052.693865242314,2,2
2021,01,125,1100.1143419405707,1563.8627647693424,2,2
2021,01,127,1214.5287672374527,2589.358850195643,3,3
2021,01,129,995.2484910748684,1650.186207782201,1,1
2021,01,131,467.9019277559424,570.8403518622497,3,3
2021,01,133,765.3592633481322,1434.087774234196,2,2
2021,02,013,NA,NA,NA,NA
2021,02,016,666.539706722529,1409.2553799276327,3,3
2021,02,020,9.57117708386744,32.47363653455024,3,3
2021,02,050,2192.9350761585824,875.013503294804,1,1
2021,02,060,3533.5689045936397,2709.0694935217907,1,1
2021,02,063,NA,NA,NA,NA
2021,02,066,NA,NA,NA,NA
2021,02,068,NA,NA,NA,NA
2021,02,070,571.5452133088385,142.88630332720962,3,3
2021,02,090,680.3981512933741,2200.743188298387,1,1
2021,02,100,476.6444232602479,2526.2154432793136,1,1
2021,02,105,NA,NA,NA,NA
2021,02,110,NA,NA,NA,NA
2021,02,122,497.3514332918874,940.1985999216502,2,2
2021,02,130,710.2374632326566,1226.773800129134,1,1
2021,02,150,1157.5124829777576,1301.2558632168257,1,1
2021,02,158,NA,NA,NA,NA
2021,02,164,NA,NA,NA,NA
2021,02,170,175.08215753649105,474.68798861497845,3,3
2021,02,180,2631.578947368421,883.8133068520358,1,1
2021,02,185,2300.966405890474,1546.2494247583984,1,1
2021,02,188,2057.61316872428,694.4444444444445,1,1
2021,02,195,1217.3396674584324,2494.061757719715,1,1
2021,02,198,305.81039755351685,67.95786612300374,3,3
2021,02,220,563.5125616341865,774.8297722470063,1,1
2021,02,230,NA,NA,NA,NA
2021,02,240,NA,NA,NA,NA
2021,02,275,508.7881591119334,370.0277520814061,1,1
2021,02,282,NA,NA,NA,NA
2021,02,290,NA,NA,NA,NA
2021,04,001,266.27352458893085,1125.268906172431,3,3
2021,04,003,821.7951587631503,1667.5726665174432,2,2
2021,04,005,1642.726055939617,3450.345655503581,2,2
2021,04,007,2922.3280900565674,2305.9141906748605,3,3
2021,04,009,NA,NA,NA,NA
2021,04,011,628.7989939216097,765.0387759379585,3,3
2021,04,012,1406.9456812110418,3371.9204511724547,2,2
2021,04,013,439.248327236215,1401.522927704472,3,3
2021,04,015,959.8909473006618,2103.9029885362133,3,3
2021,04,017,1624.6283146826254,1217.533228901875,3,3
2021,04,019,353.69827730292747,1409.8658728985579,3,3
2021,04,021,963.3779608215941,1929.0072902229244,2,2
2021,04,023,NA,NA,NA,NA
2021,04,025,1159.1648879972968,2065.965464585588,2,2
2021,04,027,924.8856827499211,3219.11463260801,2,2
2021,05,001,2796.271637816245,4064.1463555838595,1,1
2021,05,003,614.6059291395517,2179.5269083772337,3,3
2021,05,005,952.3579901629859,3170.5082457324716,1,1
2021,05,007,1188.5162355455689,3072.8854963643244,2,2
2021,05,009,1065.5628254773667,1840.03204700227,1,1
2021,05,011,1141.8325941304142,2330.8483533075396,3,3
2021,05,013,810.6422781126586,2618.9981292870507,1,1
2021,05,015,959.0111529445195,1747.5314342544575,1,1
2021,05,017,1460.8361364728496,3267.6597789524267,3,3
2021,05,019,1321.3408132041357,2276.415225555195,1,1
2021,05,021,613.8735420503376,1200.4638155651048,1,1
2021,05,023,2209.8541683101125,3543.5357461147073,2,2
2021,05,025,746.8553459119497,2306.0796645702308,3,3
2021,05,027,662.3959558983745,2919.77164770994,1,1
2021,05,029,1861.0721709286026,4838.787644414367,1,1
2021,05,031,1922.184300341297,4802.730375426621,1,1
2021,05,033,2941.3223550419125,3534.8775689036593,2,2
2021,05,035,3430.013653854111,5695.3121767553475,2,2
2021,05,037,1523.4720992028344,3336.2857986418658,3,3
2021,05,039,2167.042889390519,3641.8359668924004,3,3
2021,05,041,1422.376409366869,2315.6981786643537,3,3
2021,05,043,1079.3215692992976,2838.2159785277827,1,1
2021,05,045,2014.3752751743102,4507.959892990631,1,1
2021,05,047,1474.4448977213126,2447.6950871262893,1,1
2021,05,049,1488.1474132068129,1859.9707118593794,2,2
2021,05,051,1211.707825947399,5094.589443697715,2,2
2021,05,053,1060.741402411791,2406.208128628852,1,1
2021,05,055,2183.2913609985767,4309.6463374575715,1,1
2021,05,057,1768.8679245283017,3213.4433962264156,1,1
2021,05,059,691.9265167996133,3311.578438481992,3,3
2021,05,061,868.6210640608035,2404.219016596867,3,3
2021,05,063,1632.4478780823367,2899.77775425971,3,3
2021,05,065,1010.766864425401,1098.659635245001,3,3
2021,05,067,2441.047517478374,5024.291977722479,1,1
2021,05,069,3404.742005014736,7349.081364829396,2,2
2021,05,071,1469.8487602986113,2131.2807024329863,1,1
2021,05,073,266.75035305193785,972.8542287776557,1,1
2021,05,075,932.9732383992144,2142.1556592192487,2,2
2021,05,077,2230.5253623188405,3951.539855072464,1,1
2021,05,079,511.76290864650167,1260.3116406966087,3,3
2021,05,081,933.5756774619961,1999.3390614672837,3,3
2021,05,083,1277.0552608103667,2230.151650312221,1,1
2021,05,085,1519.8309492847854,2715.9189423493717,1,1
2021,05,087,872.93889427740055,1339.7187196896218,3,3
2021,05,089,614.9253731343283,1665.6716417910447,3,3
2021,05,091,3137.0262390670555,3927.6967930029155,1,1
2021,05,093,2540.123231290032,4551.764448016366,2,2
2021,05,095,2042.5901781833986,3462.2627842966826,3,3
2021,05,097,117.27704035396343,403.0140605822987,1,1
2021,05,099,623.5011990407673,1522.7817745803359,1,1
2021,05,101,599.2101320985972,1171.1834400108946,3,3
2021,05,103,1404.3223379123283,2900.516230641351,3,3
2021,05,105,527.0485282418457,2138.0270485282417,1,1
2021,05,107,2540.920640548366,4343.201560007091,3,3
2021,05,109,371.33215077022294,1061.5893231909226,1,1
2021,05,111,1516.4570049974152,3058.76270894365,2,2
2021,05,113,944.752515917026,1992.1955226945984,1,1
2021,05,115,1224.0250498149728,2425.910111648797,2,2
2021,05,117,794.6063086925114,1673.4890440645318,3,3
2021,05,119,3575.365259338301,7661.726293778664,2,2
2021,05,121,1203.7739941438022,2678.668257238911,1,1
2021,05,123,2916.6490284891843,5439.613935571265,1,1
2021,05,125,1079.6622214920574,3466.3439365402305,1,1
2021,05,127,1033.9251962131614,2713.9424630683734,1,1
2021,05,129,711.3821138211382,647.8658536585366,1,1
2021,05,131,2427.9565631970654,6322.101431336766,1,1
2021,05,133,858.5293019783502,1990.7925842976233,1,1
2021,05,135,222.4139898954564,727.6247501266348,3,3
2021,05,137,792.6237463604012,1472.0155289550307,1,1
2021,05,139,1637.7158575722074,3130.253171005043,3,3
2021,05,141,1182.047763663608,2063.600820335182,1,1
2021,05,143,1332.2977802161495,4431.179723618605,1,1
2021,05,145,1895.5562763542007,4154.395069737269,2,2
2021,05,147,331.59639981051635,1089.5310279488394,1,1
2021,05,149,1103.030894626385,1927.8637317585046,2,2
2021,06,001,23.967012783801405,209.845840109543,3,3
2021,06,003,NA,NA,NA,NA
2021,06,005,NA,NA,NA,NA
2021,06,007,43.60118228047952,208.36775531934424,3,3
2021,06,009,119.07649562283623,332.9731636860791,3,3
2021,06,011,110.19283746556472,133.14967860422405,3,3
2021,06,013,254.38107921280465,969.8332448092917,3,3
2021,06,015,32.54384378954981,177.1831495208823,3,3
2021,06,017,600.8353973384828,1457.2226186977875,3,3
2021,06,019,886.4078153815481,2704.5805712007177,2,2
2021,06,021,408.0209241499564,1112.467306015693,3,3
2021,06,023,40.141883311194476,164.9466477878173,3,3
2021,06,025,NA,NA,NA,NA
2021,06,027,NA,NA,NA,NA
2021,06,029,11.041866340416323,21.531639363811827,3,3
2021,06,031,373.303837721464,909.2285712404616,2,2
2021,06,033,197.788897253096,326.2040768129419,3,3
2021,06,035,157.8196606877295,273.1494127287626,3,3
2021,06,037,43.454676742216655,230.45749670521928,3,3
2021,06,039,1168.8760364418058,2431.7995700685847,2,2
2021,06,041,40.39834290570798,149.77876190512487,2,2
2021,06,043,1381.712626995646,2148.040638606676,1,1
2021,06,045,210.85061288701468,487.25063910678,3,3
2021,06,047,34.39011284255776,94.93104065914383,3,3
2021,06,049,103.17551301157859,171.95918835263097,3,3
2021,06,051,NA,NA,NA,NA
2021,06,053,507.3436108193816,1091.4608169895182,3,3
2021,06,055,NA,NA,NA,NA
2021,06,057,34.28347536487413,106.76853756489372,3,3
2021,06,059,145.3381058856906,562.7845851124894,3,3
2021,06,061,13.98845952089526,105.9126220867784,3,3
2021,06,063,NA,NA,NA,NA
2021,06,065,66.94804491371255,228.07160991993214,3,3
2021,06,067,8.716304643118223,50.00741204007973,3,3
2021,06,069,1129.024617473827,1596.425018553901,3,3
2021,06,071,136.70672216615668,457.65430978535477,3,3
2021,06,073,1046.22826020677,2839.0169998819892,2,2
2021,06,075,2.4251298888020205,16.860426845956905,3,3
2021,06,077,787.2637754956534,1855.9617114722985,2,2
2021,06,079,154.188371509101,757.1497784426267,3,3
2021,06,081,60.85341670950887,280.6601546516142,3,3
2021,06,083,328.6042028276492,979.334347516257,3,3
2021,06,085,44.92702464050617,319.4063007564096,3,3
2021,06,087,96.64214479418531,375.91222100551926,3,3
2021,06,089,NA,NA,NA,NA
2021,06,091,NA,NA,NA,NA
2021,06,093,NA,NA,NA,NA
2021,06,095,40.31614949759875,127.81548494568396,3,3
2021,06,097,12.588883609679634,41.624534515876206,3,3
2021,06,099,0,0.3630805203670018,2,2
2021,06,101,53.49212757367784,301.77634234961647,2,2
2021,06,103,1071.237279057311,2341.418624225266,3,3
2021,06,105,NA,NA,NA,NA
2021,06,107,500.42569092503385,984.7154664871899,3,3
2021,06,109,NA,NA,NA,NA
2021,06,111,35.37394040851577,83.40678256857397,3,3
2021,06,113,126.90179646797691,642.3538206669958,3,3
2021,06,115,NA,NA,NA,NA
2021,08,001,1566.0101988705828,7184.010739021408,2,2
2021,08,003,1868.47407950174,6967.08798925322,1,1
2021,08,005,834.9911577400871,4367.693442376857,2,2
2021,08,007,1077.8623652672045,1477.349815331273,1,1
2021,08,009,511.50895140664966,795.6805910770106,3,3
2021,08,011,563.0438491724962,1706.1934823408974,3,3
2021,08,013,776.0525673841671,4334.7525359472265,2,2
2021,08,014,427.8030730291484,5162.523900573614,1,1
2021,08,015,406.4622350277835,1178.225972422309,1,1
2021,08,017,177.40981667652278,295.68302779420463,3,3
2021,08,019,1283.5472578763126,3543.014744881723,1,1
2021,08,021,527.774112679773,395.8305845098298,3,3
2021,08,023,NA,NA,NA,NA
2021,08,025,814.2239946826188,1229.6444001329344,3,3
2021,08,027,1165.2542372881355,2415.2542372881358,3,3
2021,08,029,629.5570616387755,3028.940352680436,2,2
2021,08,031,1521.931977832453,8403.520661461038,2,2
2021,08,033,218.53146853146853,1442.3076923076924,3,3
2021,08,035,1031.9047726568297,5730.815377160799,1,1
2021,08,037,721.4396784912761,2147.730249985122,2,2
2021,08,039,250.994323666834,386.14511333359076,3,3
2021,08,041,1035.7862345310043,4803.5338347728075,2,2
2021,08,043,1163.099149101149,3068.9493337686454,1,1
2021,08,045,1048.6597736070955,2433.8053935741004,2,2
2021,08,047,1978.664831383345,11304.19821059876,3,3
2021,08,049,467.0804274105829,2041.077484164054,2,2
2021,08,051,575.633493561213,2628.9240994599727,1,1
2021,08,053,466.2004662004662,2097.902097902098,1,1
2021,08,055,795.6387210844262,3771.9168999557974,3,3
2021,08,057,509.0909090909091,872.7272727272727,1,1
2021,08,059,983.1953488664215,6020.218090501774,2,2
2021,08,061,495.0495049504951,2475.2475247524753,3,3
2021,08,063,692.971291189365,1852.6375335878945,3,3
2021,08,065,930.2952676284212,1483.0794121612512,1,1
2021,08,067,978.9305408366714,3058.933414761195,1,1
2021,08,069,775.8923787873024,3529.102954618634,2,2
2021,08,071,1286.9038607115822,4046.5212304727825,1,1
2021,08,073,479.57371225577265,1651.8650088809948,1,1
2021,08,075,969.4463588329887,4167.240983229956,3,3
2021,08,077,1239.9392313411126,4459.385202185086,2,2
2021,08,079,NA,NA,NA,NA
2021,08,081,891.238670694864,3217.5226586102717,1,1
2021,08,083,1778.8238925760147,3519.061583577713,3,3
2021,08,085,848.1383481383482,3879.228879228879,3,3
2021,08,087,1021.8927532215603,3709.9903006789523,1,1
2021,08,089,1017.9480310742031,4125.368336458612,2,2
2021,08,091,453.6082474226804,1855.6701030927834,3,3
2021,08,093,425.6787850897377,673.0326737229636,3,3
2021,08,095,266.84456304202797,489.2150322437181,1,1
2021,08,097,430.4767892957105,1945.307033803365,1,1
2021,08,099,467.9926458298512,2080.8958716363027,3,3
2021,08,101,1457.7224654082042,7483.891002251377,2,2
2021,08,103,739.0300230946882,1909.1608929946112,1,1
2021,08,105,1620.8602191072362,4274.940839171124,1,1
2021,08,107,891.6020723723844,3389.6943652355517,2,2
2021,08,109,235.36004483048472,493.13533202577753,3,3
2021,08,111,1002.865329512894,1719.1977077363897,3,3
2021,08,113,383.4735279564572,915.3884215734785,3,3
2021,08,115,203.33468889792596,325.3355022366816,3,3
2021,08,117,1037.3042974035177,3498.485922298821,1,1
2021,08,119,804.6490835940991,2158.4577718389396,3,3
2021,08,121,1137.7741001241209,4220.107571369466,3,3
2021,08,123,1104.5482676810495,4476.002729780679,2,2
2021,08,125,251.40788415124698,1025.7441673370877,1,1
2021,09,001,641.2280463298503,1880.7125546031873,1,1
2021,09,003,791.4216657244981,3303.117168686765,2,2
2021,09,005,405.0222762251924,1128.6620764142028,1,1
2021,09,007,288.63448544066887,1249.3315832968742,1,1
2021,09,009,1138.8249334201405,3217.4579734513172,2,2
2021,09,011,757.6236108066332,1396.7175836302767,2,2
2021,09,013,111.91047162270183,541.5667466027179,3,3
2021,09,015,333.038634198261,421.4483747199643,2,2
2021,10,001,989.8572817962947,2370.7476152501054,2,2
2021,10,003,1060.2807695170552,3311.616673841029,2,2
2021,10,005,711.2048032675677,1524.694924698004,2,2
2021,11,001,NA,NA,NA,NA
2021,12,001,112.24929482096238,310.67708050447004,2,2
2021,12,003,857.0510302467593,1024.8901903367496,3,3
2021,12,005,NA,NA,NA,NA
2021,12,007,NA,NA,NA,NA
2021,12,009,272.1199255950649,324.9813405854319,3,3
2021,12,011,67.45751339716554,133.62273726564976,3,3
2021,12,013,NA,NA,NA,NA
2021,12,015,624.8748897677414,1198.3531435805603,3,3
2021,12,017,NA,NA,NA,NA
2021,12,019,1115.076649962091,1368.419106089465,3,3
2021,12,021,773.3431331260713,1387.8867050968759,3,3
2021,12,023,8.662383599220385,25.987150797661158,3,3
2021,12,027,32.32726952126252,61.71569635877391,3,3
2021,12,029,NA,NA,NA,NA
2021,12,031,1996.7390629942645,3571.7736710359422,3,3
2021,12,033,9.409462155143212,1.5682436925238685,2,2
2021,12,035,NA,NA,NA,NA
2021,12,037,NA,NA,NA,NA
2021,12,039,NA,NA,NA,NA
2021,12,041,NA,NA,NA,NA
2021,12,043,NA,NA,NA,NA
2021,12,045,0,6.576783952647156,3,3
2021,12,047,50.0966149001646,150.28984470049383,3,3
2021,12,049,NA,NA,NA,NA
2021,12,051,742.9194452191994,1346.3830218818935,3,3
2021,12,053,1149.754330446369,1755.0799467021986,3,3
2021,12,055,NA,NA,NA,NA
2021,12,057,347.76672558553656,581.7805684043925,2,2
2021,12,059,NA,NA,NA,NA
2021,12,061,NA,NA,NA,NA
2021,12,063,NA,NA,NA,NA
2021,12,065,NA,NA,NA,NA
2021,12,067,NA,NA,NA,NA
2021,12,069,10.131739273021045,29.32871894821881,3,3
2021,12,071,NA,NA,NA,NA
2021,12,073,10.65420239547712,48.45943670200884,2,2
2021,12,075,634.5536893753539,1144.0837893942253,3,3
2021,12,077,NA,NA,NA,NA
2021,12,079,NA,NA,NA,NA
2021,12,081,9.877818977569753,20.008915364820783,2,2
2021,12,083,1379.693929346711,1854.0818420398948,2,2
2021,12,085,330.33734833220694,541.9301049121101,3,3
2021,12,086,228.72645126803224,773.4247594803638,3,3
2021,12,087,3.6476825057147026,6.0794708428578375,3,3
2021,12,089,1.1300456538444152,1.1300456538444152,3,3
2021,12,091,48.7501792286001,97.97830139081393,3,3
2021,12,093,NA,NA,NA,NA
2021,12,095,NA,NA,NA,NA
2021,12,097,NA,NA,NA,NA
2021,12,099,115.84943084578862,261.5388666064016,3,3
2021,12,101,NA,NA,NA,NA
2021,12,103,426.8316233276165,812.8485817686841,3,3
2021,12,105,NA,NA,NA,NA
2021,12,107,28.70931138665974,133.97678647107878,3,3
2021,12,109,22.57981966250696,69.62111062606313,3,3
2021,12,111,NA,NA,NA,NA
2021,12,113,574.4663538474057,805.5548021372969,3,3
2021,12,115,350.5413009857082,998.0528071254215,3,3
2021,12,117,NA,NA,NA,NA
2021,12,119,4.711980209683119,8.638630384419052,3,3
2021,12,121,NA,NA,NA,NA
2021,12,123,9.190331770976933,22.97582942744233,3,3
2021,12,125,NA,NA,NA,NA
2021,12,127,NA,NA,NA,NA
2021,12,129,NA,NA,NA,NA
2021,12,131,NA,NA,NA,NA
