year,state,place,subgroup_type,subgroup,share_employed,share_employed_lb,share_employed_ub,share_employed_quality
2018,01,03076,race-ethnicity,"Black, Non-Hispanic",0.7509182424159979,0.6917493868752852,0.8100870979567106,2
2018,01,03076,race-ethnicity,Hispanic,NA,NA,NA,3
2018,01,03076,race-ethnicity,Other Races and Ethnicities,0.6482939632545931,0.5718385634104957,0.7247493630986905,2
2018,01,03076,race-ethnicity,"White, Non-Hispanic",0.8137357987331059,0.7896591880409122,0.8378124094252996,2
2018,01,07000,race-ethnicity,"Black, Non-Hispanic",0.6892790384766683,0.6661162333221574,0.7124418436311791,3
2018,01,07000,race-ethnicity,Hispanic,0.7812838643156202,0.7109757171839219,0.8515920114473186,3
2018,01,07000,race-ethnicity,Other Races and Ethnicities,0.6642236402685362,0.5635217685841328,0.7649255119529396,3
2018,01,07000,race-ethnicity,"White, Non-Hispanic",0.8293320069140198,0.8094217946035367,0.8492422192245028,3
2018,01,35896,race-ethnicity,"Black, Non-Hispanic",0.8214603865634379,0.791992951946746,0.8509278211801298,3
2018,01,35896,race-ethnicity,Hispanic,0.8117190625357233,0.7657811004853159,0.8576570245861308,3
2018,01,35896,race-ethnicity,Other Races and Ethnicities,0.8078348305528131,0.7422584724390774,0.8734111886665489,3
2018,01,35896,race-ethnicity,"White, Non-Hispanic",0.8308267381596575,0.8174570273639588,0.8441964489553562,3
2018,01,37000,race-ethnicity,"Black, Non-Hispanic",0.7629957655908624,0.727698938343341,0.7982925928383837,3
2018,01,37000,race-ethnicity,Hispanic,0.6875105250892268,0.624957664278124,0.7500633859003296,3
2018,01,37000,race-ethnicity,Other Races and Ethnicities,0.7625103379035857,0.7094694356965175,0.8155512401106538,3
2018,01,37000,race-ethnicity,"White, Non-Hispanic",0.7926909199589939,0.7769354159663289,0.8084464239516589,3
2018,01,50000,race-ethnicity,"Black, Non-Hispanic",0.6767756324304661,0.6546400190526087,0.6989112458083235,3
2018,01,50000,race-ethnicity,Hispanic,0.849168751716572,0.7607795869589654,0.9375579164741786,3
2018,01,50000,race-ethnicity,Other Races and Ethnicities,0.733798361933162,0.634270168424895,0.8333265554414289,3
2018,01,50000,race-ethnicity,"White, Non-Hispanic",0.7982209232845986,0.7711268060612658,0.8253150405079314,3
2018,01,51000,race-ethnicity,"Black, Non-Hispanic",0.6982552111623588,0.6633812901238507,0.7331291322008668,3
2018,01,51000,race-ethnicity,Hispanic,0.7073557278770775,0.6266108627658569,0.788100592988298,3
2018,01,51000,race-ethnicity,Other Races and Ethnicities,0.7049222729161099,0.6422252259139364,0.7676193199182834,3
2018,01,51000,race-ethnicity,"White, Non-Hispanic",0.8096004273318042,0.7872742794672686,0.8319265751963397,3
2018,01,77256,race-ethnicity,"Black, Non-Hispanic",0.6967649608080538,0.6541653446600304,0.7393645769560773,2
2018,01,77256,race-ethnicity,Hispanic,0.8000872642257167,0.6897754985758884,0.9103990298755451,2
2018,01,77256,race-ethnicity,Other Races and Ethnicities,0.700776327096444,0.5949929105513397,0.8065597436415483,2
2018,01,77256,race-ethnicity,"White, Non-Hispanic",0.7850831992962246,0.754814678242009,0.8153517203504402,2
2018,02,03000,race-ethnicity,"Black, Non-Hispanic",0.738909090909091,0.6453153908445055,0.8325027909736764,2
2018,02,03000,race-ethnicity,Hispanic,0.7653846153846153,0.6881803939360104,0.8425888368332203,2
2018,02,03000,race-ethnicity,Other Races and Ethnicities,0.7475636999384855,0.710939090258466,0.7841883096185049,2
2018,02,03000,race-ethnicity,"White, Non-Hispanic",0.84711051826278,0.8253693036627759,0.8688517328627842,2
2018,04,04720,race-ethnicity,"Black, Non-Hispanic",0.8272166182123297,0.765254534399267,0.8891787020253924,2
2018,04,04720,race-ethnicity,Hispanic,0.7749551243491846,0.7401313377256917,0.8097789109726774,2
2018,04,04720,race-ethnicity,Other Races and Ethnicities,0.802647846720697,0.7225813502024877,0.8827143432389063,2
2018,04,04720,race-ethnicity,"White, Non-Hispanic",0.816894453712476,0.7906932792046654,0.8430956282202867,2
2018,04,07940,race-ethnicity,"Black, Non-Hispanic",0.7729039499345268,0.6603367061008647,0.885471193768189,2
2018,04,07940,race-ethnicity,Hispanic,0.7725117969373803,0.7371232518624063,0.8079003420123542,2
2018,04,07940,race-ethnicity,Other Races and Ethnicities,0.6757075128104375,0.6110282801814431,0.740386745439432,2
2018,04,07940,race-ethnicity,"White, Non-Hispanic",0.7759993092548193,0.7486281239881902,0.8033704945214484,2
2018,04,12000,race-ethnicity,"Black, Non-Hispanic",0.8417573677406792,0.7948623551267325,0.8886523803546259,3
2018,04,12000,race-ethnicity,Hispanic,0.807924861091251,0.7750622002234274,0.8407875219590745,3
2018,04,12000,race-ethnicity,Other Races and Ethnicities,0.8081839386738935,0.7770800463052245,0.8392878310425624,3
2018,04,12000,race-ethnicity,"White, Non-Hispanic",0.8498821728245622,0.838219849688004,0.8615444959611205,3
2018,04,23620,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,3
2018,04,23620,race-ethnicity,Hispanic,0.840427154843631,0.8022077011922356,0.8786466084950263,3
2018,04,23620,race-ethnicity,Other Races and Ethnicities,0.6163405774010579,0.5782626965090129,0.6544184582931029,3
2018,04,23620,race-ethnicity,"White, Non-Hispanic",0.8493267958596,0.8260654759085689,0.8725881158106311,3
2018,04,27400,race-ethnicity,"Black, Non-Hispanic",0.8451656521099876,0.7665335077827669,0.9237977964372084,1
2018,04,27400,race-ethnicity,Hispanic,0.8105317695119796,0.7807887644442384,0.8402747745797208,1
