year,state,place,share_employed,share_employed_lb,share_employed_ub,share_employed_quality
2014,01,03076,0.7249520285087719,0.6582113747489772,0.7916926822685667,2
2014,01,07000,0.689719065530773,0.6581597013563162,0.7212784297052298,3
2014,01,35896,0.8198995688206223,0.7957371201787634,0.8440620174624812,3
2014,01,37000,0.7233043712858066,0.68485129979745,0.7617574427741632,3
2014,01,50000,0.7393166989901326,0.7031252354995201,0.7755081624807452,3
2014,01,51000,0.7445155851263595,0.7060887534836937,0.7829424167690253,3
2014,01,77256,0.7006367625226663,0.641771532340463,0.7595019927048695,2
2014,02,03000,0.8092987037503147,0.7623521211846374,0.856245286315992,2
2014,04,04720,0.7894410832006137,0.7561809131855745,0.8227012532156529,2
2014,04,07940,0.7762240176942271,0.7271551118144585,0.8252929235739958,2
2014,04,12000,0.8285722152544897,0.7978518766784737,0.8592925538305056,3
2014,04,23620,0.74473271440078,0.6973898999536805,0.7920755288478796,3
2014,04,27400,0.8089475038981799,0.7856143532964608,0.8322806544998991,1
2014,04,27820,0.7203436633425537,0.6785681970657104,0.7621191296193971,1
2014,04,28380,0.8194825776455897,0.7622382730162495,0.87672688227493,2
2014,04,46000,0.7706764766202512,0.7465916268692341,0.7947613263712683,2
2014,04,54050,0.7987425043478306,0.7639606520783664,0.8335243566172947,2
2014,04,55000,0.7273224538919649,0.7129260299974655,0.7417188777864644,2
2014,04,65000,0.796811243672023,0.7657332059470954,0.8278892813969507,3
2014,04,71510,0.7964080099211693,0.7577418074888457,0.835074212353493,1
2014,04,73000,0.8128091838570819,0.768841031302271,0.8567773364118928,3
2014,04,77000,0.7480390527006155,0.726745564718083,0.769332540683148,2
2014,04,85540,0.7242722368079397,0.680430095170542,0.7681143784453375,2
2014,05,23290,0.8169976710709562,0.777389914576281,0.8566054275656314,2
2014,05,24550,0.7506491354068836,0.7104411305563383,0.7908571402574289,2
2014,05,35710,0.7468985645777562,0.701060736130522,0.7927363930249903,2
2014,05,41000,0.717432482755136,0.6638423214264237,0.7710226440838484,1
2014,05,66080,0.8114882340022508,0.7754980168792597,0.8474784511252419,3
2014,06,00562,0.8242035537798339,0.7877850336044155,0.8606220739552523,2
2014,06,00884,0.7612911872259769,0.7146169688126047,0.807965405639349,2
2014,06,02000,0.770455582899735,0.7370774432297811,0.803833722569689,3
2014,06,02252,0.6701945156929492,0.6169681359652299,0.7234208954206685,1
2014,06,02364,0.6100886637252714,0.5597309069669383,0.6604464204836045,2
2014,06,03526,0.7280152601505749,0.7018375519747018,0.7541929683264481,2
2014,06,04982,0.7403750653432773,0.7010283809779221,0.7797217497086326,2
2014,06,06000,0.7517572197748409,0.708566359861854,0.7949480796878278,1
2014,06,08786,0.8008465794202115,0.7710167070907669,0.8306764517496562,3
2014,06,08954,0.8093850033083567,0.7512247397787708,0.8675452668379426,1
2014,06,11194,0.816337605053013,0.7757238915921819,0.8569513185138441,1
2014,06,11530,0.7538411261636702,0.7059937128219493,0.801688539505391,1
2014,06,13014,0.7416787614900823,0.6884304817236724,0.7949270412564922,1
2014,06,13210,0.8102011769349372,0.7707214883162716,0.8496808655536028,2
2014,06,13214,0.8144334649844016,0.7714450137326742,0.8574219162361291,2
2014,06,13392,0.7522553140665242,0.7212031899689363,0.7833074381641122,1
2014,06,13588,0.7364169206997143,0.6800685664335664,0.7927652749658622,1
2014,06,14218,0.7907745190877675,0.7525303750839475,0.8290186630915876,1
2014,06,15044,0.7241696638513268,0.6889623013250095,0.759377026377644,2
2014,06,16000,0.7742057704959248,0.7474133674995611,0.8009981734922884,3
2014,06,16350,0.7311429401354652,0.7012042616238692,0.7610816186470613,2
2014,06,16532,0.7967497421717126,0.7666070825794599,0.8268924017639653,2
2014,06,17918,0.8693973658289167,0.8372929224405271,0.9015018092173064,2
2014,06,19766,0.7979882241281073,0.7573715097467297,0.8386049385094849,1
2014,06,21712,0.774592053906461,0.7394414864104029,0.8097426214025192,2
2014,06,22020,0.7770416293071896,0.7291527232506252,0.8249305353637539,1
2014,06,22230,0.7384644264329859,0.6997763100455364,0.7771525428204354,1
2014,06,22804,0.7337610633169215,0.6945408342987278,0.7729812923351151,1
2014,06,23182,0.7567737666822664,0.7153847262748986,0.7981628070896342,1
2014,06,24638,0.8303210823909533,0.7833244252890488,0.8773177394928577,2
2014,06,24680,0.7239246639268156,0.6882105056923243,0.759638822161307,1
2014,06,26000,0.7911440379494316,0.7647618642621204,0.8175262116367427,2
2014,06,27000,0.7115983485622452,0.6808772716277799,0.7423194254967106,3
2014,06,28000,0.7428190853845332,0.6942732784449555,0.791364892324111,3
2014,06,29000,0.7494044392612673,0.7124345142922099,0.7863743642303247,3
2014,06,30000,0.7552481091939299,0.7200552361427434,0.7904409822451165,2
2014,06,32548,0.7858319101456029,0.7448717961581929,0.826792024133013,2
2014,06,33000,0.7914453914134315,0.7568819869835455,0.8260087958433175,1
2014,06,33182,0.6490217170817884,0.6038405094334611,0.6942029247301156,2
2014,06,33434,0.609834548861222,0.5593360870374384,0.6603330106850056,2
2014,06,36000,0.7997100924783793,0.7598546278679976,0.839565557088761,3
2014,06,36448,0.7584172107365861,0.7150837015214782,0.801750719951694,2
2014,06,36546,0.7549070441903887,0.7094313388276345,0.8003827495531428,1
2014,06,36770,0.7930306330712478,0.7626105828083151,0.8234506833341805,2
2014,06,37692,0.7101656930883974,0.6627972496065249,0.7575341365702699,2
2014,06,39496,0.8102522437992636,0.7704884352449719,0.8500160523535554,3
2014,06,39892,0.7800494033637414,0.7367170361057273,0.8233817706217555,2
