year,state,place,subgroup_type,subgroup,share_employed,share_employed_quality
2018,01,03076,race-ethnicity,"Black, Non-Hispanic",0.7509182424159978,2
2018,01,03076,race-ethnicity,Hispanic,NA,3
2018,01,03076,race-ethnicity,Other Races and Ethnicities,0.6482939632545931,3
2018,01,03076,race-ethnicity,"White, Non-Hispanic",0.8137357987331059,2
2018,01,03076,all,All,0.786905353886955,2
2018,01,07000,race-ethnicity,"Black, Non-Hispanic",0.6892790384766683,3
2018,01,07000,race-ethnicity,Hispanic,0.7812838643156202,3
2018,01,07000,race-ethnicity,Other Races and Ethnicities,0.6642236402685363,3
2018,01,07000,race-ethnicity,"White, Non-Hispanic",0.8293320069140198,3
2018,01,07000,all,All,0.7362671394890647,3
2018,01,35896,race-ethnicity,"Black, Non-Hispanic",0.8214603865634379,3
2018,01,35896,race-ethnicity,Hispanic,0.8117190625357235,3
2018,01,35896,race-ethnicity,Other Races and Ethnicities,0.8078348305528131,3
2018,01,35896,race-ethnicity,"White, Non-Hispanic",0.8308267381596575,3
2018,01,35896,all,All,0.8267949498498163,3
2018,01,37000,race-ethnicity,"Black, Non-Hispanic",0.7629957655908624,3
2018,01,37000,race-ethnicity,Hispanic,0.6875105250892268,3
2018,01,37000,race-ethnicity,Other Races and Ethnicities,0.7625103379035857,3
2018,01,37000,race-ethnicity,"White, Non-Hispanic",0.7926909199589939,3
2018,01,37000,all,All,0.7766508535486119,3
2018,01,50000,race-ethnicity,"Black, Non-Hispanic",0.6767756324304661,3
2018,01,50000,race-ethnicity,Hispanic,0.849168751716572,3
2018,01,50000,race-ethnicity,Other Races and Ethnicities,0.7337983619331621,3
2018,01,50000,race-ethnicity,"White, Non-Hispanic",0.7982209232845986,3
2018,01,50000,all,All,0.7375783538676126,3
2018,01,51000,race-ethnicity,"Black, Non-Hispanic",0.6982552111623589,3
2018,01,51000,race-ethnicity,Hispanic,0.7073557278770775,3
2018,01,51000,race-ethnicity,Other Races and Ethnicities,0.7049222729161098,3
2018,01,51000,race-ethnicity,"White, Non-Hispanic",0.8096004273318042,3
2018,01,51000,all,All,0.7355290850802781,3
2018,01,77256,race-ethnicity,"Black, Non-Hispanic",0.6967649608080538,2
2018,01,77256,race-ethnicity,Hispanic,0.8000872642257167,3
2018,01,77256,race-ethnicity,Other Races and Ethnicities,0.7007763270964439,3
2018,01,77256,race-ethnicity,"White, Non-Hispanic",0.7850831992962246,2
2018,01,77256,all,All,0.7431817432610254,2
2018,02,03000,race-ethnicity,"Black, Non-Hispanic",0.738909090909091,2
2018,02,03000,race-ethnicity,Hispanic,0.7653846153846153,2
2018,02,03000,race-ethnicity,Other Races and Ethnicities,0.7475636999384855,2
2018,02,03000,race-ethnicity,"White, Non-Hispanic",0.84711051826278,2
2018,02,03000,all,All,0.8096510442994809,2
2018,04,04720,race-ethnicity,"Black, Non-Hispanic",0.8272166182123297,2
2018,04,04720,race-ethnicity,Hispanic,0.7749551243491847,2
2018,04,04720,race-ethnicity,Other Races and Ethnicities,0.8026478467206968,2
2018,04,04720,race-ethnicity,"White, Non-Hispanic",0.816894453712476,2
2018,04,04720,all,All,0.7963306906102604,2
2018,04,07940,race-ethnicity,"Black, Non-Hispanic",0.7729039499345268,3
2018,04,07940,race-ethnicity,Hispanic,0.7725117969373804,2
2018,04,07940,race-ethnicity,Other Races and Ethnicities,0.6757075128104376,3
2018,04,07940,race-ethnicity,"White, Non-Hispanic",0.7759993092548193,2
2018,04,07940,all,All,0.7671443586323614,2
2018,04,12000,race-ethnicity,"Black, Non-Hispanic",0.841757367740679,3
2018,04,12000,race-ethnicity,Hispanic,0.807924861091251,3
2018,04,12000,race-ethnicity,Other Races and Ethnicities,0.8081839386738935,3
2018,04,12000,race-ethnicity,"White, Non-Hispanic",0.8498821728245621,3
2018,04,12000,all,All,0.8341760638469478,3
2018,04,23620,race-ethnicity,"Black, Non-Hispanic",NA,3
2018,04,23620,race-ethnicity,Hispanic,0.8404271548436308,3
2018,04,23620,race-ethnicity,Other Races and Ethnicities,0.616340577401058,3
2018,04,23620,race-ethnicity,"White, Non-Hispanic",0.8493267958596,3
2018,04,23620,all,All,0.7716107256703544,3
2018,04,27400,race-ethnicity,"Black, Non-Hispanic",0.8451656521099875,1
2018,04,27400,race-ethnicity,Hispanic,0.8105317695119796,1
2018,04,27400,race-ethnicity,Other Races and Ethnicities,0.797441886611142,1
2018,04,27400,race-ethnicity,"White, Non-Hispanic",0.8069457007172928,1
2018,04,27400,all,All,0.8078393547172376,1
2018,04,27820,race-ethnicity,"Black, Non-Hispanic",0.6898445713823605,1
2018,04,27820,race-ethnicity,Hispanic,0.7258061779539877,1
2018,04,27820,race-ethnicity,Other Races and Ethnicities,0.7646496059117087,1
2018,04,27820,race-ethnicity,"White, Non-Hispanic",0.7588667298947703,1
2018,04,27820,all,All,0.7428870322297076,1
2018,04,28380,race-ethnicity,"Black, Non-Hispanic",0.8295434286024402,3
2018,04,28380,race-ethnicity,Hispanic,0.8160289025586059,2
2018,04,28380,race-ethnicity,Other Races and Ethnicities,0.7355014296784613,2
2018,04,28380,race-ethnicity,"White, Non-Hispanic",0.8031444283536485,2
2018,04,28380,all,All,0.8030228902281142,2
2018,04,46000,race-ethnicity,"Black, Non-Hispanic",0.791977934229801,2
2018,04,46000,race-ethnicity,Hispanic,0.774412946672394,2
2018,04,46000,race-ethnicity,Other Races and Ethnicities,0.7704960105119658,2
2018,04,46000,race-ethnicity,"White, Non-Hispanic",0.7952811037341726,2
2018,04,46000,all,All,0.7871905528146761,2
2018,04,54050,race-ethnicity,"Black, Non-Hispanic",0.7633278099279418,3
2018,04,54050,race-ethnicity,Hispanic,0.7940687136313507,2
2018,04,54050,race-ethnicity,Other Races and Ethnicities,0.7362476428065298,2
2018,04,54050,race-ethnicity,"White, Non-Hispanic",0.8200359132639732,2
2018,04,54050,all,All,0.8051251927378419,2
2018,04,55000,race-ethnicity,"Black, Non-Hispanic",0.7484287191355568,2
2018,04,55000,race-ethnicity,Hispanic,0.7303419269309438,2
2018,04,55000,race-ethnicity,Other Races and Ethnicities,0.7693118626809167,2
2018,04,55000,race-ethnicity,"White, Non-Hispanic",0.8048872666986013,2
2018,04,55000,all,All,0.7673665756549835,2
2018,04,65000,race-ethnicity,"Black, Non-Hispanic",0.8573932896967434,3
2018,04,65000,race-ethnicity,Hispanic,0.7752941412802166,3
2018,04,65000,race-ethnicity,Other Races and Ethnicities,0.6980618962440532,3
2018,04,65000,race-ethnicity,"White, Non-Hispanic",0.834043955120637,3
2018,04,65000,all,All,0.8143067099603022,3
2018,04,71510,race-ethnicity,"Black, Non-Hispanic",0.7540460805471817,1
2018,04,71510,race-ethnicity,Hispanic,0.8209886453538233,1
2018,04,71510,race-ethnicity,Other Races and Ethnicities,0.7665250660302197,1
2018,04,71510,race-ethnicity,"White, Non-Hispanic",0.8117506741884238,1
2018,04,71510,all,All,0.8073213838510457,1
2018,04,73000,race-ethnicity,"Black, Non-Hispanic",0.7926342813661753,3
2018,04,73000,race-ethnicity,Hispanic,0.816334778447737,3
2018,04,73000,race-ethnicity,Other Races and Ethnicities,0.7038313591229866,3
2018,04,73000,race-ethnicity,"White, Non-Hispanic",0.8458118817457608,3
2018,04,73000,all,All,0.8125470324637603,3
2018,04,77000,race-ethnicity,"Black, Non-Hispanic",0.7405583689761187,2
2018,04,77000,race-ethnicity,Hispanic,0.7553007542433937,2
2018,04,77000,race-ethnicity,Other Races and Ethnicities,0.733122943512133,2
2018,04,77000,race-ethnicity,"White, Non-Hispanic",0.7832139995036845,2
2018,04,77000,all,All,0.7657553787196186,2
2018,04,85540,race-ethnicity,"Black, Non-Hispanic",NA,3
2018,04,85540,race-ethnicity,Hispanic,0.728113690887651,2
2018,04,85540,race-ethnicity,Other Races and Ethnicities,0.7634247089748405,3
2018,04,85540,race-ethnicity,"White, Non-Hispanic",0.7506044701303296,2
2018,04,85540,all,All,0.7365336587580883,2
2018,05,23290,race-ethnicity,"Black, Non-Hispanic",NA,3
2018,05,23290,race-ethnicity,Hispanic,0.7893139841688653,2
2018,05,23290,race-ethnicity,Other Races and Ethnicities,0.7667963683527885,3
2018,05,23290,race-ethnicity,"White, Non-Hispanic",0.8112106556727186,2
2018,05,23290,all,All,0.8026231353785533,2
2018,05,24550,race-ethnicity,"Black, Non-Hispanic",0.7748953974895397,3
