year,state,county,subgroup_type,subgroup,share_employed,share_employed_quality
2021,01,001,race-ethnicity,"Black, Non-Hispanic",0.7662311955661124,3
2021,01,001,race-ethnicity,Hispanic,0.8448117539026629,3
2021,01,001,race-ethnicity,Other Races and Ethnicities,0.7561497326203208,3
2021,01,001,race-ethnicity,"White, Non-Hispanic",0.8321144817623691,3
2021,01,001,all,All,0.7936549402066644,3
2021,01,003,race-ethnicity,"Black, Non-Hispanic",0.7757114680191604,1
2021,01,003,race-ethnicity,Hispanic,0.7370242214532872,1
2021,01,003,race-ethnicity,Other Races and Ethnicities,0.7711640211640212,1
2021,01,003,race-ethnicity,"White, Non-Hispanic",0.8720309161744376,1
2021,01,003,all,All,0.8624782440533746,1
2021,01,005,race-ethnicity,"Black, Non-Hispanic",0.7149243196612031,3
2021,01,005,race-ethnicity,Hispanic,0.7183833116036505,3
2021,01,005,race-ethnicity,Other Races and Ethnicities,0.774859287054409,3
2021,01,005,race-ethnicity,"White, Non-Hispanic",0.8035306334371755,3
2021,01,005,all,All,0.7410029265206043,3
2021,01,007,race-ethnicity,"Black, Non-Hispanic",0.6390202383204086,3
2021,01,007,race-ethnicity,Hispanic,0.6443661971830986,3
2021,01,007,race-ethnicity,Other Races and Ethnicities,0.5251396648044693,3
2021,01,007,race-ethnicity,"White, Non-Hispanic",0.7837259100642399,3
2021,01,007,all,All,0.6956975658003187,3
2021,01,009,race-ethnicity,"Black, Non-Hispanic",0.8011620400258231,2
2021,01,009,race-ethnicity,Hispanic,0.7099879663056559,2
2021,01,009,race-ethnicity,Other Races and Ethnicities,0.7336747759282971,3
2021,01,009,race-ethnicity,"White, Non-Hispanic",0.8390607856045644,2
2021,01,009,all,All,0.8321271929824562,2
2021,01,011,race-ethnicity,"Black, Non-Hispanic",0.7149243196612031,3
2021,01,011,race-ethnicity,Hispanic,0.7183833116036505,3
2021,01,011,race-ethnicity,Other Races and Ethnicities,0.774859287054409,3
2021,01,011,race-ethnicity,"White, Non-Hispanic",0.8035306334371755,3
2021,01,011,all,All,0.7410029265206043,3
2021,01,013,race-ethnicity,"Black, Non-Hispanic",0.6922498118886381,3
2021,01,013,race-ethnicity,Hispanic,0.89798087141339,3
2021,01,013,race-ethnicity,Other Races and Ethnicities,0.8982511923688394,3
