year,state,county,subgroup_type,subgroup,share_employed,share_employed_quality
2018,01,033,race-ethnicity,"White, Non-Hispanic",0.7690529441614825,3
2018,01,033,all,All,0.7660744176046929,3
2018,01,035,race-ethnicity,"Black, Non-Hispanic",0.5943619431160332,3
2018,01,035,race-ethnicity,Hispanic,0.37464788732394366,3
2018,01,035,race-ethnicity,Other Races and Ethnicities,0.6519963702359346,3
2018,01,035,race-ethnicity,"White, Non-Hispanic",0.6489555778527775,3
2018,01,035,all,All,0.6224577226606539,3
2018,01,037,race-ethnicity,"Black, Non-Hispanic",0.7363931386184516,3
2018,01,037,race-ethnicity,Hispanic,0.7511904761904763,3
2018,01,037,race-ethnicity,Other Races and Ethnicities,0.5538039753255655,3
2018,01,037,race-ethnicity,"White, Non-Hispanic",0.6356784722000447,3
2018,01,037,all,All,0.664556557324637,3
2018,01,039,race-ethnicity,"Black, Non-Hispanic",0.733173861041644,3
2018,01,039,race-ethnicity,Hispanic,0.7604562737642585,3
2018,01,039,race-ethnicity,Other Races and Ethnicities,0.502518186905428,3
2018,01,039,race-ethnicity,"White, Non-Hispanic",0.760128739113972,3
2018,01,039,all,All,0.7444219967586528,3
2018,01,041,race-ethnicity,"Black, Non-Hispanic",0.7331738610416441,3
2018,01,041,race-ethnicity,Hispanic,0.7604562737642585,3
2018,01,041,race-ethnicity,Other Races and Ethnicities,0.5025181869054282,3
2018,01,041,race-ethnicity,"White, Non-Hispanic",0.760128739113972,3
2018,01,041,all,All,0.7444219967586528,3
2018,01,043,race-ethnicity,"Black, Non-Hispanic",0.8082191780821917,1
2018,01,043,race-ethnicity,Hispanic,0.768543956043956,1
2018,01,043,race-ethnicity,Other Races and Ethnicities,0.6121128062875636,1
2018,01,043,race-ethnicity,"White, Non-Hispanic",0.7149439852547302,1
2018,01,043,all,All,0.7117294675967948,1
2018,01,045,race-ethnicity,"Black, Non-Hispanic",0.6684311296317154,3
2018,01,045,race-ethnicity,Hispanic,0.8056664006384677,3
2018,01,045,race-ethnicity,Other Races and Ethnicities,0.7673772011121408,3
2018,01,045,race-ethnicity,"White, Non-Hispanic",0.7261942548801777,3
2018,01,045,all,All,0.715293166645761,3
2018,01,047,race-ethnicity,"Black, Non-Hispanic",0.5490778813662827,3
2018,01,047,race-ethnicity,Other Races and Ethnicities,1,3
2018,01,047,race-ethnicity,"White, Non-Hispanic",0.676888970995751,3
2018,01,047,all,All,0.6030012647144664,3
2018,01,049,race-ethnicity,"Black, Non-Hispanic",0.6579177602799651,2
2018,01,049,race-ethnicity,Hispanic,0.6458143767060964,2
2018,01,049,race-ethnicity,Other Races and Ethnicities,0.5784523300555793,2
2018,01,049,race-ethnicity,"White, Non-Hispanic",0.645217760331017,2
2018,01,049,all,All,0.642552918262954,2
2018,01,051,race-ethnicity,"Black, Non-Hispanic",0.7132371551505947,2
2018,01,051,race-ethnicity,Hispanic,0.7772946859903382,2
2018,01,051,race-ethnicity,Other Races and Ethnicities,0.7821782178217822,2
2018,01,051,race-ethnicity,"White, Non-Hispanic",0.7851222544550353,2
2018,01,051,all,All,0.7633750453391367,2
2018,01,053,race-ethnicity,"Black, Non-Hispanic",0.5943619431160332,3
2018,01,053,race-ethnicity,Hispanic,0.3746478873239436,3
2018,01,053,race-ethnicity,Other Races and Ethnicities,0.6519963702359346,3
2018,01,053,race-ethnicity,"White, Non-Hispanic",0.6489555778527775,3
2018,01,053,all,All,0.6224577226606539,3
2018,01,055,race-ethnicity,"Black, Non-Hispanic",0.7310071371927042,1
2018,01,055,race-ethnicity,Hispanic,0.6760070052539404,1
2018,01,055,race-ethnicity,Other Races and Ethnicities,0.38839285714285715,1
2018,01,055,race-ethnicity,"White, Non-Hispanic",0.77599486521181,1
2018,01,055,all,All,0.7607541936688268,1
2018,01,057,race-ethnicity,"Black, Non-Hispanic",0.4000805801772764,3
2018,01,057,race-ethnicity,Hispanic,0.704186046511628,3
2018,01,057,race-ethnicity,Other Races and Ethnicities,0.724689165186501,3
2018,01,057,race-ethnicity,"White, Non-Hispanic",0.7157670186050279,3
2018,01,057,all,All,0.6965470318081306,3
2018,01,059,race-ethnicity,"Black, Non-Hispanic",0.7294697607310328,3
2018,01,059,race-ethnicity,Hispanic,0.9451802796173657,3
2018,01,059,race-ethnicity,Other Races and Ethnicities,0.3774230330672748,3
2018,01,059,race-ethnicity,"White, Non-Hispanic",0.7690529441614826,3
2018,01,059,all,All,0.7660744176046929,3
2018,01,061,race-ethnicity,"Black, Non-Hispanic",0.6684311296317152,3
2018,01,061,race-ethnicity,Hispanic,0.8056664006384677,3
2018,01,061,race-ethnicity,Other Races and Ethnicities,0.7673772011121409,3
2018,01,061,race-ethnicity,"White, Non-Hispanic",0.7261942548801779,3
2018,01,061,all,All,0.7152931666457611,3
2018,01,063,race-ethnicity,"Black, Non-Hispanic",0.5490778813662825,3
2018,01,063,race-ethnicity,Other Races and Ethnicities,1,3
2018,01,063,race-ethnicity,"White, Non-Hispanic",0.676888970995751,3
2018,01,063,all,All,0.6030012647144665,3
2018,01,065,race-ethnicity,"Black, Non-Hispanic",0.5490778813662827,3
