year,state,county,ratio_living_wage,ratio_living_wage_quality
2014,01,001,.628396,1
2014,01,003,.5996442,1
2014,01,005,.6486688,1
2014,01,007,.6773145,1
2014,01,009,.5960745,1
2014,01,011,.6246504,1
2014,01,013,.6096348,1
2014,01,015,.7043846,1
2014,01,017,.6298574,1
2014,01,019,.6166421,1
2014,01,021,.636663,1
2014,01,023,.9092011,1
2014,01,025,.7337641,1
2014,01,027,.5876119,1
2014,01,029,.7647964,1
2014,01,031,.6057776,1
2014,01,033,.7838162,1
2014,01,035,.6436702,1
2014,01,037,.6737161,1
2014,01,039,.638665,1
2014,01,041,.6646921,1
2014,01,043,.6858711,1
2014,01,045,.9616451,1
2014,01,047,.6686963,1
2014,01,049,.6348394,1
2014,01,051,.6045208,1
2014,01,053,.7037328,1
2014,01,055,.6541086,1
2014,01,057,.6116369,1
2014,01,059,.6266525,1
2014,01,061,.5660416,1
2014,01,063,.5755994,1
2014,01,065,.6186473,1
2014,01,067,.7047338,1
2014,01,069,.7250865,1
2014,01,071,.6472827,1
2014,01,073,.9238682,1
2014,01,075,.6977265,1
2014,01,077,.6145831,1
2014,01,079,.8696317,1
2014,01,081,.645274,1
2014,01,083,.8053414,1
2014,01,085,.7955226,1
2014,01,087,.7667984,1
2014,01,089,1.016264,1
2014,01,091,.7197495,1
2014,01,093,.6166421,1
2014,01,095,.6373031,1
2014,01,097,.7951238,1
2014,01,099,.7537849,1
2014,01,101,.7869276,1
2014,01,103,.7856332,1
2014,01,105,.5625858,1
2014,01,107,.6787067,1
2014,01,109,.7257557,1
2014,01,111,.5936181,1
2014,01,113,.628788,1
2014,01,115,.6263033,1
2014,01,117,.8709678,1
2014,01,119,.672031,1
2014,01,121,.8388628,1
2014,01,123,.6136389,1
2014,01,125,.7801988,1
2014,01,127,.6608138,1
2014,01,129,1.080524,1
2014,01,131,.7708026,1
2014,01,133,.6046296,1
2014,02,013,.5794306,1
2014,02,016,.7078497,1
2014,02,020,.8641334,1
2014,02,050,.5810597,1
