year,state,county,subgroup_type,subgroup,share_employed,share_employed_lb,share_employed_ub,share_employed_quality
2018,01,001,all,All,0.7331012215625883,0.7041974059693098,0.7620050371558668,3
2018,01,001,disability,With Disability,0.2820281124497992,0.21694709820823774,0.3471091266913606,3
2018,01,001,disability,Without Disability,0.8115774948034027,0.7867575568384821,0.8363974327683232,3
2018,01,003,all,All,0.7878338473653127,0.7633470408105636,0.8123206539200618,1
2018,01,003,disability,With Disability,0.46150174992045817,0.36903531765072484,0.5539681821901915,1
2018,01,003,disability,Without Disability,0.8171766153141942,0.7942979038351471,0.8400553267932412,1
2018,01,005,all,All,0.6686541411042946,0.6446990439516321,0.692609238256957,3
2018,01,005,disability,With Disability,0.26828617191671117,0.2121239284052346,0.32444841542818775,3
2018,01,005,disability,Without Disability,0.7358063938389899,0.7106151818879098,0.76099760579007,3
2018,01,007,all,All,0.6057161266568483,0.5747377737885742,0.6366944795251224,3
2018,01,007,disability,With Disability,0.19371534195933457,0.14250194093593752,0.24492874298273162,3
2018,01,007,disability,Without Disability,0.700319741942786,0.6681452767192887,0.7324942071662833,3
2018,01,009,all,All,0.7313247817182279,0.7073670381026999,0.755282525333756,2
2018,01,009,disability,With Disability,0.3251271951419662,0.24372610775662215,0.4065282825273102,2
2018,01,009,disability,Without Disability,0.7812544130404083,0.7575073749465276,0.805001451134289,2
2018,01,011,all,All,0.6686541411042946,0.6446990439516321,0.692609238256957,3
2018,01,011,disability,With Disability,NA,NA,NA,NA
2018,01,011,disability,Without Disability,0.7358063938389899,0.7106151818879098,0.76099760579007,3
2018,01,013,all,All,0.73770564400062,0.7150977835524104,0.7603135044488296,3
2018,01,013,disability,With Disability,0.36531525032462847,0.31111918125479787,0.41951131939445907,3
2018,01,013,disability,Without Disability,0.805215526260724,0.7840628535813061,0.8263681989401419,3
2018,01,015,all,All,0.7285793639772253,0.7028321045802874,0.7543266233741632,1
2018,01,015,disability,With Disability,0.31496062992125984,0.24593560110611715,0.38398565873640256,1
2018,01,015,disability,Without Disability,0.8049074708704592,0.7800865296454937,0.8297284120954247,1
2018,01,017,all,All,0.6740728117078159,0.6527156599307825,0.6954299634848492,3
2018,01,017,disability,With Disability,0.270722214213637,0.2081113321519371,0.3333330962753369,3
2018,01,017,disability,Without Disability,0.7440133979903014,0.7205678405055265,0.7674589554750764,3
2018,01,019,all,All,0.70597341589708,0.683430077855278,0.7285167539388819,3
2018,01,019,disability,With Disability,0.2943722943722944,0.23555511875614163,0.35318946998844714,3
2018,01,019,disability,Without Disability,0.7774575527849132,0.7550677590971694,0.7998473464726571,3
2018,01,021,all,All,0.674072811707816,0.6527156599307827,0.6954299634848492,3
2018,01,021,disability,With Disability,0.27072221421363707,0.20811133215193717,0.33333309627533697,3
2018,01,021,disability,Without Disability,0.7440133979903014,0.7205678405055264,0.7674589554750765,3
2018,01,023,all,All,0.5953312356492899,0.5681120775934531,0.6225503937051268,3
2018,01,023,disability,With Disability,0.2569908607284136,0.18078198130161502,0.33319974015521214,3
2018,01,023,disability,Without Disability,0.6578012844729882,0.6307464181327584,0.684856150813218,3
2018,01,025,all,All,0.5953312356492899,0.5681120775934532,0.6225503937051267,3
2018,01,025,disability,With Disability,0.2569908607284136,0.18078198130161502,0.33319974015521214,3
2018,01,025,disability,Without Disability,0.6578012844729882,0.6307464181327584,0.684856150813218,3
2018,01,027,all,All,0.70597341589708,0.683430077855278,0.7285167539388819,3
2018,01,027,disability,With Disability,0.29437229437229434,0.2355551187561416,0.3531894699884471,3
2018,01,027,disability,Without Disability,0.7774575527849132,0.7550677590971693,0.7998473464726572,3
2018,01,029,all,All,0.7059734158970801,0.6834300778552781,0.728516753938882,3
2018,01,029,disability,With Disability,0.29437229437229434,0.2355551187561416,0.3531894699884471,3
2018,01,029,disability,Without Disability,0.7774575527849132,0.7550677590971694,0.7998473464726571,3
2018,01,031,all,All,0.7377056440006201,0.7150977835524105,0.7603135044488297,2
2018,01,031,disability,With Disability,0.3653152503246285,0.3111191812547979,0.4195113193944591,2
2018,01,031,disability,Without Disability,0.805215526260724,0.7840628535813061,0.8263681989401419,2
2018,01,033,all,All,0.718207150056323,0.6993899654382773,0.7370243346743687,3
2018,01,033,disability,With Disability,0.29937106918239,0.2410190740182861,0.35772306434649387,3
2018,01,033,disability,Without Disability,0.7741523572700695,0.7556446831147117,0.7926600314254273,3
2018,01,035,all,All,0.5953312356492899,0.5681120775934532,0.6225503937051267,3
2018,01,035,disability,With Disability,0.2569908607284136,0.18078198130161502,0.33319974015521214,3
2018,01,035,disability,Without Disability,0.6578012844729882,0.6307464181327583,0.6848561508132182,3
2018,01,037,all,All,0.6740728117078159,0.6527156599307826,0.6954299634848491,3
2018,01,037,disability,With Disability,NA,NA,NA,NA
2018,01,037,disability,Without Disability,0.7440133979903014,0.7205678405055264,0.7674589554750765,3
2018,01,039,all,All,0.73770564400062,0.7150977835524104,0.7603135044488296,3
2018,01,039,disability,With Disability,0.36531525032462847,0.31111918125479787,0.41951131939445907,3
2018,01,039,disability,Without Disability,0.8052155262607241,0.7840628535813062,0.826368198940142,3
2018,01,041,all,All,0.73770564400062,0.7150977835524104,0.7603135044488296,3
2018,01,041,disability,With Disability,0.36531525032462847,0.31111918125479787,0.41951131939445907,3
2018,01,041,disability,Without Disability,0.805215526260724,0.7840628535813061,0.8263681989401419,3
2018,01,043,all,All,0.6969897116728058,0.6632728000627649,0.7307066232828466,1
2018,01,043,disability,With Disability,0.2904643607873113,0.22287000212343877,0.35805871945118384,1
2018,01,043,disability,Without Disability,0.7593167701863355,0.7266664282033249,0.791967112169346,1
2018,01,045,all,All,0.7123132364254768,0.6981059078617552,0.7265205649891985,3
2018,01,045,disability,With Disability,0.28084309133489455,0.23959025348451862,0.32209592918527047,3
2018,01,045,disability,Without Disability,0.7849438627475717,0.7715916305232552,0.7982960949718881,3
2018,01,047,all,All,0.6057161266568484,0.5747377737885744,0.6366944795251224,3
2018,01,047,disability,With Disability,0.19371534195933457,0.14250194093593752,0.24492874298273162,3
