difference,count,percent
-60,1,0.00%
-44,1,0.00%
-40,1,0.00%
-37,2,0.00%
-36,2,0.00%
-35,7,0.01%
-34,3,0.00%
-33,9,0.01%
-32,22,0.03%
-31,19,0.03%
-30,26,0.04%
-29,31,0.04%
-28,11,0.01%
-27,16,0.02%
-26,18,0.02%
-13,1,0.00%
-12,2,0.00%
-10,6,0.01%
-9,12,0.02%
-8,21,0.03%
-7,30,0.04%
-6,114,0.16%
-5,512,0.70%
-4,1925,2.62%
-3,4563,6.22%
-2,9095,12.39%
-1,16280,22.18%
0,23351,31.82%
1,8743,11.91%
2,3555,4.84%
3,1937,2.64%
4,1364,1.86%
5,743,1.01%
6,361,0.49%
7,203,0.28%
8,103,0.14%
9,75,0.10%
10,40,0.05%
11,23,0.03%
12,14,0.02%
13,6,0.01%
14,15,0.02%
15,12,0.02%
16,8,0.01%
17,3,0.00%
18,4,0.01%
19,8,0.01%
20,8,0.01%
21,3,0.00%
22,1,0.00%
23,1,0.00%
24,2,0.00%
25,5,0.01%
26,1,0.00%
27,4,0.01%
28,4,0.01%
30,2,0.00%
31,1,0.00%
32,3,0.00%
33,2,0.00%
34,1,0.00%
35,2,0.00%
36,1,0.00%
37,1,0.00%
38,1,0.00%
39,3,0.00%
41,1,0.00%
44,2,0.00%
46,3,0.00%
47,3,0.00%
48,3,0.00%
49,1,0.00%
50,2,0.00%
51,2,0.00%
52,1,0.00%
54,1,0.00%
55,1,0.00%
59,1,0.00%
60,1,0.00%
61,1,0.00%
62,3,0.00%
63,2,0.00%
64,2,0.00%
65,1,0.00%
66,1,0.00%
67,1,0.00%
69,1,0.00%
71,1,0.00%
74,2,0.00%
75,4,0.01%
76,2,0.00%
77,1,0.00%
79,1,0.00%
80,1,0.00%
82,1,0.00%
83,1,0.00%
84,1,0.00%
85,1,0.00%
86,1,0.00%
88,1,0.00%
,73396,
