year,state,place,subgroup_type,subgroup,environmental,environmental_quality
2018,01,03076,all,All,6.667533510466036,1
2018,01,07000,all,All,6.258683874603815,1
2018,01,35896,all,All,7.905757893130798,1
2018,01,37000,all,All,20.567329389172492,1
2018,01,50000,all,All,11.014854274750594,1
2018,01,51000,all,All,5.450745709309396,1
2018,01,77256,all,All,5.092704018933865,1
2018,02,03000,all,All,68.22053209851956,1
2018,04,04720,all,All,7.836541171574576,1
2018,04,07940,all,All,33.858726362026296,1
2018,04,12000,all,All,16.389655806652687,1
2018,04,23620,all,All,92.59505319277376,1
2018,04,27400,all,All,16.486426677905193,1
2018,04,27820,all,All,16.452344676144662,1
2018,04,28380,all,All,16.797244263965023,1
2018,04,46000,all,All,18.246414024647322,1
2018,04,54050,all,All,20.81898752146673,1
2018,04,55000,all,All,17.631875720265878,1
2018,04,65000,all,All,32.187916407536115,1
2018,04,71510,all,All,29.2240239769001,1
2018,04,73000,all,All,13.896464316393494,1
2018,04,77000,all,All,29.099625886465123,1
2018,04,85540,all,All,23.255578242295524,1
2018,05,23290,all,All,51.00914528780252,1
2018,05,24550,all,All,20.610664294166448,1
2018,05,35710,all,All,48.70161306274524,1
2018,05,41000,all,All,22.725198321170478,1
2018,05,66080,all,All,40.522653414660525,1
2018,06,00562,all,All,55.240605572641,1
2018,06,00884,all,All,9.422571090047393,1
2018,06,02000,all,All,9.632593864531021,1
2018,06,02252,all,All,59.705270258142306,1
2018,06,02364,all,All,76.48817819776059,1
2018,06,03526,all,All,7.09722691819208,1
2018,06,04982,all,All,3.6989799025578565,1
2018,06,06000,all,All,29.492993042801697,1
2018,06,08786,all,All,6.137737346418296,1
2018,06,08954,all,All,18.811255179788798,1
2018,06,11194,all,All,45.5430123431638,1
2018,06,11530,all,All,1.385664602944987,1
2018,06,13014,all,All,7.99860977670415,1
2018,06,13210,all,All,13.57838700434409,1
2018,06,13214,all,All,20.157044651151324,1
2018,06,13392,all,All,28.493422519945202,1
