year,state,county,share_medical_debt_coll,share_debt_coll_quality,subgroup_type,subgroup
2023,Alabama,"Dallas County, Alabama",.0623202,1,race-ethnicity,All
2023,Alabama,"Dallas County, Alabama",.0620079,1,race-ethnicity,Majority Non-White
2023,Alabama,"Dallas County, Alabama",NA,3,race-ethnicity,Majority White
2023,Alabama,"DeKalb County, Alabama",.090301,1,race-ethnicity,All
2023,Alabama,"DeKalb County, Alabama",NA,3,race-ethnicity,Majority Non-White
2023,Alabama,"DeKalb County, Alabama",.090301,1,race-ethnicity,Majority White
2023,Alabama,"Elmore County, Alabama",.0415603,1,race-ethnicity,All
2023,Alabama,"Elmore County, Alabama",NA,3,race-ethnicity,Majority Non-White
2023,Alabama,"Elmore County, Alabama",.0415603,1,race-ethnicity,Majority White
2023,Alabama,"Escambia County, Alabama",.0616438,1,race-ethnicity,All
2023,Alabama,"Escambia County, Alabama",.0581655,1,race-ethnicity,Majority Non-White
2023,Alabama,"Escambia County, Alabama",.0638003,1,race-ethnicity,Majority White
2023,Alabama,"Etowah County, Alabama",.0821701,1,race-ethnicity,All
2023,Alabama,"Etowah County, Alabama",NA,3,race-ethnicity,Majority Non-White
2023,Alabama,"Etowah County, Alabama",.0823529,1,race-ethnicity,Majority White
2023,Alabama,"Fayette County, Alabama",.0358491,1,race-ethnicity,All
2023,Alabama,"Fayette County, Alabama",NA,3,race-ethnicity,Majority Non-White
2023,Alabama,"Fayette County, Alabama",.0342205,1,race-ethnicity,Majority White
2023,Alabama,"Franklin County, Alabama",.0850112,1,race-ethnicity,All
2023,Alabama,"Franklin County, Alabama",NA,3,race-ethnicity,Majority Non-White
2023,Alabama,"Franklin County, Alabama",.0850112,1,race-ethnicity,Majority White
2023,Alabama,"Geneva County, Alabama",.0787402,1,race-ethnicity,All
2023,Alabama,"Geneva County, Alabama",NA,3,race-ethnicity,Majority Non-White
2023,Alabama,"Geneva County, Alabama",.0788288,1,race-ethnicity,Majority White
2023,Alabama,"Greene County, Alabama",.0478261,1,race-ethnicity,All
2023,Alabama,"Greene County, Alabama",.0478261,1,race-ethnicity,Majority Non-White
2023,Alabama,"Greene County, Alabama",NA,3,race-ethnicity,Majority White
2023,Alabama,"Hale County, Alabama",.0537428,1,race-ethnicity,All
2023,Alabama,"Hale County, Alabama",.0568862,1,race-ethnicity,Majority Non-White
2023,Alabama,"Hale County, Alabama",.0481283,1,race-ethnicity,Majority White
2023,Alabama,"Henry County, Alabama",.0251799,1,race-ethnicity,All
2023,Alabama,"Henry County, Alabama",NA,3,race-ethnicity,Majority Non-White
2023,Alabama,"Henry County, Alabama",.0260223,1,race-ethnicity,Majority White
2023,Alabama,"Houston County, Alabama",.044553,1,race-ethnicity,All
2023,Alabama,"Houston County, Alabama",NA,3,race-ethnicity,Majority Non-White
2023,Alabama,"Houston County, Alabama",.044553,1,race-ethnicity,Majority White
2023,Alabama,"Jackson County, Alabama",.1002401,1,race-ethnicity,All
2023,Alabama,"Jackson County, Alabama",NA,3,race-ethnicity,Majority Non-White
2023,Alabama,"Jackson County, Alabama",.1002401,1,race-ethnicity,Majority White
2023,Alabama,"Jefferson County, Alabama",.0739003,1,race-ethnicity,All
2023,Alabama,"Jefferson County, Alabama",.110068,1,race-ethnicity,Majority Non-White
2023,Alabama,"Jefferson County, Alabama",.0439639,1,race-ethnicity,Majority White
2023,Alabama,"Lamar County, Alabama",.0461165,1,race-ethnicity,All
2023,Alabama,"Lamar County, Alabama",NA,3,race-ethnicity,Majority Non-White
2023,Alabama,"Lamar County, Alabama",.0461165,1,race-ethnicity,Majority White
2023,Alabama,"Lauderdale County, Alabama",.0471986,1,race-ethnicity,All
2023,Alabama,"Lauderdale County, Alabama",NA,3,race-ethnicity,Majority Non-White
