state,county,count_membership_associations_per_10k,count_membership_associations_per_10k_quality
01,001,12.7,1
01,003,9.7,1
01,005,8.6,1
01,007,8.9,1
01,009,7.6,1
01,011,5.8,1
01,013,9,1
01,015,13.7,1
01,017,17.7,1
01,019,9.2,1
01,021,15.5,1
01,023,21.5,1
01,025,16.7,1
01,027,11.3,1
01,029,8.6,1
01,031,12.4,1
01,033,15.8,1
01,035,7.1,1
01,037,9.6,1
01,039,12.3,1
01,041,11.5,1
01,043,9.7,1
01,045,10.1,1
01,047,13.8,1
01,049,8.8,1
01,051,10.1,1
01,053,13.9,1
01,055,14.9,1
01,057,8,1
01,059,7.8,1
01,061,9,1
01,063,7.9,1
01,065,6.8,1
01,067,13.2,1
01,069,11.1,1
01,071,8.4,1
01,073,13.9,1
01,075,8.7,1
01,077,13.8,1
01,079,10.3,1
01,081,8.2,1
01,083,8.3,1
01,085,6,1
01,087,6.9,1
01,089,10.2,1
01,091,14.2,1
01,093,9,1
01,095,9.1,1
01,097,11.1,1
01,099,14.3,1
01,101,14.1,1
01,103,11.2,1
01,105,8.4,1
01,107,10.7,1
01,109,9.5,1
01,111,9.5,1
01,113,9.5,1
01,115,8.2,1
01,117,9.7,1
01,119,10,1
01,121,11.9,1
01,123,13.1,1
01,125,9.3,1
01,127,13.9,1
01,129,17.7,1
01,131,6.8,1
01,133,8.9,1
02,013,NA,NA
02,016,NA,NA
02,020,11.7,1
02,050,2.7,1
02,060,NA,NA
02,063,NA,NA
02,066,NA,NA
02,068,NA,NA
02,070,NA,NA
02,090,9.3,1
02,100,NA,NA
02,105,NA,NA
02,110,14.4,1
02,122,16.2,1
02,130,14.5,1
02,150,13.2,1
02,158,3.6,1
02,164,NA,NA
02,170,8.2,1
02,180,4,1
02,185,2.7,1
02,188,6.6,1
02,195,17.8,1
02,198,8.7,1
02,220,11.9,1
02,230,NA,NA
02,240,7.1,1
02,275,NA,NA
02,282,NA,NA
02,290,NA,NA
04,001,3.1,1
04,003,8,1
04,005,9.8,1
04,007,9,1
04,009,4.1,1
04,011,4.3,1
04,012,6.1,1
04,013,5.3,1
04,015,5.3,1
04,017,6.5,1
04,019,6.2,1
04,021,3.4,1
04,023,4.4,1
04,025,7.7,1
04,027,4.5,1
05,001,15,1
05,003,15.6,1
05,005,10.4,1
05,007,8.3,1
05,009,13.2,1
05,011,14.5,1
05,013,12.7,1
05,015,13.7,1
05,017,10.9,1
05,019,16.5,1
05,021,15.3,1
05,023,14.4,1
05,025,6.7,1
05,027,12.9,1
05,029,12,1
05,031,8.9,1
05,033,6.1,1
05,035,10.3,1
05,037,15.6,1
05,039,19,1
05,041,17.2,1
05,043,10.5,1
05,045,9.2,1
05,047,13.4,1
05,049,7.4,1
05,051,11.3,1
05,053,10.5,1
05,055,9.5,1
05,057,10.2,1
05,059,11.2,1
05,061,12.6,1
05,063,12.5,1
05,065,10.1,1
05,067,11.3,1
05,069,13.1,1
05,071,7.7,1
05,073,6.5,1
05,075,8,1
05,077,8.2,1
05,079,3.8,1
05,081,13.4,1
05,083,13.7,1
05,085,7.6,1
05,087,3.5,1
05,089,8.2,1
05,091,11.8,1
