year,group,rate_learning,meps20_black,meps20_hispanic,meps20_white,share_affordable_80_ami,share_affordable_50_ami,share_affordable_30_ami,count_homeless,share_homeless,index_air_quality,ratio_average_to_living_wage,share_election_turnout,transportation_cost,index_transit_trips,share_in_preschool,share_hs_degree,pctl_income_20,pctl_income_50,pctl_income_80,share_debt_col,rate_low_birth_weight,share_poverty_exposure,share_black_nh_exposure,share_hispanic_exposure,share_other_nh_exposure,share_white_nh_exposure,share_employed,rate_injury_death,count_membership_associations_per_10k,share_digital_access,share_desc_rep_asian_other,share_desc_rep_black_nonhispanic,share_desc_rep_hispanic,share_desc_rep_white_nonhispanic,rate_violent_crime,rate_property_crime,rate_juv_arrest,ratio_high_low_ses_fb_friends
2014,wtd_med,1.0341407,0.6393854,0.63408715,0.24640885,1.5227104133,1.4044863038,1.2686559628,1429,0.0218535978,45,0.76893079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,wtd_med,1.0310619,0.61290324,0.589571,0.21707307,NA,NA,NA,1495,0.0226881094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,wtd_med,1.0231861,0.58022863,0.56499851,0.194242,NA,NA,NA,1578,0.0227534976,NA,NA,0.610552243065047,55.98,54.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,wtd_med,0.98351777,0.52079588,0.5152266,0.17229979,NA,NA,NA,1668,0.0241200365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,wtd_med,NA,0.50749063,0.49299341,0.15709534,1.5310312954,1.3655228479,1.1420023557,1565,0.0229471307,44,0.80292076,NA,NA,NA,0.4670059094,0.8975941754,26340.52,60785.82,121571.6,0.3095272,0.080835298,0.0509611624199031,0.8123127113424927,0.8013080146739702,0.8938625104220963,0.2825747806254517,0.80812399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,wtd_med,NA,NA,NA,NA,NA,NA,NA,1400,0.0214101784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,wtd_med,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.680924466517233,NA,NA,NA,NA,NA,NA,NA,NA,0.081112094,NA,NA,NA,NA,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,wtd_med,NA,NA,NA,NA,1.52347,1.3701,1.18791,NA,NA,NA,0.6944948,NA,NA,NA,0.38834,0.9152,NA,NA,NA,NA,NA,0.0377017092655393,0.8049205575222415,0.7889759481103968,0.8804104897606078,0.297619687733091,NA,NA,NA,0.8911832237061961,0.078985210740543,0.0764688534063367,0.120187780190036,0.610880902454988,893.785397460256,2355.54907343346,727.824109173616,NA
2022,wtd_med,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2593812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78494
