year,state,county,subgroup_type,subgroup,poverty_exposure,poverty_exposure_quality
2021,01,001,all,All,0,1
2021,01,001,race-ethnicity,Black,0,1
2021,01,001,race-ethnicity,Hispanic,0,3
2021,01,001,race-ethnicity,Other Races and Ethnicities,0,2
2021,01,001,race-ethnicity,"White, Non-Hispanic",0,1
2021,01,003,all,All,0,1
2021,01,003,race-ethnicity,Black,0,1
2021,01,003,race-ethnicity,Hispanic,0,2
2021,01,003,race-ethnicity,Other Races and Ethnicities,0,2
2021,01,003,race-ethnicity,"White, Non-Hispanic",0,1
2021,01,005,all,All,0,1
2021,01,005,race-ethnicity,Black,0,1
2021,01,005,race-ethnicity,Hispanic,0,2
2021,01,005,race-ethnicity,Other Races and Ethnicities,0,2
2021,01,005,race-ethnicity,"White, Non-Hispanic",0,1
2021,01,007,all,All,0,1
2021,01,007,race-ethnicity,Black,0,2
2021,01,007,race-ethnicity,Hispanic,0,3
2021,01,007,race-ethnicity,Other Races and Ethnicities,NA,NA
2021,01,007,race-ethnicity,"White, Non-Hispanic",0,1
2021,01,009,all,All,0,1
2021,01,009,race-ethnicity,Black,0,3
2021,01,009,race-ethnicity,Hispanic,0,2
2021,01,009,race-ethnicity,Other Races and Ethnicities,0,2
2021,01,009,race-ethnicity,"White, Non-Hispanic",0,1
2021,01,011,all,All,0.6381729200652528,1
2021,01,011,race-ethnicity,Black,0.6232765612327656,1
2021,01,011,race-ethnicity,Hispanic,0.7647058823529411,3
2021,01,011,race-ethnicity,Other Races and Ethnicities,0.640625,3
2021,01,011,race-ethnicity,"White, Non-Hispanic",0.3125,3
2021,01,013,all,All,0,1
2021,01,013,race-ethnicity,Black,0,1
2021,01,013,race-ethnicity,Hispanic,0,3
2021,01,013,race-ethnicity,Other Races and Ethnicities,0,2
2021,01,013,race-ethnicity,"White, Non-Hispanic",0,1
2021,01,015,all,All,0.11056869652742828,1
2021,01,015,race-ethnicity,Black,0.22421665879389072,1
2021,01,015,race-ethnicity,Hispanic,0.02243313201035375,2
2021,01,015,race-ethnicity,Other Races and Ethnicities,0.06722689075630252,1
2021,01,015,race-ethnicity,"White, Non-Hispanic",0.05686377114948544,1
2021,01,017,all,All,0,1
2021,01,017,race-ethnicity,Black,0,1
2021,01,017,race-ethnicity,Hispanic,0,2
2021,01,017,race-ethnicity,Other Races and Ethnicities,0,3
2021,01,017,race-ethnicity,"White, Non-Hispanic",0,1
2021,01,019,all,All,0,1
2021,01,019,race-ethnicity,Black,0,3
2021,01,019,race-ethnicity,Hispanic,0,3
2021,01,019,race-ethnicity,Other Races and Ethnicities,0,2
2021,01,019,race-ethnicity,"White, Non-Hispanic",0,1
2021,01,021,all,All,0,1
2021,01,021,race-ethnicity,Black,0,2
2021,01,021,race-ethnicity,Hispanic,0,2
2021,01,021,race-ethnicity,Other Races and Ethnicities,0,2
2021,01,021,race-ethnicity,"White, Non-Hispanic",0,1
2021,01,023,all,All,0,1
2021,01,023,race-ethnicity,Black,0,1
2021,01,023,race-ethnicity,Hispanic,NA,NA
2021,01,023,race-ethnicity,Other Races and Ethnicities,0,3
2021,01,023,race-ethnicity,"White, Non-Hispanic",0,1
2021,01,025,all,All,0,1
2021,01,025,race-ethnicity,Black,0,1
2021,01,025,race-ethnicity,Hispanic,0,3
2021,01,025,race-ethnicity,Other Races and Ethnicities,0,2
2021,01,025,race-ethnicity,"White, Non-Hispanic",0,1
2021,01,027,all,All,0,1
2021,01,027,race-ethnicity,Black,0,2
2021,01,027,race-ethnicity,Hispanic,NA,NA
2021,01,027,race-ethnicity,Other Races and Ethnicities,0,3
2021,01,027,race-ethnicity,"White, Non-Hispanic",0,1
2021,01,029,all,All,0,1
2021,01,029,race-ethnicity,Black,0,3
2021,01,029,race-ethnicity,Hispanic,0,3
2021,01,029,race-ethnicity,Other Races and Ethnicities,0,2
2021,01,029,race-ethnicity,"White, Non-Hispanic",0,1
2021,01,031,all,All,0,1
2021,01,031,race-ethnicity,Black,0,1
2021,01,031,race-ethnicity,Hispanic,0,1
2021,01,031,race-ethnicity,Other Races and Ethnicities,0,2
2021,01,031,race-ethnicity,"White, Non-Hispanic",0,1
2021,01,033,all,All,0.11600846262341326,1
2021,01,033,race-ethnicity,Black,0.23466092572658773,1
2021,01,033,race-ethnicity,Hispanic,0.02097902097902098,2
2021,01,033,race-ethnicity,Other Races and Ethnicities,0.08544303797468354,2
2021,01,033,race-ethnicity,"White, Non-Hispanic",0.05310853530031612,1
2021,01,035,all,All,0,1
2021,01,035,race-ethnicity,Black,0,2
2021,01,035,race-ethnicity,Hispanic,NA,NA
2021,01,035,race-ethnicity,Other Races and Ethnicities,0,3
2021,01,035,race-ethnicity,"White, Non-Hispanic",0,2
2021,01,037,all,All,0,1
2021,01,037,race-ethnicity,Black,0,2
2021,01,037,race-ethnicity,Hispanic,NA,NA
2021,01,037,race-ethnicity,Other Races and Ethnicities,NA,NA
2021,01,037,race-ethnicity,"White, Non-Hispanic",0,2
2021,01,039,all,All,0,1
2021,01,039,race-ethnicity,Black,0,1
2021,01,039,race-ethnicity,Hispanic,0,2
2021,01,039,race-ethnicity,Other Races and Ethnicities,0,2
2021,01,039,race-ethnicity,"White, Non-Hispanic",0,1
2021,01,041,all,All,0,1
2021,01,041,race-ethnicity,Black,0,2
2021,01,041,race-ethnicity,Hispanic,NA,NA
2021,01,041,race-ethnicity,Other Races and Ethnicities,0,3
2021,01,041,race-ethnicity,"White, Non-Hispanic",0,1
2021,01,043,all,All,0,1
2021,01,043,race-ethnicity,Black,0,2
2021,01,043,race-ethnicity,Hispanic,0,3
2021,01,043,race-ethnicity,Other Races and Ethnicities,0,2
2021,01,043,race-ethnicity,"White, Non-Hispanic",0,1
2021,01,045,all,All,0,1
2021,01,045,race-ethnicity,Black,0,1
2021,01,045,race-ethnicity,Hispanic,0,2
2021,01,045,race-ethnicity,Other Races and Ethnicities,0,2
2021,01,045,race-ethnicity,"White, Non-Hispanic",0,1
2021,01,047,all,All,0.38592,1
2021,01,047,race-ethnicity,Black,0.4319577499385901,1
2021,01,047,race-ethnicity,Hispanic,NA,NA
2021,01,047,race-ethnicity,Other Races and Ethnicities,0.4264705882352941,3
2021,01,047,race-ethnicity,"White, Non-Hispanic",0.03930530164533821,2
2021,01,049,all,All,0,1
2021,01,049,race-ethnicity,Black,0,3
2021,01,049,race-ethnicity,Hispanic,0,1
2021,01,049,race-ethnicity,Other Races and Ethnicities,0,1
2021,01,049,race-ethnicity,"White, Non-Hispanic",0,1
2021,01,051,all,All,0,1
2021,01,051,race-ethnicity,Black,0,1
2021,01,051,race-ethnicity,Hispanic,0,2
2021,01,051,race-ethnicity,Other Races and Ethnicities,0,2
2021,01,051,race-ethnicity,"White, Non-Hispanic",0,1
2021,01,053,all,All,0,1
2021,01,053,race-ethnicity,Black,0,1
2021,01,053,race-ethnicity,Hispanic,0,3
2021,01,053,race-ethnicity,Other Races and Ethnicities,0,2
2021,01,053,race-ethnicity,"White, Non-Hispanic",0,1
2021,01,055,all,All,0.19919394235466537,1
2021,01,055,race-ethnicity,Black,0.3595309381237525,1
2021,01,055,race-ethnicity,Hispanic,0.2170747849106552,2
2021,01,055,race-ethnicity,Other Races and Ethnicities,0.23683045595396193,1
2021,01,055,race-ethnicity,"White, Non-Hispanic",0.12219652016494016,1
2021,01,057,all,All,0,1
2021,01,057,race-ethnicity,Black,0,2
2021,01,057,race-ethnicity,Hispanic,NA,NA
2021,01,057,race-ethnicity,Other Races and Ethnicities,0,3
2021,01,057,race-ethnicity,"White, Non-Hispanic",0,1
2021,01,059,all,All,0,1
2021,01,059,race-ethnicity,Black,0,3
2021,01,059,race-ethnicity,Hispanic,0,2
2021,01,059,race-ethnicity,Other Races and Ethnicities,0,2
2021,01,059,race-ethnicity,"White, Non-Hispanic",0,1
2021,01,061,all,All,0,1
2021,01,061,race-ethnicity,Black,0,2
2021,01,061,race-ethnicity,Hispanic,0,2
2021,01,061,race-ethnicity,Other Races and Ethnicities,0,2
2021,01,061,race-ethnicity,"White, Non-Hispanic",0,1
2021,01,063,all,All,0.6696979538811303,1
2021,01,063,race-ethnicity,Black,0.6669158878504673,1
2021,01,063,race-ethnicity,Hispanic,0.976470588235294,3
2021,01,063,race-ethnicity,Other Races and Ethnicities,1,3
2021,01,063,race-ethnicity,"White, Non-Hispanic",0.42452830188679247,2
2021,01,065,all,All,0.2055662717001929,1
2021,01,065,race-ethnicity,Black,0.25537249283667623,1
2021,01,065,race-ethnicity,Hispanic,NA,NA
2021,01,065,race-ethnicity,Other Races and Ethnicities,0,3
2021,01,065,race-ethnicity,"White, Non-Hispanic",0.05084745762711865,1
2021,01,067,all,All,0,1
2021,01,067,race-ethnicity,Black,0,2
2021,01,067,race-ethnicity,Hispanic,0,3
2021,01,067,race-ethnicity,Other Races and Ethnicities,0,3
2021,01,067,race-ethnicity,"White, Non-Hispanic",0,1
2021,01,069,all,All,0.1159061558329746,1
2021,01,069,race-ethnicity,Black,0.19767820331995223,1
2021,01,069,race-ethnicity,Hispanic,0.07868852459016394,1
2021,01,069,race-ethnicity,Other Races and Ethnicities,0.02903682719546742,1
2021,01,069,race-ethnicity,"White, Non-Hispanic",0.03589059372915277,1
2021,01,071,all,All,0,1
2021,01,071,race-ethnicity,Black,0,2
2021,01,071,race-ethnicity,Hispanic,0,2
2021,01,071,race-ethnicity,Other Races and Ethnicities,0,2
2021,01,071,race-ethnicity,"White, Non-Hispanic",0,1
2021,01,073,all,All,0.18963654270933936,1
2021,01,073,race-ethnicity,Black,0.24717683714567976,1
2021,01,073,race-ethnicity,Hispanic,0.12377514182568336,1
2021,01,073,race-ethnicity,Other Races and Ethnicities,0.13892709766162312,1
2021,01,073,race-ethnicity,"White, Non-Hispanic",0.07275705186533211,1
2021,01,075,all,All,0,1
2021,01,075,race-ethnicity,Black,0,2
2021,01,075,race-ethnicity,Hispanic,NA,NA
2021,01,075,race-ethnicity,Other Races and Ethnicities,0,3
2021,01,075,race-ethnicity,"White, Non-Hispanic",0,1
2021,01,077,all,All,0.10070700427490956,1
2021,01,077,race-ethnicity,Black,0.3186599142968446,1
2021,01,077,race-ethnicity,Hispanic,0,2
2021,01,077,race-ethnicity,Other Races and Ethnicities,0.0027359781121751,2
2021,01,077,race-ethnicity,"White, Non-Hispanic",0.04673436418186014,1
2021,01,079,all,All,0,1
2021,01,079,race-ethnicity,Black,0,2
2021,01,079,race-ethnicity,Hispanic,0,3
2021,01,079,race-ethnicity,Other Races and Ethnicities,0,2
2021,01,079,race-ethnicity,"White, Non-Hispanic",0,1
2021,01,081,all,All,0.26639666324125005,1
2021,01,081,race-ethnicity,Black,0.07884057971014492,1
2021,01,081,race-ethnicity,Hispanic,0.3427931292008962,2
2021,01,081,race-ethnicity,Other Races and Ethnicities,0.5254001391788448,1
2021,01,081,race-ethnicity,"White, Non-Hispanic",0.32994426094137075,1
2021,01,083,all,All,0,1
2021,01,083,race-ethnicity,Black,0,2
2021,01,083,race-ethnicity,Hispanic,0,2
2021,01,083,race-ethnicity,Other Races and Ethnicities,0,2
2021,01,083,race-ethnicity,"White, Non-Hispanic",0,1
2021,01,085,all,All,0,1
2021,01,085,race-ethnicity,Black,0,1
2021,01,085,race-ethnicity,Hispanic,NA,NA
2021,01,085,race-ethnicity,Other Races and Ethnicities,NA,NA
2021,01,085,race-ethnicity,"White, Non-Hispanic",0,3
2021,01,087,all,All,0.16565549986810868,1
2021,01,087,race-ethnicity,Black,0.18192385934321417,1
2021,01,087,race-ethnicity,Hispanic,NA,NA
2021,01,087,race-ethnicity,Other Races and Ethnicities,0,3
2021,01,087,race-ethnicity,"White, Non-Hispanic",0.0072992700729927,2
2021,01,089,all,All,0.15299509646896484,1
2021,01,089,race-ethnicity,Black,0.2459025658415282,1
2021,01,089,race-ethnicity,Hispanic,0.206487835308796,1
2021,01,089,race-ethnicity,Other Races and Ethnicities,0.1326809285389167,1
2021,01,089,race-ethnicity,"White, Non-Hispanic",0.05251533742331288,1
2021,01,091,all,All,0,1
2021,01,091,race-ethnicity,Black,0,1
2021,01,091,race-ethnicity,Hispanic,0,3
2021,01,091,race-ethnicity,Other Races and Ethnicities,0,3
2021,01,091,race-ethnicity,"White, Non-Hispanic",0,1
2021,01,093,all,All,0.13796516231195566,1
2021,01,093,race-ethnicity,Black,0,3
2021,01,093,race-ethnicity,Hispanic,0,3
2021,01,093,race-ethnicity,Other Races and Ethnicities,0,2
2021,01,093,race-ethnicity,"White, Non-Hispanic",0.15797824116047143,1
2021,01,095,all,All,0,1
2021,01,095,race-ethnicity,Black,0,2
2021,01,095,race-ethnicity,Hispanic,0,1
2021,01,095,race-ethnicity,Other Races and Ethnicities,0,1
2021,01,095,race-ethnicity,"White, Non-Hispanic",0,1
2021,01,097,all,All,0.1350201553847656,1
2021,01,097,race-ethnicity,Black,0.23790477655564957,1
2021,01,097,race-ethnicity,Hispanic,0.00164041994750656,1
2021,01,097,race-ethnicity,Other Races and Ethnicities,0.02659202239328201,1
2021,01,097,race-ethnicity,"White, Non-Hispanic",0.00965827547418641,1
2021,01,099,all,All,0,1
2021,01,099,race-ethnicity,Black,0,1
2021,01,099,race-ethnicity,Hispanic,NA,NA
2021,01,099,race-ethnicity,Other Races and Ethnicities,0,3
