state,place,state_name,place_name,subgroup_type,subgroup,share_digital_access,share_digital_access_quality,share_poverty_exposure,share_poverty_exposure_quality
01,03076,Alabama,Auburn city,all,All,0.8509452416361858,1,0.4509541886023975,1
01,03076,Alabama,Auburn city,race-ethnicity,Other Races and Ethnicities,0.9004808229900481,1,0.6253974499122662,2
01,03076,Alabama,Auburn city,race-ethnicity,Black,0.7397652016857315,1,0.18311218366027723,2
01,03076,Alabama,Auburn city,race-ethnicity,Hispanic,0.8519685039370078,2,0.7310236178860772,3
01,03076,Alabama,Auburn city,race-ethnicity,White,0.8706827462504293,1,NA,NA
01,07000,Alabama,Birmingham city,all,All,0.7878447738758072,1,0.34103599964754,1
01,07000,Alabama,Birmingham city,race-ethnicity,Other Races and Ethnicities,0.8525278630269746,2,0.2669380590025102,2
01,07000,Alabama,Birmingham city,race-ethnicity,Black,0.7781135116079971,1,0.3538945389077969,1
01,07000,Alabama,Birmingham city,race-ethnicity,Hispanic,0.7946570070183382,1,0.27262392733702706,2
01,07000,Alabama,Birmingham city,race-ethnicity,White,0.7986942756572867,1,NA,NA
01,35896,Alabama,Hoover city,all,All,0.9588053102187784,1,0,1
01,35896,Alabama,Hoover city,race-ethnicity,Other Races and Ethnicities,0.9479318229058408,1,0,3
01,35896,Alabama,Hoover city,race-ethnicity,Black,0.9676574422047602,1,0,2
01,35896,Alabama,Hoover city,race-ethnicity,Hispanic,0.8818259385665529,2,0,3
01,35896,Alabama,Hoover city,race-ethnicity,White,0.9580133048748188,1,NA,NA
01,37000,Alabama,Huntsville city,all,All,0.8651662930012709,1,0.2131821456131633,1
01,37000,Alabama,Huntsville city,race-ethnicity,Other Races and Ethnicities,0.8753805665927035,1,0.15967988647225695,2
01,37000,Alabama,Huntsville city,race-ethnicity,Black,0.7901496950656071,1,0.2939761814295321,1
01,37000,Alabama,Huntsville city,race-ethnicity,Hispanic,0.820321811680572,1,0.2533461916518271,2
01,37000,Alabama,Huntsville city,race-ethnicity,White,0.9023216983382364,1,NA,NA
01,50000,Alabama,Mobile city,all,All,0.787815092427112,1,0.15580133160704684,1
01,50000,Alabama,Mobile city,race-ethnicity,Other Races and Ethnicities,0.8468164461415505,1,0.06667429408243877,2
01,50000,Alabama,Mobile city,race-ethnicity,Black,0.7193606044603323,1,0.21002436438040264,1
01,50000,Alabama,Mobile city,race-ethnicity,Hispanic,0.71610779674964,1,0.00536660917239373,3
01,50000,Alabama,Mobile city,race-ethnicity,White,0.8659992794276596,1,NA,NA
01,51000,Alabama,Montgomery city,all,All,0.8413855199928366,1,0.27052087745298437,1
01,51000,Alabama,Montgomery city,race-ethnicity,Other Races and Ethnicities,0.8474143977555315,1,0.11048156835995047,2
01,51000,Alabama,Montgomery city,race-ethnicity,Black,0.8201954134366926,1,0.31304640300195746,1
01,51000,Alabama,Montgomery city,race-ethnicity,Hispanic,0.7151652217615279,1,0.29329758666654726,2
01,51000,Alabama,Montgomery city,race-ethnicity,White,0.8825184149335762,1,NA,NA
01,77256,Alabama,Tuscaloosa city,all,All,0.7727199451900214,1,0.260855858015889,1
01,77256,Alabama,Tuscaloosa city,race-ethnicity,Other Races and Ethnicities,0.7741158765989465,2,0.20291445103685823,2
01,77256,Alabama,Tuscaloosa city,race-ethnicity,Black,0.7756218108596664,1,0.12763539768958157,1
